playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,overruns,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,unsuccessfulLayoffs,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,homeGoals,rightFootGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,throughBalls,successfulCornersIntoBox,shotsBlockedInBox,unsuccessfulCornersIntoBox,clearancesOffTheLine,foulWonPenalty,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,penaltiesConceded,oboxTarget,headedGoals,iboxBlocked,ownGoalScored,leftFootGoals,redCards2ndYellow,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltiesTaken,penaltyGoals,otherGoals
149065,José Sá,Goalkeeper,Wolverhampton Wanderers,39,Portugal,2023-24,2.0,0.0158,0.0,37.0,1.0,42.0,14.0,35.0,1.0,1.0,35.0,369.0,904.0,253.0,6.0,13.0,4.0,8.0,3038.0,1.0,22.0,5.0,4.0,9.0,427.0,9.0,8.0,64.9915,26.0,30.0,58.0,2.0,167.0,134.0,9.0,0.0,24.0,3.0,8.0,537.0,309.0,35.0,8.0,68.0,53.0,1.0,11.0,13.0,0.0,333.0,506.0,380.0,3.0,110.0,42.0,200.0,108.0,1339.0,2.0,132.0,467.0,89.0,1.0,355.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79602,Dan Bentley,Goalkeeper,Wolverhampton Wanderers,39,England,2023-24,1.0,0.002,0.0,,,2.0,1.0,5.0,,,3.0,48.0,135.0,33.0,,2.0,1.0,,382.0,,2.0,2.0,,,64.0,2.0,,5.8628,8.0,3.0,7.0,1.0,27.0,8.0,,0.0,3.0,,1.0,85.0,21.0,5.0,,11.0,5.0,,1.0,2.0,0.0,30.0,85.0,48.0,,12.0,2.0,23.0,23.0,156.0,,24.0,76.0,6.0,0.0,47.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138001,Tom King,Goalkeeper,Wolverhampton Wanderers U21,12934,Wales,2023-24,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87835,Matt Doherty,Defender,Wolverhampton Wanderers,39,Ireland,2023-24,68.0,0.8631,0.0,,1.0,,104.0,30.0,,7.0,9.0,117.0,564.0,,,72.0,1.0,,1143.0,,86.0,3.0,28.0,48.0,418.0,,4.0,23.7004,6.0,37.0,21.0,34.0,122.0,,11.0,1.0,154.0,10.0,,153.0,65.0,30.0,,204.0,18.0,13.0,82.0,38.0,0.0,,553.0,169.0,6.0,,,149.0,29.0,842.0,5.0,5.0,244.0,,2.0,13.0,42.0,21.0,1.0,1.0,3.0,0.9039,31.0,8.0,12.0,1.0,5.0,0.0,1.0,1.0,2.0,2.0,34.0,32.0,9.0,12.0,1.0,1.0,13.0,1.0,7.0,12.0,5.0,5.0,18.0,5.0,13.0,7.0,140.0,67.0,1.0,1.0,8.0,2.0,0.8442,,,,,,,,,,,,,,,,,,,,,
448514,Rayan Aït-Nouri,Defender,Manchester City,43,Algeria,2023-24,166.0,1.7307,0.0,,5.0,,108.0,33.0,1.0,8.0,29.0,139.0,1038.0,,,46.0,,,2344.0,,207.0,4.0,50.0,186.0,876.0,,4.0,49.2684,2.0,31.0,43.0,141.0,361.0,,53.0,0.0,373.0,26.0,,298.0,136.0,33.0,,491.0,39.0,95.0,327.0,21.0,0.0,,1015.0,337.0,62.0,,,116.0,23.0,1689.0,19.0,15.0,416.0,,7.0,31.0,54.0,4.0,4.0,5.0,8.0,2.4093,71.0,19.0,28.0,2.0,8.0,1.0,2.0,8.0,3.0,3.0,25.0,56.0,8.0,24.0,1.0,1.0,27.0,,39.0,33.0,11.0,11.0,44.0,6.0,25.0,15.0,263.0,98.0,,2.0,17.0,,3.2873,2.0,3.0,3.0,4.0,1.0,1.0,8.0,3.0,1.0,3.0,1.0,3.0,,,,,,,,,
231480,Santiago Bueno,Defender,Wolverhampton Wanderers,39,Uruguay,2023-24,44.0,0.0306,0.0,,,,28.0,12.0,,,9.0,51.0,476.0,3.0,,42.0,,,820.0,,34.0,2.0,15.0,18.0,411.0,,3.0,21.1703,5.0,33.0,18.0,18.0,90.0,,5.0,0.0,78.0,10.0,,156.0,30.0,12.0,,92.0,16.0,2.0,36.0,16.0,0.0,3.0,466.0,57.0,1.0,,,197.0,14.0,579.0,2.0,10.0,333.0,,1.0,23.0,18.0,3.0,,,,,13.0,,2.0,,,,,,,,26.0,1.0,1.0,2.0,,,6.0,,,2.0,,,7.0,12.0,10.0,6.0,33.0,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
501837,Yerson Mosquera,Defender,Wolverhampton Wanderers,39,Colombia,2023-24,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60232,Craig Dawson,Defender,Wolverhampton Wanderers,39,England,2023-24,66.0,0.5513,0.0,,,,84.0,25.0,1.0,,25.0,169.0,1272.0,7.0,,95.0,5.0,,2211.0,,111.0,4.0,21.0,48.0,1003.0,,3.0,40.1172,9.0,119.0,38.0,34.0,471.0,,15.0,0.0,177.0,12.0,,357.0,100.0,25.0,,257.0,34.0,2.0,82.0,63.0,0.0,7.0,1235.0,180.0,3.0,,,396.0,100.0,1560.0,2.0,40.0,846.0,,7.0,85.0,66.0,,,3.0,5.0,1.0224,30.0,13.0,1.0,1.0,4.0,0.0,,,3.0,3.0,32.0,37.0,,8.0,1.0,1.0,10.0,,,1.0,8.0,3.0,20.0,39.0,20.0,16.0,48.0,1.0,,,15.0,,1.5035,2.0,,3.0,,2.0,,,1.0,,1.0,,3.0,,,,,,,,,
490721,Hugo Bueno,Defender,Wolverhampton Wanderers,39,Spain,2023-24,50.0,0.6953,0.0,,5.0,,48.0,22.0,,1.0,7.0,64.0,330.0,,,21.0,,,729.0,,44.0,,31.0,35.0,262.0,,2.0,16.9869,1.0,20.0,16.0,38.0,107.0,,6.0,0.0,94.0,13.0,,90.0,37.0,22.0,,129.0,16.0,25.0,73.0,9.0,0.0,,329.0,125.0,8.0,,,21.0,4.0,545.0,6.0,14.0,147.0,,1.0,16.0,37.0,15.0,10.0,4.0,,,21.0,1.0,19.0,,1.0,,1.0,10.0,,,12.0,9.0,3.0,6.0,,,7.0,,11.0,19.0,1.0,1.0,14.0,4.0,7.0,6.0,112.0,42.0,,1.0,4.0,1.0,0.2802,,,3.0,,,,,,,,,3.0,1.0,,,,,,,,
200402,Nélson Semedo,Defender,Wolverhampton Wanderers,39,Portugal,2023-24,166.0,1.7974,1.0,,9.0,,192.0,36.0,1.0,3.0,36.0,289.0,1516.0,,,50.0,4.0,,3091.0,1.0,182.0,7.0,78.0,160.0,1179.0,,8.0,62.7679,15.0,78.0,60.0,138.0,152.0,,30.0,0.0,348.0,36.0,,553.0,188.0,36.0,,633.0,53.0,65.0,298.0,22.0,1.0,,1491.0,507.0,51.0,,,486.0,48.0,2382.0,8.0,63.0,607.0,,11.0,97.0,133.0,,13.0,7.0,4.0,0.2512,79.0,10.0,67.0,,1.0,,2.0,13.0,4.0,4.0,28.0,40.0,14.0,23.0,,,31.0,,29.0,67.0,6.0,15.0,48.0,8.0,48.0,36.0,325.0,234.0,,2.0,33.0,,1.2575,2.0,,5.0,,,,,,2.0,,,5.0,,,,,,,,,
