season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089879,1,20,Southampton,Home,10486,20452,Shane Long,shane-long,F,False,,,,3.0,3.0,6.0,1.0,1.0,1.0,,,,,,,3.0,5.0,3.0,,,1.0,,,,,,1.0,,83.0,,,,,,,,9.0,,6.6,,,1.0,,,,1.0,,,,5.0,4.0,8.0,1,,21.0,2.0,2.0,,
2016-17,7089879,1,20,Southampton,Home,26989,44683,Jay Rodriguez,jay-rodriguez,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089879,1,20,Southampton,Home,38560,62399,Dušan Tadić,dusan-tadic,F,False,2.0,,2.0,40.0,10.0,48.0,,,7.0,,,2.0,,,,9.0,10.0,8.0,,,,,,,,1.0,6.0,,90.0,2.0,,,,,,,30.0,,7.4,,,,,,7.0,8.0,,5.0,,58.0,10.0,60.0,4,1.0,99.0,1.0,1.0,6.0,1.0
2016-17,7089879,1,20,Southampton,Home,97905,78356,Charlie Austin,charlie-austin,F,True,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,7.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1,,2.0,,,,
2016-17,7090014,2,20,Southampton,Away,10486,20452,Shane Long,shane-long,F,False,,,,10.0,4.0,14.0,8.0,1.0,3.0,,,1.0,,,,,8.0,5.0,,,,,,,,,1.0,,84.0,1.0,,,,,,,3.0,,7.1,,,2.0,,3.0,,,,,,12.0,5.0,17.0,4,2.0,30.0,,2.0,,2.0
2016-17,7090014,2,20,Southampton,Away,26989,44683,Jay Rodriguez,jay-rodriguez,F,True,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,3.0,0,,3.0,,,,
2016-17,7090014,2,20,Southampton,Away,38560,62399,Dušan Tadić,dusan-tadic,F,False,1.0,,1.0,37.0,12.0,48.0,1.0,,1.0,,,1.0,2.0,,,2.0,10.0,3.0,,,3.0,,,,,1.0,2.0,,90.0,,,,,,,,17.0,,6.4,,,3.0,,1.0,3.0,3.0,,4.0,2.0,49.0,13.0,59.0,4,1.0,77.0,,1.0,1.0,1.0
2016-17,7090014,2,20,Southampton,Away,97905,78356,Charlie Austin,charlie-austin,F,True,,,,1.0,2.0,3.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,23.0,,,,,,,,3.0,,6.8,,,,,,,2.0,,,,3.0,3.0,4.0,0,2.0,12.0,,2.0,,1.0
2016-17,7090022,3,20,Southampton,Home,10486,20452,Shane Long,shane-long,F,True,,,,6.0,,6.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,23.0,1.0,,,,,,,5.0,,6.8,,,,,,1.0,3.0,,,,10.0,1.0,8.0,1,,15.0,,1.0,1.0,
2016-17,7090022,3,20,Southampton,Home,26989,44683,Jay Rodriguez,jay-rodriguez,F,True,,,,2.0,2.0,4.0,1.0,,1.0,,,,,,,,2.0,,,,1.0,,1.0,,,,,,16.0,2.0,,,,,,,1.0,,7.4,,,,,,,1.0,,,,3.0,2.0,4.0,2,,8.0,,,,
