season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2015-16,6767936,1,57,Watford,Away,642,16045,Ben Watson,ben-watson,M,True,,,1.0,3.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,11.0,,,,,,,,,,6.6,,,,,,,,1.0,,4.0,4.0,8.0,0,,8.0,,,,
2015-16,6767936,1,57,Watford,Away,2490,18656,Heurelho Gomes,heurelho-gomes,G,False,,1.0,10.0,10.0,,10.0,,4.0,12.0,,,,,,,,,4.0,,,,,,2.0,,1.0,,,90.0,,,,,,,,,3.0,6.7,3.0,3.0,,3.0,,,1.0,25.0,,25.0,,25.0,0,,37.0,,,,
2015-16,6767936,1,57,Watford,Away,11654,21123,Valon Behrami,valon-behrami,M,False,,,,7.0,12.0,19.0,1.0,,6.0,,,,1.0,,,,5.0,6.0,1.0,,2.0,,,,,3.0,,,79.0,,2.0,,,,,,,,6.6,,,,1.0,1.0,,,,,8.0,12.0,20.0,0,6.0,36.0,,,,
2015-16,6767936,1,57,Watford,Away,12215,39942,Daniel Pudil,daniel-pudil,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767936,1,57,Watford,Away,13990,17441,José Jurado,jose-jurado,M,False,1.0,,1.0,13.0,4.0,16.0,,,3.0,,,,2.0,,,2.0,7.0,4.0,,,3.0,,,,,,2.0,,74.0,,,,,,,,,,6.8,,,1.0,,,2.0,,5.0,,25.0,5.0,28.0,1,4.0,41.0,2.0,,,
2015-16,6767936,1,57,Watford,Away,15038,41945,Sebastian Prödl,sebastian-prodl,D,False,,,1.0,2.0,6.0,8.0,2.0,5.0,2.0,,,,,,,,4.0,8.0,,,2.0,,,,,6.0,,,90.0,,,,,,,,,,7.1,,,,9.0,,,,4.0,,6.0,8.0,14.0,0,2.0,32.0,,1.0,,
2015-16,6767936,1,57,Watford,Away,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,2.0,14.0,9.0,23.0,,,8.0,,,,1.0,,,,3.0,5.0,,,1.0,,,,,5.0,1.0,,90.0,1.0,,,,,,,,,7.4,,,,5.0,2.0,,,4.0,,16.0,9.0,25.0,1,3.0,46.0,2.0,1.0,1.0,
2015-16,6767936,1,57,Watford,Away,16779,40868,José Holebas,jose-holebas,D,False,2.0,,2.0,18.0,7.0,23.0,1.0,5.0,10.0,,,,,,,2.0,3.0,8.0,,,,,,,,4.0,1.0,,90.0,1.0,,,,,,,,,7.2,,,,8.0,2.0,5.0,,7.0,,32.0,8.0,35.0,1,1.0,69.0,1.0,,2.0,
2015-16,6767936,1,57,Watford,Away,20286,26719,Rene Gilmartin,rene-gilmartin,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767936,1,57,Watford,Away,20364,19342,Ikechi Anya,ikechi-anya,M,False,,,,17.0,9.0,26.0,,1.0,4.0,,,1.0,,,,,,3.0,,,,,,,,3.0,1.0,,90.0,,,,,,,,,,7.1,,,1.0,2.0,2.0,2.0,,,,25.0,9.0,32.0,2,,43.0,,,2.0,
2015-16,6767936,1,57,Watford,Away,22109,41725,Troy Deeney,troy-deeney,F,False,,,1.0,13.0,10.0,23.0,10.0,7.0,5.0,,,2.0,,,,2.0,15.0,9.0,,,1.0,1.0,,,,,1.0,,90.0,1.0,,,,,,,,,7.1,,,,2.0,3.0,,,1.0,1.0,26.0,10.0,36.0,3,,52.0,2.0,1.0,1.0,
2015-16,6767936,1,57,Watford,Away,22200,41338,Craig Cathcart,craig-cathcart,D,False,,,4.0,7.0,5.0,12.0,3.0,6.0,3.0,,,,,,,,3.0,8.0,,,,,,,,8.0,,,90.0,,,,,,,,,,7.7,,,,14.0,,,,5.0,,9.0,6.0,15.0,0,2.0,39.0,,,,
2015-16,6767936,1,57,Watford,Away,29774,58498,Odion Ighalo,odion-ighalo,F,True,,,,4.0,1.0,5.0,2.0,,,,,,,,,1.0,4.0,2.0,,,1.0,,1.0,,,,,,16.0,1.0,,,,,,,,,7.3,,,,,2.0,,,,,4.0,2.0,6.0,1,,12.0,2.0,,2.0,
2015-16,6767936,1,57,Watford,Away,43938,52800,Gabriele Angella,gabriele-angella,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767936,1,57,Watford,Away,47668,98780,Juan Carlos Paredes,juan-carlos-paredes,M,True,,,,3.0,,3.0,,,,,,,,,,,1.0,2.0,,,1.0,,,,,2.0,,,31.0,,,,,,,,,,6.6,,,,2.0,1.0,,,1.0,,6.0,,6.0,0,,12.0,,1.0,1.0,
2015-16,6767936,1,57,Watford,Away,58488,81183,Matěj Vydra,matej-vydra,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
