season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576160,1,57,Watford,Home,10599,9089,Ben Foster,ben-foster,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576160,1,57,Watford,Home,16586,38290,Danny Rose,danny-rose,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576160,1,57,Watford,Home,19343,40387,Dan Gosling,dan-gosling,D,True,,,,1.0,4.0,5.0,,2.0,1.0,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,21.0,,,,,,,,,4.0,,6.1,,,,1.0,,,,1.0,,2.0,6.0,8.0,0,,10.0,,,,
2021-22,9576160,1,57,Watford,Home,22109,41725,Troy Deeney,troy-deeney,F,True,,,,1.0,,1.0,3.0,2.0,,,,,1.0,,,,4.0,2.0,,,,,,,,,,,,11.0,,,,,,,,,1.0,,6.5,,,,1.0,,,,,,2.0,,2.0,0,,3.0,,,,
2021-22,9576160,1,57,Watford,Home,22200,41338,Craig Cathcart,craig-cathcart,D,False,,,2.0,7.0,12.0,19.0,,1.0,4.0,,,,,,,,3.0,4.0,,,3.0,,,,,,1.0,,,90.0,,1.0,,,,,,,13.0,,6.5,,,,2.0,,,,8.0,,12.0,16.0,28.0,0,2.0,47.0,,1.0,,
2021-22,9576160,1,57,Watford,Home,46432,43250,Tom Cleverley,tom-cleverley,M,False,,,1.0,13.0,4.0,17.0,1.0,1.0,4.0,,,,2.0,,,,4.0,4.0,,,1.0,1.0,,,,,2.0,1.0,,79.0,,,,,,,,,11.0,,6.7,,,,,,2.0,,5.0,,22.0,6.0,26.0,0,2.0,33.0,,1.0,,
2021-22,9576160,1,57,Watford,Home,48563,69143,Juraj Kucka,juraj-kucka,M,False,,,,4.0,7.0,11.0,1.0,3.0,5.0,,,,1.0,,,1.0,5.0,11.0,,,2.0,,,,,,1.0,,,69.0,,,,,,,,,8.0,,7.1,,,2.0,2.0,3.0,,,1.0,,7.0,7.0,14.0,2,4.0,33.0,3.0,1.0,3.0,2.0
2021-22,9576160,1,57,Watford,Home,58351,85624,Christian Kabasele,christian-kabasele,D,False,,,1.0,2.0,34.0,36.0,,4.0,4.0,,1.0,,1.0,,,,1.0,4.0,,,,,,,,,1.0,,,90.0,,1.0,,,,,,,6.0,,6.6,,,1.0,8.0,,,,3.0,,4.0,37.0,41.0,1,,53.0,1.0,,,
2021-22,9576160,1,57,Watford,Home,259995,155651,Adam Masina,adam-masina,D,False,,,3.0,5.0,17.0,22.0,1.0,5.0,10.0,,,,,,,,3.0,8.0,,,2.0,,,,,,,,,90.0,,,,1.0,,,,,17.0,,6.4,,,,5.0,2.0,1.0,,8.0,,14.0,21.0,34.0,0,1.0,51.0,,,2.0,
2021-22,9576160,1,57,Watford,Home,288019,154506,Daniel Bachmann,daniel-bachmann,G,False,,,5.0,3.0,12.0,15.0,,,9.0,,,,,,,,,,,,,,,,3.0,,,,,90.0,,,,,1.0,,,,10.0,,6.0,,,,,,,,15.0,,13.0,12.0,25.0,0,,35.0,,,,
2021-22,9576160,1,57,Watford,Home,319847,157775,Ken Sema,ken-sema,M,False,1.0,,1.0,7.0,5.0,11.0,3.0,,5.0,1.0,,,1.0,,,3.0,11.0,4.0,,,3.0,,,,,,,2.0,,90.0,,,,,,,,,14.0,,6.3,,,,1.0,2.0,1.0,,5.0,,13.0,7.0,19.0,0,2.0,32.0,2.0,1.0,1.0,
2021-22,9576160,1,57,Watford,Home,338991,131304,William Troost-Ekong,william-troost-ekong,D,False,,,4.0,6.0,30.0,36.0,2.0,1.0,2.0,,,,1.0,,,,4.0,1.0,,,1.0,,,,,,,,,90.0,,,,,,,,,7.0,,6.1,,,,4.0,,,,10.0,,12.0,31.0,43.0,0,,49.0,,,,
2021-22,9576160,1,57,Watford,Home,353224,176296,Ashley Fletcher,ashley-fletcher,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576160,1,57,Watford,Home,805096,208973,Francisco Sierralta,francisco-sierralta,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576160,1,57,Watford,Home,839110,227560,Peter Etebo,peter-etebo,M,False,,,3.0,8.0,21.0,29.0,1.0,2.0,11.0,,,,1.0,,,1.0,5.0,8.0,,,1.0,,,,,,3.0,1.0,,90.0,,1.0,,,,,,,10.0,,7.1,,,,1.0,3.0,,,6.0,,11.0,25.0,36.0,0,2.0,52.0,1.0,2.0,2.0,2.0
2021-22,9576160,1,57,Watford,Home,844424,230251,Emmanuel Dennis,emmanuel-dennis,F,False,,,,9.0,3.0,12.0,1.0,1.0,6.0,,,2.0,1.0,,,,7.0,5.0,,,3.0,1.0,1.0,,,,,3.0,,66.0,3.0,,,,,,,,8.0,,8.3,,,,,3.0,,,,,9.0,6.0,15.0,5,2.0,31.0,3.0,1.0,1.0,2.0
2021-22,9576160,1,57,Watford,Home,845286,232185,Ismaïla Sarr,ismaila-sarr,F,False,1.0,,1.0,13.0,4.0,16.0,,2.0,7.0,,,,,,,2.0,4.0,11.0,,,2.0,,1.0,,,,1.0,4.0,,90.0,2.0,,,,,,,,16.0,,8.0,,,1.0,,4.0,4.0,,1.0,,19.0,6.0,21.0,3,,47.0,6.0,5.0,4.0,
2021-22,9576160,1,57,Watford,Home,887055,244716,Cucho Hernández,cucho-hernandez,F,True,,,,1.0,3.0,4.0,4.0,,,,,,3.0,,,1.0,9.0,1.0,,,,,1.0,,,,,,,24.0,2.0,,,,,,,,3.0,,6.9,,,,,1.0,,,,,2.0,3.0,5.0,2,,11.0,,1.0,,
2021-22,9576160,1,57,Watford,Home,965943,471471,Imrân Louza,imran-louza,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576160,1,57,Watford,Home,991595,232391,Jeremy Ngakia,jeremy-ngakia,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576184,2,57,Watford,Away,10599,9089,Ben Foster,ben-foster,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576184,2,57,Watford,Away,16586,38290,Danny Rose,danny-rose,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576184,2,57,Watford,Away,22109,41725,Troy Deeney,troy-deeney,F,True,,,,2.0,,2.0,,4.0,,,,,,,,,,4.0,,,,,,,,,,1.0,,12.0,,,,,,,,,4.0,,7.0,,,2.0,1.0,,,,,,5.0,,5.0,2,,9.0,1.0,,,
2021-22,9576184,2,57,Watford,Away,22200,41338,Craig Cathcart,craig-cathcart,D,False,,,3.0,10.0,13.0,23.0,2.0,3.0,3.0,,,,,,,,2.0,6.0,,1.0,,,,,,,,,,65.0,,,,,,,,,11.0,,6.6,,,,3.0,,2.0,,4.0,,16.0,14.0,28.0,0,2.0,51.0,2.0,1.0,,
2021-22,9576184,2,57,Watford,Away,46432,43250,Tom Cleverley,tom-cleverley,M,False,,,4.0,23.0,19.0,42.0,1.0,1.0,5.0,,,1.0,1.0,,,1.0,5.0,3.0,,,1.0,,,,,,1.0,,,90.0,1.0,1.0,,,,,,,9.0,,6.7,,,,1.0,1.0,1.0,,5.0,,29.0,20.0,48.0,2,1.0,63.0,,1.0,,1.0
2021-22,9576184,2,57,Watford,Away,58351,85624,Christian Kabasele,christian-kabasele,D,False,,,6.0,5.0,53.0,58.0,,3.0,3.0,,,,,,,,1.0,3.0,,,1.0,,,,,,1.0,,,90.0,,2.0,,,,,,,3.0,,7.0,,,,6.0,,,,6.0,,6.0,54.0,60.0,0,,72.0,1.0,,,
2021-22,9576184,2,57,Watford,Away,100621,78007,Joshua King,joshua-king,F,True,1.0,,,10.0,1.0,10.0,1.0,,3.0,,,,,,,,3.0,1.0,,,1.0,,,,,,1.0,3.0,,25.0,,,,,,,,,3.0,,6.9,,,,,1.0,1.0,,,,11.0,1.0,11.0,0,,17.0,,1.0,,
2021-22,9576184,2,57,Watford,Away,259995,155651,Adam Masina,adam-masina,D,False,,,5.0,18.0,21.0,39.0,1.0,1.0,7.0,,,,,,,1.0,3.0,3.0,,,1.0,,,,,,1.0,1.0,,90.0,,1.0,,,,,,,14.0,,6.7,,,,3.0,,,,11.0,,25.0,26.0,51.0,0,2.0,66.0,1.0,,,2.0
2021-22,9576184,2,57,Watford,Away,288019,154506,Daniel Bachmann,daniel-bachmann,G,False,,,1.0,,19.0,19.0,,,4.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,5.0,1.0,6.2,1.0,1.0,,1.0,,,,5.0,,3.0,20.0,23.0,0,,29.0,,,,
2021-22,9576184,2,57,Watford,Away,319847,157775,Ken Sema,ken-sema,M,False,,,,8.0,4.0,12.0,1.0,,2.0,,,1.0,,,,3.0,5.0,,,,,,,,,,,1.0,,78.0,,,,,,,,,13.0,,6.0,,,,,1.0,2.0,,2.0,,14.0,6.0,18.0,1,,30.0,1.0,,,
2021-22,9576184,2,57,Watford,Away,338991,131304,William Troost-Ekong,william-troost-ekong,D,False,,,6.0,21.0,45.0,66.0,4.0,1.0,5.0,,,,,,,,4.0,1.0,,,,,,,,,3.0,,,90.0,,1.0,,,,,,,9.0,,7.0,,,,9.0,,,,10.0,,25.0,48.0,73.0,0,,95.0,2.0,,,
2021-22,9576184,2,57,Watford,Away,353224,176296,Ashley Fletcher,ashley-fletcher,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576184,2,57,Watford,Away,805096,208973,Francisco Sierralta,francisco-sierralta,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576184,2,57,Watford,Away,839110,227560,Peter Etebo,peter-etebo,M,False,,,2.0,11.0,22.0,33.0,,,3.0,,,1.0,2.0,,,,4.0,4.0,,,1.0,,,,,,1.0,,,90.0,,,,,,,,,6.0,,6.6,,,,,1.0,,,2.0,,13.0,24.0,37.0,1,3.0,47.0,1.0,1.0,,1.0
2021-22,9576184,2,57,Watford,Away,844424,230251,Emmanuel Dennis,emmanuel-dennis,F,False,1.0,,,6.0,7.0,12.0,3.0,2.0,,,,1.0,3.0,,,1.0,9.0,12.0,,,1.0,,,,,,,1.0,,90.0,,,,,,,,,14.0,,6.8,,,,,3.0,3.0,,,1.0,16.0,8.0,21.0,1,3.0,40.0,1.0,5.0,2.0,2.0
2021-22,9576184,2,57,Watford,Away,845286,232185,Ismaïla Sarr,ismaila-sarr,F,False,1.0,,,25.0,5.0,29.0,1.0,2.0,6.0,,,,,,,4.0,6.0,6.0,,,,,,,,,1.0,2.0,,90.0,,,,,,,,,19.0,,6.7,,,2.0,,3.0,6.0,,,,35.0,5.0,34.0,2,,56.0,2.0,2.0,2.0,
