playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,successfulPassesOwnHalf,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,offsides,goalKicks,cleanSheets,throwInsToOppositionPlayer,penaltyGoalsConceded,successfulLaunches,savesMade,lastPlayerTackle,gkSuccessfulDistribution,blocks,clearancesOffTheLine,unsuccessfulLaunches,foulAttemptedTackle,goals,awayGoals,homeGoals,headedGoals,successfulCornersIntoBox,leftFootGoals,penaltiesConceded,ownGoalScored,redCards2ndYellow,otherGoals,hitWoodwork,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals,crossesNotClaimed
42996,Angel Rangel,Defender,Swansea,80,Spain,2013-14,0.0,0.0,8.0,137.0,19.0,2.7312,1.0,3.0,3.0,0.2735,84.0,8.0,2.0,220.0,30.0,1.0,17.0,29.0,294.0,63.0,1935.0,1.0,1.0,,78.0,2.0,19.0,1.0,2632.0,1.0,1.0,41.0,156.0,8.0,57.0,119.0,1523.0,37.0,39.1174,26.0,86.0,41.0,,96.0,98.0,23.0,0.0,293.0,35.0,734.0,161.0,30.0,2.0,24.0,10.0,911.0,33.0,63.0,22.0,,215.0,37.0,1913.0,5.0,12.0,435.0,60.0,14.0,913.0,41.0,93.0,,118.0,190.0,2782.0,290.0,1.0,1.0,749.0,2.0,0.3392,74.0,77.0,1.0,1.0,7.0,26.0,4.0,15.0,1.0,1.0,1.0,10.0,1.0,44.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19159,Ashley Williams,Defender,Swansea,80,Wales,2013-14,0.0,0.0,5.0,124.0,1.0,0.3549,2.0,2.0,,0.8527,53.0,11.0,1.0,133.0,34.0,1.0,,34.0,263.0,,1936.0,1.0,,,201.0,,1.0,1.0,3040.0,1.0,,84.0,173.0,11.0,28.0,56.0,1479.0,25.0,45.7967,4.0,312.0,48.0,1.0,40.0,690.0,8.0,0.0,297.0,17.0,693.0,146.0,34.0,,15.0,,404.0,37.0,,5.0,1.0,96.0,117.0,1911.0,9.0,5.0,288.0,38.0,,467.0,30.0,80.0,,194.0,86.0,2515.0,5.0,1.0,1.0,1270.0,,1.6364,130.0,91.0,5.0,,7.0,,3.0,17.0,,2.0,,36.0,3.0,91.0,7.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
115556,Ben Davies,Defender,Swansea,80,Wales,2013-14,0.0,0.0,3.0,190.0,14.0,1.5914,2.0,3.0,,0.7688,76.0,7.0,1.0,195.0,34.0,1.0,10.0,32.0,260.0,61.0,1653.0,1.0,2.0,28.0,139.0,1.0,20.0,,2873.0,,1.0,83.0,169.0,10.0,55.0,113.0,1341.0,29.0,41.9205,30.0,109.0,46.0,1.0,107.0,693.0,25.0,1.0,359.0,27.0,646.0,157.0,34.0,1.0,17.0,14.0,696.0,36.0,84.0,32.0,1.0,220.0,56.0,1617.0,4.0,12.0,441.0,59.0,15.0,95.0,23.0,63.0,19.0,52.0,219.0,2472.0,249.0,1.0,1.0,717.0,,0.8348,65.0,84.0,,,6.0,35.0,4.0,8.0,,,,11.0,,39.0,10.0,2.0,1.0,1.0,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
53138,Chico Flores,Defender,Swansea,80,Spain,2013-14,1.0,2.0,5.0,162.0,1.0,0.315,8.0,8.0,,1.3482,78.0,17.0,,130.0,31.0,,2.0,30.0,185.0,8.0,1827.0,,1.0,,164.0,2.0,1.0,4.0,2690.0,4.0,,77.0,194.0,7.0,39.0,107.0,1525.0,34.0,42.2644,5.0,202.0,44.0,8.0,85.0,316.0,22.0,0.0,356.0,18.0,758.0,159.0,31.0,2.0,21.0,7.0,506.0,37.0,8.0,17.0,8.0,192.0,87.0,1768.0,9.0,5.0,222.0,57.0,16.0,667.0,39.0,94.0,,117.0,86.0,2353.0,3.0,,,1137.0,,2.0005,55.0,68.0,,,8.0,,3.0,19.0,,2.0,,14.0,,46.0,15.0,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
84933,Daniel Alfei,Defender,Swansea,80,Wales,2013-14,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39221,Dwight Tiendalli,Defender,Swansea,80,Netherlands,2013-14,0.0,0.0,0.0,35.0,,0.217,2.0,,2.0,,19.0,1.0,,38.0,10.0,,2.0,9.0,41.0,24.0,452.0,1.0,1.0,,17.0,,,,751.0,,,12.0,33.0,3.0,14.0,28.0,399.0,6.0,11.041,5.0,20.0,12.0,1.0,23.0,30.0,5.0,0.0,68.0,10.0,141.0,36.0,10.0,,1.0,5.0,203.0,9.0,24.0,9.0,1.0,51.0,5.0,445.0,1.0,5.0,91.0,18.0,4.0,206.0,11.0,15.0,,12.0,75.0,661.0,77.0,3.0,1.0,208.0,,0.1408,3.0,9.0,2.0,,1.0,9.0,,3.0,,,,3.0,,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73459,Jazz Richards,Defender,Swansea,80,Wales,2013-14,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80789,Jordi Amat,Defender,Swansea,80,Indonesia,2013-14,0.0,0.0,3.0,72.0,,0.0976,,1.0,1.0,0.103,32.0,4.0,,71.0,17.0,,2.0,13.0,106.0,,677.0,,4.0,,59.0,,,1.0,1246.0,1.0,,37.0,65.0,4.0,18.0,43.0,508.0,7.0,18.0915,4.0,77.0,21.0,,35.0,197.0,8.0,0.0,137.0,5.0,249.0,58.0,17.0,,9.0,,166.0,17.0,,6.0,,78.0,22.0,658.0,3.0,,117.0,23.0,4.0,189.0,18.0,29.0,,63.0,42.0,868.0,1.0,1.0,,405.0,,0.3213,35.0,44.0,,,1.0,,1.0,8.0,,,,9.0,,22.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59940,Kyle Bartley,Defender,Swansea,80,England,2013-14,0.0,0.0,0.0,4.0,,0.0029,,,,,3.0,,,2.0,2.0,,,1.0,2.0,,36.0,,1.0,,2.0,,,,91.0,,,,5.0,,,3.0,31.0,,0.5862,,10.0,1.0,,4.0,8.0,,0.0,9.0,,16.0,3.0,2.0,,1.0,,10.0,1.0,,,,7.0,2.0,36.0,,,2.0,2.0,,9.0,4.0,2.0,,3.0,3.0,53.0,,,,24.0,,,,2.0,,,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47390,Neil Taylor,Defender,Swansea,80,Wales,2013-14,0.0,0.0,1.0,16.0,3.0,0.1349,2.0,,1.0,,11.0,1.0,,33.0,10.0,1.0,5.0,6.0,42.0,5.0,283.0,2.0,4.0,1.0,10.0,,3.0,,590.0,,1.0,5.0,23.0,1.0,9.0,18.0,231.0,5.0,10.5078,4.0,18.0,9.0,,11.0,113.0,4.0,0.0,39.0,3.0,97.0,32.0,10.0,,3.0,1.0,100.0,8.0,6.0,5.0,,29.0,5.0,276.0,1.0,2.0,63.0,8.0,3.0,22.0,5.0,13.0,1.0,10.0,51.0,423.0,45.0,1.0,2.0,144.0,,0.0776,9.0,19.0,,,1.0,5.0,,2.0,,,,3.0,,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
