season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437082,1,80,Swansea_City,Away,27247,28654,Martin Olsson,martin-olsson,D,False,,,1.0,11.0,10.0,21.0,2.0,2.0,3.0,,,,1.0,,,,3.0,2.0,,,,,,,,,,,90.0,,,,,,,,20.0,,6.6,,,,,4.0,,4.0,,4.0,,21.0,15.0,32.0,0,,54.0,2.0,,,
2017-18,7437082,1,80,Swansea_City,Away,27463,42996,Àngel Rangel,angel-rangel,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437082,1,80,Swansea_City,Away,32821,49539,Kyle Naughton,kyle-naughton,D,False,,,1.0,10.0,19.0,29.0,2.0,2.0,5.0,,,,,,,,2.0,3.0,,,,,,,,5.0,,,90.0,,3.0,,,,,,12.0,,7.7,,,,,4.0,,,,5.0,,15.0,25.0,40.0,0,1.0,67.0,,,,1.0
2017-18,7437082,1,80,Swansea_City,Away,38393,57145,Federico Fernández,federico-fernandez,D,False,,,4.0,11.0,30.0,41.0,1.0,1.0,4.0,,,,,,,,2.0,2.0,,,1.0,,,,,1.0,,,90.0,,4.0,,,,,,10.0,,7.8,,,,,11.0,,,,11.0,,17.0,33.0,50.0,0,1.0,68.0,1.0,,,1.0
2017-18,7437082,1,80,Swansea_City,Away,40671,59940,Kyle Bartley,kyle-bartley,D,True,,,,,4.0,4.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,9.0,,1.0,,,,,,,,6.8,,,,,1.0,,,,,,,4.0,4.0,0,,6.0,,,,
2017-18,7437082,1,80,Swansea_City,Away,313442,149266,Alfie Mawson,alfie-mawson,D,False,,,7.0,6.0,29.0,35.0,1.0,2.0,2.0,,,,,,,,1.0,3.0,,,,,,,,,,,90.0,,1.0,,,,,,6.0,,7.3,,,,,8.0,,,,9.0,,9.0,31.0,40.0,0,,51.0,,1.0,,
2017-18,7437724,2,80,Swansea_City,Home,27247,28654,Martin Olsson,martin-olsson,D,False,,,1.0,15.0,13.0,28.0,,2.0,5.0,,,,,,,1.0,2.0,3.0,,,1.0,,,,,3.0,,,90.0,,,,,,,,24.0,,6.6,,,,,1.0,,4.0,,6.0,,32.0,15.0,43.0,0,,69.0,1.0,1.0,,
2017-18,7437724,2,80,Swansea_City,Home,27463,42996,Àngel Rangel,angel-rangel,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437724,2,80,Swansea_City,Home,32821,49539,Kyle Naughton,kyle-naughton,D,False,1.0,,1.0,21.0,14.0,34.0,,3.0,8.0,,,,1.0,,,,1.0,7.0,,,,,,,,,,,90.0,,,,,,,,23.0,,6.8,,,,,4.0,,5.0,,4.0,,34.0,18.0,47.0,0,3.0,75.0,2.0,1.0,,
2017-18,7437724,2,80,Swansea_City,Home,38393,57145,Federico Fernández,federico-fernandez,D,False,,,,4.0,20.0,24.0,1.0,,7.0,,,,2.0,,,1.0,4.0,4.0,,,,,,,,1.0,,,90.0,,,,,,,,7.0,,5.9,,,,,4.0,,1.0,,3.0,,6.0,24.0,29.0,0,3.0,40.0,,1.0,,
