season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243610,23,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,1.0,,4.0,31.0,44.0,74.0,7.0,6.0,10.0,,,,1.0,1.0,,1.0,11.0,7.0,,,2.0,,,,,1.0,,90.0,,1.0,,,,,16.0,,7.3,,,,,3.0,,1.0,,6.0,,37.0,51.0,87.0,0,1.0,105.0,,,,1.0
2019-20,8243610,23,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243610,23,3,Arsenal,Home,754794,198849,Lucas Torreira,lucas-torreira,M,False,,,2.0,21.0,31.0,52.0,1.0,2.0,11.0,,,,2.0,,,,4.0,7.0,,,,,,,,2.0,,90.0,1.0,,,,,,12.0,,7.1,,,,,1.0,1.0,,,4.0,,27.0,35.0,62.0,1,2.0,79.0,1.0,3.0,,1.0
2019-20,8243610,23,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243610,23,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243638,24,3,Arsenal,Away,16176,37605,Mesut Özil,mesut-ozil,M,False,,,1.0,10.0,20.0,30.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,55.0,,,,,,,2.0,,6.6,,,,,,,1.0,,1.0,,11.0,20.0,30.0,0,2.0,34.0,1.0,,,
2019-20,8243638,24,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,5.0,11.0,32.0,43.0,,2.0,6.0,,,,,,,,,4.0,,,,,,,,1.0,,90.0,,1.0,,,,,10.0,,7.1,,,,,6.0,,,,9.0,,16.0,37.0,53.0,0,2.0,65.0,,,,2.0
2019-20,8243638,24,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243638,24,3,Arsenal,Away,754794,198849,Lucas Torreira,lucas-torreira,M,False,,,1.0,12.0,23.0,35.0,2.0,1.0,4.0,,,,2.0,,,,5.0,4.0,,,1.0,1.0,,,,1.0,1.0,90.0,,1.0,,,,,7.0,,6.8,,,,,2.0,1.0,,,5.0,,16.0,25.0,41.0,0,1.0,49.0,1.0,1.0,1.0,
2019-20,8243638,24,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,True,,,,4.0,4.0,8.0,,1.0,2.0,,,,,,,,2.0,3.0,,,1.0,,,,,,,35.0,,,,,,,3.0,,6.4,,,,,4.0,1.0,,,,,5.0,5.0,10.0,0,,18.0,,2.0,,
