season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025056,1,3,Arsenal,Away,547410,184029,Martin Ødegaard,martin-degaard,M,False,,,5.0,24.0,7.0,31.0,,,,7.0,,,,,,,,3.0,5.0,,,0.292678,0.0907,0.195,1.0,0.0,,,,,1.0,1.0,,0.88,5.32,1.75,0.38,2.89,90.0,1.0,,,,18.0,,,7.6,,,1.0,,,5.0,5.0,,,7.0,,35.0,9.0,44.0,,,2,1.0,63.0,2.0,1.0,3.0,
2025-26,14025056,1,3,Arsenal,Away,592010,195384,Mikel Merino,mikel-merino,M,True,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,3.0,1.0,,,1.263e-05,,,1.0,0.0,,,,,,,,0.15,0.74,0.33,0.05,0.41,8.0,,,,,2.0,,,6.4,,,,,,1.0,,,,1.0,,1.0,3.0,4.0,,,0,,6.0,,,,
2025-26,14025056,1,3,Arsenal,Away,856714,204480,Declan Rice,declan-rice,M,False,,,1.0,11.0,9.0,20.0,2.0,,,3.0,,,2.0,,,,,3.0,,,,0.0103579,0.126,,1.0,0.0,,,,,,,,0.61,4.84,1.65,0.23,2.48,83.0,,1.0,,,7.0,,,6.5,,,1.0,,,,,2.0,,2.0,,15.0,10.0,25.0,,,3,,32.0,,,,
2025-26,14025056,1,3,Arsenal,Away,966837,481655,Martín Zubimendi,martin-zubimendi,M,False,,,2.0,17.0,22.0,39.0,2.0,1.0,,5.0,,,,1.0,,,,4.0,4.0,,,0.0131889,,,2.0,0.0,,,,,1.0,,,0.67,6.03,1.73,0.14,2.63,90.0,,1.0,,,7.0,,,7.2,,,,,,2.0,,,,3.0,,21.0,24.0,45.0,,,0,3.0,57.0,1.0,,,2.0
2025-26,14025056,1,3,Arsenal,Away,1401702,499175,Ethan Nwaneri,ethan-nwaneri,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025065,2,3,Arsenal,Home,547410,184029,Martin Ødegaard,martin-degaard,M,False,,,,18.0,2.0,20.0,,,,1.0,,,1.0,,,,,,2.0,,,0.0487934,0.0521,,,0.0,,,,,,,,,,,,,38.0,,,,,3.0,,,7.0,,,1.0,,,,,2.0,,,,19.0,2.0,21.0,,,2,1.0,28.0,,1.0,,1.0
2025-26,14025065,2,3,Arsenal,Home,592010,195384,Mikel Merino,mikel-merino,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025065,2,3,Arsenal,Home,856714,204480,Declan Rice,declan-rice,M,False,3.0,,1.0,20.0,43.0,63.0,,,,3.0,,,,1.0,,,,2.0,1.0,,,0.53635,,,1.0,1.0,,,,,,3.0,,,,,,,90.0,,,,,5.0,,,8.1,,,,,,,1.0,4.0,,2.0,,22.0,43.0,65.0,,,0,,75.0,2.0,,1.0,
2025-26,14025065,2,3,Arsenal,Home,966837,481655,Martín Zubimendi,martin-zubimendi,M,False,,,1.0,32.0,40.0,72.0,,1.0,,5.0,,,,,,,,2.0,5.0,,,0.0171541,0.0175,,2.0,0.0,,,,,1.0,,,,,,,,90.0,,,,,10.0,,,7.0,,,1.0,,,,1.0,,,3.0,,41.0,40.0,81.0,,,1,2.0,95.0,1.0,1.0,1.0,1.0
2025-26,14025065,2,3,Arsenal,Home,1401702,499175,Ethan Nwaneri,ethan-nwaneri,M,True,,,2.0,10.0,16.0,26.0,,,,3.0,,,1.0,,,,2.0,4.0,2.0,,,0.0060036,0.0224,,,0.0,,,,,,,,,,,,,52.0,,,,,6.0,,,6.8,,,,,,,4.0,1.0,,2.0,,10.0,16.0,26.0,,,1,,42.0,1.0,,2.0,
