season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025056,1,1,Manchester_United,Home,836694,184341,Mason Mount,mason-mount,F,False,,,4.0,16.0,4.0,20.0,1.0,1.0,,2.0,,,2.0,,,,1.0,2.0,2.0,,,0.153348,0.1222,,,0.0,,,,,,2.0,,0.51,3.25,1.32,0.21,2.1,65.0,,,,,,,,9.0,,,6.9,,,,,,,,1.0,,6.0,,20.0,6.0,26.0,,,2,1.0,33.0,1.0,,,1.0
2025-26,14025056,1,1,Manchester_United,Home,886363,430871,Matheus Cunha,matheus-cunha,F,False,,,,13.0,1.0,14.0,5.0,1.0,,2.0,,,1.0,1.0,,,4.0,12.0,8.0,,,0.0528298,0.4023,0.2097,,0.0,,,,,,1.0,,0.58,3.28,1.07,0.29,4.19,90.0,3.0,,,,,,,9.0,,,7.0,,,,,,,6.0,,,,,14.0,2.0,16.0,,,4,1.0,35.0,1.0,3.0,4.0,1.0
2025-26,14025056,1,1,Manchester_United,Home,917007,458249,Joshua Zirkzee,joshua-zirkzee,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025056,1,1,Manchester_United,Home,927083,446008,Bryan Mbeumo,bryan-mbeumo,F,False,1.0,,1.0,19.0,5.0,24.0,2.0,,,5.0,,,2.0,,,,2.0,5.0,4.0,,,0.0525866,0.4241,0.4539,1.0,0.0,,,,,,1.0,,0.65,4.68,1.32,0.41,3.17,90.0,2.0,,,,,,,17.0,,,6.8,,,1.0,,,1.0,1.0,5.0,,1.0,,24.0,6.0,30.0,,,5,,54.0,4.0,3.0,1.0,
2025-26,14025056,1,1,Manchester_United,Home,986397,485711,Benjamin Šeško,benjamin-sesko,F,True,,,1.0,3.0,1.0,4.0,1.0,1.0,,1.0,,,,,,,,2.0,1.0,,,0.0636722,0.1102,,1.0,0.0,,,,,,2.0,,0.19,1.63,0.38,0.07,0.97,25.0,,,,,,,,1.0,,,6.3,,,2.0,,,,,,,1.0,,3.0,1.0,4.0,,,2,,7.0,1.0,,,
2025-26,14025080,2,1,Manchester_United,Away,836694,184341,Mason Mount,mason-mount,F,False,,,,10.0,7.0,17.0,1.0,1.0,6.0,1.0,,,,,,,,3.0,5.0,,,0.194196,,,2.0,0.0,,,,,,2.0,,,,,,,69.0,,,,,,,1.0,7.0,0.0,,7.2,,,,,39.227328760526,,,,,3.0,,13.0,9.0,22.0,1.5515858564446,,0,2.0,29.0,2.0,2.0,,1.0
2025-26,14025080,2,1,Manchester_United,Away,886363,430871,Matheus Cunha,matheus-cunha,F,False,,,,11.0,9.0,20.0,4.0,,15.0,2.0,,1.0,,,,,,7.0,3.0,,,0.0199842,0.4255,0.3827,1.0,0.0,,,,1.0,,1.0,,,,,,,90.0,1.0,1.0,,,,,,7.0,4.0,,6.7,,,2.0,,112.52803535479,,2.0,2.0,,,,13.0,9.0,22.0,65.767371274855,35.13107648339,3,1.0,42.0,1.0,2.0,,1.0
2025-26,14025080,2,1,Manchester_United,Away,917007,458249,Joshua Zirkzee,joshua-zirkzee,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025080,2,1,Manchester_United,Away,927083,446008,Bryan Mbeumo,bryan-mbeumo,F,False,2.0,,,8.0,6.0,14.0,2.0,,8.0,2.0,,,,,,,1.0,3.0,1.0,,,0.307563,,,,0.0,,,,,,3.0,,,,,,,90.0,,,,,,,,12.0,1.0,,6.5,,,,,72.624459148895,,,4.0,,,1.0,10.0,6.0,16.0,16.695660510239,20.808689434945,0,,32.0,5.0,1.0,,
2025-26,14025080,2,1,Manchester_United,Away,986397,485711,Benjamin Šeško,benjamin-sesko,F,True,,,1.0,7.0,3.0,10.0,1.0,2.0,5.0,1.0,,,,,,,1.0,2.0,2.0,,,0.0373864,,,,0.0,,,,,,,,,,,,,37.0,,,,,,,,4.0,0.0,,6.6,,,,,32.673526772559,,,,,1.0,,7.0,6.0,13.0,-4.8377618729558,,0,,17.0,,,,
