season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436614,32,7,Aston_Villa,Away,303638,149484,Tyrone Mings,tyrone-mings,D,False,,,1.0,22.0,31.0,53.0,,2.0,4.0,,,,,,,,3.0,,,0.0144401,0.0406,,,0.0,,,,,1.0,1.0,,90.0,,,,,,,,,,7.4,,,2.0,,2.0,,,,1.0,,22.0,31.0,53.0,2,,61.0,,1.0,,
2024-25,12436614,32,7,Aston_Villa,Away,827243,220362,Axel Disasi,axel-disasi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436614,32,7,Aston_Villa,Away,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,1.0,36.0,23.0,59.0,,1.0,4.0,1.0,,,,,,,3.0,,,0.046615,0.1483,,,0.0,,,,,2.0,2.0,,90.0,,,,,,,,1.0,,7.8,,,1.0,,3.0,,,,1.0,,36.0,24.0,60.0,1,2.0,68.0,,,,
2024-25,12436614,32,7,Aston_Villa,Away,833956,199796,Matty Cash,matty-cash,D,False,,,3.0,31.0,14.0,45.0,,,3.0,,,1.0,,,,,4.0,,,0.0722806,0.0643,,,0.0,,,,,,,,85.0,,1.0,,,,,,7.0,,7.5,,,1.0,,4.0,,2.0,,5.0,,36.0,15.0,49.0,2,4.0,68.0,,,,2.0
2024-25,12436614,32,7,Aston_Villa,Away,864169,244954,Pau Torres,pau-torres,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436614,32,7,Aston_Villa,Away,976263,441302,Ian Maatsen,ian-maatsen,D,False,,,,32.0,21.0,53.0,,,5.0,,,2.0,,,1.0,2.0,3.0,,,0.029379,0.0841,,1.0,0.0,,,,,4.0,,,90.0,,,,,,,,12.0,,7.7,,,1.0,,1.0,,7.0,,1.0,,40.0,22.0,55.0,3,1.0,84.0,1.0,2.0,,1.0
2024-25,12436614,32,7,Aston_Villa,Away,1457536,606798,Andrés García,andres-garcia,D,True,,,,4.0,1.0,5.0,1.0,,1.0,,,,,,,1.0,,,,0.00188198,,,,0.0,,,,,,,,13.0,,,,,,,,1.0,,6.6,,,,,2.0,,1.0,,,,5.0,1.0,5.0,0,,8.0,,,,
2024-25,12436615,33,7,Aston_Villa,Home,96538,101188,Lucas Digne,lucas-digne,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436615,33,7,Aston_Villa,Home,303638,149484,Tyrone Mings,tyrone-mings,D,False,,,2.0,7.0,20.0,27.0,3.0,3.0,4.0,,,,,,,3.0,3.0,,,0.00468418,0.0444,,,0.0,,,,,1.0,,,90.0,,,,,,,,6.0,,6.7,,,1.0,,7.0,,,,6.0,,9.0,24.0,33.0,1,,42.0,,,,
2024-25,12436615,33,7,Aston_Villa,Home,827243,220362,Axel Disasi,axel-disasi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436615,33,7,Aston_Villa,Home,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,2.0,6.0,25.0,31.0,,1.0,2.0,,,,,,1.0,1.0,1.0,,1.0,0.00570184,,,,0.0,,,,,,,,90.0,,,,,,,,3.0,,6.4,,,,,4.0,,,,2.0,,7.0,26.0,33.0,0,,40.0,,,,
2024-25,12436615,33,7,Aston_Villa,Home,833956,199796,Matty Cash,matty-cash,D,False,,,1.0,2.0,11.0,13.0,1.0,,4.0,,,,,,,3.0,2.0,,,0.00098957,,,2.0,0.0,,,,,,,,90.0,,,,,,,,7.0,,6.6,,,,,2.0,,3.0,,1.0,,5.0,12.0,14.0,0,1.0,28.0,3.0,1.0,,1.0
2024-25,12436615,33,7,Aston_Villa,Home,976263,441302,Ian Maatsen,ian-maatsen,D,False,1.0,,,31.0,17.0,47.0,,,2.0,1.0,,,,,1.0,4.0,7.0,,,0.154524,0.3061,0.4341,1.0,0.0,1.0,,,,1.0,1.0,,90.0,1.0,,,,,,,15.0,,8.1,,,2.0,,1.0,3.0,2.0,,,,34.0,25.0,57.0,3,6.0,85.0,,,1.0,3.0
2024-25,12436615,33,7,Aston_Villa,Home,1457536,606798,Andrés García,andres-garcia,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436551,34,7,Aston_Villa,Away,96538,101188,Lucas Digne,lucas-digne,D,False,1.0,,3.0,10.0,14.0,23.0,,2.0,3.0,1.0,,,2.0,,,5.0,5.0,,,0.169129,,,2.0,0.0,,,,,,1.0,,90.0,,,,,,,,13.0,,6.7,,,,,5.0,1.0,2.0,,5.0,,14.0,19.0,31.0,0,2.0,52.0,,1.0,,2.0
2024-25,12436551,34,7,Aston_Villa,Away,827243,220362,Axel Disasi,axel-disasi,D,True,,,,1.0,3.0,4.0,,,,,,,2.0,,,3.0,2.0,,,6.776e-05,,,1.0,0.0,,,,,,,,29.0,,,,,,,,3.0,,6.4,,,,,,,,,,,2.0,3.0,5.0,0,2.0,10.0,,,,1.0
2024-25,12436551,34,7,Aston_Villa,Away,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,,4.0,29.0,33.0,,,1.0,,,1.0,,,,,2.0,,,0.00282198,0.0678,,,0.0,,,,,,,,90.0,,,,,,,,3.0,,6.4,,,,,2.0,,,,,,5.0,30.0,35.0,1,1.0,41.0,1.0,1.0,,
2024-25,12436551,34,7,Aston_Villa,Away,833956,199796,Matty Cash,matty-cash,D,False,,,2.0,6.0,14.0,20.0,1.0,,4.0,,,,,,,1.0,1.0,,,0.00127703,,,,0.0,,,,,1.0,,,61.0,,,,,,,,7.0,,6.6,,,,,4.0,,2.0,,3.0,,9.0,15.0,22.0,0,,34.0,,1.0,,
2024-25,12436551,34,7,Aston_Villa,Away,864169,244954,Pau Torres,pau-torres,D,False,,,6.0,8.0,34.0,42.0,1.0,1.0,,,,,,,,1.0,2.0,,,0.0114075,,,,0.0,,,,,,1.0,,90.0,,,,,,,,5.0,,6.7,,,,,2.0,1.0,,,7.0,,10.0,36.0,46.0,0,,53.0,,,1.0,
2024-25,12436551,34,7,Aston_Villa,Away,976263,441302,Ian Maatsen,ian-maatsen,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436551,34,7,Aston_Villa,Away,1457536,606798,Andrés García,andres-garcia,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436553,35,7,Aston_Villa,Home,96538,101188,Lucas Digne,lucas-digne,D,True,,,1.0,3.0,5.0,8.0,1.0,1.0,2.0,,,,1.0,,1.0,3.0,2.0,,,0.00140121,,,,0.0,,,,,,,,19.0,,,,,,,,1.0,,6.7,,,,,3.0,,,,1.0,,3.0,5.0,8.0,0,1.0,13.0,,,,1.0
2024-25,12436553,35,7,Aston_Villa,Home,303638,149484,Tyrone Mings,tyrone-mings,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436553,35,7,Aston_Villa,Home,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,1.0,16.0,37.0,53.0,1.0,4.0,3.0,,,,,,1.0,2.0,5.0,,1.0,0.00623797,,,,0.0,,,,,,,,90.0,,1.0,,,,,,4.0,,7.0,,,,,6.0,1.0,,,2.0,,17.0,38.0,55.0,0,,65.0,1.0,,1.0,
2024-25,12436553,35,7,Aston_Villa,Home,833956,199796,Matty Cash,matty-cash,D,False,1.0,,3.0,16.0,16.0,31.0,,,3.0,1.0,,,,,3.0,6.0,2.0,,,0.0198476,,,1.0,0.0,,,,,,1.0,,90.0,,1.0,,,,,,9.0,,7.1,,,,,2.0,2.0,3.0,,4.0,,18.0,17.0,32.0,0,1.0,52.0,,1.0,,1.0
2024-25,12436553,35,7,Aston_Villa,Home,864169,244954,Pau Torres,pau-torres,D,False,,,1.0,13.0,34.0,47.0,4.0,,1.0,,,,,,1.0,7.0,,,,0.00525462,,,2.0,0.0,,,,,,,,90.0,,,,,,,,3.0,,6.7,,,,,5.0,,,,2.0,,13.0,35.0,48.0,0,,57.0,1.0,,,
2024-25,12436553,35,7,Aston_Villa,Home,976263,441302,Ian Maatsen,ian-maatsen,D,False,,,,12.0,9.0,21.0,1.0,,7.0,,,,,,1.0,4.0,4.0,,,0.00415198,0.0382,,,0.0,,,,,,,,71.0,,,,,,,,11.0,,6.9,,,1.0,,2.0,3.0,1.0,,1.0,,15.0,11.0,25.0,1,2.0,46.0,2.0,1.0,1.0,2.0
2024-25,12436553,35,7,Aston_Villa,Home,1457536,606798,Andrés García,andres-garcia,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436570,36,7,Aston_Villa,Away,96538,101188,Lucas Digne,lucas-digne,D,False,1.0,,2.0,9.0,11.0,19.0,1.0,2.0,4.0,1.0,,,1.0,,,3.0,6.0,,,0.133409,,,1.0,0.0,,,,,,1.0,,90.0,,,,,,,,13.0,,7.4,,,,,4.0,,2.0,,4.0,,14.0,14.0,26.0,0,2.0,45.0,,2.0,,1.0
2024-25,12436570,36,7,Aston_Villa,Away,303638,149484,Tyrone Mings,tyrone-mings,D,False,,,,5.0,10.0,15.0,1.0,1.0,5.0,,,,,,,3.0,4.0,,,0.0333111,,,1.0,0.0,,,,,,,1.0,70.0,,,,,,,,6.0,,6.8,,,,,3.0,1.0,,,1.0,,8.0,12.0,20.0,0,1.0,28.0,,2.0,,1.0
2024-25,12436570,36,7,Aston_Villa,Away,827243,220362,Axel Disasi,axel-disasi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436570,36,7,Aston_Villa,Away,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,1.0,4.0,20.0,24.0,,,3.0,,,,1.0,,,2.0,3.0,,,0.00361853,,,1.0,0.0,,,,,,,,90.0,,,,,,,,4.0,,6.9,,,,,6.0,,,,4.0,,8.0,20.0,28.0,0,,37.0,,3.0,,
2024-25,12436570,36,7,Aston_Villa,Away,833956,199796,Matty Cash,matty-cash,D,False,,,1.0,3.0,5.0,8.0,,,1.0,,,,1.0,,,1.0,5.0,,,0.00247066,0.0391,0.2664,,0.0,,,,,,,,90.0,1.0,1.0,,,,,,15.0,,7.5,,,,,3.0,,1.0,,2.0,,6.0,10.0,15.0,1,3.0,41.0,1.0,2.0,,2.0
2024-25,12436570,36,7,Aston_Villa,Away,864169,244954,Pau Torres,pau-torres,D,True,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,7.5e-07,,,,0.0,,,,,,,,20.0,,,,,,,,1.0,,6.5,,,,,1.0,,,,1.0,,1.0,1.0,2.0,0,,4.0,,,,
2024-25,12436570,36,7,Aston_Villa,Away,976263,441302,Ian Maatsen,ian-maatsen,D,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,,
2024-25,12436570,36,7,Aston_Villa,Away,1457536,606798,Andrés García,andres-garcia,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436577,37,7,Aston_Villa,Home,96538,101188,Lucas Digne,lucas-digne,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436577,37,7,Aston_Villa,Home,303638,149484,Tyrone Mings,tyrone-mings,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436577,37,7,Aston_Villa,Home,827243,220362,Axel Disasi,axel-disasi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436577,37,7,Aston_Villa,Home,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,2.0,59.0,29.0,88.0,,,5.0,,,,,,,2.0,4.0,,,0.119278,0.346,0.7307,2.0,0.0,1.0,,,,1.0,1.0,,90.0,2.0,,,,,,,2.0,,8.4,,,,,3.0,,,,3.0,1.0,61.0,29.0,90.0,2,2.0,100.0,,2.0,,1.0
2024-25,12436577,37,7,Aston_Villa,Home,833956,199796,Matty Cash,matty-cash,D,False,,,,23.0,22.0,45.0,,1.0,7.0,,,,1.0,,,1.0,6.0,,,0.0231923,0.0583,,,0.0,,,,,1.0,,,90.0,,,,,,,,13.0,,7.3,,,1.0,,2.0,2.0,4.0,,1.0,,32.0,24.0,52.0,1,2.0,77.0,1.0,1.0,2.0,1.0
2024-25,12436577,37,7,Aston_Villa,Home,864169,244954,Pau Torres,pau-torres,D,False,,,5.0,58.0,56.0,114.0,1.0,,7.0,,,,1.0,,,2.0,1.0,,,0.0727298,,,,0.0,,,,,,1.0,,90.0,,,,,,,,9.0,,7.5,,,,,3.0,,2.0,,9.0,,65.0,57.0,120.0,0,1.0,128.0,1.0,,,1.0
2024-25,12436577,37,7,Aston_Villa,Home,976263,441302,Ian Maatsen,ian-maatsen,D,False,,,,38.0,18.0,56.0,,1.0,3.0,,,1.0,1.0,,2.0,5.0,5.0,,,0.130485,0.0753,,1.0,0.0,,,,,,1.0,,90.0,,,,,,,,16.0,,7.5,,,1.0,,1.0,3.0,3.0,,1.0,,50.0,18.0,65.0,2,2.0,86.0,1.0,,2.0,2.0
2024-25,12436577,37,7,Aston_Villa,Home,1457536,606798,Andrés García,andres-garcia,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436540,38,7,Aston_Villa,Away,96538,101188,Lucas Digne,lucas-digne,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436540,38,7,Aston_Villa,Away,303638,149484,Tyrone Mings,tyrone-mings,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436540,38,7,Aston_Villa,Away,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,,5.0,13.0,18.0,1.0,,,,,,,,,1.0,,,,0.00131255,,,,0.0,,,,,2.0,,,90.0,,1.0,,,,,,2.0,,6.5,,,,,4.0,,,,2.0,,5.0,15.0,20.0,0,,28.0,,,,
2024-25,12436540,38,7,Aston_Villa,Away,833956,199796,Matty Cash,matty-cash,D,False,,,,10.0,15.0,25.0,1.0,2.0,9.0,,,,,,1.0,4.0,9.0,,,0.0077677,0.0622,0.0378,2.0,0.0,,,,,1.0,,,90.0,1.0,,,,,,,20.0,,7.0,,,,,4.0,2.0,2.0,,7.0,,19.0,22.0,39.0,1,4.0,66.0,1.0,1.0,2.0,2.0
2024-25,12436540,38,7,Aston_Villa,Away,864169,244954,Pau Torres,pau-torres,D,False,,,3.0,4.0,19.0,23.0,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,,,0.00125674,,,,0.0,,,,,1.0,,,90.0,,1.0,,,,,,7.0,,6.5,,,,,6.0,,,,6.0,,6.0,22.0,28.0,0,,39.0,1.0,,,
2024-25,12436540,38,7,Aston_Villa,Away,976263,441302,Ian Maatsen,ian-maatsen,D,False,,,1.0,6.0,11.0,17.0,,1.0,3.0,,,,,,2.0,6.0,1.0,,1.0,0.0221603,,,1.0,0.0,,,,,,,,90.0,,,1.0,,,,,14.0,,5.3,,,,,4.0,3.0,,,3.0,,9.0,14.0,23.0,0,,38.0,1.0,,,
2024-25,12436540,38,7,Aston_Villa,Away,1457536,606798,Andrés García,andres-garcia,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
