season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025016,1,7,Aston_Villa,Home,96538,101188,Lucas Digne,lucas-digne,D,False,1.0,,1.0,10.0,8.0,18.0,3.0,1.0,,3.0,,,,1.0,,,,6.0,3.0,,,0.0102898,,,2.0,0.0,,,,,2.0,,,0.68,4.52,1.58,0.22,3.59,90.0,,,,,,,17.0,,,6.7,,,,,,3.0,,2.0,,6.0,,14.0,13.0,27.0,,,0,2.0,49.0,1.0,,,1.0
2025-26,14025016,1,7,Aston_Villa,Home,303638,149484,Tyrone Mings,tyrone-mings,D,False,,,2.0,10.0,25.0,35.0,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,,0.00357327,,,,0.0,,,,,1.0,,,0.44,4.43,1.55,0.17,3.13,90.0,,1.0,,,,,7.0,,,7.0,,,,,,3.0,,,,5.0,,13.0,28.0,41.0,,,0,,49.0,,1.0,,
2025-26,14025016,1,7,Aston_Villa,Home,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,1.0,14.0,16.0,30.0,,1.0,,1.0,,,,,,,,2.0,2.0,,,0.0081678,,,1.0,0.0,,,,,,,,0.25,3.37,0.95,0.11,2.09,66.0,,,,,,,4.0,,,6.5,,,,,,3.0,1.0,,,2.0,,16.0,17.0,33.0,,,0,,39.0,,1.0,,
2025-26,14025016,1,7,Aston_Villa,Home,833956,199796,Matty Cash,matty-cash,D,False,,,1.0,5.0,5.0,10.0,2.0,,,2.0,,,,,,,,3.0,4.0,,,0.00334747,,,1.0,0.0,,,,,1.0,,,0.69,4.95,1.39,0.25,2.88,90.0,,5.0,,,,,10.0,,,7.6,,,,,,3.0,,4.0,,3.0,,8.0,5.0,13.0,,,0,2.0,42.0,,2.0,,1.0
2025-26,14025016,1,7,Aston_Villa,Home,864169,244954,Pau Torres,pau-torres,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,976263,441302,Ian Maatsen,ian-maatsen,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025068,2,7,Aston_Villa,Away,96538,101188,Lucas Digne,lucas-digne,D,False,1.0,,,16.0,7.0,23.0,1.0,1.0,6.0,2.0,,,,1.0,,,,3.0,4.0,,,0.155706,,,,0.0,,,,,,,,,,,,,64.0,,,,,,,12.0,0.0,,6.5,,,,,40.206246674428,1.0,1.0,4.0,,,,21.0,9.0,30.0,17.5355514553,,0,1.0,50.0,,2.0,,1.0
2025-26,14025068,2,7,Aston_Villa,Away,303638,149484,Tyrone Mings,tyrone-mings,D,False,,,3.0,39.0,36.0,75.0,2.0,8.0,38.0,6.0,,,1.0,,,,,4.0,9.0,,,0.0314255,0.1104,,1.0,0.0,,,,,2.0,1.0,,,,,,,90.0,,,,,,,9.0,1.0,,7.2,,,1.0,,309.9477169666,3.0,2.0,,,7.0,,45.0,38.0,83.0,138.85057763192,27.071186822893,2,,98.0,,1.0,1.0,
2025-26,14025068,2,7,Aston_Villa,Away,833956,199796,Matty Cash,matty-cash,D,False,,,,37.0,25.0,62.0,3.0,1.0,27.0,5.0,,,,2.0,,,,6.0,5.0,,,0.232072,,,,0.0,,,,,,2.0,,,,,,,90.0,,,,,,,17.0,2.0,,6.8,,,,,246.21698246662,3.0,1.0,7.0,,3.0,,39.0,28.0,67.0,117.74202206932,56.815163763592,0,3.0,92.0,,1.0,,3.0
2025-26,14025068,2,7,Aston_Villa,Away,864169,244954,Pau Torres,pau-torres,D,False,,,7.0,44.0,50.0,94.0,2.0,1.0,47.0,8.0,,,1.0,1.0,,,1.0,5.0,3.0,,,0.133776,0.0742,,,0.0,,,,,,,,,,,,,90.0,,1.0,,,,,14.0,4.0,,6.8,,,,,470.44421085936,,1.0,,,11.0,,53.0,52.0,105.0,305.10444735783,88.337089042512,1,2.0,116.0,1.0,,,1.0
