season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437080,1,35,West_Bromwich_Albion,Home,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,10599,9089,Ben Foster,ben-foster,G,False,,,5.0,4.0,2.0,6.0,,,10.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,90.0,,,,,,14.0,,7.0,1.0,2.0,,,,,,,19.0,,15.0,5.0,20.0,0,1.0,26.0,,,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,10599,9089,Ben Foster,ben-foster,G,False,,,11.0,11.0,1.0,12.0,,1.0,4.0,,,,,,,,,2.0,,,,,,1.0,,,,90.0,,,,,,19.0,,6.8,,,,,,,,,29.0,,28.0,2.0,30.0,0,,35.0,,2.0,,
2017-18,7437793,3,35,West_Bromwich_Albion,Home,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437793,3,35,West_Bromwich_Albion,Home,10599,9089,Ben Foster,ben-foster,G,False,,,3.0,3.0,7.0,10.0,,1.0,5.0,,,,,,,,,1.0,,,,,,3.0,,,,90.0,,,,,,13.0,1.0,6.6,,1.0,,,2.0,,,,16.0,,15.0,8.0,23.0,0,,30.0,,,,
2017-18,7437790,4,35,West_Bromwich_Albion,Away,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437790,4,35,West_Bromwich_Albion,Away,10599,9089,Ben Foster,ben-foster,G,False,,,3.0,2.0,18.0,20.0,,,13.0,,,,,,,,,,,,,,,2.0,,,,90.0,,,,,,16.0,,6.1,1.0,3.0,,,1.0,,,,19.0,,18.0,18.0,36.0,0,,43.0,,,,
2017-18,7437803,5,35,West_Bromwich_Albion,Home,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437803,5,35,West_Bromwich_Albion,Home,10599,9089,Ben Foster,ben-foster,G,False,,,6.0,6.0,7.0,13.0,,,6.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,90.0,,,,,,20.0,,6.8,,1.0,,,,,,,26.0,,24.0,9.0,33.0,0,,35.0,,,,
