playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,throughBalls,cornersTakenInclShortCorners,cleanSheets,successfulCrossesAndCorners,penaltiesConceded,successfulLaunches,blocks,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,throwInsToOwnPlayer,hitWoodwork,unsuccessfulLaunches,overruns,throwInsToOppositionPlayer,lastPlayerTackle,headedGoals,expectedGoalsFreekick,unsuccessfulLayoffs,freekickTotal,attemptsFromSetPieces,secondGoalAssists,successfulCornersIntoBox,redCards2ndYellow,ownGoalScored,clearancesOffTheLine,penaltiesTaken,leftFootGoals,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
39155,Adam Lallana,Midfielder,Brighton,36,England,2020-21,97.0,2.5814,60.0,0.0,8.0,5.0,1.2261,28.0,14.0,116.0,30.0,1.0,18.0,,29.0,16.0,138.0,9.0,923.0,1.0,3.0,0.0,5.0,14.0,37.0,,4.0,1588.0,4.0,27.0,76.0,1.0,29.0,66.0,767.0,61.0,3.0,14.576,24.0,12.0,18.0,3.0,70.0,239.0,20.0,0.0,173.0,15.0,1.0,249.0,117.0,30.0,,1.0,15.0,10.0,447.0,17.0,10.0,25.0,3.0,136.0,10.0,0.0,907.0,9.0,8.0,201.0,13.0,18.0,258.0,18.0,177.0,1166.0,9.0,5.0,340.0,8.0,3.0,1.602,0.0,22.0,32.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,15.0,1.0,18.0,5.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243016,Alexis Mac Allister,Midfielder,Brighton,36,Argentina,2020-21,90.0,1.7377,44.0,0.0,13.0,3.0,0.3144,26.0,11.0,65.0,21.0,1.0,14.0,,24.0,13.0,76.0,8.0,396.0,1.0,,1.0,9.0,8.0,28.0,2.0,,1116.0,,20.0,64.0,,32.0,56.0,304.0,34.0,,10.5352,14.0,2.0,14.0,4.0,70.0,143.0,15.0,0.0,154.0,21.0,0.0,103.0,67.0,21.0,2.0,1.0,14.0,10.0,208.0,14.0,11.0,26.0,4.0,126.0,8.0,0.0,388.0,8.0,11.0,148.0,12.0,16.0,74.0,19.0,76.0,616.0,8.0,9.0,112.0,12.0,1.0,1.2791,1.0,11.0,16.0,,3.0,1.0,2.0,,,,4.0,9.0,,16.0,,,2.0,4.0,,,,0.06,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
66242,Davy Pröpper,Midfielder,Brighton,36,Netherlands,2020-21,14.0,0.24,2.0,0.0,2.0,2.0,0.2452,6.0,2.0,22.0,7.0,,,,1.0,2.0,23.0,3.0,93.0,,,0.0,1.0,5.0,7.0,1.0,1.0,211.0,1.0,4.0,11.0,,5.0,8.0,66.0,3.0,,2.107,,,2.0,1.0,10.0,19.0,,0.0,25.0,3.0,0.0,34.0,15.0,7.0,1.0,,1.0,1.0,39.0,2.0,3.0,6.0,1.0,18.0,3.0,0.0,93.0,,2.0,35.0,5.0,2.0,19.0,1.0,21.0,124.0,2.0,1.0,31.0,1.0,,0.1812,0.0,1.0,5.0,,,,,,,1.0,,1.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243505,Jakub Moder,Midfielder,Brighton,36,Poland,2020-21,55.0,0.3243,20.0,0.0,5.0,3.0,0.2671,15.0,8.0,54.0,12.0,,3.0,,10.0,7.0,70.0,10.0,263.0,,2.0,0.0,1.0,5.0,19.0,1.0,2.0,648.0,2.0,12.0,34.0,1.0,26.0,27.0,188.0,23.0,,6.6794,3.0,7.0,10.0,4.0,43.0,92.0,3.0,0.0,89.0,11.0,0.0,82.0,35.0,12.0,1.0,,8.0,8.0,131.0,9.0,10.0,18.0,4.0,70.0,7.0,0.0,262.0,5.0,7.0,115.0,7.0,9.0,37.0,12.0,52.0,399.0,4.0,1.0,63.0,7.0,,0.7717,0.0,16.0,17.0,1.0,,,,1.0,,2.0,1.0,3.0,,5.0,9.0,,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440241,Jensen Weir,Midfielder,Brighton,36,England,2020-21,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486672,Moisés Caicedo,Midfielder,Brighton,36,Ecuador,2020-21,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60307,Pascal Groß,Midfielder,Brighton,36,Germany,2020-21,119.0,5.144,63.0,0.0,15.0,7.0,3.578,45.0,17.0,194.0,34.0,8.0,12.0,1.0,30.0,27.0,262.0,51.0,1424.0,3.0,5.0,0.0,9.0,7.0,65.0,1.0,3.0,2481.0,3.0,43.0,92.0,1.0,51.0,70.0,1069.0,68.0,3.0,23.4434,62.0,15.0,28.0,6.0,76.0,240.0,16.0,1.0,211.0,21.0,3.0,395.0,149.0,34.0,1.0,3.0,21.0,11.0,717.0,27.0,152.0,28.0,6.0,146.0,22.0,0.0,1366.0,10.0,30.0,488.0,24.0,9.0,480.0,19.0,309.0,1984.0,3.0,9.0,512.0,10.0,,4.895,3.0,68.0,62.0,22.0,1.0,137.0,10.0,67.0,,6.0,4.0,23.0,83.0,93.0,52.0,2.0,22.0,1.0,4.0,,,0.4234,,6.0,6.0,,34.0,,,,4.0,,3.0,,,,,,,,,,,,,,
465572,Reda Khadra,Midfielder,Brighton,36,Germany,2020-21,1.0,,,0.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,0.0,,1.0,1.0,,,4.0,,1.0,,,,,,1.0,,,,,,,,,,0.0,1.0,,0.0,,,1.0,,,,,,,,,,,,0.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109345,Solly March,Midfielder,Brighton,36,England,2020-21,105.0,2.532,47.0,0.0,10.0,4.0,1.6846,49.0,12.0,110.0,21.0,1.0,4.0,,16.0,19.0,172.0,65.0,717.0,2.0,2.0,1.0,2.0,2.0,37.0,2.0,,1675.0,,22.0,133.0,1.0,56.0,118.0,502.0,52.0,6.0,19.8711,26.0,21.0,25.0,8.0,83.0,250.0,26.0,1.0,238.0,25.0,1.0,216.0,117.0,21.0,2.0,1.0,26.0,19.0,356.0,24.0,101.0,43.0,8.0,201.0,15.0,0.0,704.0,8.0,27.0,370.0,23.0,44.0,63.0,26.0,188.0,1297.0,4.0,2.0,208.0,16.0,2.0,1.6588,0.0,62.0,43.0,10.0,,40.0,4.0,19.0,1.0,4.0,5.0,22.0,25.0,43.0,112.0,1.0,33.0,2.0,25.0,,1.0,0.0731,1.0,1.0,1.0,,8.0,,,,,,,,,,,,,,,,,,,,
235382,Steven Alzate,Midfielder,Brighton,36,Colombia,2020-21,58.0,0.3145,32.0,0.0,4.0,2.0,1.0812,17.0,3.0,40.0,15.0,,4.0,,15.0,10.0,44.0,2.0,437.0,1.0,1.0,1.0,3.0,5.0,20.0,1.0,,897.0,,13.0,38.0,1.0,12.0,31.0,371.0,12.0,2.0,11.28,11.0,9.0,17.0,1.0,45.0,167.0,6.0,1.0,96.0,7.0,0.0,78.0,46.0,15.0,1.0,1.0,9.0,8.0,243.0,16.0,2.0,17.0,1.0,76.0,7.0,0.0,435.0,1.0,,77.0,8.0,8.0,102.0,20.0,90.0,564.0,6.0,3.0,151.0,10.0,,0.819,2.0,4.0,15.0,1.0,,,3.0,1.0,,2.0,1.0,8.0,,22.0,9.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
