playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,goalKicks,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalAssists,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCrossesOpenPlay,expectedGoalsFreekick,overruns,throughBalls,successfulLayoffs,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,successfulCornersIntoBox,homeGoals,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,shotsBlockedOutsideBox,rightFootGoals,redCards2ndYellow,hitWoodwork,secondGoalAssists,setPiecesGoals,handballsConceded,penaltiesTaken,headedGoals,penaltyGoals,foulWonPenalty,throwInsToOppositionPlayer,lastPlayerTackle,ownGoalScored
513433,Brajan Gruda,Midfielder,Brighton,36,Germany,2024-25,52.0,1.9327,0.0,1.0,5.0,1.4445,16.0,10.0,40.0,21.0,8.0,46.0,6.0,212.0,1.0,,13.0,8.0,,2.0,681.0,2.0,5.0,44.0,1.0,,11.0,41.0,159.0,51.0,3.0,13.3583,19.0,,5.0,15.0,,47.0,31.0,12.0,0.0,96.0,8.0,66.0,26.0,21.0,8.0,12.0,143.0,14.0,18.0,33.0,,88.0,3.0,0.0,,204.0,5.0,4.0,113.0,8.0,13.0,,66.0,7.0,2.0,,7.0,49.0,394.0,8.0,3.0,34.0,3.0,1.2064,0.0,6.0,12.0,,,4.0,,,,,,,,,,,1.0,0.1313,2.0,2.0,5.0,1.0,1.0,1.0,17.0,2.0,11.0,1.0,7.0,0.0,2.0,1.0,2.0,2.0,9.0,10.0,1.0,,,,,,,,,,,,,
535301,Carlos Baleba,Midfielder,Brighton,36,Cameroon,2024-25,160.0,1.2101,1.0,18.0,11.0,3.1052,79.0,26.0,110.0,34.0,31.0,157.0,6.0,1300.0,,10.0,3.0,66.0,4.0,3.0,2670.0,3.0,27.0,199.0,4.0,2.0,50.0,160.0,1078.0,14.0,8.0,37.5864,20.0,11.0,43.0,39.0,1.0,133.0,344.0,48.0,1.0,359.0,36.0,296.0,197.0,34.0,33.0,20.0,560.0,35.0,6.0,62.0,1.0,293.0,39.0,0.0,9.0,1280.0,15.0,5.0,271.0,46.0,33.0,11.0,409.0,40.0,46.0,,65.0,251.0,1837.0,15.0,19.0,586.0,21.0,3.0393,6.0,47.0,43.0,,,1.0,,,,,,,,1.0,,,3.0,0.0868,5.0,7.0,19.0,3.0,2.0,17.0,,5.0,3.0,,,1.0,5.0,2.0,1.0,1.0,,3.0,17.0,1.0,1.0,1.0,1.0,,,,,,,,,
514254,Diego Gómez,Midfielder,Brighton,36,Paraguay,2024-25,37.0,1.1543,0.0,2.0,3.0,1.2762,21.0,7.0,43.0,16.0,4.0,51.0,4.0,289.0,1.0,,12.0,14.0,,2.0,512.0,2.0,4.0,40.0,3.0,,22.0,30.0,233.0,11.0,2.0,9.5092,9.0,1.0,10.0,13.0,,33.0,81.0,3.0,0.0,77.0,13.0,69.0,32.0,16.0,8.0,6.0,127.0,10.0,8.0,15.0,,63.0,10.0,0.0,,278.0,4.0,1.0,86.0,13.0,6.0,,62.0,8.0,8.0,,5.0,77.0,422.0,4.0,1.0,115.0,7.0,0.9464,0.0,8.0,16.0,,,,,,,,,,,,,,1.0,0.084,2.0,4.0,6.0,1.0,1.0,2.0,6.0,,4.0,,2.0,0.0,,,2.0,2.0,3.0,1.0,2.0,1.0,,,,,,,,,1.0,,,
597320,Harry Howell,Midfielder,Brighton,36,England,2024-25,1.0,0.0504,0.0,,,,1.0,,1.0,1.0,,1.0,,9.0,,,1.0,,,,6.0,,,1.0,,,1.0,1.0,8.0,3.0,,,,,,,,1.0,1.0,,0.0,2.0,1.0,,,1.0,,,5.0,,,,,2.0,,0.0,,9.0,,,2.0,1.0,,,5.0,,,,,3.0,12.0,,,3.0,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532529,Jack Hinshelwood,Midfielder,Brighton,36,England,2024-25,60.0,1.4998,0.0,4.0,10.0,4.0719,27.0,14.0,102.0,26.0,22.0,140.0,12.0,943.0,,,4.0,36.0,2.0,5.0,1846.0,5.0,16.0,58.0,5.0,,18.0,38.0,769.0,36.0,4.0,27.193,15.0,4.0,37.0,30.0,2.0,44.0,259.0,9.0,2.0,118.0,7.0,243.0,63.0,26.0,8.0,8.0,358.0,25.0,21.0,11.0,2.0,82.0,20.0,0.0,,912.0,4.0,3.0,205.0,19.0,2.0,3.0,245.0,18.0,16.0,,34.0,196.0,1222.0,10.0,18.0,451.0,5.0,2.4211,5.0,38.0,43.0,,,2.0,,,,,,,,,,,3.0,,,,22.0,5.0,3.0,2.0,8.0,,6.0,1.0,2.0,2.0,,,,,4.0,61.0,2.0,4.0,,,,,1.0,,1.0,,,14.0,,
15157,James Milner,Midfielder,Brighton,36,England,2024-25,4.0,0.155,0.0,,1.0,,5.0,2.0,11.0,4.0,3.0,14.0,2.0,65.0,,,1.0,1.0,,1.0,173.0,1.0,1.0,7.0,,,3.0,7.0,50.0,4.0,,0.7631,4.0,,2.0,1.0,,3.0,6.0,1.0,0.0,11.0,2.0,29.0,2.0,4.0,3.0,,32.0,1.0,5.0,,,10.0,,0.0,,59.0,1.0,,19.0,2.0,1.0,2.0,18.0,3.0,2.0,,1.0,12.0,94.0,3.0,1.0,22.0,2.0,0.1639,1.0,3.0,2.0,,,,,,,,,,,,,,1.0,,,2.0,4.0,,,,6.0,,3.0,,2.0,,,,,,3.0,,,,,,,,,,,,,,,
441192,Jeremy Sarmiento,Midfielder,Brighton,36,Ecuador,2024-25,,0.0021,0.0,,,,,,,1.0,,,,6.0,,,1.0,,,,8.0,,,,,,,,6.0,,,,,,,,,,2.0,,0.0,,,1.0,1.0,1.0,,,3.0,,,,,,,0.0,,6.0,,,1.0,,,,,,,,,3.0,8.0,,,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567121,Joe Knight,Midfielder,Brighton,36,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451340,Kaoru Mitoma,Midfielder,Brighton,36,Japan,2024-25,191.0,4.0355,0.0,12.0,27.0,10.1213,45.0,45.0,154.0,36.0,28.0,171.0,64.0,890.0,5.0,,8.0,54.0,3.0,15.0,2608.0,15.0,27.0,147.0,6.0,,84.0,120.0,703.0,169.0,5.0,34.9858,33.0,1.0,7.0,40.0,9.0,164.0,332.0,24.0,5.0,338.0,45.0,208.0,99.0,36.0,18.0,74.0,532.0,34.0,64.0,97.0,9.0,284.0,27.0,0.0,,890.0,18.0,32.0,397.0,27.0,52.0,3.0,62.0,40.0,14.0,,16.0,288.0,1479.0,14.0,6.0,198.0,24.0,9.1273,1.0,17.0,35.0,,,4.0,,,,,,,,,,,11.0,,8.0,9.0,31.0,10.0,6.0,3.0,,2.0,11.0,4.0,,4.0,2.0,2.0,,,,19.0,3.0,6.0,,1.0,,,3.0,,2.0,,,,,
467779,Mats Wieffer,Midfielder,Brighton,36,Netherlands,2024-25,79.0,1.0077,0.0,1.0,4.0,1.6724,58.0,8.0,77.0,25.0,10.0,88.0,10.0,647.0,1.0,,15.0,59.0,2.0,2.0,1008.0,2.0,25.0,107.0,1.0,1.0,30.0,73.0,539.0,24.0,2.0,18.4827,12.0,,25.0,22.0,,54.0,126.0,10.0,0.0,186.0,16.0,178.0,68.0,25.0,24.0,7.0,314.0,21.0,10.0,16.0,,127.0,34.0,0.0,,634.0,4.0,2.0,141.0,34.0,7.0,2.0,236.0,23.0,17.0,,20.0,107.0,907.0,5.0,5.0,248.0,16.0,0.7548,6.0,11.0,27.0,,,4.0,,,,,,,,,,,3.0,,2.0,,13.0,1.0,1.0,1.0,,1.0,3.0,1.0,,0.0,1.0,,,,,32.0,1.0,1.0,,,,,,,,,1.0,4.0,1.0,
