playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,blockedShots,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,oboxBlocked,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,leftsidePasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,successfulPassesOwnHalf,expectedGoals,yellowCards,successfulCrossesOpenPlay,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,goalsConcededOutsideBox,penaltyGoalsConceded,successfulLaunches,totalClearances,oboxTarget,tacklesLost,unsuccessfulCrossesAndCorners,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,successfulLongPasses,throwInsToOwnPlayer,unsuccessfulLaunches,foulAttemptedTackle,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,throwInsToOppositionPlayer,leftFootGoals,headedGoals,offsides,successfulCornersIntoBox,shotsBlockedInBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,secondGoalAssists,expectedGoalsFreekick,cornersTakenInclShortCorners,penaltiesTaken,iboxBlocked,penaltyGoals,foulWonPenalty,unsuccessfulLayoffs,penaltiesConceded,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeFromInsideBox,otherGoals,clearancesOffTheLine,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,drops,crossesNotClaimed,savesMadeParried
39155,Adam Lallana,Midfielder,Brighton,36,England,2021-22,72.0,1.047,45.0,0.0,5.0,14.0,93.0,24.0,11.0,27.0,18.0,123.0,957.0,0.0,5.0,6.0,23.0,1560.0,8.0,80.0,26.0,65.0,814.0,36.0,15.7049,7.0,20.0,64.0,241.0,17.0,0.0,152.0,10.0,0.0,257.0,126.0,24.0,9.0,423.0,17.0,24.0,129.0,15.0,0.0,946.0,10.0,175.0,251.0,208.0,1178.0,9.0,5.0,412.0,1.1005,4.0,1.0,4.0,0.7485,34.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,13.0,2.0,17.0,2.0,5.0,17.0,14.0,6.0,11.0,16.0,20.0,1.0,14.0,7.0,30.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243016,Alexis Mac Allister,Midfielder,Brighton,36,Argentina,2021-22,135.0,2.5795,71.0,0.0,28.0,32.0,135.0,33.0,16.0,31.0,22.0,155.0,995.0,4.0,20.0,11.0,48.0,2116.0,23.0,149.0,53.0,124.0,792.0,52.0,26.1532,29.0,29.0,112.0,268.0,39.0,3.0,284.0,30.0,1.0,292.0,149.0,33.0,21.0,584.0,19.0,44.0,236.0,25.0,0.0,972.0,21.0,297.0,256.0,179.0,1459.0,4.0,20.0,271.0,6.3384,4.0,3.0,11.0,4.3495,65.0,4.0,2.0,11.0,4.0,4.0,15.0,2.0,2.0,10.0,1.0,2.0,16.0,4.0,25.0,51.0,6.0,40.0,21.0,7.0,30.0,13.0,48.0,3.0,6.0,22.0,20.0,30.0,5.0,,,,4.0,11.0,8.0,5.0,4.0,4.0,30.0,3.0,1.0,1.0,0.2046,46.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,,
423649,Enock Mwepu,Midfielder,Brighton,36,Zambia,2021-22,85.0,0.8304,39.0,0.0,3.0,16.0,79.0,18.0,9.0,15.0,12.0,98.0,385.0,2.0,,6.0,38.0,994.0,29.0,61.0,28.0,52.0,281.0,36.0,10.6216,5.0,13.0,56.0,65.0,15.0,1.0,146.0,18.0,0.0,115.0,70.0,18.0,8.0,162.0,7.0,17.0,108.0,9.0,0.0,381.0,8.0,150.0,99.0,106.0,591.0,7.0,,126.0,2.0872,2.0,1.0,8.0,1.0145,22.0,4.0,4.0,6.0,1.0,4.0,1.0,2.0,2.0,6.0,,,16.0,4.0,10.0,6.0,9.0,12.0,15.0,2.0,18.0,12.0,6.0,1.0,6.0,14.0,19.0,25.0,2.0,,,,2.0,,3.0,2.0,,,,,1.0,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
243505,Jakub Moder,Midfielder,Brighton,36,Poland,2021-22,110.0,2.2056,55.0,0.0,10.0,18.0,168.0,28.0,7.0,29.0,19.0,193.0,760.0,0.0,4.0,9.0,62.0,1702.0,37.0,90.0,58.0,65.0,555.0,64.0,22.8394,13.0,23.0,73.0,181.0,11.0,0.0,200.0,23.0,0.0,256.0,107.0,28.0,17.0,377.0,19.0,36.0,138.0,25.0,0.0,752.0,12.0,323.0,162.0,161.0,1114.0,10.0,4.0,198.0,2.59,2.0,6.0,6.0,1.4264,42.0,6.0,3.0,28.0,2.0,,8.0,6.0,6.0,4.0,1.0,1.0,20.0,,17.0,37.0,18.0,25.0,12.0,2.0,19.0,10.0,12.0,6.0,15.0,9.0,25.0,44.0,,1.0,,,,1.0,6.0,,2.0,2.0,6.0,4.0,1.0,,0.1876,7.0,,6.0,,,2.0,,,,,,,,,,,,,,,,
441192,Jeremy Sarmiento,Midfielder,Brighton,36,Ecuador,2021-22,8.0,0.022,2.0,0.0,,,5.0,5.0,,1.0,1.0,5.0,18.0,0.0,,4.0,3.0,45.0,2.0,5.0,2.0,4.0,13.0,1.0,1.8041,,2.0,6.0,6.0,2.0,0.0,13.0,2.0,0.0,4.0,3.0,5.0,3.0,10.0,1.0,4.0,10.0,1.0,0.0,18.0,,14.0,3.0,5.0,35.0,1.0,,3.0,,0.0,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433138,Marc Leonard,Midfielder,Brighton,36,Scotland,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486672,Moisés Caicedo,Midfielder,Brighton,36,Ecuador,2021-22,31.0,0.3977,24.0,0.0,4.0,6.0,42.0,8.0,2.0,15.0,8.0,49.0,274.0,0.0,1.0,,13.0,664.0,4.0,43.0,17.0,34.0,216.0,14.0,5.4288,3.0,6.0,27.0,78.0,11.0,1.0,74.0,14.0,1.0,85.0,56.0,8.0,3.0,126.0,1.0,13.0,61.0,9.0,0.0,274.0,2.0,74.0,62.0,49.0,390.0,4.0,1.0,99.0,0.8838,2.0,,4.0,0.5987,16.0,1.0,1.0,,2.0,1.0,,2.0,2.0,5.0,,1.0,7.0,1.0,6.0,,1.0,10.0,7.0,4.0,7.0,10.0,9.0,,5.0,5.0,7.0,20.0,1.0,,,,1.0,,3.0,1.0,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,
60307,Pascal Groß,Midfielder,Brighton,36,Germany,2021-22,79.0,4.5682,63.0,0.0,7.0,17.0,137.0,29.0,8.0,36.0,24.0,191.0,1111.0,0.0,2.0,5.0,36.0,2043.0,21.0,58.0,56.0,43.0,858.0,65.0,26.3277,56.0,24.0,58.0,193.0,6.0,1.0,137.0,26.0,2.0,328.0,119.0,29.0,9.0,607.0,18.0,24.0,101.0,15.0,0.0,1060.0,8.0,385.0,342.0,248.0,1578.0,10.0,2.0,372.0,2.9317,1.0,12.0,9.0,2.555,28.0,8.0,4.0,59.0,6.0,3.0,59.0,4.0,4.0,6.0,3.0,3.0,21.0,3.0,13.0,130.0,24.0,15.0,9.0,8.0,15.0,18.0,62.0,33.0,19.0,10.0,54.0,41.0,2.0,4.0,2.0,,4.0,40.0,5.0,,1.0,1.0,56.0,,2.0,,0.1337,100.0,1.0,5.0,,,3.0,,,,,,,,,,,,,,,,
109345,Solly March,Midfielder,Brighton,36,England,2021-22,113.0,2.8847,44.0,0.0,3.0,17.0,107.0,31.0,3.0,19.0,17.0,144.0,638.0,0.0,1.0,14.0,43.0,1739.0,26.0,90.0,47.0,73.0,455.0,61.0,24.6703,33.0,23.0,87.0,140.0,20.0,0.0,203.0,19.0,0.0,175.0,92.0,31.0,15.0,363.0,18.0,44.0,160.0,17.0,0.0,623.0,7.0,286.0,145.0,178.0,1042.0,7.0,1.0,157.0,1.2099,1.0,10.0,10.0,0.8774,30.0,1.0,2.0,50.0,1.0,4.0,26.0,6.0,6.0,5.0,1.0,2.0,23.0,4.0,13.0,68.0,31.0,17.0,23.0,3.0,31.0,17.0,39.0,36.0,18.0,20.0,37.0,22.0,,3.0,,,12.0,13.0,2.0,,2.0,2.0,15.0,1.0,3.0,,0.0811,34.0,,2.0,,,1.0,,,,,,,,,,,,,,,,
235382,Steven Alzate,Midfielder,Brighton,36,Colombia,2021-22,22.0,0.2487,14.0,0.0,,1.0,20.0,9.0,2.0,7.0,5.0,29.0,232.0,0.0,,4.0,12.0,405.0,8.0,24.0,5.0,20.0,191.0,3.0,7.5131,2.0,7.0,14.0,63.0,4.0,0.0,46.0,1.0,0.0,66.0,39.0,9.0,2.0,107.0,6.0,5.0,34.0,4.0,0.0,230.0,,42.0,66.0,37.0,304.0,5.0,,96.0,0.0685,0.0,,1.0,0.1431,10.0,1.0,,,,,,1.0,1.0,1.0,,1.0,8.0,,6.0,,,4.0,6.0,1.0,6.0,10.0,12.0,1.0,5.0,3.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209045,Taylor Richards,Midfielder,Brighton,36,England,2021-22,3.0,0.0209,3.0,0.0,1.0,,6.0,2.0,,,,6.0,27.0,0.0,1.0,2.0,1.0,23.0,,3.0,1.0,2.0,19.0,,0.3628,1.0,,3.0,8.0,1.0,0.0,6.0,,0.0,5.0,3.0,2.0,1.0,15.0,,1.0,5.0,1.0,0.0,27.0,,7.0,10.0,4.0,33.0,,1.0,6.0,0.0153,0.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227127,Yves Bissouma,Midfielder,Brighton,36,Mali,2021-22,102.0,0.6707,67.0,0.0,5.0,16.0,100.0,26.0,9.0,45.0,25.0,128.0,1187.0,1.0,4.0,1.0,31.0,2116.0,15.0,145.0,45.0,129.0,1015.0,15.0,27.031,6.0,28.0,87.0,370.0,19.0,0.0,247.0,30.0,0.0,245.0,161.0,26.0,17.0,497.0,23.0,42.0,216.0,16.0,0.0,1170.0,11.0,208.0,377.0,195.0,1594.0,7.0,4.0,562.0,0.934,10.0,,5.0,0.6382,76.0,3.0,2.0,2.0,6.0,4.0,,,,5.0,2.0,2.0,47.0,4.0,27.0,2.0,7.0,49.0,34.0,3.0,30.0,50.0,44.0,2.0,15.0,22.0,28.0,40.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.1666,,,1.0,,,,1.0,,,,,,,,,,,,,,,
