playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,handballsConceded,secondGoalAssists,foulWonPenalty,throwInsToOppositionPlayer,penaltiesTaken,headedGoals,clearancesOffTheLine,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,lastPlayerTackle,otherGoals
449434,Anthony Elanga,Forward,Nott'm Forest,17,Sweden,2024-25,140.0,7.0,24.0,7.3599,19.0,3.0,38.0,632.0,6.0,18.0,3.0,3.0,7.0,11.0,11.0,37.0,3.0,91.0,21.0,3.0,40.5698,39.0,3.0,4.0,47.0,4.0,89.0,38.0,1.0,5.0,39.0,142.0,82.0,6.0,621.0,13.0,455.0,14.0,6.0,202.0,9.0,61.0,11.0,192.0,1216.0,6.0,1.0,120.0,11.0,22.0,13.0,5.1083,0.0,0.2388,7.0,37.0,130.0,11.0,26.0,31.0,141.0,63.0,86.0,61.0,3.0,7.0,43.0,2507.0,7.0,115.0,34.0,480.0,122.0,20.0,35.0,103.0,114.0,255.0,10.0,3.0,124.0,7.0,5.0,414.0,32.0,4.0,194.0,24.0,0.0,31.0,25.0,1.0,6.0,19.0,3.0,7.0,2.0,4.4708,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
209046,Callum Hudson-Odoi,Forward,Nott'm Forest,17,England,2024-25,68.0,11.0,17.0,3.1011,22.0,5.0,31.0,755.0,5.0,8.0,2.0,5.0,6.0,9.0,9.0,10.0,4.0,84.0,2.0,1.0,26.2749,42.0,1.0,6.0,25.0,2.0,92.0,31.0,5.0,,18.0,62.0,41.0,,744.0,9.0,242.0,14.0,,59.0,12.0,3.0,26.0,283.0,1116.0,5.0,2.0,147.0,19.0,20.0,15.0,2.6052,0.0,,4.0,26.0,67.0,2.0,28.0,25.0,86.0,58.0,5.0,13.0,3.0,3.0,17.0,2201.0,1.0,87.0,27.0,643.0,80.0,12.0,23.0,58.0,269.0,155.0,11.0,3.0,144.0,3.0,8.0,539.0,19.0,6.0,142.0,3.0,0.0,11.0,37.0,,13.0,17.0,5.0,7.0,5.0,2.4741,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
475123,Carlos Miguel,Goalkeeper,Nott'm Forest,17,Brazil,2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
60689,Chris Wood,Forward,Nott'm Forest,17,New Zealand,2024-25,212.0,12.0,35.0,16.6908,6.0,2.0,36.0,484.0,20.0,28.0,9.0,2.0,1.0,11.0,11.0,146.0,4.0,34.0,,3.0,40.3387,19.0,2.0,10.0,24.0,8.0,50.0,36.0,9.0,3.0,8.0,,36.0,,484.0,21.0,286.0,5.0,,126.0,25.0,,14.0,117.0,827.0,,1.0,113.0,8.0,31.0,1.0,1.5208,0.0,,,56.0,162.0,3.0,54.0,35.0,170.0,,,240.0,1.0,4.0,1.0,2976.0,7.0,128.0,12.0,300.0,111.0,28.0,37.0,66.0,98.0,340.0,5.0,11.0,143.0,4.0,1.0,202.0,33.0,10.0,100.0,94.0,0.0,12.0,4.0,7.0,5.0,21.0,2.0,3.0,4.0,13.3505,1.0,,,,,3.0,8.0,1.0,3.0,,,,,,,,,,,,,,,,,
513046,Danilo,Midfielder,Nott'm Forest,17,Brazil,2024-25,10.0,,,,8.0,,8.0,117.0,,,,,3.0,,,2.0,,11.0,,,4.685,,3.0,,,0.0,19.0,8.0,,,3.0,3.0,3.0,,117.0,,36.0,4.0,,30.0,2.0,1.0,6.0,24.0,156.0,,,51.0,3.0,10.0,,0.0237,0.0,,,,20.0,,,5.0,23.0,2.0,1.0,3.0,,,,275.0,,12.0,6.0,88.0,,2.0,4.0,8.0,22.0,22.0,1.0,,41.0,,4.0,43.0,4.0,,19.0,1.0,0.0,,3.0,1.0,4.0,5.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
215379,Elliot Anderson,Midfielder,Nott'm Forest,17,England,2024-25,220.0,20.0,7.0,1.9947,92.0,7.0,37.0,1289.0,2.0,4.0,1.0,8.0,4.0,3.0,3.0,30.0,5.0,185.0,21.0,3.0,40.9173,31.0,6.0,12.0,58.0,0.0,207.0,37.0,2.0,,30.0,63.0,79.0,,1257.0,13.0,444.0,56.0,,245.0,49.0,24.0,45.0,272.0,2006.0,1.0,,416.0,61.0,63.0,2.0,3.6287,0.0,,4.0,20.0,167.0,6.0,24.0,33.0,228.0,33.0,48.0,87.0,2.0,2.0,23.0,2742.0,,242.0,74.0,1016.0,80.0,68.0,37.0,190.0,327.0,462.0,39.0,1.0,445.0,2.0,36.0,668.0,32.0,12.0,375.0,57.0,0.0,13.0,36.0,9.0,31.0,20.0,8.0,33.0,30.0,2.1106,10.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
569014,Eric da Silva Moreira,Forward,Nott'm Forest,17,Germany,2024-25,5.0,,,,2.0,,2.0,6.0,,,,,2.0,,,,,2.0,,,0.8249,,,,,0.0,2.0,2.0,,,1.0,,1.0,,6.0,,3.0,2.0,,2.0,,,,3.0,13.0,2.0,,4.0,,1.0,,0.002,0.0,,,,1.0,,,,1.0,,,,,,,28.0,,2.0,,5.0,,,,5.0,,7.0,,,1.0,,,1.0,,,7.0,,0.0,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
114241,Harry Toffolo,Defender,Nott'm Forest,17,England,2024-25,2.0,1.0,,,5.0,,4.0,36.0,,,,1.0,3.0,,,,,5.0,,,1.7023,,,,,0.0,2.0,4.0,,,,4.0,,,36.0,,20.0,3.0,,1.0,1.0,1.0,1.0,5.0,90.0,19.0,,8.0,5.0,1.0,,0.0172,0.0,,,,3.0,,,1.0,8.0,3.0,1.0,1.0,,,,135.0,,6.0,3.0,27.0,2.0,10.0,2.0,2.0,14.0,8.0,,,16.0,,2.0,20.0,2.0,,7.0,1.0,0.0,,,2.0,2.0,,1.0,2.0,1.0,0.0172,1.0,,,,8.0,,,1.0,,,,,,,,,,,,,,,,,,
210462,Ibrahim Sangaré,Midfielder,Nott'm Forest,17,Cote d’Ivoire,2024-25,38.0,,1.0,0.041,28.0,1.0,13.0,320.0,,,,,6.0,,,10.0,1.0,36.0,,1.0,8.129,4.0,1.0,,8.0,0.0,42.0,13.0,,,1.0,,5.0,,310.0,,57.0,14.0,,91.0,15.0,,10.0,47.0,421.0,1.0,,141.0,11.0,19.0,2.0,0.208,0.0,,,1.0,36.0,1.0,3.0,7.0,47.0,,,20.0,,1.0,2.0,590.0,3.0,46.0,15.0,263.0,7.0,13.0,6.0,28.0,76.0,84.0,6.0,,106.0,1.0,14.0,134.0,5.0,,64.0,10.0,0.0,1.0,,4.0,6.0,6.0,,3.0,9.0,0.0187,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
510500,Jota Silva,Forward,Nott'm Forest,17,Portugal,2024-25,101.0,7.0,7.0,1.9939,27.0,1.0,31.0,171.0,3.0,8.0,2.0,2.0,26.0,3.0,3.0,30.0,4.0,60.0,,,16.8003,13.0,4.0,5.0,23.0,0.0,43.0,31.0,2.0,1.0,15.0,17.0,27.0,,170.0,9.0,135.0,14.0,,61.0,24.0,,6.0,36.0,399.0,1.0,1.0,31.0,9.0,14.0,4.0,1.8427,0.0,,6.0,16.0,49.0,1.0,5.0,5.0,58.0,17.0,1.0,51.0,,1.0,4.0,840.0,,81.0,20.0,107.0,48.0,16.0,16.0,71.0,18.0,182.0,8.0,1.0,56.0,1.0,13.0,86.0,12.0,5.0,131.0,21.0,0.0,10.0,10.0,1.0,12.0,5.0,2.0,7.0,12.0,2.1066,5.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
