playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,groundDuelsLost,totalFoulsWon,winningGoal,duels,appearances,gamesPlayed,unsuccessfulDribbles,successfulPassesOppositionHalf,totalPasses,timesTackled,groundDuels,straightRedCards,openPlayPasses,substituteOn,totalLossesOfPossession,leftsidePasses,timePlayed,touches,duelsWon,groundDuelsWon,successfulShortPasses,yellowCards,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,rightsidePasses,putthroughBlockedDistributionWon,forwardPasses,recoveries,penaltiesTaken,tacklesLost,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,aerialDuelsWon,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,backwardPasses,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,penaltyGoalsConceded,successfulLaunches,shotsBlockedInBox,rightFootGoals,leftFootGoals,unsuccessfulCornersIntoBox,successfulLongPasses,throwInsToOwnPlayer,hitWoodwork,secondGoalAssists,successfulCrossesOpenPlay,overruns,goalAssists,foulWonPenalty,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,homeGoals,oboxTarget,iboxBlocked,cornersWon,interceptions,penaltyGoals,headedGoals,handballsConceded,throughBalls,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,throwInsToOppositionPlayer,lastPlayerTackle,clearancesOffTheLine,successfulCornersIntoBox
244930,Alex Mighten,Forward,Nott'm Forest,17,England,2022-23,3.0,0.0012,0.0,3.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,7.0,4.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45124,André Ayew,Forward,Nott'm Forest,17,Ghana,2022-23,35.0,0.0349,0.0,13.0,8.0,0.0,63.0,13.0,13.0,4.0,35.0,72.0,8.0,27.0,0.0,67.0,12.0,31.0,13.0,307.0,119.0,28.0,14.0,53.0,1.0,3.0,1.0,2.0,1.59,5.0,3.0,18.0,1.0,2.0,1.0,19.0,1.0,1.0,1.0,1.0,36.0,2.0,2.0,22.0,2.0,5.0,8.0,7.6635,1.0,7.0,10.0,14.0,5.0,20.0,9.0,1.0,2.0,8.0,1.0,14.0,1.0,3.0,1.0,1.0,3.0,25.0,1.0,1.0,1.0,18.0,1.0,1.0369,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242898,Brennan Johnson,Forward,Nott'm Forest,17,Wales,2022-23,173.0,1.8559,0.0,125.0,21.0,2.0,280.0,38.0,38.0,40.0,209.0,441.0,65.0,214.0,0.0,423.0,5.0,365.0,131.0,2940.0,881.0,107.0,89.0,272.0,6.0,65.0,9.0,27.0,10.2692,34.0,46.0,150.0,13.0,26.0,33.0,164.0,47.0,18.0,5.0,1.0,66.0,16.0,16.0,48.0,14.0,56.0,120.0,50.1586,25.0,4.0,54.0,57.0,29.0,112.0,89.0,3.0,14.0,40.0,48.0,18.0,19.0,20.0,34.0,1.0,37.0,141.0,12.0,5.0,5.0,78.0,17.0,8.6516,14.0,37.0,8.0,1.0,5.0,1.0,4.0,6.0,2.0,1.0,5.0,4.0,2.0,1.0,10.0,10.0,3.0,1.0,3.0,3.0,10.0,3.0,7.0,3.0,4.0,26.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
166325,Cafú,Midfielder,Nott'm Forest,17,Portugal,2022-23,,0.0024,0.0,,,0.0,,1.0,1.0,,1.0,2.0,,,0.0,2.0,1.0,,,6.0,3.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55037,Cheikhou Kouyaté,Midfielder,Nott'm Forest,17,Senegal,2022-23,49.0,0.3304,0.0,41.0,12.0,0.0,114.0,21.0,21.0,1.0,72.0,245.0,10.0,88.0,0.0,241.0,11.0,87.0,57.0,878.0,394.0,65.0,47.0,173.0,3.0,24.0,1.0,5.0,0.8897,29.0,5.0,54.0,2.0,13.0,10.0,60.0,,1.0,1.0,,26.0,1.0,1.0,8.0,9.0,19.0,14.0,17.1047,7.0,23.0,23.0,49.0,12.0,97.0,56.0,,7.0,14.0,,18.0,,22.0,6.0,2.0,22.0,42.0,9.0,1.0,1.0,113.0,14.0,0.3652,6.0,17.0,1.0,0.0,3.0,,,,,,12.0,,,,,1.0,,,,3.0,,,1.0,3.0,,2.0,10.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
60689,Chris Wood,Forward,Nott'm Forest,17,New Zealand,2022-23,69.0,0.2802,0.0,22.0,7.0,2.0,124.0,25.0,25.0,2.0,72.0,177.0,13.0,35.0,0.0,176.0,16.0,104.0,31.0,816.0,266.0,55.0,13.0,106.0,0.0,15.0,3.0,5.0,1.6827,5.0,9.0,66.0,6.0,8.0,9.0,68.0,,6.0,,,89.0,2.0,2.0,47.0,1.0,2.0,25.0,4.0176,6.0,9.0,9.0,50.0,1.0,50.0,21.0,1.0,1.0,8.0,,42.0,4.0,4.0,1.0,3.0,6.0,46.0,10.0,,,37.0,1.0,1.815,2.0,16.0,3.0,2.0,1.0,,1.0,2.0,1.0,,3.0,,,,,,,,,,,4.0,1.0,,1.0,3.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
513046,Danilo,Midfielder,Nott'm Forest,17,Brazil,2022-23,50.0,0.5642,0.0,36.0,3.0,2.0,89.0,13.0,13.0,4.0,80.0,227.0,12.0,71.0,0.0,222.0,1.0,121.0,42.0,979.0,409.0,39.0,35.0,132.0,1.0,31.0,3.0,4.0,1.6445,18.0,12.0,62.0,1.0,16.0,12.0,81.0,3.0,2.0,2.0,,18.0,,,14.0,2.0,38.0,21.0,17.8299,7.0,18.0,17.0,49.0,20.0,105.0,60.0,,11.0,15.0,3.0,4.0,8.0,7.0,14.0,6.0,4.0,31.0,7.0,2.0,6.0,66.0,3.0,1.5358,19.0,25.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,14.0,2.0,,,,2.0,2.0,,,1.0,,,2.0,1.0,1.0,4.0,9.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
172649,Dean Henderson,Goalkeeper,Nott'm Forest,17,England,2022-23,1.0,0.0255,0.0,1.0,1.0,0.0,3.0,18.0,18.0,,70.0,562.0,,2.0,0.0,330.0,,247.0,108.0,1620.0,772.0,2.0,1.0,204.0,2.0,,,,,,,3.0,,,18.0,243.0,,,,,1.0,,,,12.0,,,27.3984,,20.0,31.0,89.0,,365.0,156.0,,,19.0,,1.0,,,,,1.0,,,,89.0,249.0,1.0,,240.0,42.0,,,2.0,20.0,,,,,115.0,,,,,,,,6.0,,,,,,,,,,,,,2.0,18.0,14.0,156.0,3.0,5.0,1.0,2.0,8.0,55.0,3.0,2.0,206.0,57.0,14.0,40.0,,,,,,,
230251,Emmanuel Dennis,Forward,Nott'm Forest,17,Nigeria,2022-23,89.0,0.3993,0.0,73.0,29.0,0.0,169.0,19.0,19.0,26.0,92.0,168.0,50.0,140.0,0.0,167.0,13.0,141.0,13.0,715.0,402.0,80.0,67.0,115.0,3.0,20.0,8.0,7.0,0.8732,17.0,13.0,47.0,1.0,7.0,6.0,49.0,9.0,4.0,2.0,,29.0,4.0,4.0,16.0,3.0,26.0,47.0,11.9951,5.0,3.0,17.0,65.0,12.0,44.0,38.0,,6.0,14.0,9.0,13.0,6.0,11.0,21.0,1.0,15.0,46.0,6.0,2.0,,29.0,9.0,1.8223,2.0,12.0,2.0,0.0,2.0,,6.0,1.0,,,4.0,3.0,1.0,,2.0,,2.0,,,1.0,2.0,,2.0,1.0,6.0,7.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,0.0808,2.0,2.0,,,,
116404,Felipe,Defender,Nott'm Forest,17,Brazil,2022-23,69.0,0.8098,0.0,39.0,11.0,0.0,188.0,16.0,16.0,3.0,113.0,556.0,7.0,106.0,0.0,543.0,1.0,176.0,121.0,1419.0,853.0,119.0,67.0,377.0,4.0,28.0,5.0,1.0,0.0912,42.0,8.0,88.0,1.0,17.0,15.0,150.0,2.0,4.0,,,82.0,1.0,1.0,30.0,3.0,32.0,37.0,29.9194,6.0,89.0,32.0,143.0,21.0,258.0,108.0,,19.0,29.0,2.0,52.0,7.0,23.0,14.0,13.0,15.0,34.0,2.0,,20.0,293.0,10.0,1.1376,62.0,52.0,,,4.0,2.0,5.0,,,,29.0,5.0,,,,,1.0,,,,,,,,5.0,3.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,
450197,George Shelvey,Goalkeeper,Nott'm Forest,17,England,2022-23,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437753,Giulian Biancone,Defender,Nott'm Forest,17,France,2022-23,,0.0002,0.0,,,0.0,4.0,2.0,2.0,,2.0,18.0,,2.0,0.0,18.0,2.0,6.0,5.0,16.0,26.0,4.0,2.0,12.0,0.0,1.0,,,,2.0,,3.0,,1.0,,5.0,1.0,,,,2.0,,,,,,,0.7872,,,1.0,1.0,,11.0,5.0,,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,,1.0,11.0,,,2.0,2.0,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
185253,Gustavo Scarpa,Midfielder,Nott'm Forest,17,Brazil,2022-23,11.0,0.0459,0.0,9.0,8.0,0.0,27.0,6.0,6.0,2.0,30.0,71.0,2.0,24.0,0.0,69.0,4.0,30.0,16.0,180.0,116.0,16.0,15.0,40.0,1.0,1.0,4.0,1.0,0.0211,5.0,3.0,15.0,,,2.0,23.0,3.0,,4.0,2.0,3.0,,,2.0,,9.0,1.0,1.5925,1.0,2.0,1.0,15.0,4.0,34.0,12.0,,3.0,1.0,4.0,1.0,2.0,2.0,2.0,,4.0,6.0,2.0,4.0,3.0,18.0,3.0,0.251,8.0,8.0,,,,1.0,,,,1.0,8.0,3.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
114241,Harry Toffolo,Defender,Nott'm Forest,17,England,2022-23,38.0,0.9374,0.0,24.0,5.0,0.0,76.0,19.0,19.0,5.0,124.0,291.0,11.0,49.0,0.0,286.0,10.0,167.0,16.0,935.0,516.0,38.0,25.0,184.0,2.0,23.0,1.0,2.0,0.1298,17.0,5.0,67.0,,13.0,9.0,101.0,22.0,,1.0,2.0,27.0,2.0,2.0,14.0,5.0,20.0,13.0,18.4593,5.0,30.0,17.0,84.0,8.0,158.0,54.0,,9.0,12.0,23.0,13.0,3.0,8.0,3.0,8.0,10.0,33.0,3.0,1.0,18.0,72.0,5.0,0.2693,34.0,35.0,,,2.0,2.0,,,,1.0,6.0,46.0,,,5.0,1.0,,,1.0,,6.0,,,,,7.0,10.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,19.0,1.0,,1.0
