season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyMiss,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767935,1,20,Southampton,Away,559,17339,Steven Davis,steven-davis,M,False,1.0,,1.0,28.0,29.0,56.0,,,9.0,1.0,,,3.0,,,1.0,5.0,5.0,,,1.0,,,,,5.0,3.0,,90.0,,1.0,,,,,7.3,,,,1.0,1.0,6.0,,4.0,,39.0,30.0,63.0,0,3.0,84.0,,1.0,1.0
2015-16,6767935,1,20,Southampton,Away,1941,10318,Maarten Stekelenburg,maarten-stekelenburg,G,False,,,13.0,11.0,4.0,15.0,,1.0,5.0,,,,,,,,,1.0,,,,,,1.0,,,,,90.0,,,,,,1.0,6.3,,2.0,,1.0,,,,18.0,,15.0,5.0,20.0,0,,25.0,,,
2015-16,6767935,1,20,Southampton,Away,10486,20452,Shane Long,shane-long,F,True,,,,6.0,2.0,8.0,2.0,1.0,1.0,,,,,,,,2.0,2.0,,,,,1.0,,,,,,25.0,1.0,,,,,,7.3,,,1.0,,,,,,,7.0,2.0,9.0,2,,16.0,2.0,1.0,
2015-16,6767935,1,20,Southampton,Away,11601,17784,Graziano Pellè,graziano-pelle,F,False,,,2.0,24.0,2.0,26.0,3.0,5.0,1.0,,,,,,,1.0,5.0,5.0,,,1.0,,1.0,,,3.0,,,90.0,1.0,,,,,,7.3,,,1.0,2.0,,1.0,,2.0,1.0,37.0,3.0,39.0,2,,51.0,1.0,,
2015-16,6767935,1,20,Southampton,Away,24248,80447,Maya Yoshida,maya-yoshida,D,False,,,3.0,7.0,29.0,36.0,,5.0,8.0,,1.0,,2.0,,,,2.0,5.0,,,,,,,,3.0,,,90.0,1.0,1.0,,,,,6.7,,,,8.0,,,,6.0,,10.0,31.0,41.0,1,,58.0,2.0,1.0,
2015-16,6767935,1,20,Southampton,Away,26989,44683,Jay Rodriguez,jay-rodriguez,F,False,,,1.0,8.0,5.0,13.0,2.0,2.0,2.0,,,,,,,,5.0,3.0,,,1.0,,,,,2.0,1.0,,65.0,,,,,,,6.6,,,1.0,,2.0,1.0,,1.0,,11.0,5.0,15.0,1,,25.0,,1.0,
2015-16,6767935,1,20,Southampton,Away,27622,38580,José Fonte,jose-fonte,D,False,,,3.0,9.0,17.0,26.0,,1.0,1.0,,,,,,,,1.0,5.0,,,1.0,,,,,4.0,,,90.0,,,,,,,7.2,,,1.0,10.0,,,,10.0,,17.0,19.0,36.0,1,4.0,57.0,,,
2015-16,6767935,1,20,Southampton,Away,38560,62399,Dušan Tadić,dusan-tadic,F,False,3.0,,2.0,19.0,4.0,20.0,1.0,,5.0,,,2.0,1.0,,,3.0,7.0,7.0,,,2.0,1.0,,,,3.0,6.0,,90.0,,,,,,,8.0,,,1.0,1.0,1.0,6.0,,4.0,,27.0,4.0,25.0,3,5.0,58.0,4.0,1.0,1.0
2015-16,6767935,1,20,Southampton,Away,44760,58822,Cédric Soares,cedric-soares,M,False,2.0,,4.0,9.0,6.0,13.0,1.0,1.0,4.0,,,,,1.0,,1.0,5.0,4.0,,,3.0,1.0,,,,2.0,2.0,,45.0,1.0,1.0,,,,,7.4,,,,2.0,1.0,2.0,,8.0,,15.0,7.0,20.0,1,2.0,43.0,,,1.0
2015-16,6767935,1,20,Southampton,Away,45956,54756,Victor Wanyama,victor-wanyama,M,False,,,1.0,8.0,27.0,35.0,,1.0,12.0,,,,1.0,,,,3.0,1.0,,,2.0,,,,,3.0,,,90.0,,,,,,,6.5,,,,4.0,,,,2.0,,14.0,28.0,42.0,0,,50.0,1.0,,
