season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243395,1,20,Southampton,Away,869910,431131.0,Moussa Djenepo,moussa-djenepo,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,20,Southampton,Away,921216,220598.0,Michael Obafemi,michael-obafemi,F,True,,,,2.0,1.0,3.0,1.0,,1.0,,,,2.0,,2.0,6.0,1.0,,,1.0,,,,,,,,24.0,,,,,,,,,6.0,,6.1,,,,,1.0,,,,,5.0,1.0,6.0,0,,12.0,,,1.0,
2019-20,8243422,2,20,Southampton,Home,19314,40383.0,Fraser Forster,fraser-forster,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243422,2,20,Southampton,Home,20756,40146.0,Ryan Bertrand,ryan-bertrand,D,False,,,1.0,8.0,4.0,12.0,4.0,1.0,3.0,,,,,,,4.0,1.0,,,,,,,,,,,77.0,,,,,,,,,16.0,,6.2,,,,,,3.0,,5.0,1.0,20.0,5.0,22.0,0,,40.0,2.0,,,
2019-20,8243422,2,20,Southampton,Home,24248,80447.0,Maya Yoshida,maya-yoshida,D,False,,,5.0,9.0,12.0,21.0,1.0,2.0,3.0,,2.0,,1.0,,,2.0,3.0,,,,,,,,,,,90.0,1.0,,,,,,,,10.0,,6.5,,,1.0,4.0,,,,10.0,,16.0,14.0,30.0,2,1.0,40.0,,,,1.0
2019-20,8243422,2,20,Southampton,Home,44760,58822.0,Cédric Soares,cedric-soares,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243422,2,20,Southampton,Home,69416,78056.0,Oriol Romeu,oriol-romeu,M,False,1.0,,1.0,7.0,9.0,15.0,1.0,,6.0,1.0,,,1.0,,,5.0,5.0,,,3.0,,,,,1.0,1.0,,64.0,,1.0,,,,,,,8.0,,7.0,,,,,,1.0,,4.0,,13.0,11.0,23.0,0,5.0,33.0,,,,3.0
2019-20,8243422,2,20,Southampton,Home,115346,83283.0,Nathan Redmond,nathan-redmond,M,False,,,1.0,13.0,2.0,15.0,1.0,1.0,2.0,,,,2.0,,,3.0,4.0,,,1.0,,,,,1.0,2.0,,90.0,,,,,,,,,8.0,,6.9,,,2.0,,2.0,,,3.0,1.0,19.0,2.0,21.0,2,1.0,32.0,1.0,,2.0,1.0
2019-20,8243422,2,20,Southampton,Home,117083,91047.0,Stuart Armstrong,stuart-armstrong,M,True,,,,4.0,3.0,7.0,1.0,,4.0,,,,1.0,,,2.0,,,,,,,,,,,,22.0,,,,,,,,,2.0,,6.3,,,,,,,,,,5.0,3.0,8.0,0,,13.0,1.0,,,
2019-20,8243422,2,20,Southampton,Home,120538,93100.0,Jannik Vestergaard,jannik-vestergaard,D,False,1.0,,2.0,5.0,8.0,12.0,,4.0,5.0,,,,1.0,,,1.0,4.0,,,,,,,,2.0,1.0,,90.0,,,,,,,,,12.0,,6.5,,,,7.0,,1.0,,7.0,,12.0,11.0,22.0,0,,40.0,,,,
