matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855175,1,2016-08-15 20:00:00,8,Chelsea,Home,218.0,24.0,4.0,5.0,2.0,4.0,,267.0,,,4.0,4.0,14.0,35.0,480.0,1.0,,23.0,25.0,24.0,7.0,3.0,4.0,,,,,1.0,2.0,,,,,9.0,1.0,,,,,,12.0,4.0,3.0,9.0,7.0,91.0,65.0,,,1.0,2.0,13.0,4.0,3.0,,2.0,7.0,12.0,2.0,,8.0,2.0,68.0,71.0,2.0,16.0,13.0,,,86.0,16.0,14.0,1.0,,6.0,2.0,2.0,195.0,1.0,,,1.0,,,,1.0,,,13.0,,7.0,7.0,2.0,4.0,131.0,70.0,53.0,1.0,1.0,4.0,7.0,6.0,538.0,2.0,3.0,,93.0,71.0,38.0,,,,1.0,146.0,146.0,6.0,17.0,36.0,61.7,,,,,13.0,0.0,139.0,1.0,1.0,2.0,,,6.0,,3.0,133.0,464.0,6.0,11.0,230.0,36.0,17.0,33.0,5.0,20.0,16.0,,185.0,8.0,346.0,,,16.0,14.0,58.0,1.0,556.0,1.0,0.0,16.0,18.0,3.0,29.0,5.0,770.0,33.0,20.0,16.0,7.0,10.0,0.0
855189,2,2016-08-20 15:00:00,8,Chelsea,Away,224.0,21.0,1.0,3.0,2.0,6.0,,267.0,4.0,,3.0,,13.0,35.0,488.0,,1.0,15.0,9.0,12.0,8.0,,,1.0,,,,1.0,2.0,,,,1.0,11.0,,,1.0,,,,4.0,3.0,3.0,6.0,7.0,76.0,57.0,2.0,1.0,2.0,2.0,16.0,3.0,9.0,,1.0,5.0,12.0,7.0,,11.0,1.0,52.0,58.0,2.0,13.0,11.0,,,65.0,10.0,19.0,1.0,,5.0,2.0,2.0,184.0,1.0,,1.0,1.0,,1.0,4.0,2.0,1.0,1.0,13.0,1.0,15.0,15.0,,3.0,152.0,61.0,47.0,,,5.0,4.0,4.0,536.0,2.0,1.0,,62.0,92.0,43.0,,,,,140.0,140.0,6.0,35.0,13.0,62.4,1.0,,3.0,,16.0,0.0,148.0,1.0,,1.0,,1.0,6.0,,3.0,156.0,465.0,8.0,9.0,243.0,33.0,18.0,25.0,4.0,25.0,21.0,2.0,196.0,10.0,342.0,1.0,,11.0,14.0,55.0,2.0,560.0,1.0,0.0,13.0,17.0,2.0,19.0,3.0,767.0,34.0,14.0,11.0,5.0,11.0,0.0
855192,3,2016-08-27 15:00:00,8,Chelsea,Home,274.0,29.0,2.0,3.0,2.0,3.0,,274.0,2.0,,6.0,3.0,21.0,48.0,545.0,,,20.0,15.0,15.0,9.0,5.0,7.0,1.0,,1.0,,,1.0,,,,,13.0,,,,,,,4.0,4.0,2.0,14.0,8.0,102.0,65.0,2.0,2.0,1.0,3.0,18.0,5.0,7.0,,,9.0,16.0,6.0,,5.0,,44.0,44.0,3.0,14.0,9.0,,,70.0,6.0,9.0,,,1.0,,1.0,208.0,3.0,,1.0,3.0,,,4.0,3.0,1.0,,12.0,,10.0,10.0,1.0,6.0,164.0,82.0,45.0,5.0,2.0,4.0,13.0,10.0,606.0,2.0,1.0,,95.0,71.0,39.0,,,,,136.0,136.0,4.0,30.0,25.0,60.1,,,,1.0,18.0,0.0,152.0,,,,,1.0,7.0,,3.0,191.0,529.0,10.0,17.0,293.0,42.0,17.0,23.0,5.0,26.0,22.0,1.0,223.0,8.0,359.0,1.0,,18.0,21.0,79.0,1.0,626.0,,0.0,22.0,9.0,,22.0,2.0,813.0,51.0,11.0,11.0,9.0,8.0,0.0
855210,4,2016-09-11 16:00:00,8,Chelsea,Away,215.0,26.0,7.0,11.0,4.0,5.0,,212.0,2.0,,5.0,5.0,8.0,31.0,416.0,,,17.0,15.0,17.0,16.0,5.0,6.0,,,,,,1.0,,,,,18.0,,,,,,2.0,5.0,3.0,3.0,18.0,10.0,78.0,54.0,1.0,2.0,,1.0,29.0,9.0,5.0,,2.0,11.0,4.0,7.0,,6.0,,47.0,59.0,1.0,15.0,9.0,1.0,,52.0,9.0,17.0,2.0,,5.0,2.0,1.0,165.0,1.0,,1.0,1.0,,,4.0,2.0,,,10.0,,10.0,10.0,1.0,5.0,123.0,63.0,44.0,1.0,,11.0,11.0,7.0,464.0,2.0,,,58.0,53.0,38.0,1.0,1.0,1.0,,122.0,122.0,3.0,25.0,21.0,55.1,,2.0,1.0,,29.0,0.0,122.0,,,,1.0,,12.0,1.0,3.0,117.0,394.0,11.0,22.0,232.0,37.0,21.0,22.0,8.0,21.0,13.0,,151.0,8.0,277.0,,1.0,14.0,10.0,54.0,3.0,488.0,,0.0,28.0,18.0,1.0,21.0,4.0,697.0,50.0,14.0,9.0,11.0,11.0,0.0
855212,5,2016-09-16 20:00:00,8,Chelsea,Home,233.0,29.0,3.0,5.0,2.0,5.0,1.0,246.0,2.0,,5.0,3.0,18.0,47.0,474.0,2.0,,22.0,14.0,13.0,6.0,3.0,3.0,,,,,,1.0,,,,,7.0,,,,,,1.0,4.0,7.0,6.0,9.0,3.0,70.0,54.0,1.0,,1.0,3.0,11.0,5.0,16.0,,,6.0,13.0,6.0,,7.0,2.0,55.0,65.0,3.0,19.0,11.0,,,69.0,6.0,13.0,1.0,,4.0,3.0,1.0,157.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,13.0,,19.0,19.0,1.0,5.0,158.0,68.0,46.0,4.0,,3.0,7.0,4.0,524.0,6.0,1.0,,87.0,69.0,36.0,,,,,131.0,131.0,1.0,26.0,22.0,52.7,,,,,11.0,0.0,155.0,2.0,1.0,3.0,,,3.0,,3.0,127.0,459.0,7.0,10.0,247.0,50.0,24.0,35.0,6.0,28.0,22.0,,164.0,11.0,321.0,1.0,,13.0,18.0,71.0,6.0,540.0,2.0,0.0,12.0,18.0,1.0,24.0,1.0,778.0,27.0,13.0,22.0,6.0,12.0,0.0
855223,6,2016-09-24 17:30:00,8,Chelsea,Away,192.0,22.0,,6.0,6.0,2.0,1.0,261.0,5.0,,6.0,2.0,13.0,31.0,447.0,,1.0,20.0,10.0,16.0,7.0,,,,,,,,,,,,1.0,7.0,,,,,,2.0,5.0,9.0,5.0,7.0,2.0,74.0,65.0,1.0,1.0,,2.0,18.0,2.0,11.0,,,1.0,8.0,5.0,,8.0,2.0,48.0,54.0,2.0,15.0,10.0,1.0,,71.0,11.0,8.0,,,4.0,4.0,,190.0,,,,,,,6.0,,2.0,1.0,13.0,,11.0,11.0,2.0,6.0,136.0,71.0,42.0,9.0,,4.0,3.0,2.0,518.0,4.0,2.0,,98.0,64.0,29.0,,,,,146.0,146.0,7.0,30.0,21.0,50.5,,,,,18.0,0.0,138.0,1.0,1.0,2.0,,,5.0,,3.0,140.0,430.0,11.0,7.0,220.0,41.0,20.0,19.0,1.0,18.0,17.0,,183.0,5.0,336.0,2.0,,14.0,13.0,58.0,2.0,538.0,,0.0,9.0,21.0,1.0,21.0,2.0,738.0,19.0,20.0,9.0,1.0,17.0,0.0
855234,7,2016-10-01 15:00:00,8,Chelsea,Away,181.0,17.0,2.0,6.0,4.0,6.0,2.0,285.0,3.0,,4.0,8.0,8.0,41.0,460.0,,1.0,10.0,12.0,18.0,13.0,3.0,4.0,,,,,,1.0,,,,,15.0,,,,,,2.0,8.0,3.0,5.0,13.0,9.0,73.0,66.0,1.0,2.0,,2.0,21.0,4.0,3.0,,1.0,7.0,18.0,1.0,,11.0,3.0,51.0,65.0,2.0,15.0,9.0,,,65.0,15.0,12.0,2.0,1.0,6.0,4.0,1.0,197.0,1.0,,,1.0,,,5.0,2.0,2.0,1.0,10.0,1.0,13.0,13.0,,4.0,152.0,78.0,51.0,5.0,,8.0,9.0,9.0,538.0,2.0,1.0,,61.0,80.0,39.0,,,,,150.0,150.0,6.0,20.0,35.0,59.1,,,,,21.0,0.0,132.0,,2.0,2.0,,,9.0,,3.0,162.0,449.0,8.0,17.0,207.0,31.0,18.0,30.0,6.0,29.0,23.0,,208.0,9.0,376.0,2.0,,28.0,8.0,71.0,,554.0,1.0,0.0,22.0,19.0,3.0,10.0,2.0,759.0,44.0,8.0,18.0,7.0,15.0,0.0
855244,8,2016-10-15 12:30:00,8,Chelsea,Home,232.0,16.0,2.0,3.0,1.0,6.0,,229.0,2.0,,5.0,4.0,8.0,32.0,458.0,,2.0,16.0,16.0,22.0,9.0,1.0,3.0,1.0,,,1.0,1.0,2.0,,,,2.0,11.0,,,,1.0,,,2.0,2.0,3.0,10.0,6.0,84.0,77.0,4.0,2.0,3.0,,12.0,4.0,5.0,,2.0,8.0,11.0,2.0,,14.0,,47.0,68.0,,24.0,17.0,,,71.0,6.0,10.0,2.0,,5.0,1.0,2.0,191.0,3.0,,2.0,2.0,1.0,,8.0,2.0,1.0,,19.0,1.0,19.0,19.0,3.0,5.0,150.0,96.0,54.0,5.0,1.0,5.0,8.0,6.0,533.0,2.0,2.0,,54.0,78.0,32.0,,,,,159.0,159.0,11.0,26.0,35.0,54.9,1.0,,,2.0,12.0,0.0,128.0,,,,1.0,1.0,6.0,1.0,3.0,111.0,447.0,6.0,13.0,252.0,40.0,27.0,23.0,7.0,21.0,14.0,1.0,158.0,8.0,322.0,1.0,,12.0,8.0,65.0,,553.0,1.0,0.0,16.0,19.0,5.0,25.0,1.0,768.0,24.0,15.0,17.0,8.0,14.0,0.0
855255,9,2016-10-23 16:00:00,8,Chelsea,Home,172.0,14.0,,4.0,4.0,1.0,,196.0,5.0,,5.0,5.0,15.0,23.0,364.0,,1.0,13.0,10.0,8.0,7.0,,3.0,1.0,,,,,,,,,1.0,10.0,,,,,,1.0,3.0,9.0,7.0,11.0,3.0,50.0,58.0,2.0,,3.0,4.0,21.0,5.0,7.0,,,5.0,6.0,1.0,1.0,12.0,5.0,44.0,54.0,4.0,20.0,12.0,,,51.0,7.0,17.0,2.0,,1.0,1.0,,136.0,3.0,,2.0,3.0,,,10.0,3.0,1.0,1.0,14.0,,27.0,27.0,2.0,5.0,140.0,57.0,31.0,7.0,1.0,2.0,8.0,6.0,414.0,5.0,,,55.0,51.0,19.0,,,,,123.0,123.0,3.0,30.0,19.0,43.9,,,,,21.0,0.0,121.0,2.0,3.0,5.0,,1.0,3.0,1.0,3.0,83.0,344.0,8.0,10.0,204.0,27.0,25.0,21.0,3.0,11.0,8.0,1.0,117.0,4.0,254.0,1.0,,25.0,17.0,57.0,2.0,447.0,,0.0,14.0,18.0,2.0,16.0,3.0,657.0,23.0,7.0,12.0,5.0,13.0,0.0
855266,10,2016-10-30 16:00:00,8,Chelsea,Away,155.0,17.0,2.0,4.0,2.0,2.0,,174.0,2.0,,3.0,5.0,4.0,27.0,325.0,,1.0,19.0,18.0,16.0,10.0,1.0,1.0,,,,,,,,,,,11.0,,,,,,1.0,6.0,6.0,4.0,9.0,4.0,71.0,49.0,1.0,1.0,,2.0,22.0,2.0,8.0,,,3.0,8.0,1.0,,15.0,1.0,64.0,69.0,2.0,33.0,18.0,,,43.0,16.0,13.0,2.0,,6.0,1.0,,152.0,2.0,,,1.0,1.0,,9.0,1.0,1.0,,18.0,,16.0,16.0,,3.0,92.0,65.0,31.0,7.0,,4.0,9.0,7.0,385.0,3.0,1.0,,63.0,47.0,22.0,,,,,131.0,131.0,2.0,25.0,18.0,45.2,,,,1.0,22.0,0.0,94.0,,1.0,1.0,1.0,,4.0,1.0,3.0,99.0,313.0,11.0,13.0,182.0,31.0,33.0,21.0,3.0,13.0,10.0,,128.0,8.0,240.0,1.0,,21.0,4.0,61.0,,409.0,,0.0,13.0,27.0,2.0,25.0,0.0,622.0,23.0,8.0,13.0,3.0,21.0,0.0
855275,11,2016-11-05 17:30:00,8,Chelsea,Home,275.0,33.0,2.0,7.0,5.0,5.0,1.0,348.0,4.0,,4.0,3.0,10.0,52.0,616.0,1.0,1.0,17.0,18.0,8.0,13.0,1.0,4.0,,,,,,,,,,,17.0,,,,,1.0,,1.0,1.0,,15.0,6.0,130.0,61.0,,,1.0,1.0,13.0,7.0,4.0,,,4.0,12.0,4.0,,13.0,,49.0,67.0,1.0,14.0,12.0,,,71.0,5.0,16.0,4.0,,4.0,3.0,,197.0,4.0,,2.0,3.0,1.0,,4.0,4.0,,1.0,12.0,1.0,11.0,11.0,,4.0,178.0,70.0,50.0,2.0,1.0,5.0,13.0,9.0,665.0,,2.0,,115.0,94.0,41.0,,,,,119.0,119.0,4.0,22.0,31.0,60.1,1.0,,,,13.0,0.0,180.0,,,,1.0,,5.0,1.0,3.0,180.0,597.0,8.0,18.0,289.0,48.0,14.0,27.0,3.0,22.0,19.0,,219.0,5.0,418.0,,,11.0,10.0,77.0,2.0,685.0,2.0,0.0,21.0,26.0,2.0,19.0,0.0,886.0,38.0,6.0,17.0,4.0,15.0,0.0
