matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292812,1.0,2022-08-06 17:30:00,8,Chelsea,Away,174.0,11.0,3.0,6.0,4.0,,2.0,322.0,7.0,1.0,6.0,4.0,3.0,15.0,490.0,,1.0,14.0,12.0,22.0,9.0,2.0,4.0,,,1.0,,1.0,,,,7.0,1.0,,,,2.0,6.0,7.0,1.0,11.0,4.0,,74.0,70.0,1.0,1.0,1.0,1.0,19.0,6.0,10.0,1.0,,16.0,7.0,2.0,,18.0,1.0,57.0,68.0,1.0,16.0,6.0,,,27.0,61.0,11.0,14.0,,7.0,4.0,1.0,182.0,,,,,,,7.0,,,,1.0,,,,,6.0,,9.0,9.0,2.0,6.0,162.0,49.0,37.0,4.0,1.0,2.0,9.0,6.0,546.0,,,2.0,1.0,,72.0,110.0,37.0,,,,1.0,145.0,145.0,8.0,31.0,24.0,62.7,,,,1.0,19.0,0.0,,,,148.0,4.0,,3.0,,1.0,,3.0,,,5.0,15.0,158.0,470.0,11.0,11.0,205.0,27.0,16.0,19.0,13.0,25.0,13.0,,199.0,1.0,386.0,1.0,1.0,14.0,4.0,36.0,2.0,566.0,1.0,0.0,15.0,19.0,3.0,17.0,2.0,778.0,25.0,20.0,13.0,16.0,9.0,0.0
2292824,2.0,2022-08-14 16:30:00,8,Chelsea,Home,184.0,17.0,2.0,4.0,2.0,1.0,,332.0,1.0,,4.0,4.0,5.0,27.0,512.0,,,20.0,16.0,14.0,11.0,,3.0,,,,,,,,,13.0,,,,,,1.0,8.0,2.0,11.0,5.0,,104.0,59.0,2.0,1.0,1.0,3.0,28.0,7.0,7.0,,,8.0,9.0,6.0,2.0,17.0,1.0,56.0,62.0,3.0,5.0,2.0,,,22.0,67.0,9.0,9.0,,4.0,2.0,,203.0,2.0,1.0,2.0,1.0,1.0,,5.0,,,1.0,,,,,1.0,2.0,,4.0,4.0,1.0,4.0,153.0,64.0,42.0,5.0,,5.0,8.0,3.0,579.0,,,3.0,3.0,,93.0,106.0,43.0,,,,,155.0,155.0,7.0,18.0,29.0,63.7,,2.0,,,28.0,0.0,,,,137.0,3.0,,3.0,,,,6.0,,,4.0,8.0,176.0,500.0,16.0,13.0,197.0,38.0,5.0,19.0,6.0,23.0,17.0,,226.0,4.0,423.0,,,8.0,6.0,46.0,2.0,597.0,,0.0,16.0,28.0,,26.0,3.0,806.0,43.0,15.0,11.0,8.0,18.0,0.0
2292834,3.0,2022-08-21 14:00:00,8,Chelsea,Away,218.0,27.0,2.0,5.0,3.0,,,192.0,7.0,,3.0,2.0,2.0,40.0,405.0,1.0,,28.0,10.0,21.0,10.0,2.0,2.0,1.0,,,,,,,,12.0,,,,,,6.0,9.0,3.0,9.0,5.0,,75.0,57.0,,,,1.0,9.0,7.0,8.0,,,6.0,10.0,4.0,,12.0,1.0,58.0,72.0,1.0,12.0,6.0,1.0,,34.0,52.0,15.0,16.0,,,,,161.0,,,,,,,7.0,,,,,,,,,6.0,,17.0,17.0,3.0,3.0,133.0,52.0,34.0,4.0,,4.0,8.0,3.0,466.0,,,2.0,2.0,,86.0,54.0,29.0,,,,,154.0,154.0,4.0,24.0,24.0,60.9,,,,,28.0,0.0,,,,125.0,2.0,1.0,3.0,1.0,,1.0,4.0,,,4.0,19.0,93.0,378.0,9.0,12.0,244.0,47.0,12.0,27.0,6.0,20.0,14.0,1.0,132.0,3.0,270.0,,,10.0,2.0,65.0,7.0,494.0,3.0,1.0,14.0,22.0,,29.0,1.0,719.0,31.0,14.0,13.0,6.0,10.0,0.0
2292844,4.0,2022-08-27 15:00:00,8,Chelsea,Home,171.0,21.0,,3.0,3.0,,1.0,204.0,3.0,,2.0,3.0,3.0,32.0,372.0,,,15.0,17.0,18.0,3.0,1.0,,1.0,,,,,,,,6.0,,,,1.0,1.0,5.0,11.0,6.0,5.0,2.0,,84.0,52.0,2.0,2.0,1.0,3.0,17.0,2.0,5.0,,1.0,3.0,5.0,2.0,,9.0,4.0,48.0,48.0,3.0,25.0,17.0,,,16.0,63.0,10.0,7.0,2.0,2.0,2.0,,149.0,2.0,,1.0,2.0,,,11.0,,,2.0,1.0,,,,1.0,17.0,2.0,6.0,6.0,,2.0,104.0,67.0,45.0,11.0,,1.0,5.0,4.0,425.0,,,5.0,3.0,,97.0,57.0,16.0,,,,,124.0,124.0,5.0,21.0,21.0,45.1,1.0,,,,17.0,0.0,,,,109.0,4.0,,4.0,1.0,,1.0,1.0,,,4.0,6.0,81.0,361.0,6.0,6.0,189.0,39.0,25.0,14.0,3.0,12.0,9.0,1.0,120.0,1.0,269.0,2.0,,9.0,3.0,58.0,3.0,446.0,,1.0,7.0,18.0,,18.0,1.0,624.0,11.0,15.0,6.0,3.0,12.0,0.0
2292859,5.0,2022-08-30 19:45:00,8,Chelsea,Away,205.0,22.0,,4.0,4.0,3.0,,259.0,1.0,,6.0,3.0,,31.0,460.0,,1.0,28.0,13.0,16.0,7.0,,2.0,,,,,,,,,8.0,,,,,,3.0,4.0,5.0,8.0,2.0,,96.0,73.0,1.0,1.0,1.0,2.0,29.0,4.0,6.0,2.0,,3.0,5.0,8.0,,9.0,1.0,47.0,62.0,2.0,26.0,16.0,,,26.0,82.0,10.0,15.0,1.0,2.0,1.0,,199.0,,,,,,,1.0,,,1.0,2.0,,,,1.0,16.0,,20.0,20.0,2.0,6.0,133.0,69.0,46.0,5.0,,2.0,5.0,4.0,542.0,,,4.0,1.0,,95.0,86.0,38.0,,,,,160.0,160.0,2.0,45.0,18.0,67.8,,3.0,,,29.0,0.0,,,,133.0,3.0,2.0,3.0,,,,2.0,1.0,,4.0,13.0,130.0,443.0,13.0,7.0,237.0,46.0,26.0,15.0,3.0,17.0,14.0,,179.0,8.0,341.0,2.0,,10.0,,52.0,3.0,561.0,,0.0,10.0,26.0,1.0,31.0,1.0,805.0,26.0,20.0,5.0,3.0,13.0,0.0
2292863,6.0,2022-09-03 15:00:00,8,Chelsea,Home,204.0,14.0,1.0,2.0,1.0,3.0,,375.0,2.0,,3.0,,9.0,14.0,577.0,,,15.0,15.0,15.0,3.0,1.0,2.0,,,,,,,,,6.0,,,,,,5.0,3.0,3.0,5.0,3.0,,90.0,58.0,2.0,1.0,1.0,,17.0,3.0,9.0,,,10.0,8.0,4.0,,8.0,1.0,44.0,51.0,,12.0,3.0,,,15.0,64.0,6.0,11.0,,1.0,1.0,,189.0,2.0,,2.0,2.0,,,2.0,,,2.0,,,,,,3.0,,3.0,3.0,,3.0,201.0,70.0,46.0,3.0,,2.0,4.0,3.0,646.0,,,1.0,2.0,,99.0,129.0,26.0,,,,,141.0,141.0,3.0,27.0,24.0,68.1,,,3.0,1.0,17.0,0.0,,,,181.0,1.0,1.0,2.0,,,,2.0,,,5.0,6.0,165.0,564.0,10.0,6.0,218.0,37.0,12.0,15.0,10.0,23.0,13.0,,214.0,3.0,466.0,,,6.0,9.0,36.0,1.0,661.0,,0.0,8.0,16.0,,17.0,4.0,826.0,24.0,17.0,9.0,10.0,11.0,0.0
2292873,7.0,2023-01-12 20:00:00,8,Chelsea,Away,273.0,17.0,1.0,1.0,,1.0,,140.0,2.0,,8.0,4.0,5.0,22.0,412.0,,,12.0,10.0,5.0,12.0,1.0,2.0,,,,1.0,1.0,,1.0,,13.0,,,,,4.0,10.0,6.0,2.0,14.0,6.0,,84.0,71.0,3.0,3.0,1.0,1.0,12.0,7.0,3.0,,,7.0,6.0,,1.0,6.0,2.0,40.0,40.0,1.0,20.0,8.0,,1.0,23.0,52.0,16.0,12.0,,2.0,1.0,1.0,170.0,,,,,,,2.0,,,,1.0,,,,,8.0,1.0,15.0,15.0,1.0,8.0,128.0,58.0,37.0,5.0,,2.0,11.0,10.0,487.0,,,2.0,,,56.0,30.0,25.0,,,,,137.0,137.0,4.0,35.0,24.0,52.6,,,,,26.0,0.0,,,,123.0,1.0,,1.0,,,,3.0,,,5.0,14.0,68.0,394.0,12.0,13.0,312.0,35.0,20.0,10.0,7.0,14.0,7.0,,107.0,2.0,207.0,1.0,,15.0,5.0,49.0,3.0,505.0,1.0,1.0,20.0,18.0,1.0,13.0,3.0,708.0,25.0,16.0,5.0,7.0,11.0,0.0
2292883,8.0,2023-04-04 20:00:00,8,Chelsea,Home,266.0,19.0,1.0,1.0,,,,172.0,1.0,2.0,7.0,,1.0,26.0,437.0,,1.0,15.0,10.0,8.0,9.0,2.0,1.0,3.0,,,,,,,1.0,10.0,,,,,1.0,1.0,2.0,5.0,9.0,3.0,,68.0,77.0,3.0,4.0,,,11.0,2.0,11.0,1.0,2.0,3.0,7.0,2.0,,9.0,2.0,36.0,65.0,,14.0,5.0,,1.0,25.0,55.0,6.0,17.0,,3.0,1.0,,173.0,,,,,,,2.0,,,,1.0,,,,4.0,5.0,,12.0,12.0,1.0,7.0,135.0,60.0,36.0,5.0,,7.0,4.0,3.0,500.0,,,4.0,1.0,,39.0,46.0,27.0,,,,,138.0,138.0,7.0,34.0,29.0,49.6,,,,,24.0,0.0,,,,146.0,,4.0,3.0,,1.0,3.0,7.0,,,3.0,16.0,81.0,417.0,11.0,11.0,301.0,39.0,14.0,20.0,3.0,13.0,10.0,3.0,113.0,1.0,234.0,2.0,2.0,8.0,1.0,53.0,4.0,522.0,,0.0,12.0,24.0,1.0,17.0,1.0,743.0,24.0,21.0,16.0,3.0,18.0,0.0
2292892,9.0,2022-10-01 15:00:00,8,Chelsea,Away,239.0,27.0,1.0,4.0,3.0,1.0,,324.0,6.0,1.0,1.0,2.0,5.0,34.0,559.0,,,26.0,9.0,11.0,8.0,1.0,2.0,,,,,,,,,10.0,,,,1.0,1.0,8.0,4.0,3.0,10.0,3.0,,109.0,57.0,,1.0,,,10.0,3.0,10.0,,1.0,2.0,4.0,3.0,,10.0,2.0,49.0,43.0,,12.0,3.0,,,36.0,77.0,13.0,10.0,1.0,1.0,,,181.0,2.0,,1.0,2.0,,,6.0,,,2.0,1.0,,,,1.0,3.0,1.0,9.0,9.0,1.0,1.0,187.0,80.0,60.0,5.0,,6.0,5.0,3.0,615.0,,,,,,91.0,98.0,20.0,,,,,112.0,112.0,8.0,23.0,24.0,64.0,1.0,,3.0,1.0,20.0,0.0,,,,158.0,1.0,1.0,2.0,,,,7.0,1.0,1.0,4.0,18.0,128.0,539.0,10.0,11.0,254.0,42.0,12.0,14.0,2.0,9.0,7.0,,175.0,5.0,390.0,1.0,1.0,11.0,5.0,55.0,,635.0,,0.0,13.0,16.0,2.0,27.0,3.0,801.0,30.0,12.0,6.0,2.0,9.0,0.0
2292903,10.0,2022-10-08 15:00:00,8,Chelsea,Home,240.0,13.0,1.0,9.0,8.0,2.0,,287.0,5.0,2.0,4.0,2.0,5.0,15.0,518.0,,3.0,16.0,13.0,9.0,13.0,1.0,3.0,1.0,,,,,,,,16.0,,,,,,5.0,6.0,2.0,17.0,3.0,,98.0,61.0,4.0,3.0,1.0,2.0,19.0,3.0,9.0,,,4.0,7.0,5.0,,9.0,1.0,43.0,46.0,2.0,12.0,7.0,,,24.0,60.0,8.0,7.0,1.0,,,,182.0,3.0,,3.0,2.0,1.0,,6.0,,,2.0,1.0,,,,,7.0,,8.0,8.0,1.0,4.0,173.0,61.0,43.0,2.0,1.0,9.0,8.0,7.0,575.0,,,1.0,1.0,,75.0,93.0,38.0,,,,,113.0,113.0,9.0,28.0,18.0,57.4,,,,,19.0,0.0,,,,138.0,1.0,1.0,2.0,,1.0,1.0,10.0,1.0,,5.0,12.0,147.0,506.0,11.0,17.0,259.0,30.0,12.0,8.0,4.0,16.0,12.0,1.0,184.0,2.0,348.0,1.0,2.0,10.0,5.0,35.0,3.0,591.0,,0.0,20.0,26.0,4.0,20.0,2.0,768.0,42.0,12.0,4.0,4.0,15.0,0.0
