matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210273,1.0,2021-08-14 15:00:00,8,Chelsea,Home,249.0,29.0,,4.0,4.0,,,378.0,5.0,,2.0,2.0,2.0,38.0,623.0,1.0,5.0,17.0,15.0,7.0,5.0,,1.0,,1.0,1.0,1.0,4.0,,,,1.0,,,8.0,,,,,,,9.0,4.0,,5.0,8.0,,112.0,44.0,,,1.0,1.0,11.0,2.0,13.0,,,5.0,11.0,6.0,1.0,5.0,1.0,52.0,46.0,1.0,8.0,3.0,,,,,,,22.0,79.0,15.0,11.0,1.0,6.0,1.0,4.0,163.0,1.0,,,1.0,,5.0,,,2.0,,,,,1.0,3.0,,11.0,11.0,,2.0,216.0,63.0,55.0,2.0,1.0,2.0,4.0,6.0,664.0,,,1.0,3.0,,139.0,101.0,40.0,,,,,97.0,97.0,9.0,10.0,23.0,61.7,,,,,11.0,0.0,,,,187.0,1.0,,1.0,,,5.0,,,3.0,12.0,196.0,609.0,4.0,6.0,261.0,38.0,8.0,14.0,4.0,22.0,18.0,,230.0,,439.0,,,8.0,3.0,52.0,,678.0,3.0,0.0,13.0,21.0,6.0,17.0,0.0,834.0,33.0,10.0,8.0,5.0,9.0,0.0
2210281,2.0,2021-08-22 16:30:00,8,Chelsea,Away,309.0,20.0,1.0,4.0,3.0,,,269.0,4.0,1.0,7.0,4.0,3.0,20.0,574.0,,1.0,22.0,11.0,18.0,16.0,,3.0,1.0,,,,,,,,1.0,,,18.0,,,,,,1.0,1.0,3.0,3.0,15.0,7.0,,109.0,43.0,5.0,3.0,2.0,3.0,15.0,11.0,9.0,,,8.0,9.0,2.0,,11.0,1.0,43.0,46.0,3.0,23.0,10.0,,,,,,,23.0,43.0,4.0,10.0,1.0,1.0,,,178.0,2.0,,2.0,2.0,,4.0,,,2.0,,,,,1.0,10.0,1.0,10.0,10.0,4.0,7.0,181.0,56.0,38.0,9.0,1.0,4.0,14.0,5.0,625.0,,,1.0,,,43.0,75.0,35.0,,,,,116.0,116.0,3.0,21.0,11.0,65.0,,,,,15.0,0.0,,,,178.0,1.0,2.0,3.0,1.0,1.0,6.0,1.0,,3.0,15.0,134.0,557.0,5.0,18.0,333.0,39.0,23.0,16.0,6.0,17.0,11.0,1.0,161.0,2.0,330.0,,1.0,10.0,3.0,39.0,,646.0,,0.0,22.0,11.0,3.0,22.0,0.0,831.0,40.0,11.0,7.0,8.0,5.0,0.0
2210294,3.0,2021-08-28 17:30:00,8,Chelsea,Away,184.0,18.0,1.0,2.0,1.0,2.0,,86.0,10.0,2.0,6.0,2.0,5.0,24.0,268.0,,,17.0,21.0,13.0,5.0,,1.0,3.0,,,,,,,,,,,5.0,,,,,,,,17.0,7.0,6.0,,,57.0,70.0,,,,2.0,20.0,2.0,4.0,,,3.0,7.0,1.0,,13.0,4.0,43.0,55.0,2.0,34.0,16.0,,,,,,,34.0,25.0,4.0,12.0,1.0,1.0,1.0,,156.0,1.0,1.0,1.0,,1.0,14.0,,,,3.0,,,,1.0,16.0,,21.0,21.0,6.0,6.0,73.0,63.0,28.0,12.0,,1.0,5.0,3.0,338.0,,,4.0,,,39.0,37.0,17.0,1.0,1.0,1.0,,154.0,154.0,,40.0,19.0,34.3,,2.0,,,20.0,0.0,,,,84.0,3.0,3.0,6.0,,3.0,1.0,1.0,,3.0,15.0,43.0,246.0,8.0,6.0,228.0,47.0,34.0,7.0,3.0,12.0,9.0,3.0,67.0,5.0,154.0,3.0,2.0,20.0,6.0,66.0,2.0,370.0,,1.0,6.0,26.0,4.0,20.0,2.0,595.0,13.0,21.0,4.0,3.0,12.0,0.0
2210303,4.0,2021-09-11 17:30:00,8,Chelsea,Home,248.0,16.0,,1.0,1.0,,,149.0,7.0,,9.0,1.0,7.0,27.0,396.0,,1.0,14.0,14.0,16.0,6.0,,1.0,,,,,,,1.0,,,,1.0,11.0,,,,,,,7.0,11.0,7.0,6.0,6.0,,90.0,57.0,1.0,,2.0,1.0,17.0,2.0,19.0,,,4.0,8.0,3.0,,6.0,3.0,56.0,52.0,1.0,40.0,14.0,,1.0,,,,,28.0,41.0,11.0,10.0,2.0,1.0,1.0,,173.0,2.0,,1.0,2.0,,9.0,,,3.0,1.0,,,,,14.0,,7.0,7.0,1.0,9.0,103.0,75.0,48.0,11.0,1.0,4.0,4.0,4.0,454.0,,,9.0,,,59.0,36.0,23.0,,,,,126.0,126.0,1.0,22.0,24.0,56.8,,,,2.0,17.0,0.0,,,,110.0,6.0,,6.0,1.0,,6.0,,,3.0,10.0,61.0,377.0,10.0,8.0,281.0,33.0,40.0,17.0,3.0,15.0,12.0,,89.0,1.0,210.0,2.0,,11.0,7.0,56.0,2.0,476.0,,0.0,12.0,15.0,1.0,16.0,1.0,688.0,18.0,16.0,11.0,4.0,6.0,0.0
2210318,5.0,2021-09-19 16:30:00,8,Chelsea,Away,224.0,28.0,4.0,7.0,3.0,1.0,,240.0,4.0,1.0,6.0,1.0,9.0,29.0,457.0,,2.0,14.0,12.0,18.0,13.0,1.0,5.0,1.0,,,,,,,,,,1.0,15.0,,,,,,,11.0,3.0,5.0,17.0,3.0,,93.0,61.0,3.0,3.0,,1.0,22.0,7.0,7.0,,,11.0,13.0,3.0,2.0,10.0,1.0,54.0,45.0,1.0,19.0,6.0,,,,,,,26.0,45.0,15.0,4.0,,,,,169.0,3.0,1.0,2.0,1.0,2.0,4.0,,,1.0,1.0,,,,,6.0,,15.0,15.0,2.0,6.0,152.0,53.0,38.0,5.0,,2.0,15.0,10.0,513.0,,,1.0,1.0,,76.0,42.0,35.0,,,,,126.0,126.0,3.0,21.0,28.0,53.0,,,,,22.0,0.0,,,,111.0,1.0,1.0,2.0,,1.0,3.0,,,2.0,10.0,120.0,446.0,10.0,17.0,251.0,37.0,19.0,18.0,9.0,25.0,16.0,1.0,144.0,6.0,299.0,1.0,1.0,10.0,9.0,44.0,1.0,525.0,1.0,0.0,20.0,15.0,3.0,16.0,1.0,729.0,40.0,16.0,8.0,11.0,8.0,0.0
2210323,6.0,2021-09-25 12:30:00,8,Chelsea,Home,259.0,18.0,,1.0,1.0,1.0,,83.0,11.0,,6.0,3.0,1.0,26.0,341.0,,1.0,13.0,9.0,18.0,4.0,,,,,,,1.0,,,1.0,,,,4.0,,,,,,,5.0,11.0,4.0,2.0,3.0,,46.0,49.0,,,,4.0,17.0,4.0,9.0,1.0,,4.0,5.0,8.0,,8.0,1.0,46.0,50.0,4.0,24.0,12.0,,,,,,,33.0,38.0,12.0,9.0,,2.0,,1.0,142.0,,,,,,13.0,,,,3.0,,,,,12.0,,7.0,7.0,,6.0,119.0,44.0,28.0,13.0,,1.0,3.0,,385.0,,,6.0,2.0,,22.0,38.0,23.0,,,,,125.0,125.0,,34.0,8.0,40.9,,,,2.0,17.0,0.0,,,,106.0,3.0,,2.0,,,1.0,,,3.0,21.0,37.0,316.0,10.0,4.0,287.0,31.0,24.0,18.0,4.0,17.0,13.0,,69.0,5.0,143.0,3.0,,13.0,1.0,49.0,3.0,413.0,1.0,0.0,5.0,13.0,3.0,13.0,3.0,594.0,11.0,16.0,10.0,4.0,6.0,0.0
2210333,7.0,2021-10-02 15:00:00,8,Chelsea,Home,277.0,24.0,2.0,4.0,2.0,4.0,,195.0,4.0,,2.0,4.0,7.0,31.0,468.0,,,28.0,4.0,14.0,11.0,2.0,4.0,1.0,,,,,,,,,,,16.0,,,,,2.0,,7.0,2.0,4.0,17.0,3.0,,84.0,56.0,5.0,4.0,2.0,,20.0,5.0,12.0,,1.0,7.0,9.0,3.0,1.0,19.0,1.0,51.0,62.0,,11.0,6.0,,,,,,,29.0,46.0,11.0,13.0,1.0,2.0,,,193.0,2.0,,1.0,1.0,1.0,4.0,,,2.0,,,,,,6.0,2.0,5.0,5.0,,2.0,123.0,61.0,35.0,2.0,1.0,3.0,12.0,9.0,526.0,,,1.0,,,41.0,74.0,28.0,1.0,1.0,1.0,,137.0,137.0,3.0,24.0,26.0,61.6,2.0,,,,20.0,0.0,,,,146.0,,1.0,1.0,,1.0,6.0,,,3.0,19.0,93.0,448.0,12.0,15.0,299.0,33.0,11.0,24.0,6.0,18.0,12.0,1.0,122.0,6.0,265.0,,,14.0,8.0,52.0,1.0,546.0,,0.0,20.0,16.0,,30.0,1.0,763.0,36.0,18.0,19.0,7.0,10.0,0.0
2210343,8.0,2021-10-16 17:30:00,8,Chelsea,Away,190.0,12.0,,,,2.0,,268.0,,2.0,5.0,3.0,5.0,14.0,458.0,,,8.0,35.0,17.0,2.0,,1.0,,,1.0,,2.0,,,,,,,2.0,,,,,,,6.0,13.0,4.0,1.0,4.0,,82.0,68.0,,,,3.0,15.0,1.0,11.0,1.0,,5.0,6.0,4.0,,8.0,2.0,70.0,61.0,3.0,41.0,20.0,,,,,,,30.0,55.0,8.0,13.0,,2.0,1.0,2.0,181.0,,,,,,1.0,,,1.0,1.0,,,,,20.0,,10.0,10.0,,5.0,135.0,58.0,35.0,5.0,1.0,2.0,,1.0,526.0,,,8.0,2.0,,64.0,88.0,30.0,,,,,133.0,133.0,3.0,30.0,28.0,56.1,,,,,15.0,0.0,,,,142.0,6.0,1.0,6.0,,,3.0,,,3.0,10.0,127.0,445.0,9.0,2.0,216.0,31.0,41.0,19.0,5.0,16.0,11.0,,164.0,4.0,340.0,1.0,2.0,20.0,5.0,43.0,4.0,540.0,1.0,0.0,5.0,20.0,5.0,11.0,1.0,751.0,20.0,10.0,11.0,5.0,7.0,0.0
2210354,9.0,2021-10-23 12:30:00,8,Chelsea,Home,249.0,17.0,,,,2.0,,318.0,6.0,,2.0,2.0,6.0,20.0,567.0,1.0,3.0,13.0,6.0,10.0,16.0,,3.0,,,,,,,,,,,,17.0,1.0,,,,,2.0,7.0,1.0,2.0,11.0,12.0,,101.0,60.0,4.0,1.0,4.0,,19.0,3.0,11.0,,2.0,5.0,7.0,1.0,,9.0,,42.0,51.0,,4.0,3.0,,2.0,,,,,21.0,54.0,14.0,14.0,4.0,3.0,,,181.0,5.0,,4.0,5.0,,6.0,,,5.0,1.0,,,,1.0,3.0,,5.0,5.0,,2.0,174.0,52.0,36.0,,2.0,6.0,15.0,13.0,601.0,,,1.0,2.0,,75.0,78.0,30.0,,,,1.0,101.0,101.0,7.0,23.0,28.0,61.8,,,,,19.0,0.0,,,,170.0,1.0,,1.0,2.0,,7.0,,,3.0,14.0,179.0,543.0,12.0,21.0,261.0,32.0,4.0,11.0,2.0,10.0,8.0,,214.0,5.0,375.0,1.0,,5.0,6.0,34.0,1.0,626.0,1.0,0.0,23.0,19.0,4.0,15.0,0.0,785.0,26.0,15.0,8.0,5.0,12.0,0.0
2210366,10.0,2021-10-30 15:00:00,8,Chelsea,Away,200.0,14.0,1.0,2.0,1.0,1.0,,500.0,2.0,1.0,2.0,3.0,6.0,16.0,698.0,,1.0,13.0,21.0,17.0,11.0,1.0,1.0,,,1.0,,1.0,,,,,,,16.0,1.0,,,,,,4.0,4.0,2.0,9.0,10.0,,116.0,58.0,2.0,2.0,1.0,,15.0,7.0,10.0,,,2.0,12.0,5.0,,1.0,,52.0,50.0,,10.0,6.0,,,,,,,21.0,91.0,12.0,13.0,,3.0,,1.0,208.0,,,,,,2.0,,,2.0,,,,,,6.0,1.0,3.0,3.0,,2.0,235.0,52.0,43.0,,3.0,4.0,8.0,6.0,757.0,,,2.0,,,105.0,97.0,49.0,,,,1.0,119.0,119.0,4.0,19.0,33.0,79.2,,,,,15.0,0.0,,,,214.0,1.0,,1.0,1.0,,6.0,,,3.0,14.0,275.0,682.0,3.0,12.0,222.0,30.0,10.0,18.0,2.0,19.0,17.0,,317.0,3.0,570.0,,1.0,8.0,6.0,30.0,4.0,773.0,,0.0,19.0,12.0,1.0,15.0,2.0,927.0,30.0,11.0,9.0,2.0,4.0,0.0
