matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128294,1.0,2020-09-14 20:15:00,8,Chelsea,Away,228.0,15.0,1.0,3.0,2.0,1.0,,162.0,3.0,,4.0,4.0,2.0,33.0,387.0,,1.0,21.0,10.0,13.0,7.0,,2.0,2.0,,,,,,,,7.0,1.0,,,,,6.0,7.0,6.0,7.0,3.0,,91.0,58.0,,,1.0,,15.0,3.0,8.0,,,3.0,7.0,3.0,2.0,10.0,1.0,46.0,42.0,,15.0,8.0,1.0,,37.0,57.0,13.0,8.0,,,1.0,,,153.0,2.0,1.0,1.0,1.0,1.0,,9.0,,,1.0,,,,,2.0,8.0,,25.0,25.0,1.0,,4.0,112.0,60.0,35.0,4.0,1.0,2.0,7.0,5.0,446.0,,,4.0,,,77.0,37.0,16.0,,,,,1.0,122.0,122.0,2.0,33.0,17.0,47.7,,,,,15.0,0.0,,,,109.0,,2.0,2.0,,1.0,2.0,2.0,,,3.0,22.0,78.0,374.0,8.0,9.0,257.0,35.0,15.0,12.0,3.0,13.0,10.0,2.0,104.0,2.0,221.0,,,15.0,4.0,65.0,3.0,465.0,,0.0,10.0,16.0,1.0,21.0,0.0,644.0,20.0,14.0,,5.0,3.0,9.0,0.0
2128298,2.0,2020-09-20 16:30:00,8,Chelsea,Home,334.0,25.0,,2.0,2.0,1.0,,80.0,8.0,,9.0,7.0,7.0,35.0,412.0,,,9.0,3.0,11.0,2.0,,1.0,,,,,,,,,3.0,,1.0,,,,4.0,10.0,8.0,3.0,2.0,,81.0,55.0,,1.0,,2.0,18.0,,12.0,1.0,2.0,1.0,2.0,1.0,,4.0,1.0,37.0,50.0,2.0,34.0,19.0,1.0,,12.0,24.0,10.0,6.0,,,2.0,1.0,,143.0,,,,,,,10.0,,,,2.0,,,,2.0,19.0,,11.0,11.0,2.0,,9.0,142.0,41.0,19.0,11.0,,1.0,1.0,3.0,469.0,,,4.0,3.0,,35.0,23.0,9.0,,,,,1.0,113.0,113.0,1.0,35.0,10.0,38.7,,,,1.0,18.0,0.0,,,,122.0,3.0,1.0,3.0,,1.0,,2.0,,,3.0,6.0,29.0,395.0,9.0,2.0,376.0,40.0,34.0,26.0,,4.0,4.0,,45.0,5.0,116.0,2.0,1.0,18.0,7.0,62.0,1.0,488.0,,1.0,5.0,17.0,1.0,10.0,0.0,675.0,13.0,16.0,,16.0,1.0,9.0,0.0
2128314,3.0,2020-09-26 17:30:00,8,Chelsea,Away,311.0,11.0,1.0,8.0,7.0,1.0,,408.0,6.0,,2.0,2.0,9.0,22.0,711.0,,,17.0,12.0,17.0,14.0,,3.0,,,,,,1.0,,,18.0,,,1.0,,,7.0,5.0,4.0,10.0,12.0,,131.0,54.0,2.0,2.0,1.0,1.0,20.0,6.0,10.0,,1.0,9.0,16.0,12.0,,2.0,,45.0,41.0,1.0,11.0,8.0,1.0,,14.0,77.0,16.0,7.0,1.0,,2.0,,1.0,221.0,2.0,,1.0,2.0,,,6.0,,,2.0,,,,,,8.0,1.0,9.0,9.0,3.0,,2.0,233.0,72.0,61.0,3.0,1.0,5.0,11.0,10.0,779.0,,,2.0,,,85.0,147.0,43.0,,,,,,146.0,146.0,7.0,26.0,19.0,75.9,1.0,,1.0,,20.0,0.0,,,,212.0,,,,,,,6.0,,,3.0,8.0,174.0,694.0,7.0,16.0,334.0,18.0,11.0,12.0,9.0,37.0,28.0,,221.0,5.0,500.0,,,10.0,9.0,35.0,,797.0,1.0,0.0,22.0,12.0,,18.0,3.0,983.0,36.0,21.0,,5.0,9.0,9.0,0.0
2128318,4.0,2020-10-03 12:30:00,8,Chelsea,Home,323.0,30.0,2.0,7.0,5.0,2.0,1.0,320.0,5.0,,2.0,2.0,1.0,31.0,636.0,,,17.0,9.0,17.0,10.0,2.0,3.0,1.0,,,,,,,,11.0,2.0,,,,1.0,12.0,2.0,2.0,12.0,5.0,,112.0,41.0,1.0,1.0,2.0,2.0,15.0,5.0,9.0,,1.0,8.0,8.0,6.0,2.0,4.0,,44.0,46.0,2.0,14.0,3.0,,,28.0,70.0,17.0,11.0,,,4.0,2.0,,189.0,1.0,,1.0,,1.0,,5.0,,,1.0,,,,,1.0,3.0,,13.0,13.0,,,2.0,210.0,66.0,48.0,5.0,2.0,6.0,7.0,6.0,691.0,,,2.0,,,103.0,110.0,25.0,,,,,2.0,117.0,117.0,4.0,18.0,16.0,70.9,,,,,15.0,0.0,,,,196.0,,,,,,1.0,6.0,,,2.0,17.0,130.0,620.0,5.0,13.0,346.0,43.0,14.0,11.0,7.0,23.0,16.0,1.0,157.0,4.0,384.0,,,11.0,1.0,50.0,1.0,707.0,,0.0,17.0,14.0,2.0,18.0,2.0,876.0,21.0,18.0,,5.0,8.0,5.0,0.0
2128326,5.0,2020-10-17 15:00:00,8,Chelsea,Home,283.0,23.0,3.0,6.0,3.0,4.0,,191.0,6.0,,6.0,7.0,6.0,28.0,468.0,,,21.0,9.0,25.0,4.0,3.0,3.0,,,,,,,,,8.0,,,,,,5.0,9.0,4.0,11.0,,,95.0,62.0,1.0,,2.0,1.0,23.0,3.0,9.0,,,6.0,4.0,3.0,,6.0,2.0,41.0,56.0,1.0,29.0,14.0,2.0,,34.0,38.0,11.0,8.0,2.0,,1.0,,,193.0,2.0,,1.0,2.0,,,8.0,,,3.0,1.0,,,,1.0,14.0,,7.0,7.0,1.0,,6.0,147.0,77.0,50.0,2.0,1.0,3.0,6.0,5.0,552.0,,,2.0,2.0,,70.0,53.0,26.0,,,,,,162.0,162.0,3.0,24.0,29.0,53.4,,2.0,,2.0,23.0,0.0,,,,139.0,3.0,,3.0,,,,3.0,1.0,,3.0,17.0,96.0,449.0,12.0,9.0,334.0,40.0,29.0,14.0,6.0,13.0,7.0,,124.0,8.0,253.0,1.0,,26.0,6.0,56.0,3.0,574.0,1.0,0.0,11.0,16.0,1.0,22.0,1.0,787.0,31.0,30.0,,7.0,6.0,7.0,0.0
2128342,6.0,2020-10-24 17:30:00,8,Chelsea,Away,322.0,23.0,1.0,2.0,1.0,,,164.0,3.0,,2.0,2.0,4.0,31.0,484.0,,,15.0,11.0,8.0,4.0,,2.0,,,,,,,,,4.0,,,,,,4.0,7.0,7.0,4.0,2.0,,98.0,62.0,,,,1.0,34.0,3.0,8.0,,,6.0,9.0,3.0,,3.0,3.0,38.0,38.0,1.0,24.0,11.0,,1.0,33.0,44.0,6.0,8.0,,,2.0,2.0,,197.0,,,,,,,4.0,,,,,,,,,11.0,,13.0,13.0,,,2.0,149.0,63.0,40.0,9.0,,1.0,3.0,1.0,567.0,,,5.0,1.0,,68.0,57.0,28.0,,,,,,144.0,144.0,3.0,33.0,22.0,49.8,,,,,34.0,0.0,,,,138.0,,4.0,4.0,,3.0,,2.0,,,3.0,14.0,71.0,470.0,17.0,4.0,357.0,47.0,24.0,16.0,5.0,19.0,14.0,,110.0,,244.0,,,12.0,5.0,63.0,,582.0,1.0,0.0,6.0,17.0,,17.0,1.0,773.0,11.0,13.0,,6.0,6.0,12.0,0.0
2128347,7.0,2020-10-31 15:00:00,8,Chelsea,Away,335.0,36.0,2.0,4.0,3.0,1.0,,277.0,4.0,1.0,2.0,4.0,12.0,38.0,608.0,1.0,,18.0,9.0,14.0,5.0,2.0,4.0,,,,,1.0,1.0,,,9.0,,,,,,4.0,1.0,4.0,7.0,7.0,,115.0,59.0,2.0,,2.0,2.0,13.0,4.0,6.0,,,4.0,7.0,7.0,1.0,9.0,,41.0,45.0,2.0,13.0,7.0,,,33.0,42.0,15.0,10.0,2.0,,1.0,,1.0,180.0,3.0,1.0,3.0,2.0,1.0,,9.0,,,2.0,1.0,,,,2.0,7.0,,6.0,6.0,,,2.0,210.0,76.0,53.0,3.0,,,10.0,9.0,671.0,,,1.0,1.0,,81.0,69.0,33.0,,,,,,136.0,136.0,4.0,23.0,29.0,63.7,,,,,13.0,0.0,,,,188.0,,,,,,,1.0,,,3.0,21.0,127.0,594.0,7.0,10.0,365.0,59.0,13.0,12.0,3.0,16.0,14.0,,156.0,3.0,344.0,1.0,1.0,16.0,13.0,70.0,4.0,693.0,1.0,0.0,14.0,13.0,,19.0,0.0,856.0,25.0,20.0,,8.0,4.0,8.0,0.0
2128358,8.0,2020-11-07 17:30:00,8,Chelsea,Home,349.0,31.0,1.0,5.0,4.0,1.0,1.0,325.0,3.0,,6.0,1.0,13.0,45.0,669.0,2.0,1.0,20.0,14.0,13.0,11.0,,4.0,2.0,,,,1.0,1.0,,1.0,13.0,,,1.0,1.0,2.0,2.0,4.0,2.0,10.0,10.0,,111.0,50.0,4.0,1.0,3.0,2.0,16.0,6.0,3.0,,,6.0,7.0,3.0,2.0,6.0,1.0,33.0,43.0,2.0,14.0,9.0,,,30.0,65.0,5.0,14.0,2.0,,4.0,2.0,1.0,175.0,4.0,1.0,3.0,2.0,2.0,,3.0,,,2.0,1.0,,,,,9.0,2.0,10.0,10.0,1.0,,6.0,252.0,85.0,64.0,7.0,,3.0,12.0,9.0,743.0,,,2.0,,,106.0,108.0,25.0,,,,,,136.0,136.0,3.0,19.0,21.0,70.1,2.0,,3.0,1.0,16.0,0.0,,,,224.0,1.0,1.0,2.0,,1.0,2.0,5.0,,,2.0,16.0,135.0,650.0,10.0,15.0,382.0,47.0,14.0,8.0,4.0,16.0,12.0,2.0,174.0,3.0,396.0,1.0,,17.0,15.0,73.0,1.0,762.0,2.0,0.0,20.0,13.0,1.0,20.0,0.0,953.0,36.0,20.0,,3.0,6.0,5.0,0.0
2128372,9.0,2020-11-21 12:30:00,8,Chelsea,Away,291.0,29.0,2.0,5.0,4.0,1.0,,384.0,3.0,,2.0,1.0,13.0,34.0,670.0,,,13.0,15.0,19.0,10.0,2.0,2.0,1.0,,,,,,,1.0,12.0,,,,,,8.0,4.0,4.0,9.0,5.0,,94.0,47.0,3.0,3.0,1.0,3.0,7.0,5.0,7.0,,,4.0,4.0,8.0,,5.0,1.0,39.0,46.0,3.0,25.0,16.0,,,28.0,67.0,12.0,10.0,1.0,,2.0,1.0,,151.0,1.0,,1.0,1.0,,1.0,4.0,,,1.0,1.0,,,,,16.0,,9.0,9.0,,,2.0,242.0,78.0,63.0,7.0,,6.0,7.0,3.0,727.0,,,3.0,1.0,,106.0,104.0,28.0,,,,,,107.0,107.0,2.0,26.0,16.0,71.0,,,,,7.0,0.0,,,,259.0,1.0,,1.0,,1.0,1.0,6.0,,,3.0,17.0,145.0,655.0,3.0,13.0,311.0,50.0,25.0,6.0,3.0,15.0,13.0,2.0,185.0,3.0,450.0,2.0,,7.0,14.0,54.0,2.0,746.0,1.0,0.0,14.0,13.0,1.0,13.0,0.0,909.0,28.0,12.0,,5.0,4.0,6.0,0.0
2128378,10.0,2020-11-29 16:30:00,8,Chelsea,Home,263.0,17.0,,7.0,7.0,1.0,1.0,331.0,3.0,1.0,4.0,4.0,3.0,31.0,587.0,,,10.0,14.0,13.0,10.0,1.0,1.0,,,,,,,,,11.0,,,,,1.0,8.0,2.0,3.0,9.0,4.0,,77.0,60.0,,,,,14.0,3.0,9.0,,,3.0,7.0,15.0,,3.0,1.0,44.0,41.0,,11.0,6.0,,,24.0,67.0,20.0,9.0,,,1.0,1.0,,141.0,,,,,,,3.0,,,,1.0,,,,1.0,6.0,,9.0,9.0,1.0,,4.0,225.0,75.0,61.0,3.0,,6.0,5.0,3.0,644.0,,,1.0,1.0,,101.0,97.0,32.0,,,,,,115.0,115.0,3.0,21.0,32.0,60.3,,,,,14.0,0.0,,,,214.0,,1.0,1.0,,,,7.0,1.0,,3.0,11.0,147.0,575.0,7.0,11.0,279.0,29.0,11.0,8.0,3.0,26.0,23.0,,190.0,2.0,404.0,1.0,1.0,11.0,3.0,49.0,3.0,657.0,,0.0,13.0,13.0,,11.0,4.0,809.0,18.0,16.0,,6.0,3.0,8.0,0.0
