matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367546,1.0,2023-08-13 16:30:00,8,Chelsea,Home,316.0,44.0,,7.0,7.0,1.0,1.0,301.0,4.0,1.0,5.0,,6.0,36.0,610.0,,,23.0,6.0,12.0,7.0,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,,,6.0,,,,,,1.0,4.0,8.0,5.0,9.0,1.0,,118.0,70.0,5.0,4.0,1.0,2.0,9.0,2.0,10.0,,1.0,4.0,14.0,8.0,1.0,14.0,1.0,40.0,47.0,2.0,16.0,5.0,,,67.0,5.0,13.0,,,3.0,2.0,1.0,210.0,1.0,,1.0,,1.0,,6.0,,,,2.0,,,,,5.0,,7.0,7.0,,5.0,171.0,76.0,59.0,4.0,,3.0,6.0,4.0,672.0,,,5.0,3.0,,112.0,84.0,38.0,,,,,,157.0,157.0,7.0,23.0,33.0,64.9,,,1.0,,29.0,0.0,,,,199.0,,,,,1.0,1.0,4.0,,,4.0,145.0,587.0,9.0,9.0,347.0,65.0,16.0,15.0,2.0,26.0,24.0,1.0,188.0,2.0,377.0,2.0,1.0,5.0,7.0,56.0,3.0,698.0,2.0,0.0,10.0,13.0,4.0,23.0,3.0,905.0,36.0,25.0,10.0,4.0,9.0,0.0
2367556,2.0,2023-08-20 16:30:00,8,Chelsea,Away,251.0,12.0,3.0,10.0,7.0,,,389.0,5.0,,5.0,,8.0,7.0,630.0,,2.0,16.0,11.0,20.0,9.0,2.0,3.0,,,,,,,,,,,,12.0,,1.0,,,,1.0,7.0,7.0,5.0,11.0,6.0,,93.0,58.0,,1.0,,,5.0,4.0,5.0,,,9.0,20.0,5.0,,8.0,1.0,39.0,62.0,,13.0,11.0,,1.0,61.0,9.0,12.0,1.0,,6.0,2.0,,181.0,,,,,,,5.0,,,1.0,,,,,,11.0,,3.0,3.0,,5.0,211.0,63.0,46.0,3.0,,5.0,6.0,4.0,693.0,,,3.0,1.0,,79.0,114.0,43.0,1.0,1.0,1.0,,1.0,139.0,139.0,8.0,20.0,25.0,75.7,,,,,18.0,0.0,,,,231.0,2.0,1.0,3.0,,,,9.0,2.0,,4.0,194.0,607.0,5.0,11.0,264.0,31.0,13.0,21.0,7.0,34.0,27.0,,250.0,3.0,486.0,,,2.0,9.0,17.0,2.0,716.0,8.0,0.0,17.0,16.0,5.0,16.0,3.0,912.0,54.0,12.0,15.0,9.0,11.0,0.0
2367563,3.0,2023-08-25 20:00:00,8,Chelsea,Home,357.0,15.0,2.0,3.0,1.0,2.0,1.0,249.0,9.0,,2.0,,8.0,29.0,603.0,,4.0,13.0,6.0,14.0,9.0,3.0,3.0,2.0,,1.0,,,1.0,,,,,,13.0,,,1.0,1.0,,2.0,10.0,7.0,4.0,16.0,3.0,,90.0,50.0,4.0,3.0,2.0,,7.0,5.0,7.0,,,6.0,8.0,3.0,,11.0,,46.0,42.0,,12.0,6.0,,,44.0,15.0,11.0,3.0,,3.0,1.0,1.0,151.0,2.0,,1.0,2.0,,,11.0,,,3.0,,,,,,6.0,2.0,9.0,9.0,1.0,2.0,215.0,68.0,52.0,4.0,,4.0,10.0,8.0,629.0,,,5.0,,,50.0,77.0,30.0,,,,,,100.0,100.0,5.0,24.0,18.0,67.2,2.0,,,1.0,10.0,0.0,,,,197.0,1.0,,1.0,,1.0,2.0,6.0,1.0,,3.0,119.0,581.0,7.0,14.0,370.0,33.0,12.0,14.0,4.0,16.0,12.0,2.0,140.0,2.0,299.0,,,5.0,8.0,48.0,,653.0,,0.0,19.0,10.0,4.0,13.0,2.0,821.0,41.0,19.0,7.0,6.0,6.0,0.0
2367572,4.0,2023-09-02 15:00:00,8,Chelsea,Home,235.0,21.0,,5.0,5.0,1.0,1.0,402.0,5.0,2.0,7.0,2.0,8.0,17.0,632.0,1.0,1.0,24.0,13.0,24.0,12.0,1.0,1.0,1.0,,,,,2.0,,,,,,17.0,,,,,,1.0,2.0,4.0,3.0,11.0,10.0,,94.0,62.0,2.0,3.0,,,5.0,13.0,5.0,,,7.0,18.0,12.0,,14.0,,51.0,62.0,,11.0,7.0,,,96.0,10.0,9.0,,,3.0,1.0,2.0,225.0,,,,,,,5.0,,,,1.0,,,,,7.0,,6.0,6.0,,8.0,200.0,55.0,38.0,,,3.0,10.0,2.0,697.0,,,,2.0,,54.0,135.0,57.0,,,,,,163.0,163.0,8.0,18.0,28.0,76.1,,,,,17.0,0.0,,,,194.0,1.0,1.0,2.0,,,1.0,6.0,1.0,,4.0,193.0,616.0,5.0,13.0,247.0,43.0,11.0,22.0,7.0,38.0,31.0,1.0,248.0,3.0,504.0,1.0,2.0,4.0,10.0,33.0,2.0,713.0,2.0,0.0,21.0,16.0,1.0,26.0,3.0,946.0,46.0,19.0,13.0,8.0,7.0,0.0
2367578,5.0,2023-09-17 14:00:00,8,Chelsea,Away,269.0,21.0,,1.0,1.0,3.0,,248.0,10.0,1.0,9.0,,10.0,27.0,516.0,1.0,1.0,16.0,6.0,5.0,8.0,,3.0,,,,1.0,,1.0,,,,,,10.0,,,1.0,1.0,,,14.0,9.0,4.0,9.0,5.0,,96.0,53.0,1.0,1.0,,1.0,6.0,2.0,12.0,,,7.0,9.0,2.0,,6.0,2.0,52.0,39.0,1.0,15.0,6.0,,1.0,51.0,20.0,15.0,,,3.0,1.0,1.0,174.0,,,,,,,12.0,,,,3.0,,,,,6.0,2.0,5.0,5.0,1.0,9.0,182.0,51.0,39.0,1.0,,5.0,3.0,6.0,558.0,,,6.0,1.0,,57.0,81.0,28.0,,,,,,127.0,127.0,2.0,23.0,18.0,64.7,2.0,,,,18.0,0.0,,,,138.0,4.0,,4.0,,,,6.0,1.0,,3.0,127.0,486.0,6.0,8.0,297.0,35.0,15.0,18.0,2.0,14.0,12.0,,159.0,3.0,307.0,3.0,1.0,6.0,10.0,41.0,2.0,590.0,4.0,0.0,14.0,9.0,2.0,18.0,5.0,774.0,35.0,21.0,10.0,7.0,5.0,0.0
2367592,6.0,2023-09-24 14:00:00,8,Chelsea,Home,220.0,22.0,,1.0,1.0,,1.0,161.0,3.0,2.0,7.0,3.0,4.0,32.0,380.0,3.0,1.0,17.0,7.0,14.0,9.0,,,,,,,,,,,,,2.0,10.0,,,,,,,4.0,10.0,5.0,7.0,3.0,,67.0,68.0,3.0,3.0,,5.0,7.0,4.0,8.0,,1.0,5.0,7.0,2.0,,9.0,4.0,43.0,56.0,5.0,24.0,13.0,,,53.0,9.0,10.0,,,3.0,1.0,,148.0,,,,,,,4.0,,,,1.0,,,,2.0,13.0,,4.0,4.0,,7.0,122.0,55.0,42.0,11.0,,2.0,7.0,4.0,425.0,,,5.0,1.0,,30.0,76.0,28.0,,,,,,126.0,126.0,10.0,25.0,24.0,52.7,,,,,20.0,0.0,,,,106.0,4.0,2.0,6.0,,,,2.0,1.0,,4.0,88.0,364.0,7.0,9.0,239.0,34.0,24.0,21.0,4.0,14.0,10.0,,122.0,1.0,218.0,2.0,2.0,8.0,4.0,48.0,10.0,443.0,6.0,1.0,10.0,23.0,1.0,18.0,2.0,646.0,29.0,17.0,9.0,5.0,15.0,0.0
2367601,7.0,2023-10-02 20:00:00,8,Chelsea,Away,273.0,24.0,1.0,2.0,1.0,1.0,,124.0,7.0,,6.0,1.0,6.0,22.0,395.0,,3.0,13.0,10.0,9.0,3.0,1.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,9.0,,,,1.0,,,8.0,9.0,1.0,8.0,3.0,,76.0,64.0,2.0,2.0,2.0,2.0,10.0,1.0,3.0,,,1.0,3.0,,,9.0,,39.0,54.0,2.0,26.0,11.0,,,39.0,12.0,14.0,2.0,,2.0,,1.0,155.0,1.0,,1.0,1.0,,,8.0,,,2.0,1.0,,,,1.0,11.0,1.0,8.0,8.0,1.0,6.0,108.0,43.0,29.0,8.0,,4.0,1.0,4.0,436.0,,,3.0,2.0,,20.0,51.0,14.0,,,,,,111.0,111.0,10.0,25.0,19.0,44.3,1.0,,,,19.0,0.0,,,,123.0,2.0,1.0,3.0,,,2.0,6.0,,,5.0,55.0,373.0,10.0,5.0,300.0,35.0,26.0,15.0,1.0,4.0,3.0,2.0,85.0,3.0,166.0,1.0,,9.0,6.0,40.0,4.0,462.0,1.0,0.0,11.0,24.0,3.0,17.0,4.0,653.0,21.0,16.0,8.0,1.0,11.0,0.0
2367610,8.0,2023-10-07 15:00:00,8,Chelsea,Away,383.0,27.0,,1.0,1.0,1.0,,231.0,3.0,,1.0,,10.0,34.0,613.0,1.0,1.0,17.0,10.0,9.0,6.0,,,,,,,,,,,,,,8.0,1.0,,,,,,5.0,5.0,5.0,6.0,3.0,,106.0,53.0,2.0,,3.0,1.0,6.0,2.0,8.0,,,3.0,4.0,7.0,,10.0,,50.0,49.0,1.0,9.0,5.0,,,56.0,8.0,10.0,2.0,,2.0,,,156.0,2.0,,2.0,2.0,,,3.0,,,2.0,1.0,,,,,5.0,,9.0,9.0,,1.0,200.0,53.0,44.0,7.0,,2.0,6.0,5.0,644.0,,,4.0,,,55.0,76.0,27.0,,,,,1.0,108.0,108.0,10.0,21.0,20.0,62.4,,,3.0,,11.0,0.0,,,,202.0,,2.0,2.0,,1.0,,2.0,,1.0,3.0,96.0,593.0,6.0,8.0,404.0,45.0,9.0,22.0,2.0,13.0,11.0,,121.0,3.0,273.0,1.0,,3.0,11.0,51.0,2.0,664.0,1.0,0.0,9.0,22.0,6.0,18.0,4.0,839.0,30.0,18.0,8.0,3.0,13.0,0.0
2367621,9.0,2023-10-21 17:30:00,8,Chelsea,Home,259.0,18.0,2.0,3.0,1.0,3.0,,108.0,4.0,,4.0,7.0,3.0,23.0,364.0,,,15.0,15.0,16.0,7.0,,,,,,,,,,,1.0,,,10.0,1.0,,,,,,3.0,9.0,4.0,6.0,5.0,,77.0,64.0,,1.0,1.0,1.0,6.0,2.0,6.0,,1.0,2.0,2.0,3.0,,12.0,,48.0,49.0,1.0,17.0,8.0,1.0,,35.0,7.0,13.0,1.0,,2.0,1.0,,142.0,1.0,,,1.0,,,6.0,,,1.0,,,,,,8.0,,9.0,9.0,1.0,4.0,115.0,61.0,25.0,7.0,1.0,3.0,5.0,5.0,421.0,,,5.0,,,44.0,35.0,13.0,,,,,1.0,125.0,125.0,7.0,31.0,21.0,43.3,,2.0,,,14.0,0.0,,,,109.0,,1.0,1.0,,,,4.0,,,3.0,50.0,348.0,6.0,8.0,284.0,44.0,17.0,12.0,2.0,8.0,6.0,,77.0,4.0,167.0,,1.0,18.0,4.0,60.0,2.0,443.0,1.0,0.0,11.0,17.0,,18.0,3.0,618.0,26.0,16.0,4.0,2.0,10.0,0.0
2367632,10.0,2023-10-28 12:30:00,8,Chelsea,Home,166.0,17.0,3.0,4.0,2.0,2.0,,490.0,1.0,2.0,5.0,1.0,7.0,25.0,652.0,1.0,1.0,25.0,12.0,13.0,11.0,2.0,2.0,,,1.0,,,1.0,,,,,,14.0,,,1.0,,,,9.0,7.0,,12.0,5.0,,121.0,53.0,2.0,2.0,,1.0,5.0,7.0,10.0,,,10.0,9.0,5.0,,13.0,,53.0,45.0,1.0,12.0,8.0,,,86.0,12.0,7.0,,,3.0,2.0,1.0,179.0,,,,,,,3.0,,,,1.0,,,,,8.0,1.0,13.0,13.0,1.0,5.0,204.0,58.0,44.0,1.0,,6.0,7.0,2.0,717.0,,,1.0,1.0,,124.0,108.0,46.0,,,,,,132.0,132.0,6.0,19.0,23.0,68.8,1.0,,,,16.0,0.0,,,,226.0,3.0,,3.0,,,,8.0,,,4.0,299.0,642.0,5.0,13.0,185.0,32.0,12.0,20.0,8.0,23.0,16.0,,345.0,3.0,568.0,1.0,2.0,9.0,7.0,45.0,,730.0,4.0,0.0,17.0,11.0,4.0,27.0,1.0,921.0,45.0,13.0,14.0,10.0,8.0,0.0
