matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755304,1.0,2014-08-18 20:00:00,8,Chelsea,Away,288.0,13.0,1.0,3.0,2.0,4.0,,266.0,3.0,,1.0,11.0,27.0,41.0,551.0,,3.0,23.0,27.0,20.0,7.0,,,,,1.0,,1.0,,,8.0,,,,,,,1.0,5.0,4.0,,,,128.0,57.0,2.0,,3.0,4.0,20.0,4.0,3.0,,1.0,3.0,10.0,2.0,1.0,4.0,1.0,46.0,57.0,4.0,29.0,18.0,,1.0,61.0,7.0,6.0,1.0,,1.0,,1.0,225.0,2.0,1.0,2.0,1.0,1.0,,9.0,,,2.0,4.0,,,,,18.0,1.0,17.0,17.0,,1.0,163.0,118.0,55.0,4.0,1.0,3.0,6.0,3.0,642.0,,,1.0,2.0,,77.0,107.0,17.0,,,,,160.0,160.0,3.0,26.0,18.0,61.4,,,,,20.0,0.0,,,,152.0,,1.0,1.0,,1.0,,4.0,,3.0,134.0,538.0,12.0,9.0,312.0,27.0,29.0,20.0,3.0,15.0,12.0,,166.0,14.0,371.0,4.0,,45.0,29.0,95.0,1.0,668.0,,0.0,11.0,19.0,3.0,29.0,1.0,862.0,,10.0,12.0,3.0,17.0,0.0
755314,2.0,2014-08-23 15:00:00,8,Chelsea,Home,210.0,12.0,2.0,7.0,5.0,4.0,,261.0,3.0,,6.0,1.0,16.0,20.0,464.0,,2.0,19.0,15.0,27.0,19.0,1.0,,,,,,,,,21.0,,,,,1.0,1.0,8.0,,6.0,,,,82.0,58.0,1.0,1.0,1.0,5.0,8.0,8.0,6.0,,,8.0,14.0,1.0,,10.0,1.0,60.0,82.0,5.0,42.0,29.0,,1.0,55.0,11.0,10.0,1.0,,1.0,,,171.0,1.0,,,1.0,,,4.0,,,2.0,3.0,,,,,29.0,1.0,5.0,5.0,1.0,6.0,132.0,73.0,48.0,7.0,1.0,8.0,13.0,10.0,511.0,,,2.0,,,82.0,48.0,20.0,,,,,124.0,124.0,4.0,30.0,18.0,63.3,1.0,,,,8.0,0.0,,,,145.0,,4.0,4.0,,,,9.0,,3.0,146.0,448.0,4.0,21.0,225.0,27.0,42.0,40.0,7.0,22.0,15.0,1.0,182.0,6.0,327.0,3.0,,9.0,18.0,42.0,2.0,530.0,,0.0,27.0,23.0,3.0,23.0,0.0,777.0,,9.0,22.0,8.0,18.0,0.0
755325,3.0,2014-08-30 17:30:00,8,Chelsea,Away,130.0,6.0,1.0,1.0,,1.0,,129.0,4.0,,2.0,5.0,8.0,19.0,258.0,,3.0,9.0,15.0,10.0,5.0,1.0,,1.0,,,,,,1.0,10.0,,,,,,,8.0,8.0,8.0,,,,51.0,59.0,4.0,1.0,3.0,7.0,15.0,3.0,13.0,,2.0,2.0,3.0,4.0,1.0,6.0,1.0,60.0,56.0,7.0,31.0,14.0,,1.0,48.0,16.0,7.0,2.0,,1.0,,,154.0,5.0,,4.0,5.0,,,6.0,,,5.0,3.0,,,,,14.0,,15.0,15.0,3.0,4.0,70.0,71.0,32.0,8.0,2.0,1.0,10.0,8.0,326.0,,,6.0,1.0,,40.0,40.0,25.0,,,,,138.0,138.0,5.0,22.0,22.0,38.5,,,,,15.0,0.0,,,,80.0,2.0,1.0,3.0,,,1.0,1.0,,3.0,72.0,239.0,8.0,11.0,157.0,16.0,31.0,19.0,2.0,9.0,7.0,1.0,111.0,7.0,207.0,3.0,,20.0,11.0,50.0,1.0,355.0,1.0,0.0,12.0,30.0,3.0,13.0,3.0,542.0,,9.0,9.0,2.0,25.0,0.0
755334,4.0,2014-09-13 15:00:00,8,Chelsea,Home,143.0,13.0,2.0,4.0,2.0,1.0,1.0,369.0,4.0,,1.0,5.0,14.0,26.0,508.0,,,16.0,6.0,11.0,21.0,1.0,3.0,,,1.0,,2.0,1.0,,24.0,,,,,,1.0,7.0,7.0,6.0,17.0,13.0,,97.0,59.0,3.0,,3.0,3.0,15.0,9.0,12.0,,,7.0,11.0,3.0,,8.0,1.0,48.0,59.0,3.0,11.0,7.0,,,69.0,12.0,11.0,3.0,,6.0,2.0,2.0,178.0,4.0,1.0,3.0,3.0,1.0,,10.0,,,3.0,1.0,,,,,7.0,,11.0,11.0,,1.0,161.0,73.0,49.0,4.0,,10.0,16.0,9.0,549.0,,,1.0,,1.0,98.0,89.0,38.0,,,,,117.0,117.0,9.0,17.0,29.0,55.3,,,3.0,,15.0,0.0,,,,137.0,,1.0,1.0,,1.0,,12.0,2.0,3.0,217.0,492.0,11.0,26.0,150.0,22.0,11.0,30.0,5.0,21.0,16.0,1.0,253.0,4.0,444.0,1.0,,11.0,14.0,43.0,,573.0,1.0,0.0,30.0,17.0,2.0,22.0,0.0,768.0,53.0,11.0,20.0,7.0,17.0,0.0
755347,5.0,2014-09-21 16:00:00,8,Chelsea,Away,132.0,4.0,1.0,4.0,3.0,8.0,2.0,215.0,6.0,1.0,4.0,2.0,6.0,18.0,343.0,,,10.0,19.0,11.0,1.0,2.0,,1.0,,1.0,,2.0,,,2.0,,,,,1.0,2.0,9.0,8.0,8.0,4.0,2.0,,66.0,57.0,1.0,,1.0,3.0,13.0,2.0,12.0,,,2.0,3.0,4.0,,18.0,1.0,75.0,64.0,3.0,38.0,21.0,,1.0,59.0,12.0,16.0,,,6.0,3.0,2.0,150.0,1.0,,1.0,1.0,,1.0,8.0,,,1.0,2.0,,,,,21.0,1.0,9.0,9.0,2.0,5.0,96.0,62.0,38.0,14.0,,1.0,3.0,2.0,382.0,,,4.0,,,42.0,51.0,12.0,,,,,118.0,118.0,2.0,24.0,21.0,41.5,1.0,2.0,,,13.0,0.0,,,,97.0,2.0,1.0,3.0,,,1.0,2.0,,3.0,83.0,324.0,8.0,4.0,151.0,13.0,38.0,30.0,2.0,12.0,10.0,2.0,113.0,10.0,270.0,2.0,1.0,20.0,7.0,45.0,1.0,409.0,,0.0,6.0,21.0,1.0,12.0,4.0,611.0,7.0,8.0,16.0,2.0,19.0,0.0
755354,6.0,2014-09-27 15:00:00,8,Chelsea,Home,263.0,28.0,3.0,6.0,4.0,6.0,,386.0,6.0,1.0,6.0,3.0,25.0,59.0,643.0,1.0,,14.0,14.0,17.0,12.0,1.0,,,,,,,,1.0,16.0,,,,,,,8.0,2.0,5.0,,,,113.0,39.0,2.0,1.0,3.0,2.0,10.0,3.0,10.0,,,9.0,15.0,4.0,,5.0,1.0,44.0,36.0,2.0,23.0,12.0,,,87.0,11.0,9.0,1.0,,3.0,1.0,,197.0,2.0,,2.0,2.0,,,6.0,,,3.0,2.0,,,,,12.0,,11.0,11.0,1.0,6.0,186.0,72.0,61.0,2.0,2.0,6.0,9.0,8.0,683.0,,,1.0,,,128.0,84.0,20.0,,,,,102.0,102.0,1.0,14.0,18.0,62.5,,,,,10.0,0.0,,,,205.0,,1.0,1.0,,,,6.0,,3.0,209.0,626.0,5.0,15.0,272.0,39.0,23.0,10.0,6.0,25.0,20.0,1.0,248.0,7.0,454.0,2.0,1.0,7.0,25.0,70.0,5.0,701.0,1.0,0.0,17.0,5.0,2.0,17.0,2.0,857.0,,7.0,5.0,9.0,4.0,0.0
755364,7.0,2014-10-05 14:05:00,8,Chelsea,Home,159.0,18.0,,2.0,2.0,6.0,,191.0,7.0,2.0,,5.0,9.0,35.0,348.0,,1.0,17.0,11.0,23.0,2.0,,,,,,,,,1.0,4.0,1.0,,,,,,10.0,2.0,8.0,,,,90.0,59.0,2.0,1.0,2.0,2.0,17.0,1.0,27.0,,2.0,2.0,6.0,2.0,,17.0,,76.0,74.0,2.0,29.0,13.0,,,77.0,14.0,10.0,1.0,,5.0,3.0,,181.0,1.0,,1.0,1.0,,,12.0,,,1.0,1.0,,,,,13.0,,12.0,12.0,,,89.0,92.0,53.0,2.0,1.0,1.0,2.0,3.0,419.0,,,4.0,2.0,,78.0,71.0,11.0,,,,1.0,152.0,152.0,3.0,18.0,34.0,47.0,,,,,17.0,0.0,,,,81.0,,,,,,,1.0,,3.0,85.0,336.0,8.0,3.0,176.0,29.0,29.0,21.0,2.0,13.0,11.0,1.0,131.0,13.0,278.0,1.0,2.0,23.0,9.0,73.0,3.0,441.0,,0.0,5.0,29.0,2.0,26.0,4.0,648.0,,9.0,13.0,2.0,20.0,0.0
755375,8.0,2014-10-18 15:00:00,8,Chelsea,Away,336.0,8.0,1.0,3.0,2.0,1.0,,340.0,2.0,,4.0,2.0,29.0,18.0,673.0,,,22.0,13.0,10.0,10.0,1.0,,,1.0,,,1.0,,,10.0,,,,,,2.0,5.0,4.0,3.0,,,,123.0,54.0,1.0,,1.0,2.0,15.0,1.0,9.0,,,2.0,4.0,1.0,,9.0,1.0,44.0,55.0,2.0,25.0,15.0,,1.0,66.0,7.0,13.0,,,4.0,,1.0,202.0,1.0,,1.0,1.0,,,6.0,,,1.0,2.0,,,,,15.0,,10.0,10.0,1.0,4.0,221.0,87.0,55.0,3.0,2.0,8.0,4.0,5.0,731.0,,,,,,119.0,48.0,16.0,,,,,116.0,116.0,3.0,27.0,17.0,71.5,,,,1.0,15.0,0.0,,,,211.0,1.0,2.0,3.0,,,,8.0,,3.0,154.0,659.0,8.0,12.0,350.0,19.0,25.0,21.0,1.0,6.0,5.0,,200.0,3.0,413.0,2.0,,15.0,31.0,43.0,,757.0,,1.0,14.0,17.0,1.0,25.0,1.0,934.0,,11.0,15.0,2.0,14.0,0.0
755385,9.0,2014-10-26 16:00:00,8,Chelsea,Away,197.0,13.0,3.0,5.0,2.0,6.0,,159.0,9.0,,3.0,5.0,21.0,20.0,351.0,1.0,,14.0,12.0,20.0,7.0,1.0,,,,,,,,1.0,6.0,,,,,,,9.0,13.0,6.0,,,,74.0,50.0,2.0,2.0,,4.0,14.0,2.0,5.0,,1.0,7.0,6.0,1.0,,10.0,4.0,46.0,67.0,4.0,26.0,18.0,,,58.0,14.0,12.0,1.0,,4.0,2.0,,151.0,1.0,1.0,1.0,,1.0,,9.0,,,,4.0,,,,1.0,18.0,,6.0,6.0,,3.0,104.0,62.0,41.0,4.0,,3.0,6.0,4.0,401.0,,,2.0,3.0,,56.0,41.0,17.0,,,,,118.0,118.0,6.0,13.0,25.0,48.3,,,,1.0,14.0,0.0,,,,96.0,5.0,1.0,6.0,1.0,1.0,,3.0,1.0,3.0,89.0,330.0,6.0,9.0,217.0,23.0,26.0,21.0,7.0,16.0,9.0,2.0,131.0,11.0,224.0,4.0,,21.0,22.0,50.0,2.0,425.0,1.0,1.0,9.0,21.0,2.0,18.0,5.0,610.0,,8.0,15.0,7.0,16.0,0.0
755395,10.0,2014-11-01 15:00:00,8,Chelsea,Home,221.0,19.0,3.0,6.0,3.0,5.0,,276.0,4.0,,3.0,4.0,13.0,31.0,491.0,,,18.0,24.0,18.0,11.0,1.0,,,,,1.0,1.0,,,14.0,1.0,,,,,,4.0,3.0,4.0,,,,83.0,69.0,1.0,1.0,1.0,2.0,18.0,3.0,10.0,,,13.0,12.0,3.0,,21.0,,75.0,65.0,2.0,23.0,16.0,,1.0,72.0,8.0,10.0,,,4.0,1.0,1.0,213.0,1.0,,1.0,1.0,,,4.0,,,1.0,1.0,,,,1.0,16.0,,7.0,7.0,,3.0,141.0,81.0,51.0,2.0,2.0,5.0,8.0,8.0,558.0,,,3.0,2.0,,96.0,62.0,21.0,,,,1.0,156.0,156.0,8.0,24.0,33.0,64.5,,,,1.0,18.0,0.0,,,,139.0,,,,,,,7.0,,3.0,158.0,475.0,8.0,13.0,235.0,38.0,23.0,23.0,11.0,27.0,16.0,1.0,209.0,12.0,368.0,1.0,,9.0,15.0,54.0,2.0,576.0,2.0,0.0,18.0,27.0,2.0,21.0,0.0,793.0,,9.0,10.0,13.0,22.0,0.0
