matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694902,1,2013-08-18 16:00:00,8,Chelsea,Home,221.0,14.0,2.0,4.0,2.0,1.0,1.0,255.0,2.0,,6.0,4.0,16.0,20.0,472.0,,2.0,12.0,13.0,27.0,13.0,2.0,,,1.0,1.0,,2.0,,,,,1.0,17.0,,1.0,,,,1.0,6.0,2.0,5.0,,,85.0,59.0,1.0,1.0,1.0,1.0,18.0,7.0,17.0,,1.0,5.0,3.0,3.0,,9.0,,53.0,60.0,1.0,27.0,21.0,,,72.0,8.0,16.0,,,6.0,1.0,2.0,188.0,1.0,,1.0,1.0,,,6.0,1.0,3.0,1.0,21.0,,10.0,10.0,,6.0,142.0,89.0,60.0,1.0,2.0,7.0,9.0,6.0,535.0,4.0,,,54.0,49.0,20.0,,,,1.0,127.0,127.0,4.0,21.0,25.0,51.4,,1.0,18.0,0.0,136.0,1.0,1.0,2.0,,,,10.0,,,3.0,118.0,461.0,9.0,16.0,232.0,23.0,27.0,12.0,5.0,12.0,7.0,,166.0,3.0,331.0,3.0,,16.0,18.0,39.0,1.0,551.0,,0.0,23.0,14.0,2.0,13.0,0.0,738.0,,18.0,5.0,5.0,10.0,0.0
694916,2,2013-08-26 20:00:00,8,Chelsea,Away,150.0,9.0,1.0,4.0,3.0,2.0,,221.0,3.0,,1.0,8.0,13.0,30.0,367.0,,,15.0,23.0,19.0,5.0,,,,,,,,,1.0,,,,8.0,,,,,,,3.0,7.0,5.0,,,67.0,52.0,,,,5.0,24.0,1.0,7.0,,,1.0,5.0,6.0,,9.0,2.0,60.0,49.0,5.0,26.0,16.0,,,62.0,10.0,9.0,,,,,,162.0,,,,,,,11.0,,1.0,1.0,16.0,,6.0,6.0,1.0,2.0,109.0,87.0,43.0,4.0,,3.0,2.0,4.0,433.0,2.0,,,66.0,56.0,15.0,,,,,138.0,138.0,,18.0,27.0,44.8,,1.0,24.0,0.0,110.0,,3.0,3.0,,,,3.0,,,3.0,93.0,360.0,13.0,5.0,166.0,22.0,26.0,23.0,1.0,12.0,11.0,,135.0,7.0,294.0,1.0,,24.0,13.0,52.0,1.0,448.0,,0.0,8.0,15.0,1.0,21.0,2.0,635.0,,11.0,10.0,1.0,12.0,0.0
694922,3,2013-08-21 19:45:00,8,Chelsea,Home,298.0,13.0,,1.0,1.0,2.0,1.0,297.0,4.0,1.0,3.0,4.0,27.0,36.0,594.0,,,22.0,22.0,18.0,11.0,1.0,,,,1.0,,1.0,,,,,,13.0,,,,,,1.0,5.0,4.0,3.0,,,101.0,48.0,1.0,,1.0,1.0,9.0,3.0,6.0,,,1.0,6.0,2.0,1.0,4.0,,49.0,53.0,1.0,28.0,22.0,,,93.0,13.0,14.0,,,4.0,2.0,1.0,209.0,1.0,1.0,1.0,,1.0,,6.0,,2.0,1.0,23.0,,4.0,4.0,,3.0,178.0,97.0,62.0,2.0,,7.0,6.0,3.0,656.0,,,,82.0,68.0,21.0,,,,,129.0,128.0,2.0,19.0,24.0,69.2,,,9.0,0.0,189.0,2.0,,2.0,,1.0,,9.0,,,3.0,118.0,575.0,6.0,13.0,309.0,40.0,29.0,15.0,,10.0,10.0,1.0,175.0,5.0,378.0,2.0,1.0,10.0,28.0,57.0,5.0,677.0,,0.0,15.0,16.0,1.0,24.0,1.0,856.0,,14.0,6.0,1.0,13.0,0.0
694932,4,2013-09-14 17:30:00,8,Chelsea,Away,175.0,17.0,4.0,11.0,7.0,1.0,1.0,245.0,6.0,,4.0,4.0,10.0,31.0,409.0,,,19.0,17.0,18.0,12.0,4.0,,1.0,,,,,,,,,1.0,18.0,,,,,,1.0,3.0,8.0,3.0,,,68.0,66.0,2.0,2.0,,2.0,17.0,1.0,18.0,,,7.0,17.0,10.0,,13.0,3.0,68.0,56.0,2.0,11.0,5.0,,,84.0,14.0,10.0,,,2.0,1.0,,192.0,,,,,,,7.0,,,2.0,5.0,,11.0,11.0,,5.0,117.0,73.0,53.0,5.0,,9.0,7.0,6.0,478.0,1.0,4.0,,65.0,66.0,31.0,,,,,146.0,146.0,4.0,20.0,36.0,56.5,,,17.0,0.0,114.0,3.0,1.0,4.0,,,1.0,15.0,,,3.0,111.0,398.0,11.0,16.0,190.0,39.0,11.0,19.0,7.0,35.0,28.0,2.0,162.0,5.0,336.0,,,11.0,11.0,48.0,,491.0,,0.0,22.0,19.0,3.0,21.0,4.0,699.0,,9.0,9.0,7.0,15.0,0.0
694942,5,2013-09-21 17:30:00,8,Chelsea,Home,236.0,12.0,5.0,11.0,6.0,2.0,1.0,305.0,4.0,2.0,2.0,1.0,9.0,39.0,530.0,,,18.0,14.0,15.0,15.0,3.0,,1.0,,,,1.0,,,,,,18.0,,,,,,1.0,3.0,3.0,1.0,,,79.0,53.0,1.0,,2.0,2.0,13.0,8.0,3.0,,1.0,13.0,13.0,10.0,,8.0,,43.0,57.0,2.0,15.0,7.0,,,72.0,11.0,9.0,,,2.0,3.0,1.0,177.0,1.0,,1.0,,1.0,,7.0,1.0,,,7.0,,2.0,2.0,,2.0,172.0,88.0,61.0,3.0,2.0,6.0,13.0,9.0,596.0,,,,92.0,90.0,31.0,,,,,128.0,128.0,4.0,24.0,23.0,64.4,,1.0,13.0,0.0,176.0,1.0,,1.0,,1.0,1.0,7.0,,,3.0,157.0,522.0,11.0,19.0,246.0,26.0,15.0,14.0,12.0,38.0,26.0,1.0,206.0,4.0,396.0,,2.0,9.0,10.0,57.0,1.0,604.0,2.0,0.0,24.0,27.0,,20.0,0.0,793.0,,5.0,6.0,13.0,24.0,0.0
694960,6,2013-09-28 12:45:00,8,Chelsea,Away,140.0,23.0,1.0,4.0,3.0,3.0,1.0,120.0,6.0,,5.0,4.0,8.0,21.0,256.0,,1.0,23.0,7.0,24.0,6.0,1.0,,,,,,1.0,,,,,1.0,7.0,,,,,,2.0,2.0,3.0,9.0,,,40.0,51.0,2.0,1.0,1.0,1.0,14.0,3.0,23.0,,1.0,5.0,13.0,2.0,1.0,6.0,2.0,57.0,61.0,1.0,24.0,17.0,,,61.0,14.0,15.0,,1.0,4.0,2.0,1.0,150.0,1.0,1.0,1.0,,1.0,,8.0,,2.0,,17.0,,12.0,12.0,2.0,5.0,65.0,85.0,51.0,4.0,,3.0,5.0,5.0,323.0,3.0,,,59.0,35.0,23.0,,,,,145.0,145.0,,18.0,23.0,46.5,,,14.0,0.0,88.0,1.0,1.0,2.0,1.0,,,3.0,,,3.0,49.0,244.0,7.0,8.0,157.0,42.0,24.0,11.0,4.0,21.0,17.0,,97.0,8.0,207.0,2.0,,13.0,8.0,46.0,10.0,343.0,,1.0,11.0,21.0,2.0,26.0,1.0,548.0,,11.0,3.0,5.0,19.0,0.0
694966,7,2013-10-06 13:30:00,8,Chelsea,Away,175.0,20.0,3.0,7.0,4.0,4.0,,269.0,8.0,,4.0,5.0,15.0,34.0,437.0,,1.0,7.0,7.0,18.0,11.0,,,1.0,,,1.0,2.0,,1.0,,,,19.0,,,,,,,1.0,7.0,7.0,,,89.0,55.0,,,1.0,3.0,5.0,6.0,7.0,,,6.0,10.0,2.0,,7.0,1.0,37.0,56.0,3.0,22.0,13.0,,,75.0,9.0,12.0,1.0,,2.0,,2.0,168.0,1.0,,1.0,1.0,,1.0,13.0,3.0,2.0,,13.0,,9.0,9.0,1.0,4.0,123.0,91.0,57.0,4.0,2.0,6.0,6.0,8.0,490.0,4.0,1.0,,68.0,73.0,18.0,,,,,117.0,117.0,2.0,24.0,21.0,55.2,,,5.0,0.0,126.0,2.0,,3.0,,1.0,1.0,8.0,,,3.0,116.0,426.0,3.0,12.0,182.0,36.0,22.0,17.0,5.0,17.0,12.0,1.0,161.0,10.0,341.0,2.0,,17.0,16.0,57.0,2.0,506.0,,0.0,22.0,16.0,3.0,9.0,1.0,691.0,,14.0,10.0,6.0,13.0,0.0
694972,8,2013-10-19 15:00:00,8,Chelsea,Home,234.0,17.0,2.0,4.0,2.0,1.0,,254.0,3.0,1.0,8.0,6.0,17.0,38.0,484.0,,,19.0,10.0,14.0,10.0,2.0,,2.0,,1.0,,2.0,,,,1.0,,16.0,,,,,1.0,,3.0,7.0,6.0,,,86.0,57.0,2.0,1.0,1.0,2.0,6.0,4.0,8.0,,,6.0,11.0,4.0,,7.0,2.0,42.0,41.0,2.0,33.0,23.0,1.0,,79.0,12.0,5.0,3.0,,3.0,1.0,2.0,176.0,4.0,,1.0,4.0,,,6.0,4.0,2.0,,23.0,1.0,6.0,6.0,,8.0,135.0,74.0,54.0,9.0,1.0,6.0,10.0,7.0,550.0,5.0,3.0,,95.0,49.0,18.0,,,,,121.0,121.0,3.0,25.0,20.0,64.9,1.0,2.0,6.0,0.0,157.0,2.0,,2.0,,,2.0,9.0,,,3.0,124.0,482.0,2.0,16.0,250.0,34.0,33.0,16.0,6.0,22.0,16.0,2.0,169.0,6.0,326.0,2.0,1.0,15.0,18.0,56.0,3.0,554.0,1.0,0.0,20.0,15.0,,21.0,1.0,753.0,,8.0,9.0,6.0,13.0,0.0
694982,9,2013-10-27 16:00:00,8,Chelsea,Home,141.0,17.0,1.0,8.0,7.0,2.0,3.0,199.0,6.0,,7.0,5.0,9.0,30.0,332.0,,1.0,11.0,15.0,11.0,5.0,3.0,,,,1.0,,1.0,,,,,1.0,7.0,,,,,1.0,2.0,5.0,10.0,5.0,,,49.0,43.0,3.0,2.0,2.0,2.0,10.0,1.0,9.0,,,3.0,4.0,6.0,,7.0,3.0,57.0,67.0,2.0,31.0,20.0,,,60.0,11.0,15.0,2.0,,4.0,5.0,1.0,153.0,1.0,,1.0,1.0,,,11.0,2.0,1.0,,20.0,1.0,12.0,12.0,4.0,7.0,96.0,70.0,48.0,6.0,,6.0,3.0,4.0,381.0,3.0,4.0,,53.0,52.0,21.0,,,,,127.0,127.0,1.0,16.0,17.0,45.5,1.0,1.0,10.0,0.0,98.0,5.0,,5.0,,,,7.0,,,3.0,91.0,319.0,6.0,9.0,155.0,28.0,31.0,31.0,3.0,18.0,15.0,,125.0,7.0,259.0,1.0,,11.0,9.0,43.0,4.0,396.0,,0.0,12.0,26.0,1.0,17.0,2.0,623.0,,12.0,16.0,3.0,18.0,0.0
694996,10,2013-11-02 12:45:00,8,Chelsea,Away,224.0,15.0,2.0,7.0,5.0,,,226.0,4.0,,5.0,2.0,13.0,41.0,443.0,,,17.0,16.0,24.0,5.0,3.0,,,,,,,,,,,,9.0,,,1.0,,,1.0,,8.0,7.0,,,77.0,44.0,,,,3.0,7.0,5.0,7.0,,2.0,8.0,14.0,8.0,,5.0,4.0,43.0,64.0,3.0,32.0,27.0,,,70.0,11.0,13.0,,,2.0,1.0,,174.0,,,,,,,9.0,,,,27.0,2.0,8.0,8.0,,5.0,139.0,81.0,48.0,3.0,,4.0,4.0,2.0,517.0,4.0,1.0,,48.0,63.0,30.0,,,,,148.0,148.0,3.0,14.0,21.0,60.9,1.0,,7.0,0.0,145.0,4.0,2.0,6.0,,,,6.0,2.0,,3.0,106.0,428.0,5.0,8.0,233.0,37.0,32.0,14.0,7.0,30.0,23.0,,167.0,3.0,332.0,,,19.0,14.0,62.0,4.0,535.0,,0.0,13.0,18.0,1.0,18.0,2.0,741.0,,12.0,9.0,8.0,16.0,0.0
