matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTotal,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292816,1,2022-08-06 15:00:00,17,Nott'm Forest,Away,125.0,11.0,,3.0,3.0,,1.0,85.0,8.0,1.0,13.0,3.0,2.0,18.0,207.0,,,20.0,12.0,16.0,2.0,,,,,,,5.0,,,,,,,5.0,16.0,7.0,4.0,1.0,41.0,67.0,,,,1.0,13.0,2.0,12.0,1.0,,1.0,5.0,2.0,,8.0,2.0,57.0,45.0,1.0,36.0,16.0,,,20.0,45.0,14.0,9.0,,,2.0,1.0,,127.0,,,,,,,12.0,,1.0,,16.0,,10.0,10.0,2.0,13.0,68.0,62.0,22.0,11.0,,1.0,1.0,,267.0,6.0,2.0,55.0,22.0,16.0,,,,,,135.0,135.0,1.0,40.0,11.0,38.6,,,,,13.0,0.0,58.0,5.0,3.0,7.0,1.0,,3.0,,,3.0,7.0,34.0,190.0,7.0,2.0,149.0,41.0,36.0,16.0,1.0,9.0,8.0,,69.0,4.0,154.0,1.0,1.0,10.0,4.0,57.0,,294.0,,0.0,5.0,15.0,,26.0,3.0,504.0,8.0,15.0,5.0,1.0,11.0,0.0
2292827,2,2022-08-14 14:00:00,17,Nott'm Forest,Home,101.0,15.0,2.0,4.0,2.0,2.0,,93.0,5.0,2.0,8.0,2.0,5.0,14.0,190.0,,1.0,14.0,20.0,18.0,6.0,1.0,3.0,,1.0,1.0,,8.0,,,,,,1.0,3.0,10.0,9.0,10.0,3.0,34.0,57.0,2.0,2.0,1.0,3.0,24.0,3.0,8.0,1.0,1.0,6.0,10.0,4.0,,12.0,3.0,53.0,51.0,3.0,29.0,12.0,,,16.0,52.0,10.0,10.0,1.0,,2.0,,1.0,140.0,,,,,,,10.0,1.0,4.0,1.0,12.0,1.0,5.0,5.0,,8.0,56.0,67.0,18.0,7.0,,2.0,5.0,6.0,262.0,6.0,1.0,49.0,33.0,28.0,,1.0,1.0,1.0,,153.0,153.0,4.0,20.0,21.0,43.2,,,,1.0,24.0,0.0,58.0,4.0,1.0,4.0,1.0,,4.0,,,3.0,10.0,67.0,179.0,14.0,7.0,125.0,46.0,29.0,11.0,6.0,20.0,14.0,,115.0,3.0,183.0,4.0,2.0,21.0,5.0,59.0,3.0,288.0,,0.0,13.0,16.0,5.0,17.0,4.0,497.0,20.0,16.0,7.0,6.0,8.0,0.0
2292832,3,2022-08-20 15:00:00,17,Nott'm Forest,Away,193.0,12.0,1.0,3.0,2.0,2.0,,136.0,6.0,1.0,9.0,6.0,3.0,22.0,326.0,,,16.0,10.0,15.0,7.0,1.0,1.0,,1.0,1.0,,12.0,,,,,,,5.0,9.0,10.0,7.0,7.0,49.0,73.0,,,1.0,1.0,4.0,3.0,9.0,,,2.0,9.0,4.0,,6.0,4.0,41.0,46.0,1.0,20.0,6.0,,1.0,16.0,64.0,9.0,4.0,1.0,,1.0,,1.0,159.0,,,,,,,12.0,1.0,1.0,,6.0,,2.0,2.0,,9.0,120.0,76.0,36.0,6.0,,2.0,6.0,5.0,420.0,5.0,3.0,51.0,45.0,22.0,,,,,,164.0,164.0,6.0,33.0,21.0,51.7,,2.0,,,11.0,0.0,116.0,4.0,3.0,7.0,,,6.0,,,3.0,5.0,67.0,310.0,4.0,8.0,228.0,45.0,20.0,12.0,2.0,15.0,13.0,,118.0,6.0,231.0,2.0,1.0,24.0,5.0,72.0,1.0,444.0,1.0,0.0,14.0,22.0,1.0,19.0,2.0,614.0,17.0,14.0,5.0,2.0,17.0,0.0
2292847,4,2022-08-28 16:30:00,17,Nott'm Forest,Home,214.0,19.0,2.0,5.0,3.0,,,272.0,7.0,2.0,2.0,1.0,4.0,26.0,481.0,,,16.0,15.0,15.0,12.0,,4.0,,,1.0,,12.0,,,,,,,4.0,11.0,7.0,9.0,8.0,74.0,59.0,,,,,10.0,7.0,6.0,1.0,1.0,6.0,12.0,5.0,,4.0,2.0,42.0,55.0,,7.0,2.0,,,27.0,73.0,11.0,11.0,,,3.0,1.0,1.0,165.0,,,,,,,9.0,,1.0,2.0,2.0,,13.0,13.0,1.0,2.0,176.0,70.0,42.0,1.0,,7.0,5.0,1.0,542.0,5.0,,90.0,68.0,37.0,,1.0,1.0,1.0,,135.0,135.0,10.0,19.0,28.0,55.3,,,,,13.0,0.0,153.0,4.0,1.0,4.0,,,9.0,1.0,,5.0,12.0,140.0,458.0,10.0,12.0,228.0,39.0,7.0,16.0,6.0,24.0,18.0,,191.0,1.0,364.0,1.0,2.0,10.0,4.0,56.0,1.0,568.0,,0.0,17.0,21.0,,17.0,6.0,756.0,40.0,15.0,8.0,6.0,11.0,0.0
2292858,5,2022-08-31 19:30:00,17,Nott'm Forest,Away,138.0,15.0,,3.0,3.0,,,57.0,6.0,2.0,5.0,1.0,1.0,16.0,192.0,,,12.0,17.0,8.0,6.0,,1.0,2.0,,1.0,,6.0,,,,,,,2.0,12.0,5.0,4.0,4.0,52.0,46.0,2.0,2.0,,3.0,9.0,3.0,7.0,,,1.0,4.0,2.0,,7.0,2.0,42.0,37.0,3.0,24.0,8.0,1.0,,18.0,23.0,7.0,9.0,,,1.0,,1.0,109.0,,,,,,,9.0,,1.0,2.0,8.0,,14.0,14.0,1.0,5.0,49.0,47.0,16.0,10.0,,4.0,2.0,1.0,234.0,2.0,,31.0,26.0,12.0,,,,,,94.0,94.0,1.0,25.0,13.0,25.1,,,,,9.0,0.0,51.0,2.0,1.0,3.0,,2.0,4.0,,,5.0,9.0,27.0,173.0,7.0,6.0,162.0,39.0,24.0,12.0,1.0,7.0,6.0,2.0,45.0,2.0,106.0,1.0,2.0,11.0,1.0,50.0,2.0,261.0,,0.0,8.0,14.0,,12.0,1.0,407.0,7.0,6.0,6.0,1.0,8.0,0.0
2292867,6,2022-09-03 15:00:00,17,Nott'm Forest,Home,208.0,19.0,1.0,5.0,4.0,2.0,1.0,199.0,5.0,,6.0,3.0,1.0,31.0,402.0,,,18.0,12.0,12.0,7.0,,2.0,,,,,8.0,1.0,,,,,,9.0,6.0,2.0,8.0,3.0,81.0,50.0,,,1.0,2.0,17.0,5.0,5.0,,1.0,4.0,13.0,10.0,,9.0,,42.0,41.0,2.0,17.0,9.0,1.0,,20.0,60.0,13.0,8.0,1.0,,1.0,1.0,,163.0,1.0,1.0,1.0,,1.0,,6.0,,,,9.0,,9.0,9.0,1.0,6.0,112.0,63.0,35.0,6.0,1.0,2.0,6.0,3.0,466.0,3.0,,68.0,85.0,39.0,,,,,1.0,136.0,136.0,6.0,22.0,16.0,52.7,,3.0,,1.0,17.0,0.0,130.0,,,,,,3.0,1.0,,3.0,13.0,95.0,383.0,11.0,8.0,231.0,51.0,17.0,11.0,3.0,27.0,24.0,,133.0,3.0,282.0,,,17.0,1.0,66.0,1.0,486.0,,0.0,11.0,13.0,,20.0,2.0,665.0,22.0,15.0,8.0,4.0,7.0,0.0
2292874,7,2023-04-04 19:45:00,17,Nott'm Forest,Away,116.0,10.0,2.0,3.0,1.0,2.0,1.0,85.0,6.0,1.0,9.0,2.0,1.0,10.0,198.0,,1.0,8.0,23.0,15.0,3.0,2.0,4.0,,,,,3.0,,,,1.0,,1.0,6.0,13.0,8.0,9.0,4.0,30.0,66.0,,,,2.0,18.0,8.0,15.0,,,4.0,5.0,1.0,,7.0,1.0,65.0,54.0,2.0,31.0,12.0,1.0,,26.0,54.0,13.0,11.0,,,,1.0,,139.0,1.0,,1.0,1.0,,,8.0,1.0,,1.0,12.0,1.0,8.0,8.0,1.0,9.0,64.0,68.0,27.0,11.0,1.0,1.0,5.0,1.0,273.0,9.0,,50.0,29.0,24.0,,,,,,157.0,157.0,2.0,36.0,19.0,37.6,1.0,3.0,,,33.0,0.0,63.0,2.0,2.0,4.0,2.0,,4.0,1.0,,5.0,16.0,34.0,182.0,18.0,6.0,142.0,34.0,31.0,18.0,4.0,11.0,7.0,,79.0,9.0,165.0,,1.0,14.0,3.0,46.0,3.0,296.0,2.0,0.0,13.0,18.0,2.0,25.0,4.0,524.0,20.0,16.0,10.0,4.0,5.0,0.0
2292887,8,2022-09-16 20:00:00,17,Nott'm Forest,Home,182.0,9.0,2.0,3.0,1.0,4.0,,100.0,4.0,,10.0,7.0,3.0,22.0,279.0,,,16.0,15.0,19.0,5.0,1.0,3.0,,,1.0,,7.0,,,,,,,5.0,10.0,5.0,7.0,4.0,64.0,54.0,2.0,1.0,2.0,4.0,3.0,3.0,9.0,,,2.0,7.0,5.0,,10.0,3.0,46.0,40.0,4.0,22.0,10.0,,,22.0,42.0,11.0,10.0,1.0,,1.0,,1.0,144.0,1.0,,,,1.0,,6.0,1.0,,1.0,10.0,,8.0,8.0,,10.0,80.0,65.0,31.0,10.0,,5.0,2.0,3.0,355.0,5.0,2.0,58.0,33.0,19.0,,,,,,142.0,142.0,1.0,21.0,22.0,40.8,,3.0,,1.0,9.0,0.0,87.0,3.0,1.0,4.0,,,5.0,,1.0,5.0,10.0,39.0,262.0,3.0,7.0,213.0,32.0,22.0,4.0,2.0,14.0,12.0,,71.0,10.0,176.0,,,20.0,4.0,56.0,2.0,375.0,,0.0,11.0,10.0,2.0,19.0,2.0,541.0,10.0,16.0,2.0,2.0,3.0,0.0
2292895,9,2022-10-03 20:00:00,17,Nott'm Forest,Away,248.0,16.0,1.0,4.0,3.0,2.0,,118.0,5.0,,4.0,5.0,10.0,19.0,362.0,,3.0,16.0,12.0,11.0,7.0,,2.0,,,,,8.0,,,,1.0,,,7.0,10.0,7.0,8.0,2.0,83.0,51.0,3.0,3.0,,1.0,6.0,2.0,5.0,,,6.0,2.0,3.0,,5.0,1.0,39.0,46.0,1.0,15.0,7.0,,,26.0,35.0,12.0,11.0,,,2.0,2.0,,161.0,,,,,,,8.0,,,1.0,7.0,1.0,13.0,13.0,3.0,4.0,130.0,63.0,30.0,6.0,,3.0,4.0,3.0,436.0,3.0,2.0,34.0,72.0,21.0,,,,,,139.0,139.0,1.0,26.0,17.0,48.4,1.0,,,,17.0,0.0,90.0,3.0,,4.0,,,5.0,,,5.0,11.0,46.0,341.0,6.0,7.0,285.0,38.0,15.0,17.0,6.0,13.0,7.0,,77.0,8.0,192.0,,,25.0,10.0,61.0,4.0,464.0,,0.0,10.0,13.0,3.0,18.0,4.0,625.0,15.0,9.0,11.0,6.0,9.0,0.0
2292908,10,2022-10-10 20:00:00,17,Nott'm Forest,Home,130.0,20.0,,4.0,4.0,2.0,1.0,120.0,7.0,1.0,8.0,6.0,1.0,27.0,246.0,,,14.0,9.0,21.0,4.0,,,,,,,5.0,,,,,,1.0,6.0,6.0,6.0,2.0,4.0,47.0,61.0,,,,2.0,4.0,2.0,7.0,,,1.0,4.0,5.0,,10.0,1.0,48.0,62.0,2.0,23.0,10.0,,,15.0,51.0,13.0,19.0,1.0,,4.0,2.0,,141.0,1.0,1.0,1.0,,1.0,,7.0,,3.0,1.0,10.0,,7.0,7.0,2.0,8.0,65.0,55.0,27.0,4.0,,1.0,4.0,3.0,304.0,8.0,1.0,53.0,40.0,16.0,,,,,,141.0,141.0,,31.0,21.0,39.9,,2.0,,,18.0,0.0,80.0,1.0,,1.0,,,1.0,,,3.0,5.0,66.0,222.0,4.0,5.0,163.0,43.0,23.0,19.0,1.0,12.0,11.0,,104.0,3.0,182.0,3.0,1.0,17.0,1.0,53.0,,333.0,,0.0,6.0,14.0,1.0,23.0,3.0,527.0,9.0,16.0,9.0,1.0,9.0,0.0
