season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025053,1,31,Crystal_Palace,Away,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025053,1,31,Crystal_Palace,Away,845286,232185,Ismaïla Sarr,ismaila-sarr,F,False,,,,7.0,5.0,12.0,2.0,,,3.0,,,,2.0,1.0,4.0,10.0,3.0,,,0.0134351,,,2.0,0.0,,,,,,1.0,,0.57,5.47,1.61,0.3,2.97,90.0,,1.0,,,,,,12.0,,,7.0,,,,,,3.0,,,,2.0,,10.0,5.0,15.0,,,0,,34.0,5.0,3.0,,
2025-26,14025053,1,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,2.0,8.0,2.0,10.0,5.0,3.0,,3.0,,1.0,1.0,2.0,,2.0,10.0,5.0,,,0.0040088,0.2915,0.1872,1.0,0.0,,,,,1.0,,,0.44,5.22,1.36,0.13,3.21,90.0,2.0,,,,,,,7.0,,,6.4,,,,,,4.0,,,,4.0,,12.0,2.0,14.0,,,3,1.0,30.0,1.0,1.0,,1.0
2025-26,14025074,2,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,0.0,,,,,,,,,,,,,8.0,,,,,,,,1.0,,,6.6,,,,,,,,,,,,,,,,,0,1.0,5.0,,1.0,,1.0
2025-26,14025074,2,31,Crystal_Palace,Home,845286,232185,Ismaïla Sarr,ismaila-sarr,F,False,,,1.0,9.0,1.0,10.0,3.0,,,2.0,,,,,,3.0,8.0,3.0,,,0.0370815,0.5505,0.574,2.0,0.0,1.0,,,,,,,,,,,,90.0,1.0,,,,,,,14.0,,,7.5,,,,,,,1.0,3.0,,1.0,1.0,13.0,2.0,15.0,,,1,2.0,31.0,2.0,1.0,,
2025-26,14025074,2,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,3.0,2.0,5.0,3.0,1.0,,,,,,,,1.0,5.0,3.0,,,0.00145707,0.1636,0.1638,1.0,0.0,,,,,1.0,,,,,,,,88.0,1.0,,,,,,,6.0,,,6.3,,,1.0,,,,,,,,,7.0,2.0,9.0,,,2,,16.0,1.0,2.0,,
2025-26,14025091,3,31,Crystal_Palace,Away,845286,232185,Ismaïla Sarr,ismaila-sarr,F,False,,,1.0,12.0,5.0,17.0,,2.0,,5.0,,1.0,,1.0,,3.0,5.0,4.0,,,0.0043372,1.4291,0.8909,1.0,0.0,1.0,,,,1.0,,,,,,,,90.0,1.0,,,,,,,10.0,,,7.5,,,1.0,,,2.0,2.0,,,1.0,1.0,16.0,6.0,22.0,,,2,1.0,35.0,1.0,,1.0,
2025-26,14025091,3,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,3.0,4.0,7.0,2.0,,,2.0,,,,1.0,,1.0,4.0,2.0,,,0.326054,0.7884,0.757,,0.0,1.0,,,,,,,,,,,,85.0,1.0,,,,,,,11.0,,,6.8,,,,,,3.0,1.0,1.0,,,,8.0,4.0,12.0,,,1,,24.0,4.0,1.0,1.0,
2025-26,14025091,3,31,Crystal_Palace,Away,984624,488024,Yéremy Pino,yeremy-pino,F,True,,,,9.0,4.0,13.0,1.0,,,3.0,1.0,,1.0,,,,4.0,3.0,,,0.00861987,0.0245,,3.0,0.0,,,,,1.0,1.0,,,,,,,19.0,,,,,,,,1.0,,,6.6,,,,,,,2.0,,,,,10.0,4.0,14.0,,,1,,19.0,,1.0,2.0,
2025-26,14025133,4,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,5.0,5.0,10.0,4.0,1.0,,4.0,,1.0,,,,2.0,9.0,1.0,,,0.00762448,0.5906,0.8081,2.0,0.0,,,,,2.0,,,,,,,,90.0,2.0,,,,,,,11.0,,,6.0,,,,,,3.0,2.0,,,,,6.0,5.0,11.0,,,2,,31.0,6.0,,,
