season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576259,1,31,Crystal_Palace,Away,45970,54861,Christian Benteke,christian-benteke,F,True,,,,2.0,,2.0,1.0,2.0,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,,,33.0,,,,,,,,,1.0,,,6.7,,,1.0,,,,,,,,,2.0,1.0,3.0,,,1,,6.0,,2.0,,
2021-22,9576259,1,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,1.0,10.0,14.0,24.0,1.0,3.0,,4.0,,,,2.0,,,5.0,14.0,9.0,,,2.0,,,,,,1.0,1.0,,90.0,1.0,,,,,,,,16.0,,,6.1,,,,,,1.0,6.0,1.0,,2.0,,15.0,15.0,29.0,,,1,3.0,55.0,1.0,1.0,2.0,1.0
2021-22,9576259,1,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,1.0,6.0,7.0,1.0,3.0,,,,,,,,,,1.0,7.0,,,,,,,,,,,,57.0,,1.0,,,,,,,4.0,,,6.9,,,,,,,2.0,,,,,2.0,7.0,9.0,,,0,,19.0,1.0,2.0,2.0,
2021-22,9576259,1,31,Crystal_Palace,Away,1020672,448482,Robert Street,robert-street,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576143,2,31,Crystal_Palace,Home,45970,54861,Christian Benteke,christian-benteke,F,False,,,,11.0,3.0,14.0,8.0,9.0,,1.0,,,,,,,2.0,10.0,10.0,,,2.0,,,,,,,1.0,,90.0,,1.0,,,,,,,15.0,,,6.9,,,1.0,,,1.0,1.0,,,,1.0,18.0,5.0,23.0,,,1,,35.0,4.0,,1.0,
2021-22,9576143,2,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,True,,,,5.0,3.0,8.0,1.0,,,1.0,,,,1.0,,,,3.0,1.0,,,,,,,,,,,,22.0,,,,,,,,,5.0,,,6.5,,,1.0,,,,1.0,2.0,,,,7.0,3.0,8.0,,,1,1.0,15.0,2.0,,,
2021-22,9576143,2,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576386,3,31,Crystal_Palace,Away,45970,54861,Christian Benteke,christian-benteke,F,False,,,3.0,16.0,6.0,22.0,4.0,12.0,,1.0,1.0,,1.0,1.0,,,1.0,6.0,14.0,,,,1.0,,,,,1.0,2.0,,90.0,,1.0,,,,,,,16.0,,,7.8,,,1.0,,,4.0,1.0,,,3.0,1.0,26.0,7.0,33.0,,,2,,50.0,4.0,1.0,1.0,
2021-22,9576386,3,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,7.0,14.0,21.0,2.0,,,7.0,,,1.0,1.0,,,2.0,7.0,10.0,,,3.0,,,,,,2.0,,,90.0,,,,,,,,,9.0,,,7.2,,,,,,3.0,7.0,1.0,,,,10.0,14.0,23.0,,,1,2.0,53.0,2.0,2.0,6.0,1.0
2021-22,9576386,3,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
