season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089874,1,31,Crystal_Palace,Home,46620,55452,Yannick Bolasie,yannick-bolasie,F,True,,,,8.0,,8.0,,,1.0,,,,1.0,,,2.0,4.0,2.0,,,1.0,,,,,,,,24.0,,,,,,,7.0,,6.2,,,,,,2.0,2.0,,,,11.0,,9.0,0,,17.0,2.0,,2.0,
2016-17,7089874,1,31,Crystal_Palace,Home,47992,60252,Andros Townsend,andros-townsend,F,False,2.0,,,21.0,2.0,21.0,,,4.0,,,2.0,2.0,,,2.0,5.0,10.0,,,1.0,,,,,3.0,2.0,,90.0,2.0,,,,,,15.0,,8.0,,,2.0,,,2.0,9.0,,,,33.0,2.0,26.0,6,6.0,59.0,,2.0,2.0,5.0
2016-17,7089874,1,31,Crystal_Palace,Home,50485,59125,Connor Wickham,connor-wickham,F,False,,,,11.0,2.0,13.0,5.0,3.0,,,,,,,,1.0,7.0,5.0,,,1.0,,,,,,,,90.0,,,,,,,6.0,,6.9,,,3.0,,1.0,,,,,,14.0,3.0,17.0,3,,26.0,1.0,2.0,,
2016-17,7089874,1,31,Crystal_Palace,Home,254813,94926,Freddie Ladapo,freddie-ladapo,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090030,2,31,Crystal_Palace,Away,47992,60252,Andros Townsend,andros-townsend,F,False,2.0,,1.0,20.0,7.0,25.0,,,5.0,,,1.0,2.0,,,8.0,11.0,10.0,,,,,,,,3.0,3.0,,90.0,,,,,,,28.0,,6.9,,,1.0,,,3.0,9.0,,1.0,,32.0,11.0,34.0,2,4.0,73.0,3.0,4.0,2.0,4.0
2016-17,7090030,2,31,Crystal_Palace,Away,50485,59125,Connor Wickham,connor-wickham,F,False,,,,10.0,3.0,13.0,2.0,3.0,1.0,,,,,,,2.0,5.0,5.0,,,1.0,,,,,1.0,,,90.0,1.0,1.0,,,,,11.0,,6.8,,,,,4.0,,1.0,,3.0,,19.0,3.0,21.0,1,2.0,38.0,,,,1.0
2016-17,7090030,2,31,Crystal_Palace,Away,254813,94926,Freddie Ladapo,freddie-ladapo,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090024,3,31,Crystal_Palace,Home,45970,54861,Christian Benteke,christian-benteke,F,False,,,2.0,20.0,1.0,21.0,2.0,7.0,1.0,,,,,,,,4.0,11.0,,,2.0,,,,,,2.0,,90.0,,,,,,1.0,8.0,,7.7,,,3.0,,2.0,,,,2.0,5.0,25.0,2.0,27.0,3,,39.0,1.0,4.0,,
2016-17,7090024,3,31,Crystal_Palace,Home,47992,60252,Andros Townsend,andros-townsend,F,False,2.0,,1.0,26.0,5.0,29.0,1.0,,5.0,,1.0,2.0,1.0,,,,7.0,6.0,,,1.0,,,,,1.0,1.0,,90.0,1.0,,,,,,15.0,,6.8,,,1.0,,,6.0,7.0,,1.0,,33.0,5.0,31.0,4,4.0,59.0,3.0,,2.0,2.0
2016-17,7090024,3,31,Crystal_Palace,Home,50485,59125,Connor Wickham,connor-wickham,F,False,1.0,,,13.0,1.0,13.0,2.0,3.0,1.0,,,,2.0,,,1.0,6.0,5.0,,,1.0,,,,,,,,66.0,,,,,,,7.0,,6.8,,,1.0,,1.0,1.0,4.0,,,,19.0,1.0,16.0,1,1.0,28.0,,,1.0,
