season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352564,27,31,Crystal_Palace,Away,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,3.0,2.0,5.0,1.0,1.0,,,,,1.0,,,,2.0,1.0,,,0.00582879,,,,,,,,,,,,19.0,,,,,,,5.0,,6.4,,,,,,,,,,1.0,5.0,2.0,7.0,0,,12.0,3.0,,,
2023-24,11352564,27,31,Crystal_Palace,Away,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,3.0,3.0,6.0,6.0,2.0,3.0,,,1.0,,,,1.0,11.0,3.0,,,0.00152303,0.0856,,3.0,,,,,,,,,90.0,,,,,,,12.0,,6.4,,,,,1.0,1.0,1.0,,,1.0,7.0,3.0,9.0,1,1.0,25.0,6.0,,,
2023-24,11352564,27,31,Crystal_Palace,Away,1082694,450541,Luke Plange,luke-plange,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352564,27,31,Crystal_Palace,Away,1116593,536694,Matheus França,matheus-franca,F,True,,,,4.0,1.0,5.0,1.0,,2.0,,,,2.0,,,1.0,6.0,,,,0.00515274,,,1.0,,,,,,,,,24.0,,,,,,,3.0,,6.1,,,,,,1.0,,,1.0,,5.0,1.0,6.0,0,,9.0,,,,
2023-24,11352585,28,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,4.0,7.0,11.0,1.0,1.0,1.0,,,1.0,1.0,,,4.0,9.0,5.0,,,0.00880977,0.1803,0.0557,3.0,,,,,,1.0,,,70.0,1.0,,,,,,12.0,,6.8,,,,,,1.0,3.0,,,,10.0,7.0,14.0,2,1.0,31.0,2.0,2.0,1.0,1.0
2023-24,11352585,28,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,1.0,6.0,3.0,9.0,2.0,1.0,,,,,,,,1.0,3.0,1.0,,,0.012693,0.021,,,,,,,1.0,,,,9.0,,,,,,,3.0,,6.8,,,1.0,,,,,,1.0,,7.0,4.0,11.0,1,,15.0,,,,
2023-24,11352585,28,31,Crystal_Palace,Home,848276,231747,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,,9.0,3.0,12.0,1.0,3.0,5.0,,2.0,,,,,2.0,5.0,5.0,,,0.0413383,1.1056,1.3676,2.0,,1.0,,,,,2.0,,81.0,2.0,,,,,,12.0,,7.2,,,2.0,,1.0,1.0,3.0,,,,15.0,5.0,17.0,4,,33.0,2.0,1.0,1.0,
2023-24,11352585,28,31,Crystal_Palace,Home,1082694,450541,Luke Plange,luke-plange,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,12190340,29,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,21.0,11.0,32.0,4.0,,6.0,1.0,,,,,,1.0,10.0,7.0,,,0.0801349,0.0349,0.0209,1.0,1.0,,,,,,1.0,,73.0,1.0,,,,,,11.0,,7.5,,,1.0,,,6.0,1.0,,,,26.0,12.0,37.0,2,3.0,54.0,,2.0,2.0,2.0
2023-24,12190340,29,31,Crystal_Palace,Home,795228,199670,Odsonne Édouard,odsonne-edouard,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
