season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896988,1,31,Crystal_Palace,Home,47992,60252,Andros Townsend,andros-townsend,F,False,2.0,,,8.0,5.0,11.0,3.0,1.0,11.0,2.0,,,3.0,,,2.0,9.0,6.0,,,1.0,1.0,,,,1.0,2.0,,90.0,,,,,,,,22.0,,7.2,,,,,,2.0,3.0,,6.0,1.0,20.0,10.0,27.0,0,2.0,44.0,3.0,1.0,2.0,1.0
2020-21,8896988,1,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,3.0,1.0,4.0,7.0,2.0,5.0,,,,1.0,,,13.0,24.0,9.0,,,2.0,,,,,,,,90.0,1.0,,,,,,,25.0,,6.2,,,,,,5.0,,,,2.0,6.0,2.0,8.0,1,2.0,41.0,6.0,1.0,4.0,1.0
2020-21,8896988,1,31,Crystal_Palace,Home,147745,94245,Michy Batshuayi,michy-batshuayi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896928,2,31,Crystal_Palace,Away,47992,60252,Andros Townsend,andros-townsend,F,False,,,2.0,5.0,7.0,12.0,1.0,,11.0,,,1.0,5.0,,,,8.0,4.0,,,2.0,,1.0,,,3.0,2.0,,90.0,1.0,,,,,,,19.0,,7.4,,,2.0,,1.0,1.0,4.0,,5.0,,18.0,11.0,25.0,4,2.0,49.0,,1.0,1.0,1.0
2020-21,8896928,2,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,2.0,,2.0,5.0,1.0,5.0,,,,2.0,,,2.0,11.0,6.0,,,1.0,,,,,,,,81.0,2.0,,,,,,,11.0,,6.8,,,1.0,,,2.0,,,,,4.0,2.0,6.0,3,2.0,24.0,3.0,2.0,1.0,1.0
2020-21,8896928,2,31,Crystal_Palace,Away,147745,94245,Michy Batshuayi,michy-batshuayi,F,True,,,,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,,,9.0,,,,,,,,4.0,,6.5,,,1.0,,1.0,,,,,,,4.0,4.0,1,,10.0,,,,
2020-21,8896933,3,31,Crystal_Palace,Home,45970,54861,Christian Benteke,christian-benteke,F,True,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,8.0,,,,,,,,2.0,,6.5,,,,,,,,,,,1.0,,1.0,0,,3.0,1.0,,,
2020-21,8896933,3,31,Crystal_Palace,Home,47992,60252,Andros Townsend,andros-townsend,F,False,4.0,,,17.0,4.0,17.0,1.0,,7.0,1.0,,,2.0,,,4.0,10.0,12.0,,,3.0,1.0,,,,1.0,2.0,,90.0,,,,,,,,26.0,,7.7,,,,,,4.0,14.0,,,,33.0,4.0,23.0,0,5.0,62.0,5.0,3.0,4.0,1.0
2020-21,8896933,3,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,11.0,8.0,19.0,5.0,2.0,3.0,,,,,,,4.0,11.0,6.0,,,1.0,,,,,2.0,,,82.0,,,,,,,,12.0,,6.5,,,,,2.0,1.0,1.0,,,,14.0,9.0,22.0,0,1.0,40.0,3.0,3.0,,
2020-21,8896933,3,31,Crystal_Palace,Home,147745,94245,Michy Batshuayi,michy-batshuayi,F,True,,,,1.0,1.0,2.0,,,,,,,,,,,2.0,,,,1.0,,,,,1.0,,,15.0,,,,,,,,6.0,,6.4,,,,,,1.0,,,,,1.0,3.0,4.0,0,,10.0,3.0,,,
2020-21,8897005,4,31,Crystal_Palace,Away,45970,54861,Christian Benteke,christian-benteke,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897005,4,31,Crystal_Palace,Away,47992,60252,Andros Townsend,andros-townsend,F,False,4.0,,1.0,16.0,3.0,15.0,,,2.0,,,,,,,,1.0,4.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,,14.0,,7.0,,,,,,1.0,9.0,,3.0,,27.0,4.0,22.0,0,,43.0,2.0,3.0,1.0,
2020-21,8897005,4,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,4.0,8.0,12.0,7.0,1.0,2.0,,,,,,,2.0,11.0,6.0,,,2.0,,,,,,,,90.0,,,,,,,,14.0,,6.5,,,,,1.0,3.0,2.0,,,,9.0,8.0,15.0,0,1.0,34.0,6.0,2.0,2.0,1.0
2020-21,8896907,5,31,Crystal_Palace,Home,45970,54861,Christian Benteke,christian-benteke,F,True,,,,,,,,2.0,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,13.0,,1.0,,,,,,3.0,,6.6,,,,,,,,,,,2.0,,2.0,0,,5.0,1.0,,,
2020-21,8896907,5,31,Crystal_Palace,Home,47992,60252,Andros Townsend,andros-townsend,F,False,2.0,,,7.0,6.0,11.0,,,5.0,,,,1.0,,,1.0,5.0,7.0,,,4.0,,,,,1.0,,,90.0,,,,,,,,13.0,,7.1,,,,,1.0,1.0,6.0,,3.0,,14.0,9.0,17.0,0,5.0,41.0,2.0,1.0,1.0,1.0
2020-21,8896907,5,31,Crystal_Palace,Home,147745,94245,Michy Batshuayi,michy-batshuayi,F,False,,,,6.0,1.0,7.0,4.0,,2.0,,,,1.0,,,3.0,10.0,2.0,,,1.0,,,,,,,,83.0,,,,,,,1.0,10.0,,6.6,,,,,,1.0,,,,1.0,12.0,1.0,13.0,0,1.0,20.0,,1.0,,1.0
2020-21,8896887,6,31,Crystal_Palace,Away,45970,54861,Christian Benteke,christian-benteke,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896887,6,31,Crystal_Palace,Away,47992,60252,Andros Townsend,andros-townsend,F,False,1.0,,,9.0,11.0,19.0,,,7.0,1.0,,,2.0,,,4.0,9.0,11.0,,,2.0,,,,,2.0,3.0,,90.0,,,,,,,,17.0,,7.6,,,,,2.0,1.0,3.0,,2.0,,18.0,13.0,28.0,0,9.0,59.0,,2.0,,4.0
2020-21,8896887,6,31,Crystal_Palace,Away,147745,94245,Michy Batshuayi,michy-batshuayi,F,False,,,,5.0,6.0,11.0,3.0,2.0,2.0,1.0,,1.0,2.0,,,1.0,8.0,6.0,,,1.0,1.0,,,,2.0,1.0,,90.0,2.0,1.0,,,,,,10.0,,7.5,,,,,2.0,3.0,,,,1.0,9.0,8.0,17.0,3,,37.0,2.0,2.0,2.0,
2020-21,8896874,7,31,Crystal_Palace,Away,45970,54861,Christian Benteke,christian-benteke,F,True,,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,11.0,,,,,,,,,,6.5,,,,,,,,,,,1.0,,1.0,0,,2.0,,,,
