playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,substituteOn,aerialDuels,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,rightFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,setPiecesGoals,goalAssists,foulWonPenalty,oboxBlocked,cornersTakenInclShortCorners,cleanSheets,shotsOnTargetOutsideBox,goalsConcededOutsideBox,oboxTarget,tacklesLost,leftFootGoals,headedGoals,freekickTotal,attemptsFromSetPieces,throwInsToOwnPlayer,shotsBlockedOutsideBox,throwInsToOppositionPlayer,penaltiesConceded,clearancesOffTheLine,penaltiesTaken,penaltyGoals,ownGoalScored,otherGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,savesMade,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeFromInsideBox,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried
55422,Gylfi Sigurdsson,Midfielder,Swansea,80,Iceland,2015-16,163.0,4.0,4.3313,0.0,32.0,32.0,10.1486,42.0,56.0,13.0,218.0,36.0,120.0,32.0,252.0,38.0,1193.0,11.0,4.0,4.0,32.0,38.0,6.0,2917.0,6.0,3.0,27.0,93.0,87.0,88.0,919.0,40.6132,54.0,,15.0,45.0,12.0,136.0,262.0,23.0,256.0,51.0,337.0,132.0,36.0,9.0,19.0,657.0,41.0,129.0,12.0,224.0,5.0,0.0,1142.0,24.0,31.0,530.0,31.0,24.0,5.0,279.0,26.0,27.0,22.0,315.0,1811.0,6.0,3.0,12.0,322.0,11.0,1.0,7.5974,6.0,34.0,43.0,1.0399,2.0,3.0,,20.0,105.0,6.0,15.0,4.0,15.0,11.0,1.0,1.0,15.0,15.0,1.0,20.0,,,1.0,3.0,3.0,,,26.0,62.0,,,,,,,,,,,,,
96305,Jay Fulton,Midfielder,Swansea,80,Scotland,2015-16,2.0,,0.0013,0.0,,,,3.0,,,,2.0,,,,,10.0,,,2.0,,,,20.0,,,,3.0,2.0,3.0,9.0,0.5995,,1.0,,,,2.0,2.0,,5.0,2.0,5.0,3.0,2.0,,1.0,6.0,,,,5.0,,0.0,10.0,,,2.0,3.0,,,1.0,1.0,,1.0,2.0,17.0,,,,4.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49195,Jefferson Montero,Midfielder,Swansea,80,Ecuador,2015-16,121.0,21.0,2.3156,0.0,8.0,6.0,0.7573,21.0,12.0,,75.0,23.0,14.0,14.0,88.0,90.0,365.0,,4.0,9.0,24.0,21.0,5.0,1357.0,5.0,1.0,13.0,111.0,24.0,100.0,273.0,18.7213,24.0,2.0,2.0,21.0,4.0,108.0,162.0,38.0,232.0,10.0,84.0,70.0,23.0,,50.0,228.0,18.0,90.0,4.0,208.0,11.0,0.0,358.0,6.0,25.0,308.0,17.0,41.0,,21.0,11.0,9.0,4.0,98.0,771.0,9.0,1.0,5.0,70.0,7.0,,1.4544,0.0,13.0,17.0,,,2.0,,4.0,2.0,1.0,1.0,3.0,1.0,4.0,,,,,7.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
166365,Kenji Gorré,Midfielder,Swansea,80,Curacao,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76542,Ki Sung-Yueng,Midfielder,Swansea,80,South Korea,2015-16,84.0,1.0,1.2041,0.0,7.0,7.0,1.9096,32.0,17.0,5.0,88.0,28.0,28.0,21.0,106.0,6.0,1170.0,2.0,1.0,7.0,34.0,4.0,3.0,1849.0,3.0,1.0,17.0,84.0,25.0,67.0,965.0,30.3055,21.0,1.0,18.0,32.0,2.0,67.0,396.0,25.0,168.0,15.0,270.0,151.0,28.0,2.0,3.0,557.0,29.0,7.0,2.0,134.0,17.0,0.0,1143.0,10.0,4.0,171.0,23.0,11.0,4.0,314.0,19.0,28.0,99.0,190.0,1422.0,8.0,1.0,6.0,511.0,11.0,1.0,2.3437,4.0,18.0,26.0,,,1.0,,5.0,5.0,2.0,2.0,3.0,2.0,9.0,,,,,2.0,5.0,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,
15114,Leon Britton,Midfielder,Swansea,80,England,2015-16,80.0,,0.4207,0.0,2.0,,,41.0,3.0,1.0,102.0,25.0,20.0,19.0,120.0,2.0,1000.0,,,6.0,21.0,,,1526.0,,1.0,12.0,84.0,28.0,75.0,864.0,26.2307,4.0,1.0,17.0,21.0,,68.0,314.0,18.0,164.0,12.0,327.0,138.0,25.0,,3.0,432.0,20.0,2.0,,143.0,9.0,0.0,961.0,3.0,1.0,184.0,26.0,16.0,6.0,257.0,14.0,62.0,16.0,102.0,1252.0,12.0,,9.0,448.0,10.0,1.0,0.1187,4.0,18.0,46.0,,,,,2.0,,2.0,,1.0,,15.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
49277,Leroy Fer,Midfielder,Swansea,80,Netherlands,2015-16,50.0,,0.2223,0.0,1.0,1.0,0.2764,21.0,4.0,,52.0,11.0,28.0,9.0,70.0,,441.0,,,2.0,30.0,,1.0,757.0,1.0,2.0,8.0,62.0,19.0,40.0,344.0,11.3088,6.0,,15.0,12.0,1.0,42.0,108.0,14.0,112.0,13.0,122.0,59.0,11.0,,6.0,213.0,11.0,,1.0,82.0,22.0,0.0,428.0,3.0,,97.0,17.0,5.0,2.0,132.0,14.0,13.0,27.0,79.0,561.0,4.0,,5.0,158.0,9.0,,0.2575,2.0,18.0,11.0,,,2.0,,,,2.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168144,Matt Grimes,Midfielder,Swansea,80,England,2015-16,8.0,,0.0148,0.0,1.0,,,1.0,,,8.0,1.0,2.0,1.0,12.0,,44.0,,,,3.0,,,90.0,,1.0,2.0,3.0,3.0,2.0,27.0,0.6235,1.0,,,,,6.0,10.0,1.0,11.0,1.0,18.0,3.0,1.0,,,18.0,,1.0,,8.0,1.0,0.0,44.0,,,15.0,,,,6.0,3.0,,5.0,10.0,52.0,,,2.0,14.0,1.0,,0.023,0.0,4.0,2.0,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21083,Nathan Dyer,Midfielder,Swansea,80,England,2015-16,36.0,2.0,0.0128,0.0,2.0,2.0,,4.0,3.0,1.0,15.0,13.0,3.0,,18.0,4.0,74.0,1.0,,13.0,7.0,2.0,,231.0,,,6.0,23.0,13.0,22.0,54.0,,4.0,1.0,,4.0,,30.0,11.0,10.0,59.0,5.0,24.0,22.0,13.0,,8.0,46.0,3.0,4.0,,52.0,1.0,0.0,74.0,1.0,1.0,55.0,3.0,8.0,,13.0,9.0,1.0,2.0,26.0,154.0,,,1.0,12.0,6.0,,,1.0,3.0,3.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11829,Wayne Routledge,Midfielder,Swansea,80,England,2015-16,140.0,9.0,1.2121,0.0,5.0,9.0,4.5918,23.0,13.0,3.0,143.0,28.0,66.0,22.0,166.0,54.0,651.0,2.0,7.0,6.0,39.0,10.0,7.0,1680.0,7.0,5.0,34.0,67.0,52.0,62.0,464.0,26.3332,28.0,2.0,9.0,28.0,2.0,106.0,129.0,23.0,207.0,21.0,196.0,102.0,28.0,2.0,16.0,329.0,27.0,57.0,2.0,168.0,5.0,0.0,639.0,4.0,15.0,358.0,20.0,16.0,1.0,138.0,30.0,12.0,21.0,188.0,1001.0,17.0,,10.0,166.0,13.0,1.0,2.5346,3.0,23.0,35.0,,,1.0,,3.0,5.0,1.0,,1.0,,3.0,,,,,4.0,3.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,
