playerId,playerName,position,team,nationality,season,duelsLost,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,groundDuelsLost,catches,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,savesMadeCaught,substituteOn,totalLossesOfPossession,aerialDuels,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cleanSheets,penaltiesFaced,penaltiesConceded,penaltyGoalsConceded,goalkeeperSmother,totalFoulsConceded,foulAttemptedTackle,unsuccessfulShortPasses,goalsConcededOutsideBox,groundDuelsWon,punches,ownGoalScored,drops,crossesNotClaimed,successfulDribbles,interceptions,substituteOff,timesTackled,throwInsToOwnPlayer,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,backwardPasses,hitWoodwork,expectedGoals,blocks,unsuccessfulLayoffs,foulWonPenalty,goals,offsides,awayGoals,oboxBlocked,homeGoals,rightFootGoals,shotsBlockedOutsideBox,handballsConceded,throughBalls,shotsOnTargetOutsideBox,oboxTarget,cornersTakenInclShortCorners,headedGoals,clearancesOffTheLine,leftFootGoals,expectedGoalsFreekick,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,penaltiesTaken,penaltyGoals,setPiecesGoals,otherGoals
38411,Nacho Monreal,Defender,Real Sociedad,Spain,2016-17,166.0,48.684,12.0,2.1327,99.0,43.0,0.0,105.0,,688.0,,36.0,0.0,360.0,716.0,190.0,36.0,,36.0,895.0,35.0,39.0,252.0,1753.0,,242.0,57.0,0.0,,1730.0,,1.0,381.0,118.0,,,125.0,38.0,3153.0,2575.0,194.0,62.0,612.0,1463.0,,5.0,81.0,101.0,11.0,,1.0,9.0,,33.0,22.0,171.0,4.0,137.0,,,,,13.0,88.0,1.0,26.0,252.0,6.0,4.0,2.0,0.405,90.0,8.0,2.0,1.0,57.0,6.0,1.0,1.0,61.0,72.0,59.0,23.0,10.0,2.0,41.0,29.0,8.0,57.0,2.0,6.0,19.0,61.0,224.0,1.0,0.7667,11.0,,,,7.0,,2.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
69140,Shkodran Mustafi,Defender,Levante,Germany,2016-17,127.0,32.1202,16.0,1.2214,129.0,30.0,0.0,65.0,,240.0,,16.0,0.0,311.0,708.0,139.0,26.0,,26.0,552.0,26.0,27.0,270.0,1563.0,,147.0,102.0,0.0,,1513.0,,,315.0,164.0,,,532.0,54.0,2275.0,1962.0,184.0,64.0,745.0,1239.0,,11.0,106.0,74.0,8.0,,,7.0,,35.0,21.0,164.0,3.0,82.0,,,,,14.0,62.0,1.0,12.0,11.0,4.0,8.0,6.0,1.612,55.0,16.0,2.0,1.0,16.0,4.0,4.0,4.0,62.0,25.0,37.0,,7.0,7.0,11.0,12.0,6.0,16.0,7.0,10.0,5.0,43.0,83.0,2.0,1.4039,4.0,,,2.0,1.0,0.0,1.0,2.0,,1.0,1.0,4.0,,,1.0,2.0,1.0,,,,,,,,,,,
101184,Calum Chambers,Defender,Cardiff City,England,2016-17,105.0,2.4386,23.0,0.0052,175.0,37.0,0.0,55.0,,204.0,,12.0,0.0,245.0,484.0,130.0,25.0,,25.0,281.0,25.0,33.0,242.0,1116.0,,124.0,71.0,0.0,,1081.0,,,297.0,121.0,,,330.0,87.0,2250.0,1616.0,140.0,85.0,597.0,787.0,,4.0,120.0,89.0,7.0,,1.0,4.0,,23.0,10.0,122.0,4.0,69.0,,,,,10.0,52.0,,16.0,62.0,4.0,1.0,3.0,0.588,49.0,7.0,1.0,,17.0,4.0,,,50.0,32.0,10.0,9.0,5.0,,12.0,12.0,3.0,17.0,,4.0,2.0,37.0,98.0,,0.1434,26.0,1.0,,2.0,1.0,0.0,,2.0,,,2.0,,,,,1.0,,1.0,,,,,,,,,,
98745,Héctor Bellerín,Defender,Real Betis,Spain,2016-17,133.0,37.2441,,4.3091,47.0,34.0,0.0,90.0,,78.0,,14.0,0.0,247.0,370.0,146.0,33.0,,33.0,737.0,27.0,32.0,213.0,1392.0,,172.0,32.0,0.0,,1389.0,,6.0,393.0,75.0,,,642.0,21.0,2499.0,2069.0,114.0,13.0,453.0,1158.0,,4.0,28.0,64.0,10.0,,,8.0,,20.0,6.0,185.0,2.0,82.0,,,,,45.0,36.0,1.0,56.0,222.0,11.0,6.0,5.0,1.422,24.0,16.0,4.0,8.0,58.0,11.0,2.0,2.0,43.0,49.0,94.0,17.0,24.0,5.0,17.0,5.0,14.0,58.0,5.0,11.0,32.0,19.0,302.0,1.0,2.1589,7.0,1.0,,1.0,,0.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,2.0,,,,,,,,,,,,,,
80254,Carl Jenkinson,Defender,Bromley,England,2016-17,5.0,0.9958,1.0,0.0094,5.0,1.0,0.0,2.0,,2.0,,1.0,0.0,13.0,13.0,4.0,1.0,,1.0,9.0,1.0,1.0,14.0,35.0,,7.0,3.0,0.0,,35.0,,,20.0,6.0,,,9.0,2.0,83.0,62.0,8.0,5.0,12.0,19.0,,0.0,5.0,6.0,,,,,,1.0,1.0,9.0,,5.0,,,,,,2.0,1.0,1.0,6.0,,,,,4.0,,,,3.0,,,,3.0,2.0,,2.0,,,,1.0,1.0,3.0,,,,3.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41792,Aaron Ramsey,Midfielder,Cardiff City,Wales,2016-17,77.0,22.4314,1.0,3.4928,14.0,20.0,0.0,67.0,,280.0,,20.0,0.0,145.0,219.0,93.0,23.0,,23.0,510.0,13.0,18.0,107.0,920.0,,128.0,7.0,0.0,,901.0,,10.0,181.0,17.0,,,272.0,26.0,1229.0,1166.0,68.0,2.0,305.0,787.0,,3.0,17.0,26.0,3.0,,,5.0,,15.0,9.0,90.0,2.0,61.0,,,,,20.0,11.0,3.0,30.0,9.0,2.0,13.0,12.0,4.9544,21.0,29.0,4.0,34.0,16.0,2.0,10.0,10.0,10.0,28.0,64.0,,19.0,7.0,16.0,11.0,7.0,17.0,7.0,17.0,12.0,10.0,149.0,,3.2524,3.0,1.0,,1.0,2.0,0.0,6.0,1.0,1.0,6.0,,3.0,1.0,1.0,,,,,,,,,,,,,,
54102,Jack Wilshere,Midfielder,Bournemouth,England,2016-17,111.0,38.7306,2.0,3.3598,11.0,45.0,0.0,101.0,,321.0,,52.0,0.0,258.0,278.0,144.0,29.0,,29.0,642.0,22.0,38.0,177.0,1069.0,,239.0,9.0,0.0,,1025.0,,7.0,306.0,19.0,,,316.0,63.0,1949.0,1443.0,147.0,5.0,256.0,829.0,,4.0,37.0,30.0,4.0,,,2.0,,21.0,11.0,140.0,7.0,138.0,,,,,59.0,13.0,7.0,62.0,7.0,5.0,10.0,10.0,1.8721,27.0,17.0,2.0,39.0,6.0,6.0,4.0,4.0,10.0,46.0,40.0,,32.0,5.0,18.0,9.0,25.0,20.0,5.0,7.0,10.0,18.0,154.0,5.0,1.8596,6.0,1.0,,,,,5.0,,,5.0,1.0,13.0,6.0,6.0,11.0,,,,0.1259,1.0,2.0,2.0,8.0,1.0,,,,
37605,Mesut Özil,Midfielder,Istanbul Basaksehir,Germany,2016-17,110.0,39.099,,9.3438,9.0,30.0,0.0,94.0,,555.0,,33.0,5.0,207.0,590.0,160.0,33.0,,33.0,1526.0,32.0,27.0,283.0,2110.0,,184.0,7.0,0.0,,2028.0,,1.0,548.0,23.0,,,621.0,56.0,2847.0,2647.0,97.0,2.0,360.0,1771.0,,2.0,31.0,36.0,9.0,,,8.0,,14.0,7.0,252.0,3.0,90.0,,,,,32.0,15.0,8.0,58.0,21.0,14.0,10.0,18.0,5.9907,25.0,30.0,9.0,121.0,32.0,59.0,8.0,8.0,16.0,50.0,145.0,1.0,91.0,8.0,14.0,6.0,18.0,128.0,8.0,12.0,24.0,19.0,344.0,,5.2837,1.0,5.0,,8.0,20.0,4.0,2.0,4.0,1.0,2.0,,16.0,2.0,2.0,143.0,2.0,,5.0,0.2901,39.0,3.0,3.0,73.0,2.0,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Celtic,England,2016-17,132.0,25.2572,,3.404,22.0,22.0,0.0,102.0,,209.0,,17.0,0.0,262.0,209.0,100.0,29.0,,29.0,471.0,16.0,21.0,138.0,775.0,,217.0,15.0,0.0,,768.0,,13.0,293.0,45.0,,,239.0,38.0,1562.0,1224.0,130.0,8.0,180.0,599.0,,1.0,35.0,20.0,,,,4.0,,30.0,14.0,103.0,1.0,115.0,,,,,61.0,12.0,11.0,59.0,25.0,10.0,10.0,8.0,2.6937,37.0,18.0,7.0,34.0,41.0,14.0,4.0,4.0,30.0,54.0,70.0,4.0,25.0,8.0,38.0,7.0,30.0,54.0,8.0,10.0,15.0,30.0,118.0,,2.2165,2.0,,,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,11.0,2.0,2.0,15.0,,,,,3.0,,,10.0,1.0,,,,
153133,Alex Iwobi,Forward,Fulham,Nigeria,2016-17,68.0,20.375,,3.1105,4.0,20.0,0.0,58.0,,284.0,,13.0,0.0,132.0,219.0,98.0,26.0,,26.0,591.0,18.0,16.0,111.0,896.0,,118.0,4.0,0.0,,890.0,,8.0,197.0,14.0,,,212.0,19.0,1462.0,1143.0,64.0,1.0,198.0,766.0,,1.0,14.0,25.0,1.0,,,3.0,,7.0,1.0,97.0,4.0,60.0,,,,,28.0,8.0,14.0,41.0,6.0,4.0,17.0,11.0,3.4227,19.0,22.0,3.0,61.0,14.0,4.0,8.0,8.0,10.0,37.0,79.0,1.0,23.0,12.0,17.0,4.0,16.0,14.0,12.0,11.0,8.0,15.0,181.0,,2.8537,4.0,3.0,,3.0,3.0,0.0,5.0,3.0,2.0,5.0,,6.0,,,2.0,1.0,,,,,,,,1.0,,,,
