playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,offsides,foulWonPenalty,throwInsToOppositionPlayer,successfulCornersIntoBox,penaltiesConceded,lastPlayerTackle,redCards2ndYellow,leftFootGoals,secondGoalAssists,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,headedGoals,punches,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,drops,penaltiesSaved,savesFromPenalty
41792,Aaron Ramsey,Midfielder,Arsenal,3,Wales,2012-13,182.0,7.0,4.3658,0.0,16.0,12.0,6.0,4.0913,71.0,30.0,21.0,193.0,36.0,2.0,95.0,21.0,229.0,36.0,1934.0,1.0,0.0,14.0,15.0,3.0,37.0,7.0,14.0,7.0,6.0,2086.0,6.0,7.0,23.0,151.0,5.0,137.0,1602.0,73.0,3.0,23.1174,44.0,3.0,26.0,19.0,12.0,159.0,546.0,32.0,0.0,333.0,1.0,505.0,168.0,36.0,14.0,1.0,7.0,37.0,1125.0,14.0,37.0,80.0,12.0,296.0,14.0,0.0,1900.0,18.0,20.0,384.0,64.0,34.0,6.0,592.0,48.0,44.0,1.0,1.0,103.0,291.0,2435.0,16.0,5.0,2.0,14.0,10.0,587.0,1.0,3.6868,5.0,36.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28566,Abou Diaby,Midfielder,Arsenal,3,France,2012-13,72.0,1.0,0.5123,0.0,1.0,3.0,1.0,0.7619,19.0,7.0,8.0,65.0,11.0,,19.0,10.0,71.0,5.0,564.0,,,2.0,1.0,,40.0,2.0,4.0,1.0,2.0,714.0,2.0,1.0,21.0,69.0,,50.0,478.0,18.0,1.0,8.8395,14.0,1.0,18.0,5.0,,51.0,164.0,3.0,0.0,141.0,,188.0,71.0,11.0,4.0,,5.0,16.0,334.0,5.0,5.0,38.0,,101.0,19.0,0.0,563.0,4.0,2.0,131.0,14.0,28.0,1.0,148.0,8.0,24.0,,,15.0,64.0,737.0,,8.0,,2.0,3.0,160.0,,0.4189,1.0,6.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Arsenal,3,England,2012-13,74.0,7.0,1.926,0.0,12.0,7.0,8.0,2.6654,28.0,21.0,5.0,86.0,25.0,3.0,33.0,11.0,99.0,49.0,525.0,1.0,0.0,15.0,14.0,3.0,17.0,,2.0,7.0,10.0,1062.0,10.0,,8.0,81.0,2.0,72.0,407.0,56.0,,11.7948,16.0,,9.0,11.0,5.0,66.0,113.0,14.0,0.0,155.0,1.0,134.0,66.0,25.0,2.0,1.0,2.0,32.0,322.0,9.0,51.0,56.0,5.0,138.0,9.0,0.0,523.0,14.0,26.0,236.0,26.0,30.0,1.0,154.0,5.0,16.0,2.0,,19.0,124.0,851.0,9.0,11.0,2.0,15.0,1.0,111.0,2.0,1.9557,1.0,13.0,17.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13227,Andrey Arshavin,Midfielder,Arsenal,3,Russia,2012-13,6.0,2.0,0.5291,0.0,1.0,,,,,2.0,1.0,15.0,7.0,,5.0,,17.0,7.0,58.0,,,1.0,7.0,3.0,1.0,,,3.0,,79.0,,1.0,,3.0,,2.0,38.0,7.0,,1.3911,5.0,,,,,6.0,16.0,1.0,0.0,9.0,,17.0,6.0,7.0,,,,1.0,38.0,,9.0,2.0,,8.0,1.0,0.0,58.0,2.0,4.0,32.0,,1.0,,4.0,4.0,,2.0,,3.0,21.0,84.0,1.0,,,1.0,1.0,6.0,,0.1001,1.0,2.0,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57214,André Santos,Defender,Arsenal,3,Brazil,2012-13,35.0,5.0,0.3777,0.0,1.0,1.0,,0.3308,19.0,3.0,1.0,30.0,8.0,,9.0,3.0,34.0,4.0,310.0,,,,5.0,1.0,8.0,1.0,,5.0,2.0,395.0,2.0,,5.0,26.0,,23.0,261.0,8.0,,5.0707,5.0,2.0,10.0,4.0,1.0,30.0,131.0,3.0,0.0,61.0,,91.0,32.0,8.0,,,3.0,5.0,167.0,4.0,4.0,14.0,1.0,53.0,3.0,0.0,303.0,2.0,3.0,58.0,16.0,1.0,,29.0,4.0,16.0,,,15.0,59.0,427.0,28.0,,,,5.0,114.0,,0.2011,0.0,4.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37748,Bacary Sagna,Defender,Arsenal,3,France,2012-13,90.0,17.0,2.1045,0.0,1.0,1.0,1.0,0.0373,56.0,2.0,5.0,173.0,25.0,,11.0,25.0,198.0,89.0,1497.0,,,2.0,,,110.0,9.0,,17.0,2.0,2240.0,2.0,,35.0,166.0,5.0,91.0,1259.0,17.0,4.0,26.3635,20.0,10.0,90.0,26.0,,55.0,41.0,25.0,0.0,256.0,,525.0,105.0,25.0,,,10.0,15.0,752.0,21.0,89.0,32.0,,146.0,75.0,0.0,1484.0,1.0,15.0,370.0,46.0,10.0,7.0,653.0,21.0,32.0,,,40.0,278.0,2193.0,231.0,1.0,,2.0,29.0,564.0,1.0,0.1494,2.0,25.0,65.0,1.0,,28.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80254,Carl Jenkinson,Defender,Arsenal,3,England,2012-13,51.0,7.0,0.6488,1.0,1.0,2.0,2.0,0.7701,32.0,3.0,2.0,91.0,14.0,,6.0,14.0,119.0,52.0,797.0,,,1.0,,,34.0,5.0,2.0,7.0,1.0,1188.0,1.0,,17.0,65.0,2.0,48.0,639.0,13.0,,14.6113,9.0,6.0,33.0,11.0,,34.0,39.0,6.0,0.0,116.0,,252.0,62.0,14.0,2.0,,13.0,8.0,400.0,9.0,52.0,20.0,,82.0,17.0,0.0,790.0,1.0,13.0,207.0,19.0,10.0,4.0,352.0,12.0,8.0,,,39.0,154.0,1123.0,109.0,2.0,,1.0,26.0,285.0,1.0,0.1954,0.0,28.0,39.0,,,4.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,Arsenal,3,Argentina,2012-13,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56861,Emmanuel Frimpong,Midfielder,Arsenal,3,Ghana,2012-13,22.0,,0.2702,0.0,1.0,,,,11.0,1.0,1.0,13.0,6.0,1.0,3.0,2.0,15.0,,119.0,,,1.0,4.0,,3.0,,,,,220.0,,,2.0,15.0,,14.0,94.0,,,4.3685,,,9.0,2.0,,20.0,39.0,3.0,0.0,37.0,,33.0,16.0,6.0,,,4.0,1.0,54.0,2.0,,7.0,,34.0,1.0,0.0,115.0,1.0,,25.0,7.0,,4.0,31.0,8.0,4.0,,,10.0,16.0,174.0,,2.0,,1.0,2.0,50.0,,0.0432,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56864,Francis Coquelin,Midfielder,Arsenal,3,France,2012-13,18.0,1.0,0.1356,0.0,1.0,,2.0,,11.0,,2.0,17.0,11.0,,14.0,3.0,20.0,1.0,157.0,,,2.0,8.0,,5.0,,,1.0,,223.0,,,2.0,23.0,,20.0,134.0,3.0,1.0,3.0367,1.0,,3.0,5.0,,16.0,43.0,6.0,0.0,41.0,,54.0,24.0,11.0,,,3.0,1.0,73.0,5.0,1.0,10.0,,36.0,3.0,0.0,156.0,,,36.0,8.0,3.0,1.0,37.0,3.0,13.0,,,3.0,23.0,222.0,,3.0,,2.0,1.0,65.0,,0.0243,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
