playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCornersIntoBox,throwInsToOppositionPlayer,unsuccessfulCornersIntoBox,setPiecesGoals,penaltyGoalsConceded,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty,penaltiesTaken,headedGoals,lastPlayerTackle,redCards2ndYellow,penaltiesConceded,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,ownGoalScored,penaltyGoals
41792,Aaron Ramsey,Midfielder,Arsenal,3,Wales,2014-15,161.0,3.0,4.4147,0.0,16.0,17.0,11.0,7.1173,58.0,47.0,27.0,192.0,29.0,6.0,58.0,23.0,230.0,33.0,1641.0,6.0,5.0,4.0,11.0,6.0,2.0,39.0,6.0,6.0,3.0,5.0,2009.0,5.0,2.0,21.0,130.0,1.0,62.0,112.0,1352.0,96.0,21.1581,41.0,3.0,22.0,18.0,5.0,140.0,406.0,29.0,3.0,291.0,23.0,2.0,474.0,145.0,29.0,6.0,5.0,22.0,1.0,38.0,921.0,17.0,33.0,74.0,5.0,252.0,18.0,0.0,1620.0,30.0,16.0,395.0,36.0,25.0,3.0,518.0,23.0,32.0,59.0,243.0,2110.0,12.0,9.0,2.0,11.0,4.0,493.0,12.0,3.0,5.897,6.0,38.0,35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28566,Abou Diaby,Midfielder,Arsenal,3,France,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154043,Ainsley Maitland-Niles,Midfielder,Arsenal,3,England,2014-15,,,,0.0,,,,,,,,,1.0,,,,,,,,,0.0,,1.0,,,,,,,1.0,,,,,,,,,,0.2429,,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Arsenal,3,England,2014-15,113.0,13.0,3.3984,0.0,11.0,8.0,10.0,2.3029,26.0,21.0,8.0,109.0,23.0,1.0,36.0,17.0,133.0,54.0,709.0,1.0,1.0,0.0,5.0,6.0,12.0,24.0,,3.0,19.0,4.0,1491.0,4.0,2.0,16.0,128.0,2.0,42.0,120.0,549.0,71.0,18.5121,34.0,1.0,6.0,18.0,6.0,97.0,129.0,11.0,0.0,241.0,24.0,1.0,208.0,91.0,23.0,3.0,1.0,6.0,,41.0,440.0,16.0,60.0,69.0,6.0,217.0,8.0,0.0,704.0,13.0,32.0,313.0,20.0,83.0,3.0,244.0,14.0,25.0,27.0,128.0,1150.0,7.0,11.0,,5.0,5.0,155.0,8.0,,2.6088,4.0,24.0,18.0,1.0,6.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37265,Alexis Sánchez,Forward,Arsenal,3,Chile,2014-15,335.0,13.0,8.2255,0.0,42.0,49.0,22.0,15.9294,69.0,79.0,53.0,302.0,35.0,8.0,79.0,34.0,342.0,59.0,1469.0,16.0,8.0,7.0,20.0,1.0,66.0,81.0,7.0,17.0,22.0,16.0,2949.0,16.0,13.0,53.0,284.0,3.0,107.0,256.0,1082.0,202.0,33.7952,73.0,1.0,6.0,31.0,22.0,282.0,440.0,72.0,4.0,619.0,50.0,9.0,481.0,188.0,35.0,17.0,14.0,19.0,,81.0,918.0,28.0,123.0,198.0,22.0,538.0,28.0,0.0,1445.0,30.0,44.0,768.0,50.0,115.0,,271.0,44.0,41.0,45.0,277.0,2448.0,7.0,12.0,1.0,20.0,,231.0,13.0,8.0,13.4868,4.0,40.0,31.0,,9.0,5.0,54.0,2.0,3.0,13.0,13.0,0.9699,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
101184,Calum Chambers,Defender,Arsenal,3,England,2014-15,109.0,10.0,0.9235,1.0,2.0,2.0,1.0,0.576,49.0,5.0,1.0,124.0,23.0,1.0,1.0,17.0,152.0,36.0,883.0,1.0,1.0,0.0,2.0,6.0,,78.0,6.0,,10.0,1.0,1570.0,1.0,,31.0,133.0,2.0,46.0,86.0,700.0,17.0,21.096,10.0,3.0,78.0,20.0,,78.0,67.0,17.0,0.0,242.0,18.0,1.0,377.0,111.0,23.0,,1.0,7.0,,14.0,375.0,18.0,36.0,28.0,,164.0,47.0,0.0,866.0,3.0,6.0,254.0,42.0,20.0,4.0,316.0,25.0,45.0,31.0,123.0,1386.0,127.0,2.0,,2.0,12.0,366.0,9.0,1.0,0.6393,7.0,28.0,45.0,,,19.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
80254,Carl Jenkinson,Defender,Arsenal,3,England,2014-15,105.0,24.0,,0.0,3.0,6.0,8.0,,37.0,10.0,1.0,113.0,32.0,2.0,1.0,29.0,188.0,129.0,863.0,,1.0,,,3.0,2.0,55.0,9.0,,25.0,,2667.0,,1.0,33.0,80.0,3.0,36.0,58.0,627.0,46.0,,20.0,11.0,113.0,30.0,,72.0,33.0,10.0,0.0,185.0,5.0,,343.0,126.0,32.0,,,10.0,,23.0,375.0,27.0,129.0,43.0,,130.0,22.0,0.0,857.0,4.0,24.0,466.0,27.0,11.0,12.0,290.0,14.0,35.0,48.0,197.0,1695.0,265.0,1.0,,,52.0,325.0,8.0,1.0,,2.0,75.0,51.0,,1.0,77.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
147675,Chuba Akpom,Forward,Arsenal,3,England,2014-15,2.0,,0.0033,0.0,,2.0,,0.6808,1.0,2.0,,1.0,3.0,,,,1.0,1.0,5.0,,,0.0,,3.0,,3.0,,,,2.0,27.0,2.0,,1.0,6.0,,1.0,4.0,4.0,5.0,0.5479,,,1.0,,,1.0,1.0,1.0,0.0,8.0,1.0,0.0,2.0,1.0,3.0,,,1.0,,,4.0,,1.0,,,5.0,2.0,0.0,5.0,,,5.0,,2.0,,,1.0,,,2.0,17.0,,,,,,,,,0.4278,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
50175,Danny Welbeck,Forward,Arsenal,3,England,2014-15,132.0,1.0,2.4315,0.0,15.0,23.0,11.0,7.2806,35.0,43.0,8.0,97.0,27.0,3.0,28.0,18.0,99.0,4.0,542.0,4.0,7.0,3.0,1.0,9.0,,84.0,2.0,2.0,1.0,17.0,1711.0,17.0,8.0,45.0,130.0,1.0,35.0,91.0,439.0,141.0,22.4212,27.0,,13.0,19.0,14.0,87.0,140.0,16.0,2.0,262.0,27.0,1.0,128.0,77.0,27.0,2.0,1.0,11.0,2.0,30.0,368.0,18.0,4.0,68.0,14.0,178.0,39.0,0.0,524.0,20.0,20.0,229.0,24.0,40.0,2.0,109.0,15.0,29.0,4.0,165.0,927.0,3.0,9.0,1.0,1.0,,76.0,4.0,2.0,7.2468,3.0,2.0,12.0,1.0,,,,,3.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
48844,David Ospina,Goalkeeper,Arsenal,3,Colombia,2014-15,,,0.0385,0.0,,,,,1.0,,,,18.0,,,18.0,205.0,,482.0,,,0.0,,,,2.0,8.0,,,,1620.0,,,,5.0,1.0,,3.0,94.0,,16.0445,2.0,79.0,18.0,11.0,,,37.0,2.0,0.0,5.0,,0.0,417.0,154.0,18.0,,,,,,143.0,10.0,,,,3.0,2.0,0.0,204.0,,,206.0,1.0,,,28.0,,,183.0,,634.0,,,,,110.0,134.0,,,,0.0,205.0,40.0,,,,,,1.0,,,,,,,,,,38.0,18.0,131.0,6.0,1.0,10.0,47.0,3.0,4.0,4.0,117.0,50.0,14.0,28.0,,,
