season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243389,1,13,Leicester_City,Home,1076,17745,Kasper Schmeichel,kasper-schmeichel,G,False,,,3.0,1.0,18.0,19.0,,,3.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,3.0,,7.4,1.0,2.0,,,,,,6.0,,3.0,19.0,22.0,0,,26.0,,,,
2019-20,8243389,1,13,Leicester_City,Home,20375,15033,Wes Morgan,wes-morgan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243389,1,13,Leicester_City,Home,30144,37642,Jonny Evans,jonny-evans,D,False,,,3.0,16.0,55.0,71.0,3.0,6.0,6.0,,,,1.0,,,,4.0,10.0,,,,,,,,,,,90.0,,1.0,,,,,,,11.0,,7.6,,,1.0,4.0,,1.0,,7.0,,25.0,56.0,80.0,1,4.0,95.0,1.0,,,3.0
2019-20,8243389,1,13,Leicester_City,Home,47737,51938,Marc Albrighton,marc-albrighton,M,True,1.0,,,6.0,1.0,6.0,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,1.0,,14.0,,,,,,,,,6.0,,6.4,,,1.0,,1.0,2.0,,2.0,,10.0,1.0,9.0,2,,19.0,,,,
2019-20,8243389,1,13,Leicester_City,Home,135647,106837,Dennis Praet,dennis-praet,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243389,1,13,Leicester_City,Home,173827,101668,Jamie Vardy,jamie-vardy,F,False,1.0,,,6.0,1.0,6.0,2.0,2.0,2.0,,1.0,,,,,,3.0,3.0,,,,,,,,,,,90.0,,,,,,,,,7.0,,6.3,,,,1.0,1.0,2.0,,,,9.0,3.0,10.0,0,1.0,18.0,1.0,,,1.0
2019-20,8243389,1,13,Leicester_City,Home,197428,95463,Danny Ward,danny-ward,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243389,1,13,Leicester_City,Home,221200,111931,Ricardo Pereira,ricardo-pereira,D,False,,,,43.0,24.0,67.0,,,9.0,,,,4.0,,,1.0,7.0,13.0,,,,,,,,,2.0,,90.0,,,,,,,,,20.0,,7.2,,,1.0,1.0,6.0,1.0,,2.0,,52.0,27.0,78.0,1,5.0,114.0,,4.0,4.0,4.0
2019-20,8243389,1,13,Leicester_City,Home,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,,36.0,15.0,51.0,1.0,1.0,7.0,1.0,,2.0,,,,1.0,2.0,6.0,,,,,,,,,3.0,,90.0,,,,,,,,,14.0,,7.4,,,1.0,,4.0,2.0,,2.0,,46.0,16.0,60.0,3,,73.0,1.0,1.0,4.0,
2019-20,8243389,1,13,Leicester_City,Home,345195,168580,Ayoze Pérez,ayoze-perez,F,False,,,1.0,15.0,7.0,22.0,2.0,1.0,3.0,,,,1.0,,,1.0,6.0,6.0,,,,,,,,,,,76.0,,,,,,,,,21.0,,6.4,,,1.0,1.0,4.0,3.0,,1.0,,26.0,8.0,31.0,1,1.0,55.0,4.0,2.0,2.0,1.0
2019-20,8243389,1,13,Leicester_City,Home,356398,172780,James Maddison,james-maddison,M,False,5.0,,2.0,47.0,14.0,56.0,,,8.0,,,1.0,,,,3.0,7.0,7.0,,,2.0,,,,,,2.0,,90.0,,,,,,,,,26.0,,7.2,,,3.0,,6.0,15.0,,3.0,,65.0,14.0,64.0,4,1.0,99.0,3.0,2.0,4.0,
2019-20,8243389,1,13,Leicester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243389,1,13,Leicester_City,Home,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,2.0,13.0,58.0,71.0,2.0,5.0,5.0,,,,2.0,,,,4.0,9.0,,,,,,,,,,,90.0,,,,,,,,,7.0,,7.2,,,,3.0,1.0,,,4.0,,17.0,61.0,78.0,0,3.0,86.0,,,1.0,2.0
2019-20,8243389,1,13,Leicester_City,Home,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,3.0,27.0,31.0,58.0,7.0,4.0,12.0,,,,2.0,,,,9.0,9.0,,,1.0,,,,,5.0,1.0,,90.0,,,,,,,,,16.0,,7.3,,,1.0,2.0,,,,6.0,,41.0,33.0,74.0,1,4.0,91.0,,1.0,,1.0
2019-20,8243389,1,13,Leicester_City,Home,802695,172850,Ben Chilwell,ben-chilwell,D,False,,,3.0,37.0,34.0,71.0,3.0,4.0,8.0,,,,1.0,,,,5.0,4.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,,21.0,,6.8,,,1.0,,1.0,3.0,,4.0,,49.0,39.0,85.0,1,,107.0,2.0,,,
2019-20,8243389,1,13,Leicester_City,Home,827681,220627,James Justin,james-justin,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243389,1,13,Leicester_City,Home,833057,197469,Hamza Choudhury,hamza-choudhury,M,False,,,1.0,25.0,26.0,51.0,1.0,1.0,1.0,,,1.0,1.0,,,,4.0,3.0,,,,,,,,1.0,1.0,,61.0,,,,,,,,,6.0,,6.8,,,,,2.0,,,1.0,,27.0,27.0,54.0,1,1.0,65.0,1.0,1.0,,1.0
2019-20,8243389,1,13,Leicester_City,Home,855647,201666,Harvey Barnes,harvey-barnes,F,True,,,,12.0,3.0,15.0,1.0,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,29.0,1.0,,,,,,,,6.0,,6.8,,,,,2.0,,,1.0,,17.0,3.0,20.0,1,,23.0,,,1.0,
2019-20,8243416,2,13,Leicester_City,Away,1076,17745,Kasper Schmeichel,kasper-schmeichel,G,False,,,9.0,1.0,24.0,25.0,,1.0,6.0,,,,,,,,,1.0,,,,,,,,,,,90.0,,,,,,,,,9.0,1.0,7.1,4.0,4.0,,1.0,,,,18.0,,8.0,26.0,34.0,0,,45.0,,,,
2019-20,8243416,2,13,Leicester_City,Away,1262,37402,Christian Fuchs,christian-fuchs,D,False,,,3.0,10.0,24.0,34.0,2.0,,6.0,,,,,,,,4.0,5.0,,,,,,,,,2.0,,90.0,,1.0,,,,,,,20.0,,6.9,,,1.0,1.0,3.0,1.0,,10.0,,18.0,29.0,46.0,1,4.0,71.0,2.0,,1.0,2.0
2019-20,8243416,2,13,Leicester_City,Away,20375,15033,Wes Morgan,wes-morgan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
