season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827861,1,13,Leicester_City,Away,1076,17745,Kasper Schmeichel,kasper-schmeichel,G,False,,1.0,7.0,1.0,12.0,13.0,,1.0,10.0,,,,,,,,,1.0,,,,,,,,,,,90.0,,,,1.0,,,7.0,,6.8,2.0,4.0,1.0,1.0,,,1.0,12.0,,4.0,14.0,18.0,1,,33.0,,,,
2018-19,7827861,1,13,Leicester_City,Away,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827861,1,13,Leicester_City,Away,20375,15033,Wes Morgan,wes-morgan,D,False,,,1.0,13.0,24.0,37.0,1.0,3.0,6.0,,,,,,,,1.0,4.0,,,,,,,,,,,90.0,,1.0,,,,,7.0,,6.7,,,,3.0,,,,3.0,,18.0,26.0,44.0,0,1.0,52.0,,,,1.0
2018-19,7827861,1,13,Leicester_City,Away,30127,46483,Adrien Silva,adrien-silva,M,False,,,7.0,40.0,25.0,65.0,2.0,,5.0,,,,2.0,,,2.0,6.0,3.0,,,,,,,,1.0,,,80.0,,,,,,,16.0,,6.5,,,,,,,,8.0,,49.0,27.0,76.0,0,2.0,88.0,3.0,1.0,,2.0
2018-19,7827861,1,13,Leicester_City,Away,30144,37642,Jonny Evans,jonny-evans,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827861,1,13,Leicester_City,Away,32690,54513,Vicente Iborra,vicente-iborra,M,True,,,2.0,12.0,4.0,16.0,,,3.0,,,,1.0,,,,1.0,,,,,,,,,2.0,,,10.0,,,,,,,1.0,,6.6,,,,,,,,3.0,,13.0,4.0,17.0,0,,19.0,,,,
2018-19,7827861,1,13,Leicester_City,Away,47737,51938,Marc Albrighton,marc-albrighton,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827861,1,13,Leicester_City,Away,123228,115858,Rachid Ghezzal,rachid-ghezzal,M,True,,,1.0,6.0,4.0,10.0,,,5.0,,,,,,,,2.0,1.0,,,,,,,,,,,27.0,,,,,,,8.0,,6.4,,,,,3.0,1.0,,1.0,,8.0,7.0,14.0,0,,22.0,1.0,,1.0,
2018-19,7827861,1,13,Leicester_City,Away,149380,95658,Harry Maguire,harry-maguire,D,False,,,6.0,26.0,28.0,54.0,2.0,1.0,7.0,,,,,,,,2.0,1.0,,,1.0,,,,,,,,90.0,,,,,,,6.0,,6.5,,,,3.0,,,,7.0,,30.0,29.0,59.0,0,,65.0,1.0,,,
2018-19,7827861,1,13,Leicester_City,Away,173827,101668,Jamie Vardy,jamie-vardy,F,True,1.0,,,3.0,,2.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,27.0,1.0,,,,,,1.0,,7.1,,,1.0,,,2.0,,,,4.0,,2.0,2,,6.0,,,,
