season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090161,12,13,Leicester_City,Away,260097,,Luis Hernández,luis-hernandez,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090161,12,13,Leicester_City,Away,308526,155569.0,Daniel Amartey,daniel-amartey,M,False,,,2.0,18.0,15.0,33.0,,4.0,8.0,,,1.0,,,,,2.0,8.0,,,2.0,,,,,,1.0,,90.0,,,,,,,,9.0,,6.9,,,,1.0,,,,3.0,,27.0,15.0,42.0,1,4.0,50.0,,,,3.0
2016-17,7090161,12,13,Leicester_City,Away,355152,172632.0,Demarai Gray,demarai-gray,M,True,,,1.0,5.0,,5.0,1.0,,1.0,,,,,,,,3.0,2.0,,,2.0,,,,,,,,22.0,,,,,,,,6.0,,6.4,,,,,2.0,3.0,,1.0,,8.0,,5.0,0,,13.0,1.0,,2.0,
2016-17,7090117,13,13,Leicester_City,Home,1203,12413.0,Robert Huth,robert-huth,D,False,,,,4.0,13.0,17.0,4.0,6.0,6.0,,,,,,,,4.0,10.0,,,,,,,,1.0,,,90.0,,1.0,,,,,,12.0,,7.2,,,,9.0,,,,6.0,,15.0,13.0,28.0,0,4.0,47.0,1.0,1.0,,3.0
2016-17,7090117,13,13,Leicester_City,Home,1262,37402.0,Christian Fuchs,christian-fuchs,D,False,1.0,,2.0,11.0,5.0,15.0,4.0,2.0,2.0,,,,2.0,,,,8.0,5.0,,,2.0,,,,,2.0,2.0,,90.0,,1.0,,,,,,20.0,,6.7,,,,4.0,1.0,4.0,,6.0,,20.0,8.0,24.0,0,2.0,58.0,,,1.0,1.0
2016-17,7090117,13,13,Leicester_City,Home,16807,38038.0,Ben Hamer,ben-hamer,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090117,13,13,Leicester_City,Home,19303,78412.0,Shinji Okazaki,shinji-okazaki,F,False,,,,5.0,8.0,13.0,4.0,1.0,3.0,,,,2.0,,,1.0,10.0,5.0,,,3.0,,,,1.0,,,,76.0,1.0,,,,,,,7.0,,6.9,,,1.0,,2.0,,,,,10.0,8.0,18.0,2,,30.0,1.0,2.0,2.0,
2016-17,7090117,13,13,Leicester_City,Home,20375,15033.0,Wes Morgan,wes-morgan,D,False,,,,1.0,10.0,11.0,3.0,3.0,1.0,,,,,,,,4.0,5.0,,,1.0,,,,,2.0,,,90.0,,,,,,,1.0,8.0,,6.7,,,,4.0,,,,2.0,,7.0,11.0,18.0,0,,27.0,,2.0,,
2016-17,7090117,13,13,Leicester_City,Home,30502,40725.0,Danny Simpson,danny-simpson,D,False,1.0,,1.0,12.0,16.0,27.0,1.0,1.0,5.0,,,1.0,1.0,,,,2.0,2.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,18.0,,6.5,,,,1.0,,2.0,,7.0,,25.0,19.0,42.0,1,1.0,66.0,,,,1.0
2016-17,7090117,13,13,Leicester_City,Home,30530,13152.0,Andy King,andy-king,M,False,,,1.0,14.0,19.0,33.0,2.0,3.0,5.0,,,,1.0,,,1.0,4.0,5.0,,,,,,,,2.0,1.0,,90.0,,,,,,,,10.0,,6.5,,,1.0,1.0,1.0,,,5.0,,22.0,20.0,42.0,1,,50.0,,1.0,1.0,
2016-17,7090117,13,13,Leicester_City,Home,41615,51934.0,Ron-Robert Zieler,ron-robert-zieler,G,False,,,8.0,5.0,5.0,10.0,,,11.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,25.0,,6.1,,,,2.0,,,,33.0,,23.0,12.0,35.0,0,,38.0,,,,
2016-17,7090117,13,13,Leicester_City,Home,47737,51938.0,Marc Albrighton,marc-albrighton,M,False,,,4.0,12.0,3.0,15.0,2.0,1.0,5.0,,,,5.0,,,1.0,9.0,4.0,,,1.0,,,,,,,,90.0,,,,,,,,17.0,,6.0,,,,,1.0,5.0,,11.0,1.0,27.0,3.0,25.0,0,1.0,41.0,1.0,1.0,1.0,1.0
