season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352327,1,39,Wolverhampton_Wanderers,Away,50027,60232,Craig Dawson,craig-dawson,D,False,,,7.0,11.0,33.0,44.0,,8.0,5.0,,,1.0,,1.0,,1.0,10.0,,,0.0751927,0.0583,0.0,1.0,,,,,,1.0,1.0,,90.0,,2.0,,,,,10.0,,8.2,,,,,5.0,,,,9.0,,17.0,34.0,51.0,1,2.0,68.0,3.0,,,
2023-24,11352327,1,39,Wolverhampton_Wanderers,Away,143047,87835,Matt Doherty,matt-doherty,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352327,1,39,Wolverhampton_Wanderers,Away,252821,200402,Nélson Semedo,nelson-semedo,D,False,1.0,,2.0,22.0,17.0,38.0,1.0,,10.0,,,,,,,3.0,6.0,,,0.133991,0.0,0.0,1.0,,,,,,3.0,1.0,,90.0,,1.0,,,,,13.0,,7.4,,,,,3.0,2.0,1.0,,2.0,,23.0,22.0,44.0,0,4.0,71.0,5.0,1.0,1.0,2.0
2023-24,11352327,1,39,Wolverhampton_Wanderers,Away,894474,214048,Max Kilman,max-kilman,D,False,,,2.0,10.0,28.0,38.0,2.0,2.0,5.0,,,,1.0,,1.0,6.0,5.0,,,0.0228035,0.0301,0.1803,2.0,,,,,,2.0,1.0,,90.0,1.0,3.0,,,,,13.0,,7.3,,,,,4.0,,1.0,,8.0,,19.0,31.0,49.0,1,2.0,67.0,,1.0,,1.0
2023-24,11352327,1,39,Wolverhampton_Wanderers,Away,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,False,,,1.0,8.0,17.0,25.0,,,8.0,,,,1.0,,,4.0,4.0,,,0.00744632,0.0,0.0,2.0,,,,,,1.0,1.0,,77.0,,2.0,,,,,9.0,,6.9,,,,,2.0,3.0,,,3.0,,12.0,20.0,32.0,0,2.0,52.0,1.0,,2.0,
2023-24,11352327,1,39,Wolverhampton_Wanderers,Away,945122,465351,Matheus Nunes,matheus-nunes,D,False,1.0,,,20.0,14.0,33.0,,2.0,5.0,,,,3.0,,3.0,10.0,16.0,,,0.0773452,0.0,0.0,,,,,,,5.0,2.0,,90.0,,,,,,,19.0,,7.4,,,,,1.0,10.0,1.0,,1.0,2.0,26.0,17.0,42.0,0,3.0,81.0,2.0,5.0,6.0,1.0
2023-24,11352327,1,39,Wolverhampton_Wanderers,Away,973418,510362,Toti Gomes,toti-gomes,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352428,2,39,Wolverhampton_Wanderers,Home,50027,60232,Craig Dawson,craig-dawson,D,False,,,,6.0,27.0,33.0,,1.0,3.0,,,,1.0,,,3.0,5.0,,,0.00238767,0.0748,0.5156,2.0,,,,,,,,,71.0,1.0,1.0,,,,,4.0,,6.4,,,1.0,,1.0,1.0,,,2.0,,7.0,30.0,37.0,2,2.0,47.0,,1.0,1.0,2.0
2023-24,11352428,2,39,Wolverhampton_Wanderers,Home,143047,87835,Matt Doherty,matt-doherty,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352428,2,39,Wolverhampton_Wanderers,Home,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,1.0,14.0,22.0,36.0,,,7.0,,,,3.0,,,5.0,6.0,,,0.0151347,0.0249,0.0,2.0,,,,,,,,,90.0,,,,,,,10.0,,6.2,,,1.0,,1.0,1.0,2.0,,7.0,,20.0,25.0,43.0,1,4.0,63.0,1.0,1.0,1.0,2.0
2023-24,11352428,2,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,4.0,15.0,42.0,57.0,1.0,1.0,9.0,,,,1.0,,1.0,6.0,3.0,,,0.00911767,0.0,0.0,3.0,,,,,,1.0,1.0,,90.0,,,,,,,9.0,,6.2,,,,,2.0,1.0,,,8.0,,20.0,44.0,64.0,0,1.0,73.0,,,1.0,1.0
2023-24,11352428,2,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,False,,,3.0,12.0,20.0,32.0,,2.0,2.0,,1.0,,1.0,,3.0,6.0,10.0,,,0.0708738,0.318,0.0,,,,,,,,1.0,,86.0,,,,,,,12.0,,6.3,,,1.0,,,4.0,,,5.0,,16.0,22.0,38.0,1,5.0,61.0,,1.0,2.0,4.0
