season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,22100,41727,Ryan Bennett,ryan-bennett,D,False,,,2.0,16.0,36.0,52.0,6.0,5.0,7.0,1.0,,,,,,,7.0,8.0,,,2.0,,,,,1.0,2.0,,90.0,,,,,,,16.0,,7.0,,,,,7.0,1.0,,,6.0,,21.0,47.0,68.0,0,2.0,80.0,,,1.0,1.0
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,98449,94147,Conor Coady,conor-coady,D,False,,,9.0,17.0,41.0,58.0,1.0,2.0,4.0,,,,,,,,1.0,3.0,,,,,,,,,,,90.0,,,,,,,5.0,,6.7,,,,,2.0,,,,11.0,,19.0,44.0,63.0,0,1.0,67.0,,,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,139310,90585,Willy Boly,willy-boly,D,False,,,1.0,24.0,33.0,57.0,1.0,4.0,9.0,,,,,,,2.0,3.0,9.0,,1.0,,,,,,1.0,,,90.0,,,,,,,15.0,,6.6,,,,,5.0,,,,8.0,,30.0,38.0,68.0,0,5.0,87.0,1.0,,,4.0
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,143047,87835,Matt Doherty,matt-doherty,D,False,2.0,,,26.0,6.0,30.0,2.0,8.0,5.0,,,,,,,1.0,6.0,9.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,21.0,,6.7,,,,,5.0,2.0,5.0,,1.0,,36.0,10.0,41.0,0,1.0,75.0,3.0,,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,187729,107613,Romain Saïss,romain-saiss,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,235648,114128,Jonny Otto,jonny-otto,D,False,,,1.0,18.0,6.0,24.0,2.0,1.0,3.0,,,,2.0,,,,4.0,2.0,,,1.0,,,,,2.0,,,76.0,,,,,,,11.0,,6.4,,,1.0,,1.0,,2.0,,3.0,,23.0,8.0,29.0,1,,52.0,1.0,1.0,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,255189,123354,Kortney Hause,kortney-hause,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827870,1,39,Wolverhampton_Wanderers,Home,846441,216054,Rúben Vinagre,ruben-vinagre,D,True,,,,6.0,3.0,9.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,14.0,,,,,,,6.0,,6.6,,,,,,2.0,3.0,,,,9.0,4.0,10.0,0,,19.0,,,1.0,
2018-19,7827899,2,39,Wolverhampton_Wanderers,Away,22100,41727,Ryan Bennett,ryan-bennett,D,False,,,,9.0,26.0,35.0,,7.0,4.0,,,,3.0,,,,5.0,9.0,,,2.0,,,,,,,,90.0,,1.0,,,,,12.0,,6.2,,,,,4.0,,1.0,,5.0,,17.0,30.0,46.0,0,2.0,61.0,,1.0,,1.0
2018-19,7827899,2,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,8.0,19.0,41.0,60.0,,,8.0,,,,,,,,,1.0,,,,,,,,2.0,,,90.0,,,,,,,7.0,,6.8,,,,,3.0,,,,11.0,,24.0,41.0,65.0,0,1.0,74.0,1.0,,,
2018-19,7827899,2,39,Wolverhampton_Wanderers,Away,139310,90585,Willy Boly,willy-boly,D,False,,,2.0,19.0,33.0,52.0,1.0,3.0,9.0,,,,2.0,,,,3.0,5.0,,,,,,,,2.0,,,90.0,,1.0,,,,,7.0,,6.5,,,,,5.0,,,,5.0,,25.0,34.0,59.0,0,2.0,69.0,,,,
2018-19,7827899,2,39,Wolverhampton_Wanderers,Away,143047,87835,Matt Doherty,matt-doherty,D,False,1.0,,1.0,15.0,3.0,17.0,3.0,3.0,2.0,,1.0,,,,,,4.0,4.0,,,,,,,,1.0,,,69.0,1.0,,1.0,,,,15.0,,6.1,,,,,,1.0,3.0,,1.0,,26.0,5.0,28.0,1,,51.0,,1.0,,
2018-19,7827899,2,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827899,2,39,Wolverhampton_Wanderers,Away,235648,114128,Jonny Otto,jonny-otto,D,False,,,1.0,14.0,7.0,21.0,2.0,1.0,7.0,,,,3.0,,,1.0,7.0,6.0,,,1.0,,,,1.0,1.0,2.0,,90.0,,,,,,,17.0,,6.9,,,1.0,,2.0,2.0,1.0,,5.0,,24.0,9.0,32.0,1,2.0,58.0,3.0,1.0,2.0,1.0
