season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576223,26,39,Wolverhampton_Wanderers,Home,235648,114128,Jonny Otto,jonny-otto,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576223,26,39,Wolverhampton_Wanderers,Home,252821,200402,Nélson Semedo,nelson-semedo,D,False,,,1.0,8.0,9.0,17.0,,,7.0,,,,3.0,,,2.0,9.0,6.0,,,4.0,,,,,,1.0,2.0,,90.0,,,,,,,18.0,,6.4,,,,,3.0,3.0,1.0,,9.0,1.0,14.0,16.0,29.0,0,3.0,56.0,2.0,1.0,2.0,2.0
2021-22,9576223,26,39,Wolverhampton_Wanderers,Home,894474,214048,Max Kilman,max-kilman,D,False,,,2.0,5.0,28.0,33.0,1.0,2.0,3.0,,,1.0,1.0,,,,2.0,4.0,,,,,,,,,,,,90.0,1.0,,,,,,4.0,,6.7,,,,,1.0,1.0,,,4.0,,8.0,28.0,36.0,2,1.0,44.0,1.0,,1.0,
2021-22,9576223,26,39,Wolverhampton_Wanderers,Home,931278,448514,Rayan Aït-Nouri,rayan-ait-nouri,D,False,2.0,,1.0,13.0,7.0,18.0,,3.0,1.0,,,,1.0,,,1.0,7.0,6.0,,,1.0,,,,,,,1.0,,88.0,,,,,,,17.0,,6.4,,,1.0,,2.0,5.0,5.0,,3.0,,19.0,9.0,23.0,1,1.0,55.0,2.0,1.0,1.0,1.0
2021-22,9576223,26,39,Wolverhampton_Wanderers,Home,973418,510362,Toti Gomes,toti-gomes,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576201,27,39,Wolverhampton_Wanderers,Away,98449,94147,Conor Coady,conor-coady,D,False,,,7.0,14.0,55.0,69.0,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,90.0,,,,,,,6.0,,6.8,,,,,4.0,,,,8.0,,15.0,60.0,75.0,1,,82.0,,,,
2021-22,9576201,27,39,Wolverhampton_Wanderers,Away,139310,90585,Willy Boly,willy-boly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576201,27,39,Wolverhampton_Wanderers,Away,143593,111291,Marçal,marcal,D,False,1.0,,,24.0,16.0,39.0,1.0,2.0,6.0,1.0,,1.0,,,,,2.0,4.0,,,,,,,,,,3.0,,76.0,,,,,,,17.0,,7.1,,,,,4.0,1.0,3.0,,3.0,,31.0,21.0,49.0,1,2.0,74.0,1.0,,,2.0
2021-22,9576201,27,39,Wolverhampton_Wanderers,Away,187729,107613,Romain Saïss,romain-saiss,D,False,,,2.0,23.0,35.0,58.0,3.0,,4.0,,,,,,,,4.0,1.0,,,1.0,,,,,,2.0,1.0,,90.0,,,,,,,6.0,,6.8,,,,,5.0,,,,6.0,,26.0,38.0,64.0,0,1.0,77.0,,,,1.0
2021-22,9576201,27,39,Wolverhampton_Wanderers,Away,235648,114128,Jonny Otto,jonny-otto,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
