playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,oboxTarget,rightFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,cornersWon,hitWoodwork,shotsBlockedOutsideBox,overruns,offsides,unsuccessfulLayoffs,handballsConceded,goalAssists,cornersTakenInclShortCorners,penaltiesConceded,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,secondGoalAssists,attemptsFromSetPieces,lastPlayerTackle,freekickTotal,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,ownGoalScored,clearancesOffTheLine,penaltiesFaced,drops,crossesNotClaimed
135363,Andreas Christensen,Defender,Chelsea,8,Denmark,2021-22,53.0,1.0,0.5381,34.0,0.0,14.0,5.0,1.0,84.0,19.0,22.0,17.0,132.0,1321.0,0.0,2.0,88.0,9.0,1.0,1494.0,39.0,73.0,2.0,13.0,24.0,1129.0,5.0,2.0,3.0,13.4343,6.0,7.0,51.0,11.0,14.0,342.0,7.0,0.0,126.0,8.0,0.0,437.0,110.0,19.0,6.0,457.0,9.0,1.0,38.0,49.0,0.0,1288.0,5.0,139.0,8.0,4.0,6.0,482.0,11.0,29.0,60.0,60.0,1498.0,11.0,2.0,30.0,733.0,4.0,0.5849,2.0,48.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102380,Antonio Rüdiger,Defender,Chelsea,8,Germany,2021-22,81.0,5.0,1.4936,46.0,0.0,48.0,36.0,7.0,158.0,34.0,25.0,34.0,298.0,2497.0,2.0,,76.0,14.0,5.0,3035.0,20.0,122.0,4.0,27.0,66.0,2040.0,51.0,,4.0,25.2122,12.0,13.0,87.0,27.0,61.0,1117.0,12.0,1.0,203.0,9.0,1.0,872.0,183.0,34.0,20.0,955.0,23.0,14.0,127.0,56.0,0.0,2447.0,23.0,351.0,28.0,6.0,11.0,353.0,35.0,28.0,159.0,155.0,2860.0,13.0,1.0,66.0,1249.0,20.0,2.2706,9.0,140.0,117.0,12.0,13.0,1.8868,1.0,2.0,10.0,3.0,8.0,5.0,5.0,5.0,4.0,5.0,2.0,6.0,1.0,10.0,4.0,11.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Chelsea,8,England,2021-22,29.0,1.0,0.7262,15.0,0.0,8.0,9.0,,31.0,7.0,8.0,6.0,46.0,270.0,1.0,1.0,17.0,4.0,7.0,541.0,10.0,33.0,,16.0,26.0,219.0,26.0,7.0,1.0,3.8001,9.0,1.0,14.0,2.0,19.0,96.0,15.0,1.0,62.0,7.0,2.0,71.0,32.0,7.0,5.0,149.0,2.0,6.0,45.0,7.0,0.0,256.0,3.0,100.0,3.0,3.0,,17.0,10.0,4.0,5.0,86.0,442.0,37.0,,10.0,82.0,4.0,0.8936,0.0,15.0,17.0,4.0,6.0,0.3173,2.0,,9.0,3.0,1.0,,3.0,3.0,3.0,,,3.0,,25.0,3.0,4.0,1.0,1.0,2.0,2.0,,,1.0,25.0,1.0,5.0,3.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
41328,César Azpilicueta,Defender,Chelsea,8,Spain,2021-22,85.0,6.0,2.28,46.0,0.0,51.0,8.0,1.0,169.0,27.0,33.0,24.0,230.0,1605.0,0.0,3.0,75.0,5.0,6.0,2074.0,29.0,117.0,3.0,54.0,71.0,1329.0,55.0,23.0,4.0,23.2568,15.0,16.0,61.0,23.0,56.0,165.0,5.0,0.0,202.0,23.0,1.0,623.0,110.0,27.0,23.0,722.0,20.0,14.0,127.0,46.0,0.0,1580.0,4.0,336.0,28.0,15.0,9.0,616.0,25.0,23.0,46.0,201.0,2067.0,105.0,8.0,33.0,659.0,13.0,0.8767,3.0,61.0,75.0,3.0,4.0,1.3459,3.0,,41.0,1.0,2.0,,3.0,3.0,1.0,,1.0,4.0,,41.0,1.0,19.0,2.0,2.0,,2.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
109533,Emerson,Defender,Chelsea,8,Italy,2021-22,,,0.0001,,0.0,,,,1.0,1.0,,,1.0,2.0,0.0,1.0,,,,4.0,,,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,0.0,,,1.0,,1.0,,,,,0.0,2.0,,1.0,,,,,,,,1.0,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487838,Lewis Hall,Defender,Chelsea,8,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204727,Malang Sarr,Defender,Chelsea,8,France,2021-22,22.0,1.0,0.2754,14.0,0.0,14.0,1.0,2.0,38.0,8.0,9.0,6.0,55.0,467.0,0.0,2.0,20.0,2.0,1.0,546.0,7.0,28.0,2.0,6.0,15.0,398.0,,3.0,1.0,6.6583,3.0,1.0,19.0,7.0,15.0,172.0,1.0,0.0,50.0,3.0,0.0,169.0,36.0,8.0,7.0,182.0,5.0,2.0,30.0,13.0,0.0,453.0,1.0,71.0,7.0,,3.0,60.0,8.0,11.0,14.0,66.0,564.0,19.0,2.0,5.0,231.0,7.0,0.0361,2.0,17.0,25.0,,,,,,3.0,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
82263,Marcos Alonso,Defender,Chelsea,8,Spain,2021-22,117.0,16.0,3.4349,61.0,0.0,41.0,24.0,2.0,147.0,28.0,33.0,25.0,215.0,1135.0,2.0,3.0,69.0,7.0,31.0,2172.0,29.0,124.0,3.0,63.0,84.0,878.0,72.0,8.0,3.0,20.6142,39.0,6.0,50.0,22.0,88.0,390.0,28.0,2.0,241.0,24.0,2.0,381.0,139.0,28.0,12.0,593.0,19.0,45.0,172.0,40.0,0.0,1108.0,13.0,435.0,29.0,15.0,5.0,59.0,25.0,43.0,42.0,305.0,1877.0,191.0,9.0,36.0,358.0,12.0,2.8358,8.0,68.0,81.0,19.0,11.0,2.5025,3.0,,66.0,4.0,8.0,2.0,5.0,5.0,11.0,2.0,,20.0,,118.0,11.0,28.0,,8.0,3.0,3.0,1.0,,4.0,67.0,1.0,14.0,4.0,47.0,,9.0,,9.0,0.3621,,,,,,,,,,,,,,1.0,,,,,
225796,Reece James,Defender,Chelsea,8,England,2021-22,85.0,17.0,4.7579,40.0,1.0,33.0,24.0,2.0,127.0,26.0,22.0,22.0,144.0,1379.0,4.0,4.0,38.0,5.0,24.0,1865.0,21.0,117.0,4.0,50.0,100.0,1192.0,71.0,5.0,3.0,14.7083,39.0,5.0,18.0,21.0,64.0,72.0,31.0,2.0,202.0,18.0,1.0,320.0,99.0,26.0,8.0,814.0,17.0,33.0,164.0,17.0,1.0,1364.0,14.0,297.0,25.0,36.0,2.0,593.0,20.0,17.0,43.0,394.0,1979.0,191.0,4.0,5.0,445.0,11.0,3.1224,4.0,17.0,44.0,13.0,10.0,2.8555,1.0,,58.0,5.0,6.0,4.0,1.0,1.0,7.0,4.0,4.0,11.0,,84.0,7.0,30.0,1.0,6.0,1.0,4.0,,2.0,9.0,15.0,1.0,4.0,1.0,8.0,1.0,6.0,,6.0,0.2016,,,,,,,,,,,,,,,1.0,,,,
51090,Thiago Silva,Defender,Chelsea,8,Brazil,2021-22,58.0,1.0,0.8542,69.0,0.0,32.0,13.0,1.0,100.0,32.0,46.0,28.0,190.0,2622.0,2.0,4.0,89.0,10.0,1.0,2651.0,32.0,106.0,4.0,30.0,49.0,2261.0,25.0,,5.0,25.7025,7.0,15.0,95.0,28.0,26.0,715.0,12.0,1.0,164.0,23.0,1.0,926.0,214.0,32.0,11.0,927.0,24.0,4.0,75.0,57.0,0.0,2563.0,8.0,209.0,21.0,6.0,31.0,887.0,12.0,44.0,171.0,94.0,2937.0,3.0,2.0,28.0,1506.0,8.0,0.8965,2.0,90.0,72.0,5.0,5.0,1.1422,1.0,1.0,1.0,3.0,1.0,,2.0,2.0,4.0,,,1.0,3.0,1.0,4.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,3.0,,,
