playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,offsides,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,unsuccessfulCrossesOpenPlay,goals,oboxBlocked,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,cornersWon,clearancesOffTheLine,shotsBlockedOutsideBox,successfulCrossesOpenPlay,expectedGoalsFreekick,successfulLayoffs,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,successfulCornersIntoBox,oboxTarget,rightFootGoals,leftFootGoals,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,handballsConceded,throwInsToOppositionPlayer,ownGoalScored,foulWonPenalty,penaltiesTaken,penaltyGoals,setPiecesGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
135363,Andreas Christensen,Defender,Chelsea,8,Denmark,2017-18,40.0,0.8537,0.0,2.0,1.0,0.4542,26.0,10.0,1.0,63.0,27.0,23.0,89.0,1349.0,1.0,4.0,86.0,6.0,1.0,2070.0,1.0,1.0,29.0,99.0,2.0,14.0,42.0,1198.0,22.0,23.3254,4.0,5.0,104.0,23.0,2.0,11.0,436.0,13.0,139.0,8.0,340.0,139.0,27.0,13.0,410.0,21.0,2.0,53.0,57.0,0.0,1314.0,9.0,104.0,13.0,5.0,17.0,500.0,8.0,39.0,62.0,73.0,1615.0,3.0,6.0,2.0,13.0,850.0,4.0,0.8855,0.0,26.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102380,Antonio Rüdiger,Defender,Chelsea,8,Germany,2017-18,99.0,0.686,0.0,5.0,4.0,1.0159,31.0,10.0,3.0,108.0,27.0,25.0,180.0,1709.0,2.0,2.0,98.0,12.0,2.0,2336.0,2.0,,39.0,111.0,2.0,21.0,52.0,1427.0,21.0,19.9264,2.0,6.0,101.0,22.0,3.0,60.0,670.0,14.0,210.0,14.0,581.0,175.0,27.0,10.0,535.0,20.0,3.0,112.0,59.0,0.0,1685.0,6.0,229.0,21.0,8.0,15.0,337.0,26.0,24.0,102.0,121.0,2029.0,11.0,,,34.0,994.0,12.0,1.757,4.0,72.0,69.0,1.0,10.0,2.0,2.0,2.0,2.0,10.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41328,César Azpilicueta,Defender,Chelsea,8,Spain,2017-18,114.0,5.0613,0.0,3.0,3.0,1.7159,80.0,10.0,10.0,231.0,37.0,37.0,366.0,2760.0,1.0,,136.0,15.0,1.0,3330.0,1.0,,55.0,179.0,2.0,49.0,98.0,2270.0,27.0,36.1197,25.0,29.0,119.0,38.0,,59.0,234.0,13.0,293.0,26.0,1037.0,207.0,37.0,21.0,1035.0,36.0,,157.0,81.0,0.0,2709.0,7.0,483.0,59.0,6.0,22.0,1228.0,25.0,54.0,124.0,261.0,3340.0,60.0,,,65.0,1374.0,12.0,1.2537,1.0,135.0,120.0,6.0,65.0,2.0,3.0,3.0,1.0,65.0,10.0,1.0,3.0,15.0,,7.0,,,15.0,,,1.0,,,,,,1.0,11.0,1.0,,,,,,,,,,,,,,,,,,
41270,David Luiz,Defender,Chelsea,8,Brazil,2017-18,44.0,0.0919,1.0,2.0,4.0,0.6654,18.0,9.0,,36.0,10.0,9.0,72.0,492.0,,1.0,33.0,2.0,,839.0,,,16.0,51.0,,6.0,34.0,380.0,3.0,12.1564,1.0,,41.0,13.0,,28.0,141.0,15.0,95.0,4.0,157.0,66.0,10.0,7.0,120.0,13.0,,62.0,17.0,1.0,471.0,5.0,90.0,11.0,3.0,5.0,156.0,12.0,24.0,40.0,38.0,641.0,,,,3.0,300.0,7.0,0.9345,4.0,36.0,13.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,2.0,,0.0949,3.0,,3.0,,,3.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
105700,Davide Zappacosta,Defender,Chelsea,8,Italy,2017-18,68.0,1.6427,0.0,9.0,11.0,1.1607,26.0,16.0,,60.0,22.0,12.0,67.0,445.0,5.0,10.0,20.0,3.0,5.0,1095.0,5.0,,6.0,64.0,,42.0,50.0,372.0,45.0,13.2568,12.0,2.0,20.0,15.0,3.0,62.0,57.0,10.0,132.0,9.0,100.0,67.0,22.0,15.0,232.0,15.0,3.0,112.0,14.0,0.0,442.0,5.0,215.0,11.0,14.0,2.0,153.0,7.0,6.0,6.0,135.0,872.0,119.0,7.0,1.0,6.0,163.0,5.0,1.3992,0.0,7.0,33.0,1.0,67.0,1.0,6.0,23.0,,67.0,25.0,,6.0,17.0,,3.0,1.0,5.0,17.0,,5.0,,1.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,
199583,Dujon Sterling,Defender,Chelsea,8,England,2017-18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109533,Emerson,Defender,Chelsea,8,Italy,2017-18,9.0,0.0759,0.0,,2.0,0.4853,6.0,2.0,,21.0,5.0,3.0,26.0,131.0,,2.0,4.0,1.0,2.0,279.0,2.0,,1.0,19.0,,5.0,16.0,101.0,9.0,3.8421,,,9.0,4.0,,8.0,50.0,5.0,28.0,2.0,36.0,17.0,5.0,2.0,57.0,4.0,,24.0,3.0,0.0,128.0,,53.0,4.0,5.0,,3.0,3.0,2.0,4.0,42.0,220.0,26.0,1.0,,3.0,50.0,3.0,0.1235,0.0,5.0,12.0,1.0,12.0,,,3.0,,13.0,1.0,,,2.0,,,1.0,,2.0,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,
199598,Ethan Ampadu,Defender,Chelsea,8,Wales,2017-18,2.0,0.0011,0.0,,,,1.0,,,,1.0,,,19.0,,1.0,3.0,,,10.0,,,2.0,2.0,,,1.0,18.0,,0.545,,,2.0,1.0,,,3.0,,4.0,,5.0,,1.0,,3.0,1.0,,1.0,1.0,0.0,19.0,,,1.0,,,11.0,,,1.0,,22.0,,,,,16.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19419,Gary Cahill,Defender,Chelsea,8,England,2017-18,61.0,0.2404,1.0,2.0,3.0,0.1713,29.0,8.0,,97.0,27.0,24.0,146.0,1330.0,,3.0,124.0,9.0,2.0,2084.0,2.0,,31.0,141.0,1.0,12.0,48.0,1137.0,15.0,22.182,3.0,3.0,123.0,24.0,1.0,30.0,484.0,17.0,202.0,7.0,470.0,103.0,27.0,8.0,353.0,23.0,1.0,78.0,93.0,1.0,1304.0,5.0,164.0,21.0,4.0,14.0,309.0,17.0,27.0,47.0,67.0,1616.0,10.0,1.0,,27.0,831.0,11.0,0.5009,1.0,49.0,53.0,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82263,Marcos Alonso,Defender,Chelsea,8,Spain,2017-18,137.0,2.2026,0.0,19.0,23.0,5.9326,51.0,46.0,,203.0,33.0,33.0,277.0,1347.0,8.0,,115.0,12.0,9.0,2860.0,9.0,2.0,54.0,158.0,2.0,103.0,97.0,1031.0,101.0,27.2785,32.0,9.0,60.0,30.0,12.0,83.0,574.0,31.0,295.0,31.0,421.0,193.0,33.0,18.0,642.0,28.0,12.0,180.0,61.0,0.0,1328.0,23.0,473.0,33.0,17.0,5.0,75.0,26.0,47.0,39.0,277.0,2179.0,245.0,5.0,,45.0,446.0,11.0,4.1452,6.0,74.0,91.0,2.0,78.0,7.0,7.0,16.0,2.0,78.0,39.0,,7.0,18.0,0.7389,11.0,,7.0,18.0,,7.0,1.0,4.0,,9.0,9.0,,2.0,24.0,,,,,2.0,,,,,,,,,,,,,,
