playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,blockedShots,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,substituteOn,aerialDuels,cleanSheets,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,shotsOnTargetIncGoals,expectedGoalsOnTarget,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,penaltyGoalsConceded,ownGoalScored,homeGoals,oboxTarget,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,cornersWon,goalAssists,oboxBlocked,cornersTakenInclShortCorners,successfulCornersIntoBox,rightFootGoals,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,handballsConceded,penaltiesConceded,hitWoodwork,unsuccessfulLayoffs,secondGoalAssists,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltiesTaken,penaltyGoals,foulWonPenalty,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,headedGoals,otherGoals,redCards2ndYellow,penaltiesSaved,savesFromPenalty,goalkeeperSmother,drops
135363,Andreas Christensen,Defender,Chelsea,8,Denmark,2020-21,36.0,0.2665,34.0,1.0,1.0,1.0,11.0,2.0,1.0,71.0,17.0,1.0,20.0,15.0,99.0,1141.0,2.0,56.0,8.0,1371.0,18.0,63.0,2.0,10.0,25.0,990.0,7.0,1.0,11.7539,6.0,7.0,49.0,15.0,1.0,18.0,279.0,7.0,0.0,99.0,5.0,358.0,85.0,17.0,5.0,258.0,13.0,1.0,1.0,43.0,38.0,1.0,1117.0,2.0,114.0,6.0,7.0,14.0,417.0,9.0,20.0,1.0,52.0,87.0,1299.0,4.0,1.0,16.0,784.0,4.0,0.1425,2.0,28.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102380,Antonio Rüdiger,Defender,Chelsea,8,Germany,2020-21,43.0,0.361,32.0,0.0,3.0,1.0,31.0,11.0,,76.0,19.0,,22.0,19.0,161.0,1523.0,,63.0,11.0,1710.0,21.0,87.0,1.0,18.0,45.0,1286.0,18.0,,11.466,3.0,11.0,51.0,10.0,3.0,22.0,625.0,11.0,0.0,130.0,7.0,491.0,119.0,19.0,8.0,458.0,9.0,4.0,3.0,67.0,42.0,0.0,1495.0,4.0,183.0,23.0,3.0,10.0,307.0,16.0,18.0,,76.0,100.0,1713.0,2.0,,30.0,905.0,5.0,1.3286,0.0,85.0,52.0,1.0,7.0,1.6735,2.0,1.0,1.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Chelsea,8,England,2020-21,103.0,2.6024,66.0,0.0,7.0,1.0,42.0,20.0,,196.0,27.0,,33.0,27.0,264.0,1469.0,,72.0,9.0,2290.0,34.0,137.0,2.0,72.0,99.0,1154.0,66.0,28.0,21.67,25.0,7.0,47.0,23.0,2.0,69.0,528.0,41.0,2.0,240.0,25.0,502.0,122.0,27.0,20.0,730.0,21.0,30.0,2.0,168.0,38.0,0.0,1437.0,10.0,473.0,22.0,16.0,3.0,71.0,23.0,24.0,,51.0,368.0,2199.0,199.0,5.0,30.0,502.0,8.0,2.4021,3.0,68.0,88.0,15.0,10.0,2.7164,83.0,3.0,8.0,1.0,,27.0,7.0,7.0,3.0,,2.0,,2.0,11.0,109.0,25.0,5.0,5.0,32.0,10.0,1.0,20.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41328,César Azpilicueta,Defender,Chelsea,8,Spain,2020-21,107.0,2.4334,68.0,1.0,1.0,,53.0,10.0,3.0,170.0,26.0,2.0,34.0,24.0,248.0,1887.0,2.0,99.0,12.0,2191.0,44.0,128.0,1.0,56.0,73.0,1600.0,40.0,12.0,19.3793,25.0,10.0,59.0,20.0,1.0,63.0,175.0,14.0,1.0,235.0,25.0,728.0,131.0,26.0,25.0,743.0,19.0,14.0,1.0,136.0,55.0,1.0,1855.0,5.0,325.0,28.0,6.0,5.0,783.0,32.0,28.0,,39.0,201.0,2346.0,141.0,3.0,49.0,903.0,19.0,0.6651,5.0,78.0,102.0,7.0,5.0,0.7804,30.0,1.0,5.0,0.0,2.0,7.0,2.0,2.0,1.0,,1.0,2.0,,8.0,30.0,13.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109533,Emerson,Defender,Chelsea,8,Italy,2020-21,7.0,0.0329,4.0,0.0,,,3.0,,,8.0,2.0,,2.0,,15.0,56.0,2.0,3.0,,89.0,,6.0,,2.0,3.0,38.0,1.0,1.0,,,1.0,6.0,,,7.0,17.0,,0.0,13.0,,20.0,7.0,2.0,,18.0,,2.0,,10.0,3.0,0.0,56.0,,21.0,3.0,,,3.0,3.0,1.0,,3.0,16.0,82.0,9.0,,6.0,24.0,3.0,,0.0,7.0,8.0,1.0,,,,,,,,1.0,,,,,,,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103192,Kurt Zouma,Defender,Chelsea,8,France,2020-21,64.0,0.5681,45.0,0.0,6.0,,16.0,21.0,,95.0,24.0,,28.0,22.0,162.0,1775.0,2.0,125.0,9.0,2027.0,38.0,108.0,3.0,9.0,21.0,1522.0,35.0,,21.176,4.0,8.0,91.0,25.0,4.0,26.0,589.0,6.0,1.0,172.0,4.0,525.0,97.0,24.0,6.0,473.0,22.0,6.0,4.0,47.0,87.0,0.0,1748.0,9.0,178.0,10.0,2.0,9.0,551.0,17.0,28.0,,91.0,110.0,2016.0,3.0,,25.0,1140.0,9.0,2.0064,3.0,67.0,67.0,,12.0,2.0365,,5.0,,3.0,1.0,,6.0,6.0,2.0,,2.0,1.0,,2.0,,5.0,,2.0,,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
82263,Marcos Alonso,Defender,Chelsea,8,Spain,2020-21,52.0,0.9964,32.0,0.0,8.0,,13.0,14.0,,64.0,13.0,1.0,20.0,11.0,89.0,508.0,2.0,38.0,4.0,959.0,15.0,57.0,2.0,32.0,34.0,403.0,39.0,4.0,9.6513,15.0,4.0,28.0,13.0,3.0,37.0,181.0,12.0,1.0,109.0,11.0,166.0,59.0,13.0,10.0,227.0,11.0,17.0,3.0,71.0,23.0,0.0,499.0,4.0,147.0,3.0,9.0,1.0,20.0,13.0,12.0,,16.0,141.0,764.0,71.0,2.0,13.0,195.0,5.0,1.8517,2.0,25.0,37.0,1.0,10.0,1.9359,17.0,2.0,2.0,1.0,2.0,3.0,6.0,6.0,,,1.0,2.0,1.0,8.0,21.0,10.0,,5.0,4.0,2.0,1.0,2.0,5.0,,,2.0,,1.0,0.3931,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
225796,Reece James,Defender,Chelsea,8,England,2020-21,117.0,3.5612,70.0,0.0,12.0,1.0,55.0,22.0,,139.0,32.0,6.0,35.0,25.0,197.0,1696.0,7.0,64.0,9.0,2367.0,24.0,146.0,4.0,63.0,106.0,1426.0,51.0,8.0,22.5204,40.0,8.0,43.0,29.0,6.0,93.0,93.0,17.0,1.0,263.0,29.0,395.0,153.0,32.0,20.0,798.0,25.0,40.0,6.0,199.0,40.0,0.0,1677.0,11.0,390.0,35.0,34.0,7.0,743.0,31.0,17.0,,73.0,465.0,2380.0,172.0,,27.0,736.0,22.0,1.5758,3.0,58.0,74.0,23.0,11.0,1.6524,85.0,1.0,1.0,1.0,5.0,35.0,5.0,5.0,3.0,,0.0,5.0,,17.0,109.0,24.0,2.0,6.0,33.0,10.0,1.0,19.0,6.0,1.0,1.0,1.0,,,0.2411,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
51090,Thiago Silva,Defender,Chelsea,8,Brazil,2020-21,51.0,0.5404,45.0,1.0,4.0,,20.0,9.0,,70.0,23.0,,29.0,23.0,135.0,1940.0,,75.0,10.0,1938.0,28.0,85.0,2.0,12.0,38.0,1690.0,19.0,,17.6217,5.0,8.0,82.0,20.0,4.0,23.0,670.0,16.0,1.0,136.0,8.0,606.0,133.0,23.0,8.0,643.0,18.0,3.0,4.0,61.0,47.0,0.0,1889.0,5.0,154.0,12.0,2.0,13.0,600.0,13.0,33.0,1.0,115.0,64.0,2168.0,4.0,2.0,23.0,1162.0,9.0,1.6918,3.0,65.0,47.0,,4.0,0.9781,3.0,2.0,,0.0,,,2.0,2.0,3.0,,2.0,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,
441191,Tino Livramento,Defender,Chelsea,8,England,2020-21,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
