playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,overruns,totalTackles,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,straightRedCards,openPlayPasses,totalLossesOfPossession,tacklesWon,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,totalShots,unsuccessfulCrossesOpenPlay,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,throwInsToOwnPlayer,punches,savesMade,savesMadeFromOutsideBox,goalKicks,aerialDuelsWon,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,awayGoals,iboxTarget,shotsOnTargetInBox,homeGoals,rightFootGoals,handballsConceded,substituteOn,offsides,headedGoals,shotsOnTargetOutsideBox,oboxTarget,leftFootGoals,unsuccessfulLayoffs,goalAssists
153133,Alex Iwobi,Forward,Fulham,54,Nigeria,2026-27,8.0,0.6986,0.0,2.0,2.0,3.0,2.0,15.0,3.0,3.0,3.0,19.0,222.0,1.0,5.0,1.0,4.0,263.0,1.0,5.0,4.0,5.0,184.0,2.0,4.0,5.9184,3.0,2.0,1.0,7.0,1.0,7.0,85.0,2.0,0.0,13.0,66.0,11.0,3.0,1.0,1.0,122.0,7.0,4.0,2.0,1.0,12.0,0.0,220.0,34.0,2.0,43.0,2.0,3.0,3.0,19.0,28.0,259.0,1.0,1.0,2.0,85.0,1.0,0.0507,0.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169528,Antonee Robinson,Defender,Fulham,54,United States,2026-27,13.0,0.169,0.0,1.0,,8.0,,27.0,3.0,2.0,3.0,30.0,149.0,1.0,,5.0,2.0,251.0,5.0,13.0,7.0,13.0,112.0,,4.0,5.9184,3.0,1.0,5.0,7.0,,8.0,63.0,2.0,0.0,26.0,42.0,12.0,3.0,1.0,2.0,73.0,7.0,8.0,3.0,,21.0,0.0,149.0,48.0,7.0,3.0,,1.0,,7.0,41.0,215.0,2.0,1.0,,48.0,,0.2121,0.0,3.0,12.0,2.0,2.0,8.0,5.0,1.0,2.0,3.0,3.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86873,Benjamin Lecomte,Goalkeeper,Fulham,54,France,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80201,Bernd Leno,Goalkeeper,Fulham,54,Germany,2026-27,,0.005,0.0,,,,,1.0,3.0,,3.0,28.0,131.0,,,1.0,,270.0,,1.0,,,95.0,,,5.9184,,1.0,3.0,7.0,,,42.0,,0.0,1.0,51.0,25.0,3.0,,,8.0,7.0,,,,,0.0,101.0,28.0,,38.0,,,,8.0,,158.0,,,15.0,95.0,,,0.0,27.0,2.0,,,,,,,,,,,2.0,8.0,2.0,19.0,1.0,25.0,9.0,1.0,6.0,,,,,,,,,,,,,,,,,
232892,Calvin Bassey,Defender,Fulham,54,Nigeria,2026-27,8.0,0.0728,0.0,1.0,,3.0,1.0,13.0,3.0,,3.0,24.0,262.0,1.0,,4.0,,270.0,3.0,11.0,3.0,10.0,219.0,,,5.9184,,2.0,8.0,7.0,,5.0,74.0,5.0,0.0,19.0,98.0,12.0,3.0,2.0,3.0,104.0,7.0,,3.0,,15.0,0.0,255.0,30.0,1.0,77.0,2.0,2.0,,19.0,13.0,299.0,,1.0,4.0,134.0,1.0,0.0168,1.0,11.0,7.0,,,,,1.0,,1.0,2.0,,2.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
571779,César Palacios,Midfielder,Fulham,54,Spain,2026-27,10.0,0.0282,0.0,2.0,1.0,2.0,,11.0,3.0,5.0,3.0,12.0,91.0,,,5.0,,210.0,3.0,9.0,6.0,7.0,77.0,,10.0,4.8437,1.0,,2.0,6.0,2.0,7.0,33.0,,0.0,19.0,16.0,8.0,3.0,1.0,2.0,48.0,6.0,1.0,3.0,2.0,14.0,0.0,90.0,26.0,1.0,13.0,5.0,1.0,,2.0,29.0,134.0,3.0,,1.0,31.0,,0.9774,1.0,1.0,4.0,,6.0,1.0,,6.0,4.0,2.0,5.0,,,,,,,2.0,,,,,2.0,0.6355,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
442299,David Affengruber,Defender,Fulham,54,Austria,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209289,Emile Smith Rowe,Midfielder,Fulham,54,England,2026-27,5.0,0.0271,0.0,1.0,,,,2.0,2.0,,,2.0,22.0,,,3.0,,25.0,3.0,,1.0,,20.0,,3.0,0.3919,2.0,,,,1.0,2.0,3.0,,0.0,5.0,5.0,1.0,2.0,,1.0,16.0,,,2.0,1.0,2.0,0.0,22.0,4.0,,11.0,,,,,3.0,30.0,,,,4.0,,0.0581,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
551466,Gonzalo García,Forward,Fulham,54,Spain,2026-27,26.0,0.2211,0.0,8.0,,2.0,,14.0,3.0,5.0,3.0,14.0,66.0,2.0,,19.0,,270.0,9.0,19.0,4.0,9.0,52.0,,20.0,5.9184,1.0,,3.0,7.0,6.0,17.0,13.0,3.0,0.0,45.0,12.0,6.0,3.0,1.0,4.0,31.0,7.0,3.0,8.0,6.0,26.0,0.0,65.0,32.0,1.0,16.0,5.0,1.0,,,25.0,118.0,,2.0,,21.0,3.0,1.4458,0.0,,6.0,,3.0,3.0,,2.0,2.0,2.0,4.0,1.0,1.0,,,,,10.0,,,,,1.0,0.9396,1.0,0.0,,,1.0,,,,1.0,1.0,,,,,
153366,Harrison Reed,Midfielder,Fulham,54,England,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
