playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,oboxBlocked,shotsBlockedOutsideBox,successfulCrossesOpenPlay,overruns,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,goals,offsides,awayGoals,shotsOnTargetOutsideBox,successfulCrossesAndCorners,homeGoals,oboxTarget,rightFootGoals,leftFootGoals,unsuccessfulDribbles,headedGoals,substituteOff,hitWoodwork,cornersTakenInclShortCorners,unsuccessfulLayoffs,penaltiesConceded,penaltyGoalsConceded,unsuccessfulCornersIntoBox,handballsConceded,secondGoalAssists,lastPlayerTackle,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throwInsToOppositionPlayer,penaltiesTaken,penaltyGoals,penaltiesSaved,penaltiesFaced,savesFromPenalty,punches
1869,Aaron Hughes,Defender,Fulham,54,Northern Ireland,2012-13,70.0,0.5421,0.0,1.0,3.0,0.0911,20.0,7.0,107.0,24.0,23.0,146.0,2.0,1049.0,1.0,127.0,4.0,6.0,2115.0,6.0,58.0,102.0,8.0,33.0,843.0,19.0,42.7665,5.0,9.0,195.0,43.0,2.0,12.0,227.0,11.0,0.0,172.0,410.0,80.0,24.0,3.0,226.0,35.0,2.0,5.0,2.0,45.0,69.0,0.0,1029.0,4.0,3.0,160.0,17.0,2.0,18.0,318.0,3.0,57.0,1.0,60.0,94.0,1399.0,3.0,38.0,677.0,0.5143,1.0,39.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77544,Alex Smith,Defender,Fulham,54,England,2012-13,,0.0005,0.0,1.0,,,,,,1.0,,,,2.0,1.0,,,,1.0,,,,,,2.0,,,1.0,,,,,,2.0,,0.0,,,1.0,1.0,,1.0,,,,,,,0.0,2.0,,1.0,,,,,,,,,,,3.0,,,1.0,0.0343,0.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42518,Alexander Kacaniklic,Midfielder,Fulham,54,Sweden,2012-13,80.0,1.1496,0.0,7.0,10.0,3.2855,10.0,18.0,40.0,20.0,16.0,42.0,38.0,285.0,4.0,15.0,2.0,10.0,1261.0,10.0,11.0,50.0,2.0,46.0,243.0,69.0,21.1356,11.0,,9.0,18.0,11.0,69.0,98.0,18.0,4.0,130.0,63.0,63.0,20.0,2.0,155.0,16.0,38.0,61.0,11.0,115.0,4.0,0.0,284.0,8.0,15.0,175.0,8.0,18.0,1.0,28.0,4.0,19.0,,,96.0,563.0,3.0,3.0,96.0,2.4565,0.0,2.0,7.0,,,8.0,10.0,2.0,2.0,6.0,1.0,4.0,2.0,3.0,2.0,8.0,1.0,2.0,2.0,1.0,41.0,1.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18427,Ashkan Dejagah,Midfielder,Fulham,54,Iran,2012-13,137.0,1.0714,0.0,2.0,2.0,0.2713,39.0,11.0,86.0,21.0,13.0,90.0,25.0,469.0,8.0,48.0,2.0,4.0,1193.0,4.0,31.0,94.0,2.0,77.0,370.0,46.0,24.2452,19.0,1.0,5.0,22.0,1.0,106.0,94.0,21.0,0.0,231.0,127.0,85.0,21.0,6.0,299.0,20.0,30.0,64.0,1.0,183.0,17.0,0.0,468.0,9.0,14.0,214.0,33.0,17.0,2.0,132.0,26.0,32.0,,9.0,116.0,759.0,3.0,1.0,87.0,0.8255,3.0,4.0,12.0,1.0,1.0,7.0,6.0,2.0,1.0,19.0,2.0,,5.0,,,7.0,,,,,32.0,,7.0,,3.0,2.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15284,Brede Hangeland,Defender,Fulham,54,Norway,2012-13,109.0,0.39,1.0,3.0,1.0,0.2355,48.0,8.0,160.0,35.0,35.0,238.0,,1530.0,,170.0,7.0,1.0,3045.0,1.0,44.0,202.0,8.0,76.0,1131.0,31.0,60.3822,5.0,21.0,337.0,52.0,4.0,65.0,492.0,10.0,0.0,311.0,671.0,155.0,35.0,7.0,344.0,44.0,,12.0,4.0,141.0,126.0,1.0,1516.0,7.0,5.0,263.0,41.0,18.0,42.0,273.0,29.0,87.0,1.0,161.0,94.0,2147.0,1.0,44.0,948.0,1.2805,2.0,78.0,50.0,,,,2.0,,,3.0,,,,,,,,,,,4.0,,1.0,1.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37084,Bryan Ruiz,Midfielder,Fulham,54,Costa Rica,2012-13,215.0,5.2057,0.0,12.0,20.0,4.828,48.0,41.0,177.0,29.0,26.0,202.0,31.0,1327.0,3.0,99.0,2.0,10.0,2384.0,10.0,56.0,172.0,4.0,129.0,1049.0,71.0,52.3832,41.0,,30.0,43.0,4.0,159.0,339.0,49.0,0.0,387.0,325.0,175.0,29.0,5.0,716.0,39.0,81.0,116.0,4.0,288.0,43.0,0.0,1299.0,21.0,15.0,452.0,43.0,32.0,6.0,409.0,14.0,51.0,,76.0,254.0,1910.0,6.0,3.0,433.0,5.8541,2.0,25.0,41.0,19.0,19.0,8.0,5.0,14.0,7.0,58.0,1.0,5.0,2.0,1.0,19.0,24.0,4.0,19.0,1.0,3.0,38.0,1.0,5.0,3.0,55.0,3.0,,3.0,32.0,3.0,,,1.0,14.0,18.0,9.0,0.7194,,,,,,,,,,,,,,,,,,,
112063,Charles Banya,Midfielder,Fulham,54,England,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15968,Chris Baird,Defender,Fulham,54,Northern Ireland,2012-13,58.0,1.356,0.0,3.0,4.0,1.2578,27.0,11.0,94.0,19.0,14.0,133.0,3.0,863.0,5.0,23.0,2.0,1.0,1315.0,1.0,14.0,44.0,4.0,35.0,671.0,10.0,24.2829,11.0,2.0,33.0,20.0,,44.0,233.0,6.0,2.0,102.0,289.0,92.0,19.0,8.0,401.0,16.0,6.0,11.0,,79.0,9.0,0.0,834.0,7.0,4.0,160.0,19.0,2.0,13.0,217.0,18.0,60.0,1.0,59.0,124.0,1064.0,1.0,17.0,330.0,0.9352,5.0,39.0,32.0,5.0,5.0,,,2.0,,12.0,,2.0,,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,1.0,2.0,,3.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,6.0,4.0,0.2205,,,,,,,,,,,,,,,,,,,
101489,Csaba Somogyi,Goalkeeper,Fulham,54,Hungary,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Damien Duff,Midfielder,Fulham,54,Ireland,2012-13,66.0,4.5148,0.0,7.0,8.0,2.2846,21.0,11.0,85.0,31.0,27.0,94.0,72.0,720.0,4.0,10.0,3.0,4.0,2337.0,4.0,4.0,62.0,7.0,56.0,613.0,53.0,48.7034,33.0,3.0,25.0,37.0,11.0,62.0,156.0,28.0,4.0,128.0,122.0,102.0,31.0,4.0,447.0,30.0,122.0,42.0,11.0,118.0,6.0,0.0,714.0,3.0,24.0,288.0,17.0,7.0,5.0,166.0,14.0,18.0,,13.0,276.0,1133.0,19.0,13.0,221.0,1.2349,0.0,9.0,27.0,3.0,3.0,19.0,3.0,1.0,7.0,40.0,,3.0,13.0,2.0,6.0,42.0,1.0,6.0,1.0,2.0,18.0,,9.0,,65.0,,,2.0,44.0,2.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
