playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,throwInsToOppositionPlayer,penaltiesTaken,penaltyGoals,handballsConceded,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,ownGoalScored,savesMade,goalkeeperSmother,drops,crossesNotClaimed,lastPlayerTackle,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,penaltiesConceded,headedGoals,hitWoodwork,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,clearancesOffTheLine
153133,Alex Iwobi,Forward,Fulham,54,Nigeria,2025-26,75.0,17.0,4.6939,0.0,15.0,15.0,2.0,2.4124,27.0,24.0,10.0,171.0,29.0,3.0,36.0,29.0,213.0,36.0,1432.0,4.0,1.0,1.0,7.0,41.0,15.0,2.0,5.0,32.0,6.0,2434.0,6.0,2.0,8.0,62.0,5.0,46.0,55.0,1146.0,13.0,62.0,3.0,32.4597,41.0,3.0,18.0,40.0,8.0,67.0,494.0,10.0,1.0,137.0,13.0,3.0,337.0,127.0,29.0,5.0,3.0,8.0,1.0,26.0,684.0,35.0,61.0,50.0,8.0,122.0,7.0,0.0,1373.0,9.0,14.0,374.0,19.0,19.0,3.0,332.0,8.0,14.0,24.0,73.0,269.0,1818.0,16.0,17.0,7.0,11.0,567.0,2.0,1.9185,3.0,42.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505079,Alfie McNally,Goalkeeper,Fulham,54,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169528,Antonee Robinson,Defender,Fulham,54,United States,2025-26,65.0,14.0,1.5702,0.0,4.0,1.0,1.0,0.7573,48.0,2.0,1.0,117.0,22.0,,,17.0,160.0,63.0,800.0,1.0,2.0,1.0,3.0,,30.0,4.0,,14.0,,1492.0,,,12.0,87.0,2.0,47.0,69.0,607.0,,28.0,,20.3016,22.0,3.0,55.0,19.0,1.0,53.0,340.0,9.0,0.0,152.0,17.0,0.0,282.0,98.0,22.0,,,18.0,1.0,9.0,328.0,17.0,63.0,16.0,1.0,122.0,18.0,0.0,788.0,1.0,15.0,306.0,30.0,12.0,3.0,35.0,15.0,29.0,,33.0,143.0,1292.0,115.0,5.0,3.0,23.0,326.0,12.0,1.0668,5.0,43.0,67.0,5.0,38.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
86873,Benjamin Lecomte,Goalkeeper,Fulham,54,France,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80201,Bernd Leno,Goalkeeper,Fulham,54,Germany,2025-26,1.0,,0.0391,0.0,,,,,4.0,,,3.0,38.0,,,38.0,316.0,,1394.0,,,,,,22.0,9.0,,,,3420.0,,,1.0,28.0,6.0,2.0,7.0,905.0,,,3.0,44.9768,,59.0,45.0,51.0,,,359.0,6.0,0.0,29.0,1.0,,693.0,318.0,38.0,,,3.0,,,99.0,45.0,,,,7.0,21.0,0.0,1093.0,,1.0,329.0,1.0,,,342.0,,1.0,,173.0,1.0,1776.0,,,,176.0,979.0,,,3.0,313.0,51.0,,,,,,28.0,36.0,203.0,2.0,4.0,30.0,1.0,98.0,5.0,2.0,1.0,2.0,288.0,94.0,25.0,61.0,,,,,,,,,
232892,Calvin Bassey,Defender,Fulham,54,Nigeria,2025-26,94.0,3.0,0.3854,0.0,6.0,2.0,,1.273,62.0,7.0,,111.0,30.0,,1.0,28.0,209.0,11.0,1706.0,1.0,1.0,1.0,3.0,,72.0,7.0,,3.0,1.0,2532.0,1.0,,33.0,151.0,6.0,41.0,112.0,1441.0,,19.0,3.0,34.7384,10.0,8.0,99.0,40.0,3.0,61.0,680.0,40.0,0.0,245.0,21.0,0.0,584.0,119.0,30.0,,,26.0,,10.0,468.0,34.0,11.0,27.0,3.0,173.0,39.0,0.0,1578.0,5.0,3.0,280.0,36.0,10.0,21.0,326.0,28.0,22.0,,56.0,116.0,2130.0,24.0,,3.0,40.0,1032.0,10.0,1.7156,5.0,98.0,68.0,2.0,2.0,,,,,,72.0,,,,,,,,,2.0,72.0,,,,1.0,1.0,1.0,,,,,,
209289,Emile Smith Rowe,Midfielder,Fulham,54,England,2025-26,73.0,1.0,1.1074,0.0,11.0,11.0,,4.3783,35.0,25.0,,77.0,37.0,,55.0,22.0,82.0,12.0,920.0,3.0,3.0,1.0,3.0,,20.0,,2.0,1.0,6.0,1928.0,6.0,3.0,13.0,72.0,3.0,25.0,65.0,829.0,,76.0,1.0,23.8903,18.0,2.0,18.0,27.0,8.0,60.0,229.0,17.0,0.0,145.0,15.0,2.0,189.0,71.0,37.0,2.0,2.0,14.0,,15.0,512.0,24.0,12.0,46.0,8.0,125.0,7.0,0.0,913.0,14.0,16.0,185.0,21.0,14.0,1.0,224.0,10.0,22.0,,9.0,278.0,1223.0,3.0,21.0,3.0,3.0,327.0,3.0,4.7699,1.0,5.0,25.0,15.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
153366,Harrison Reed,Midfielder,Fulham,54,England,2025-26,7.0,1.0,0.4648,0.0,1.0,1.0,,0.7632,,1.0,,2.0,7.0,,,1.0,3.0,,43.0,1.0,,0.0,1.0,3.0,3.0,,,3.0,,90.0,,,2.0,2.0,,1.0,1.0,37.0,2.0,1.0,,4.1773,3.0,,1.0,4.0,,5.0,11.0,1.0,0.0,9.0,1.0,1.0,11.0,5.0,7.0,,1.0,,,,21.0,4.0,1.0,,,6.0,1.0,0.0,37.0,,,6.0,,,,11.0,2.0,,1.0,3.0,10.0,54.0,,1.0,1.0,,22.0,1.0,0.1259,0.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153682,Harry Wilson,Forward,Fulham,54,Wales,2025-26,95.0,11.0,4.7764,0.0,27.0,25.0,2.0,8.9349,29.0,51.0,10.0,118.0,36.0,7.0,25.0,32.0,146.0,31.0,777.0,10.0,13.0,2.0,12.0,70.0,25.0,3.0,10.0,32.0,5.0,2691.0,5.0,,20.0,89.0,4.0,44.0,84.0,594.0,16.0,105.0,2.0,32.723,32.0,3.0,48.0,38.0,15.0,75.0,84.0,37.0,6.0,184.0,11.0,8.0,187.0,82.0,36.0,10.0,1.0,10.0,9.0,15.0,460.0,34.0,83.0,38.0,15.0,159.0,5.0,0.0,744.0,26.0,27.0,308.0,19.0,18.0,3.0,247.0,13.0,15.0,40.0,37.0,259.0,1264.0,11.0,24.0,12.0,12.0,203.0,8.0,5.8264,7.0,28.0,36.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,6.0,0.5265,
219924,Issa Diop,Defender,Fulham,54,Morocco,2025-26,21.0,,0.0519,0.0,,1.0,,0.9803,6.0,2.0,,31.0,13.0,,,8.0,61.0,1.0,494.0,1.0,,0.0,,,25.0,,,,,814.0,,,10.0,25.0,3.0,8.0,10.0,418.0,,7.0,,11.7843,,8.0,42.0,13.0,,11.0,122.0,3.0,1.0,46.0,3.0,1.0,178.0,19.0,13.0,,,2.0,,,129.0,10.0,1.0,,,21.0,15.0,0.0,487.0,1.0,,73.0,4.0,1.0,7.0,157.0,9.0,6.0,,15.0,37.0,589.0,,2.0,,12.0,304.0,1.0,0.8007,2.0,30.0,22.0,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
