playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,successfulFiftyFifty,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,penaltiesTaken,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,penaltiesConceded,throwInsToOppositionPlayer,headedGoals,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,lastPlayerTackle,clearancesOffTheLine,otherGoals,ownGoalScored
219352,Ademola Lookman,Forward,Fulham,54,Nigeria,2020-21,216.0,103.0,22.0,23.0,5.5793,35.0,6.0,34.0,37.0,1049.0,4.0,12.0,2.0,11.0,3.0,15.0,15.0,22.0,3.0,176.0,23.0,5.0,39.2843,57.0,1.0,11.0,59.0,1.0,168.0,34.0,3.0,1.0,46.0,103.0,119.0,4.0,989.0,24.0,540.0,11.0,4.0,98.0,46.0,49.0,21.0,345.0,1789.0,12.0,3.0,269.0,1.0,18.0,40.0,1.0,7.0,4.1652,0.0,0.3473,7.0,47.0,182.0,4.0,15.0,31.0,200.0,39.0,84.0,29.0,4.0,4.0,31.0,2751.0,3.0,183.0,66.0,828.0,140.0,7.0,33.0,194.0,372.0,399.0,30.0,2.0,234.0,1.0,4.0,24.0,611.0,30.0,11.0,370.0,7.0,0.0,39.0,82.0,1.0,20.0,12.0,11.0,7.0,25.0,6.3075,5.0,,,,,,,,,,,,,,,,,,,,,,
128389,Aleksandar Mitrovic,Forward,Fulham,54,Serbia,2020-21,121.0,60.0,12.0,20.0,3.5878,7.0,2.0,27.0,35.0,378.0,3.0,3.0,3.0,4.0,14.0,11.0,11.0,76.0,1.0,37.0,,3.0,21.4916,20.0,,8.0,23.0,0.0,31.0,27.0,1.0,1.0,5.0,1.0,22.0,2.0,359.0,27.0,188.0,4.0,2.0,86.0,22.0,,8.0,118.0,628.0,3.0,1.0,88.0,2.0,4.0,16.0,,3.0,1.9675,0.0,0.1668,2.0,47.0,96.0,3.0,38.0,13.0,100.0,1.0,1.0,147.0,1.0,6.0,3.0,1390.0,4.0,108.0,20.0,270.0,104.0,7.0,24.0,45.0,107.0,229.0,9.0,0.0,67.0,2.0,6.0,3.0,193.0,23.0,8.0,82.0,71.0,0.0,6.0,7.0,3.0,3.0,1.0,4.0,2.0,5.0,6.2737,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
84182,Alphonse Areola,Goalkeeper,Fulham,54,France,2020-21,5.0,,,,,1.0,,36.0,,838.0,,,,,,,,1.0,3.0,5.0,,6.0,51.2319,,42.0,,5.0,0.0,266.0,36.0,,,,,,,451.0,,269.0,,,197.0,,,157.0,,1209.0,,,478.0,,259.0,63.0,,,0.0272,0.0,,,,3.0,,,36.0,262.0,,,15.0,9.0,,,3240.0,,19.0,,419.0,,39.0,48.0,4.0,169.0,24.0,,,472.0,,,1.0,98.0,45.0,,9.0,14.0,0.0,,,,1.0,,,118.0,,,2.0,,,,,22.0,34.0,251.0,5.0,6.0,26.0,116.0,3.0,4.0,343.0,81.0,31.0,80.0,,,,,
169528,Antonee Robinson,Defender,Fulham,54,United States,2020-21,99.0,75.0,4.0,4.0,0.3427,45.0,,28.0,35.0,1047.0,,1.0,,1.0,4.0,2.0,2.0,18.0,1.0,104.0,,4.0,32.9508,29.0,5.0,3.0,8.0,0.0,135.0,28.0,,,22.0,74.0,44.0,,1038.0,2.0,506.0,28.0,,40.0,20.0,,33.0,212.0,1767.0,163.0,,364.0,,73.0,87.0,1.0,27.0,1.9548,1.0,,7.0,6.0,190.0,,,24.0,263.0,74.0,,54.0,4.0,2.0,27.0,2162.0,,140.0,53.0,751.0,38.0,54.0,27.0,81.0,424.0,239.0,17.0,,371.0,,2.0,17.0,447.0,26.0,3.0,185.0,36.0,1.0,15.0,51.0,4.0,37.0,2.0,1.0,38.0,11.0,0.4206,4.0,,71.0,,,,,,,,,,,,,,,,,,,,
96994,Bobby De Cordova-Reid,Forward,Fulham,54,Jamaica,2020-21,143.0,65.0,12.0,9.0,3.353,31.0,2.0,33.0,26.0,760.0,5.0,3.0,2.0,4.0,5.0,3.0,3.0,40.0,2.0,78.0,,4.0,37.6675,12.0,4.0,8.0,20.0,1.0,102.0,33.0,4.0,,25.0,36.0,49.0,1.0,731.0,13.0,320.0,15.0,1.0,202.0,38.0,1.0,26.0,217.0,1170.0,21.0,2.0,238.0,3.0,42.0,38.0,,5.0,1.8172,0.0,0.0795,5.0,22.0,129.0,2.0,21.0,28.0,171.0,35.0,1.0,56.0,3.0,1.0,5.0,2381.0,5.0,94.0,36.0,563.0,86.0,34.0,32.0,103.0,110.0,237.0,14.0,3.0,231.0,,1.0,16.0,356.0,30.0,8.0,181.0,16.0,0.0,16.0,27.0,5.0,21.0,14.0,4.0,15.0,24.0,3.766,7.0,,5.0,1.0,,,,,,,,,,,,,,,1.0,,,,
72681,Denis Odoi,Defender,Fulham,54,Ghana,2020-21,17.0,6.0,,1.0,0.115,3.0,,3.0,3.0,168.0,,1.0,,,,,,5.0,,8.0,,1.0,6.917,1.0,2.0,,4.0,0.0,19.0,3.0,,,,4.0,2.0,,161.0,1.0,37.0,3.0,,44.0,7.0,,7.0,26.0,220.0,16.0,,84.0,,11.0,14.0,,1.0,0.0802,0.0,,,2.0,18.0,,,3.0,29.0,4.0,,11.0,,1.0,1.0,270.0,,14.0,5.0,132.0,,5.0,10.0,12.0,26.0,31.0,2.0,,72.0,,1.0,,56.0,10.0,,20.0,6.0,0.0,1.0,1.0,1.0,5.0,,,6.0,4.0,0.0558,1.0,,,,,,,,,,,,,,,,,,,,,,
40559,Fabri,Goalkeeper,Fulham,54,Spain,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
203325,Frank Anguissa,Midfielder,Fulham,54,Cameroon,2020-21,221.0,121.0,10.0,9.0,0.6134,78.0,2.0,36.0,55.0,1416.0,,,,6.0,7.0,3.0,3.0,39.0,3.0,201.0,,6.0,44.0489,24.0,5.0,4.0,27.0,0.0,220.0,36.0,,,47.0,9.0,97.0,,1404.0,15.0,408.0,37.0,,375.0,44.0,,38.0,258.0,2018.0,5.0,1.0,497.0,,35.0,68.0,,4.0,1.9664,0.0,,6.0,24.0,189.0,3.0,18.0,29.0,224.0,9.0,,102.0,5.0,6.0,4.0,2584.0,,264.0,51.0,1154.0,44.0,14.0,40.0,182.0,374.0,485.0,29.0,,409.0,,6.0,41.0,699.0,37.0,4.0,383.0,63.0,0.0,11.0,96.0,6.0,56.0,7.0,6.0,15.0,27.0,1.5277,6.0,,,,,,,,,,,,,,,,,,,,,,
244858,Fábio Carvalho,Midfielder,Fulham,54,Portugal,2020-21,23.0,14.0,3.0,5.0,1.4425,9.0,,4.0,4.0,85.0,1.0,,1.0,1.0,1.0,3.0,3.0,4.0,1.0,19.0,,1.0,5.1302,2.0,,2.0,2.0,0.0,12.0,4.0,1.0,,2.0,4.0,11.0,,80.0,1.0,46.0,6.0,,17.0,4.0,,,30.0,151.0,,,25.0,,,3.0,,,0.2548,0.0,,2.0,6.0,18.0,,2.0,3.0,18.0,4.0,,5.0,,1.0,,255.0,,20.0,9.0,67.0,18.0,,6.0,19.0,18.0,43.0,2.0,0.0,20.0,,1.0,3.0,42.0,5.0,2.0,38.0,1.0,0.0,1.0,8.0,,1.0,1.0,1.0,,2.0,1.0943,0.0,,,,,,,,,,,,,,,,,,,,,,
153366,Harrison Reed,Midfielder,Fulham,54,England,2020-21,129.0,113.0,2.0,4.0,0.5279,63.0,,31.0,63.0,1477.0,,,,2.0,5.0,1.0,1.0,28.0,2.0,103.0,4.0,3.0,36.0638,19.0,9.0,,25.0,0.0,180.0,31.0,,,9.0,20.0,19.0,,1405.0,7.0,269.0,38.0,,407.0,40.0,6.0,45.0,236.0,1835.0,8.0,2.0,680.0,2.0,57.0,56.0,,3.0,1.8462,0.0,,2.0,11.0,147.0,2.0,5.0,26.0,204.0,10.0,12.0,48.0,6.0,3.0,7.0,2251.0,,123.0,42.0,1228.0,11.0,26.0,35.0,101.0,405.0,252.0,23.0,,429.0,,3.0,25.0,600.0,33.0,,204.0,20.0,0.0,4.0,15.0,11.0,50.0,7.0,2.0,27.0,30.0,0.3919,5.0,,2.0,,,,,,,,,,,,,,,,,,,,
