season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateLongBalls,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,dispossessed,duelLost,duelWon,fouls,goalAssist,goals,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,ownGoals,penaltyConceded,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalLongBalls,totalOffside,totalPass,totalShots,totalTackle,unsuccessfulTouch,wasFouled,wonContest
2013-14,3964805,1,1,Manchester_United,Away,8391,39725,Anders Lindegaard,anders-lindegaard,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3964805,1,1,Manchester_United,Away,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
2013-14,3964821,2,1,Manchester_United,Home,8391,39725,Anders Lindegaard,anders-lindegaard,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3964821,2,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
2013-14,3964839,3,1,Manchester_United,Away,8391,39725,Anders Lindegaard,anders-lindegaard,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3964839,3,1,Manchester_United,Away,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
2013-14,3965125,4,1,Manchester_United,Home,42688,51922,Ben Amos,ben-amos,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965125,4,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
2013-14,3965147,5,1,Manchester_United,Away,42688,51922,Ben Amos,ben-amos,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965147,5,1,Manchester_United,Away,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
2013-14,3965165,6,1,Manchester_United,Home,42688,51922,Ben Amos,ben-amos,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965165,6,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
2013-14,3965191,7,1,Manchester_United,Away,8391,39725,Anders Lindegaard,anders-lindegaard,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965191,7,1,Manchester_United,Away,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
2013-14,3965207,8,1,Manchester_United,Home,8391,39725,Anders Lindegaard,anders-lindegaard,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965207,8,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
2013-14,3965225,9,1,Manchester_United,Home,8391,39725,Anders Lindegaard,anders-lindegaard,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3965225,9,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,,,,,,,,,,,,,0.0,0.0,,,90.0,,0.0,,,,,,,,,,,,,0.0,,,,
