season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436870,1,1,Manchester_United,Home,787498,202641,André Onana,andre-onana,G,False,,2.0,2.0,,16.0,16.0,,,,11.0,,,,,,,,,,,0.00013777,,,,0.0,,0.9171,2.0,,,,,90.0,,,,,,,,7.0,,,7.3,1.0,2.0,,,,1.0,,,2.0,9.0,,3.0,20.0,23.0,,,0,,34.0,,,,
2024-25,12436870,1,1,Manchester_United,Home,815890,451302,Altay Bayındır,altay-bayindir,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436888,2,1,Manchester_United,Away,787498,202641,André Onana,andre-onana,G,False,,1.0,12.0,4.0,41.0,45.0,,,,14.0,,,,,,,,1.0,,,0.00426851,,,,0.0,,0.5293,,,,,,90.0,,,,,,,,5.0,,1.0,7.2,2.0,2.0,,,,1.0,,,1.0,16.0,,8.0,41.0,49.0,,,0,1.0,63.0,,,,1.0
2024-25,12436888,2,1,Manchester_United,Away,815890,451302,Altay Bayındır,altay-bayindir,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436920,3,1,Manchester_United,Home,18122,21205,Tom Heaton,tom-heaton,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436920,3,1,Manchester_United,Home,787498,202641,André Onana,andre-onana,G,False,,1.0,4.0,1.0,41.0,42.0,,,,6.0,,,,,,,,,,,0.00232544,,,,0.0,,-0.5631,,,,,,90.0,,,,,,,,9.0,,,6.1,,,,,,,,,1.0,12.0,,9.0,42.0,51.0,,,0,,55.0,,,,
2024-25,12436920,3,1,Manchester_United,Home,815890,451302,Altay Bayındır,altay-bayindir,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436949,4,1,Manchester_United,Away,787498,202641,André Onana,andre-onana,G,False,,,4.0,1.0,26.0,27.0,,,,4.0,,,,,,,,,,,0.0002073,,,,0.0,,1.0109,,,,,,90.0,,,,,1.0,1.0,,5.0,,,7.9,3.0,3.0,,,,1.0,,,,9.0,,6.0,26.0,32.0,,,0,,40.0,,,,
2024-25,12436949,4,1,Manchester_United,Away,815890,451302,Altay Bayındır,altay-bayindir,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436962,5,1,Manchester_United,Away,787498,202641,André Onana,andre-onana,G,False,,,1.0,1.0,33.0,34.0,,,,7.0,,,,,,,,,,,0.00124728,,,,0.0,,0.5188,,,,,,90.0,,,,,,,,7.0,,,7.6,3.0,4.0,,,,1.0,,,,7.0,,7.0,34.0,41.0,,,0,,51.0,,,,
