matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rescindedRedCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444475,1,2024-08-17 15:00:00,91,Bournemouth,Away,168.0,17.0,2.0,4.0,2.0,1.0,,171.0,6.0,1.0,6.0,7.0,10.0,25.0,335.0,,,18.0,25.0,15.0,6.0,1.0,1.0,2.0,,,,1.0,1.0,,,,11.0,,,,,,,4.0,8.0,6.0,6.0,7.0,74.0,64.0,2.0,2.0,1.0,2.0,10.0,3.0,9.0,,1.0,6.0,15.0,4.0,,14.0,3.0,66.0,55.0,2.0,29.0,12.0,1.0,,,,,,,63.0,8.0,17.0,1.0,,3.0,2.0,1.0,173.0,,,,,,,6.0,1.0,,,12.0,,14.0,14.0,1.0,6.0,104.0,77.0,36.0,2.0,,3.0,4.0,4.0,408.0,3.0,1.0,69.0,58.0,29.0,,,,,155.0,155.0,2.0,27.0,28.0,47.1,,,1.0,2.0,21.0,0.0,,81.0,5.0,2.0,7.0,,2.0,6.0,,,5.0,89.0,311.0,10.0,7.0,192.0,32.0,29.0,15.0,4.0,25.0,21.0,,2.0,136.0,6.0,265.0,,1.0,35.0,12.0,67.0,4.0,432.0,,0.0,13.0,18.0,,18.0,3.0,667.0,23.0,8.0,5.0,6.0,7.0,0.0
2444480,2,2024-08-25 14:00:00,91,Bournemouth,Home,94.0,13.0,2.0,4.0,2.0,2.0,1.0,155.0,6.0,,1.0,6.0,5.0,27.0,245.0,,,13.0,10.0,13.0,11.0,2.0,2.0,1.0,,,,,1.0,,,,13.0,,,1.0,,,,9.0,12.0,2.0,11.0,5.0,45.0,65.0,2.0,1.0,1.0,1.0,19.0,5.0,6.0,,1.0,8.0,7.0,4.0,,9.0,3.0,56.0,44.0,1.0,34.0,18.0,,,,,,,,60.0,20.0,8.0,,,3.0,1.0,1.0,131.0,1.0,,1.0,1.0,,,9.0,1.0,1.0,1.0,18.0,1.0,6.0,6.0,,1.0,74.0,67.0,34.0,9.0,1.0,6.0,8.0,4.0,302.0,5.0,1.0,54.0,49.0,27.0,,,,,131.0,131.0,12.0,21.0,27.0,39.3,1.0,2.0,,,27.0,0.0,,71.0,3.0,1.0,4.0,2.0,1.0,7.0,,,5.0,88.0,232.0,19.0,14.0,110.0,35.0,34.0,14.0,7.0,19.0,12.0,,1.0,128.0,6.0,230.0,2.0,,20.0,5.0,65.0,,321.0,,0.0,16.0,21.0,,18.0,2.0,542.0,27.0,13.0,2.0,8.0,16.0,0.0
2444493,3,2024-08-31 15:00:00,91,Bournemouth,Away,162.0,13.0,2.0,11.0,9.0,2.0,1.0,149.0,11.0,,3.0,7.0,5.0,21.0,300.0,,,13.0,23.0,17.0,8.0,3.0,3.0,1.0,,,,,,,,,13.0,,,,,,1.0,5.0,13.0,5.0,12.0,5.0,57.0,57.0,4.0,2.0,3.0,1.0,8.0,5.0,10.0,,,4.0,13.0,6.0,,6.0,1.0,60.0,54.0,1.0,23.0,10.0,,,,,,,,53.0,11.0,6.0,,,,1.0,,156.0,3.0,,3.0,3.0,,,14.0,3.0,,,10.0,,7.0,7.0,2.0,4.0,90.0,66.0,34.0,8.0,2.0,5.0,9.0,7.0,368.0,2.0,4.0,71.0,54.0,32.0,,,,,152.0,152.0,3.0,31.0,17.0,53.1,,,3.0,,17.0,0.0,,89.0,4.0,2.0,6.0,2.0,1.0,5.0,1.0,1.0,5.0,70.0,280.0,8.0,14.0,190.0,26.0,23.0,16.0,4.0,24.0,20.0,108059.67,1.0,109.0,6.0,226.0,,,32.0,5.0,61.0,2.0,392.0,,0.0,17.0,26.0,,19.0,1.0,592.0,28.0,17.0,5.0,4.0,10.0,0.0
2444500,4,2024-09-14 20:00:00,91,Bournemouth,Home,96.0,8.0,1.0,4.0,3.0,2.0,,101.0,2.0,2.0,3.0,10.0,1.0,22.0,193.0,,,14.0,11.0,15.0,12.0,1.0,2.0,,,,,,,,,,15.0,,1.0,1.0,,,1.0,9.0,6.0,4.0,10.0,9.0,42.0,63.0,,1.0,,,6.0,4.0,12.0,,,6.0,8.0,3.0,,6.0,1.0,51.0,47.0,,18.0,6.0,,1.0,0.602434,1.7651,,2.4786,1.1734,57.0,16.0,9.0,,,3.0,,,134.0,,,,,,,2.0,,,,6.0,2.0,10.0,10.0,,3.0,51.0,51.0,24.0,3.0,,5.0,8.0,7.0,261.0,4.0,1.0,38.0,42.0,30.0,,,,1.0,130.0,130.0,9.0,25.0,25.0,33.3,1.0,,,1.0,10.0,0.0,,49.0,1.0,1.0,2.0,1.0,,8.0,,,5.0,64.0,182.0,6.0,13.0,116.0,20.0,18.0,15.0,6.0,17.0,11.0,111078.87,,111.0,4.0,177.0,,2.0,31.0,1.0,51.0,4.0,276.0,,0.0,19.0,14.0,1.0,17.0,6.0,455.0,28.0,14.0,9.0,6.0,8.0,0.0
2444515,5,2024-09-21 15:00:00,91,Bournemouth,Away,175.0,27.0,1.0,4.0,3.0,1.0,1.0,161.0,1.0,,7.0,4.0,5.0,24.0,332.0,,1.0,17.0,9.0,6.0,12.0,2.0,3.0,1.0,,,,,1.0,,,,13.0,,,1.0,,,2.0,5.0,14.0,5.0,12.0,7.0,58.0,57.0,1.0,2.0,,1.0,8.0,4.0,16.0,1.0,1.0,9.0,10.0,5.0,,8.0,5.0,56.0,46.0,1.0,16.0,6.0,1.0,,,,,,,42.0,12.0,9.0,,,3.0,1.0,1.0,126.0,,,,,,,2.0,,1.0,1.0,6.0,1.0,7.0,7.0,2.0,7.0,102.0,52.0,36.0,3.0,,7.0,7.0,6.0,374.0,4.0,2.0,56.0,47.0,33.0,,,,,116.0,116.0,8.0,25.0,15.0,41.2,1.0,,,1.0,17.0,0.0,,103.0,7.0,3.0,9.0,,1.0,9.0,,,5.0,80.0,319.0,8.0,14.0,193.0,36.0,16.0,23.0,8.0,24.0,16.0,110940.24,1.0,105.0,6.0,220.0,1.0,1.0,15.0,5.0,46.0,3.0,389.0,,0.0,19.0,20.0,3.0,19.0,4.0,596.0,32.0,12.0,11.0,9.0,11.0,0.0
2444520,6,2024-09-30 20:00:00,91,Bournemouth,Home,158.0,15.0,,1.0,1.0,2.0,,148.0,4.0,,3.0,5.0,2.0,20.0,305.0,1.0,2.0,12.0,17.0,9.0,8.0,,1.0,2.0,,,,,,,,,12.0,,,,,,1.0,11.0,6.0,3.0,9.0,5.0,70.0,60.0,1.0,,1.0,1.0,12.0,6.0,7.0,,,6.0,7.0,4.0,,15.0,2.0,62.0,48.0,1.0,17.0,4.0,,,,,,,,54.0,19.0,11.0,1.0,,6.0,3.0,,137.0,3.0,1.0,1.0,2.0,1.0,,4.0,2.0,1.0,,4.0,,11.0,11.0,,3.0,92.0,54.0,29.0,4.0,2.0,,11.0,6.0,362.0,3.0,1.0,83.0,66.0,29.0,,,,,131.0,131.0,13.0,22.0,22.0,40.2,,,,,19.0,0.0,,79.0,1.0,1.0,2.0,1.0,2.0,2.0,,,4.0,85.0,290.0,12.0,11.0,174.0,32.0,17.0,13.0,5.0,19.0,14.0,112497.88,2.0,123.0,5.0,223.0,1.0,,25.0,4.0,51.0,1.0,378.0,2.0,0.0,14.0,20.0,2.0,19.0,2.0,574.0,27.0,11.0,8.0,7.0,8.0,0.0
2444537,7,2024-10-05 15:00:00,91,Bournemouth,Away,148.0,16.0,2.0,8.0,6.0,2.0,2.0,222.0,8.0,1.0,3.0,5.0,4.0,20.0,362.0,,,12.0,21.0,17.0,14.0,3.0,4.0,,,,,,,,,,13.0,,,1.0,,1.0,2.0,8.0,3.0,3.0,15.0,4.0,60.0,54.0,5.0,5.0,,,9.0,6.0,6.0,,,9.0,12.0,7.0,,10.0,,55.0,58.0,,20.0,10.0,,,,,,,,63.0,14.0,11.0,,,3.0,2.0,,170.0,,,,,,,8.0,,1.0,,10.0,2.0,6.0,6.0,,3.0,111.0,62.0,38.0,,,10.0,7.0,2.0,422.0,,4.0,92.0,62.0,41.0,,,,,144.0,144.0,8.0,14.0,27.0,55.9,2.0,,,,24.0,0.0,,102.0,,1.0,1.0,,,11.0,1.0,,5.0,118.0,343.0,9.0,17.0,164.0,30.0,20.0,13.0,9.0,30.0,21.0,113604.01,,160.0,8.0,309.0,1.0,1.0,21.0,4.0,43.0,1.0,443.0,,0.0,19.0,22.0,1.0,17.0,1.0,644.0,34.0,17.0,9.0,9.0,14.0,0.0
2444540,8,2024-10-19 17:30:00,91,Bournemouth,Home,142.0,9.0,1.0,3.0,2.0,1.0,,184.0,5.0,,4.0,6.0,8.0,17.0,323.0,,1.0,16.0,17.0,12.0,9.0,,3.0,,,,,,,,,,8.0,1.0,,,,,,3.0,5.0,1.0,9.0,4.0,73.0,48.0,1.0,2.0,1.0,1.0,12.0,5.0,7.0,,,7.0,14.0,5.0,,6.0,1.0,53.0,56.0,1.0,20.0,14.0,,1.0,,,,,,66.0,12.0,11.0,,,2.0,1.0,,153.0,1.0,,1.0,,1.0,,6.0,,1.0,,14.0,,6.0,6.0,,4.0,85.0,56.0,28.0,4.0,,3.0,7.0,4.0,385.0,1.0,2.0,80.0,46.0,32.0,,,,1.0,140.0,140.0,4.0,22.0,15.0,48.7,,,,,23.0,0.0,,94.0,1.0,,1.0,2.0,,4.0,,2.0,5.0,109.0,306.0,12.0,10.0,168.0,21.0,20.0,28.0,5.0,25.0,20.0,,,150.0,6.0,262.0,2.0,,29.0,9.0,49.0,1.0,405.0,2.0,0.0,13.0,16.0,2.0,18.0,1.0,604.0,28.0,14.0,17.0,7.0,11.0,0.0
2444551,9,2024-10-26 15:00:00,91,Bournemouth,Away,138.0,22.0,,4.0,4.0,2.0,1.0,136.0,8.0,1.0,8.0,2.0,5.0,26.0,270.0,,,6.0,13.0,16.0,7.0,,1.0,,,,,,,,,,8.0,,,,,,1.0,8.0,13.0,5.0,4.0,6.0,49.0,49.0,,,,1.0,8.0,3.0,6.0,,,7.0,8.0,3.0,,5.0,4.0,43.0,49.0,1.0,21.0,8.0,,,,,,,,49.0,14.0,12.0,,,3.0,3.0,,130.0,1.0,1.0,1.0,,1.0,,10.0,,,,8.0,,11.0,11.0,3.0,8.0,77.0,54.0,32.0,9.0,,3.0,5.0,3.0,303.0,5.0,2.0,58.0,37.0,28.0,,,,,109.0,109.0,4.0,18.0,19.0,43.4,,,1.0,2.0,14.0,0.0,,69.0,5.0,2.0,7.0,2.0,,4.0,,1.0,5.0,71.0,251.0,8.0,8.0,149.0,32.0,21.0,11.0,6.0,20.0,14.0,,,100.0,6.0,196.0,,1.0,13.0,5.0,49.0,5.0,325.0,,0.0,10.0,17.0,,7.0,6.0,513.0,17.0,19.0,5.0,7.0,10.0,0.0
2444560,10,2024-11-02 15:00:00,91,Bournemouth,Home,126.0,22.0,,3.0,3.0,2.0,,159.0,8.0,,4.0,14.0,1.0,40.0,282.0,1.0,2.0,8.0,15.0,13.0,8.0,,,2.0,,,,,,,,,12.0,,,,1.0,,,5.0,13.0,5.0,9.0,3.0,84.0,41.0,4.0,4.0,2.0,3.0,4.0,2.0,6.0,,,3.0,3.0,5.0,,9.0,3.0,46.0,45.0,3.0,36.0,16.0,,,,,,,,49.0,11.0,5.0,1.0,,1.0,1.0,,126.0,2.0,,2.0,2.0,,,11.0,2.0,,,16.0,1.0,12.0,12.0,2.0,4.0,60.0,56.0,34.0,10.0,1.0,3.0,7.0,6.0,316.0,4.0,,71.0,41.0,22.0,,,,,93.0,93.0,3.0,19.0,14.0,35.5,1.0,,,,12.0,0.0,,64.0,3.0,,3.0,,2.0,4.0,,,4.0,84.0,268.0,4.0,10.0,140.0,28.0,36.0,17.0,3.0,12.0,9.0,,2.0,106.0,5.0,206.0,,,26.0,1.0,59.0,2.0,334.0,2.0,0.0,12.0,16.0,4.0,10.0,2.0,514.0,23.0,13.0,11.0,3.0,12.0,0.0
