season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437080,1,35,West_Bromwich_Albion,Home,26989,44683,Jay Rodriguez,jay-rodriguez,F,False,,,,10.0,2.0,12.0,7.0,,2.0,,,,1.0,,,2.0,16.0,,,,4.0,,,,,,2.0,88.0,3.0,,,,,13.0,,6.7,,,2.0,,,2.0,1.0,,,1.0,17.0,4.0,20.0,5,,32.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,33427,49440,Hal Robson-Kanu,hal-robson-kanu,F,True,,,,2.0,,2.0,1.0,,1.0,,,,,,,1.0,5.0,,,,2.0,,,,,,,18.0,,,,,,4.0,,6.3,,,1.0,,,1.0,,,1.0,,2.0,2.0,4.0,1,,7.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,35532,57134,Salomón Rondón,salomon-rondon,F,True,,,,1.0,,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,2.0,1.0,,,,,,,6.7,,,,,,,,,,,1.0,,1.0,1,,2.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,36466,50229,Matt Phillips,matt-phillips,F,False,2.0,,2.0,10.0,5.0,13.0,,1.0,3.0,,,1.0,,,,,3.0,2.0,,,,,,,,1.0,2.0,72.0,,,,,,11.0,,7.0,,,1.0,,2.0,4.0,5.0,,3.0,,18.0,5.0,18.0,2,,37.0,,,1.0,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,817559,173809,Jonathan Leko,jonathan-leko,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,26989,44683,Jay Rodriguez,jay-rodriguez,F,False,1.0,,2.0,9.0,2.0,10.0,9.0,1.0,4.0,,,,1.0,,,1.0,15.0,2.0,,,3.0,,,,,1.0,1.0,90.0,,,,,,13.0,,6.4,,,1.0,,,1.0,1.0,,3.0,3.0,13.0,4.0,16.0,1,,27.0,5.0,1.0,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,33427,49440,Hal Robson-Kanu,hal-robson-kanu,F,True,,,,2.0,,2.0,1.0,,1.0,,,,,,,,3.0,5.0,,,2.0,,1.0,,,,,20.0,1.0,1.0,,,,1.0,,7.4,,,1.0,,,2.0,,,,,3.0,,3.0,2,1.0,11.0,,2.0,2.0,1.0
2017-18,7437726,2,35,West_Bromwich_Albion,Away,35532,57134,Salomón Rondón,salomon-rondon,F,True,,,1.0,1.0,2.0,3.0,,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,3.0,,6.7,,,,,,1.0,,,1.0,,1.0,3.0,4.0,0,,7.0,1.0,,1.0,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,36466,50229,Matt Phillips,matt-phillips,F,False,2.0,,,4.0,4.0,6.0,2.0,1.0,3.0,,,,1.0,,,3.0,7.0,5.0,,,1.0,1.0,,,,1.0,3.0,90.0,,,,,,23.0,,6.9,,,1.0,,2.0,2.0,6.0,,1.0,,16.0,6.0,16.0,1,1.0,44.0,4.0,2.0,1.0,1.0
2017-18,7437726,2,35,West_Bromwich_Albion,Away,817559,173809,Jonathan Leko,jonathan-leko,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
