matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918901,1.0,2017-08-12 12:30:00,57,Watford,Home,149.0,17.0,1.0,2.0,1.0,4.0,,130.0,5.0,3.0,6.0,14.0,10.0,35.0,277.0,,1.0,22.0,25.0,22.0,4.0,,,,,,,,1.0,,,5.0,,,,,,,1.0,7.0,13.0,1.0,6.0,3.0,,54.0,59.0,1.0,,3.0,,29.0,1.0,6.0,,,3.0,8.0,3.0,1.0,14.0,2.0,64.0,60.0,,28.0,15.0,,1.0,79.0,14.0,8.0,1.0,,2.0,2.0,,166.0,1.0,1.0,1.0,,1.0,,12.0,,,1.0,,,,,1.0,15.0,,11.0,11.0,1.0,8.0,90.0,86.0,38.0,3.0,1.0,2.0,3.0,4.0,372.0,,,1.0,1.0,,29.0,82.0,29.0,1.0,1.0,1.0,,173.0,173.0,2.0,21.0,24.0,45.6,,2.0,1.0,,29.0,0.0,,,,85.0,1.0,1.0,2.0,,,,4.0,,3.0,68.0,262.0,14.0,5.0,171.0,40.0,28.0,17.0,3.0,16.0,13.0,,134.0,8.0,240.0,,3.0,41.0,11.0,84.0,3.0,395.0,,0.0,9.0,19.0,2.0,26.0,0.0,595.0,11.0,11.0,11.0,3.0,12.0,0.0
918903,2.0,2017-08-19 15:00:00,57,Watford,Away,116.0,19.0,2.0,4.0,2.0,3.0,,153.0,4.0,1.0,4.0,11.0,6.0,32.0,265.0,2.0,1.0,22.0,16.0,17.0,10.0,2.0,,,,,,,,,1.0,15.0,,,,,,,,8.0,4.0,2.0,13.0,6.0,,55.0,64.0,1.0,2.0,1.0,1.0,17.0,5.0,6.0,,1.0,5.0,14.0,3.0,,6.0,2.0,45.0,51.0,1.0,28.0,13.0,,,51.0,14.0,6.0,1.0,,1.0,1.0,,138.0,,,,,,,7.0,,,2.0,,,,,1.0,13.0,,18.0,18.0,2.0,7.0,71.0,70.0,38.0,8.0,,5.0,7.0,7.0,322.0,,,3.0,2.0,,51.0,61.0,33.0,,,,,136.0,136.0,3.0,24.0,26.0,44.2,,,,2.0,17.0,0.0,,,,74.0,2.0,,2.0,,2.0,,7.0,1.0,3.0,89.0,253.0,6.0,12.0,136.0,28.0,28.0,14.0,2.0,20.0,18.0,,124.0,7.0,222.0,,1.0,32.0,6.0,64.0,7.0,338.0,3.0,0.0,19.0,20.0,1.0,26.0,3.0,558.0,34.0,20.0,9.0,5.0,13.0,0.0
918921,3.0,2017-08-26 15:00:00,57,Watford,Home,112.0,11.0,,3.0,3.0,1.0,1.0,135.0,8.0,,1.0,4.0,3.0,29.0,244.0,,,27.0,20.0,20.0,6.0,1.0,,,,,,,,,,5.0,,,,,,,2.0,3.0,10.0,6.0,4.0,4.0,,45.0,37.0,,,,3.0,15.0,3.0,5.0,,,3.0,1.0,4.0,,9.0,2.0,43.0,55.0,3.0,36.0,19.0,,,58.0,7.0,18.0,,,5.0,3.0,,135.0,,,,,,,13.0,,,,,,,,1.0,19.0,,8.0,8.0,,1.0,66.0,73.0,39.0,11.0,,4.0,3.0,,300.0,,,6.0,4.0,,64.0,40.0,26.0,,,,,124.0,124.0,1.0,20.0,15.0,42.2,,,,5.0,15.0,0.0,,,,88.0,1.0,1.0,2.0,,3.0,,5.0,1.0,3.0,68.0,226.0,7.0,7.0,128.0,33.0,36.0,11.0,3.0,11.0,8.0,,114.0,7.0,217.0,,,26.0,4.0,71.0,,334.0,1.0,1.0,8.0,10.0,,29.0,0.0,514.0,13.0,8.0,8.0,3.0,4.0,0.0
918929,4.0,2017-09-09 15:00:00,57,Watford,Away,119.0,10.0,2.0,3.0,1.0,3.0,,160.0,3.0,1.0,7.0,11.0,6.0,24.0,276.0,,,12.0,19.0,23.0,6.0,1.0,,1.0,,,1.0,,,,,8.0,,,,,,,,7.0,4.0,5.0,4.0,8.0,,50.0,63.0,,,,3.0,20.0,4.0,6.0,,,4.0,2.0,3.0,,8.0,1.0,55.0,60.0,3.0,34.0,16.0,,,58.0,11.0,8.0,,,3.0,1.0,1.0,163.0,2.0,,,2.0,,,5.0,,,2.0,2.0,,,,,16.0,,19.0,19.0,2.0,9.0,83.0,78.0,43.0,7.0,1.0,4.0,5.0,3.0,369.0,,,5.0,1.0,,74.0,34.0,22.0,,,,,165.0,165.0,2.0,23.0,26.0,47.3,,,,3.0,20.0,0.0,,,,88.0,,1.0,1.0,,,,5.0,1.0,3.0,65.0,267.0,10.0,9.0,149.0,20.0,34.0,21.0,3.0,9.0,6.0,,113.0,10.0,244.0,2.0,1.0,35.0,9.0,60.0,1.0,384.0,,0.0,12.0,19.0,,26.0,0.0,601.0,19.0,14.0,10.0,4.0,13.0,0.0
918941,5.0,2017-09-16 15:00:00,57,Watford,Home,144.0,12.0,3.0,4.0,1.0,6.0,1.0,96.0,9.0,,2.0,4.0,,23.0,236.0,,,10.0,14.0,12.0,2.0,3.0,,,,,,,,,,3.0,,,,,,,1.0,5.0,18.0,10.0,5.0,2.0,,51.0,45.0,2.0,2.0,,2.0,17.0,1.0,13.0,,2.0,3.0,3.0,2.0,,8.0,3.0,54.0,35.0,2.0,22.0,7.0,,1.0,31.0,8.0,6.0,,1.0,2.0,2.0,,126.0,,,,,,,14.0,,,,,,,,,7.0,,22.0,22.0,5.0,2.0,65.0,67.0,39.0,11.0,,4.0,1.0,1.0,287.0,,,8.0,,,68.0,18.0,19.0,1.0,1.0,1.0,,123.0,123.0,1.0,24.0,15.0,32.6,,,,,17.0,0.0,,,,70.0,2.0,2.0,4.0,,,,5.0,,3.0,34.0,217.0,7.0,5.0,167.0,33.0,22.0,22.0,3.0,10.0,7.0,,62.0,11.0,155.0,,,12.0,,42.0,2.0,312.0,,0.0,7.0,7.0,1.0,17.0,2.0,482.0,10.0,12.0,11.0,3.0,3.0,0.0
918951,6.0,2017-09-23 15:00:00,57,Watford,Away,184.0,13.0,,2.0,2.0,2.0,,158.0,4.0,,4.0,8.0,12.0,28.0,340.0,,,18.0,23.0,29.0,3.0,,,,,,,,,,,8.0,,,,,,,,10.0,8.0,2.0,4.0,4.0,,64.0,60.0,1.0,,2.0,,13.0,2.0,8.0,,,4.0,4.0,3.0,,11.0,1.0,68.0,65.0,,43.0,28.0,,,51.0,16.0,8.0,1.0,1.0,3.0,1.0,,160.0,1.0,,,1.0,,,8.0,,,2.0,1.0,,,,,28.0,,12.0,12.0,1.0,6.0,107.0,78.0,48.0,6.0,1.0,1.0,3.0,4.0,415.0,,,3.0,2.0,,67.0,66.0,20.0,,,,,151.0,151.0,4.0,22.0,24.0,49.2,,,,1.0,13.0,0.0,,,,102.0,2.0,,2.0,,1.0,,2.0,,3.0,63.0,333.0,6.0,4.0,211.0,28.0,43.0,22.0,4.0,12.0,8.0,,96.0,4.0,234.0,1.0,,31.0,13.0,64.0,3.0,433.0,,0.0,8.0,17.0,,22.0,3.0,643.0,21.0,15.0,12.0,4.0,7.0,0.0
918961,7.0,2017-09-30 15:00:00,57,Watford,Away,214.0,28.0,,3.0,3.0,3.0,2.0,253.0,5.0,,7.0,4.0,9.0,39.0,464.0,,,15.0,31.0,27.0,9.0,1.0,,,,,,,,,,13.0,,,,,,,2.0,6.0,7.0,2.0,9.0,6.0,,76.0,70.0,2.0,1.0,1.0,2.0,13.0,6.0,10.0,,,6.0,9.0,9.0,,16.0,,77.0,68.0,2.0,22.0,14.0,,,73.0,11.0,12.0,,,4.0,4.0,,173.0,2.0,1.0,1.0,1.0,1.0,,6.0,,,1.0,,,,,,14.0,,5.0,5.0,1.0,7.0,160.0,74.0,49.0,7.0,2.0,6.0,6.0,3.0,534.0,,,2.0,1.0,,86.0,69.0,48.0,,,,,157.0,157.0,6.0,23.0,34.0,65.1,,,1.0,2.0,13.0,0.0,,,,143.0,1.0,1.0,2.0,,,,6.0,,2.0,123.0,450.0,4.0,12.0,234.0,49.0,22.0,18.0,5.0,27.0,22.0,,170.0,9.0,345.0,,,14.0,9.0,66.0,1.0,552.0,1.0,0.0,15.0,21.0,,22.0,0.0,757.0,23.0,11.0,9.0,6.0,13.0,0.0
918972,8.0,2017-10-14 17:30:00,57,Watford,Home,182.0,21.0,,5.0,5.0,5.0,,188.0,1.0,1.0,5.0,5.0,9.0,26.0,365.0,,,15.0,30.0,22.0,8.0,,,,,,,,,,,10.0,1.0,,,,,,,4.0,5.0,4.0,7.0,4.0,,58.0,67.0,,,2.0,1.0,14.0,3.0,2.0,,,2.0,10.0,7.0,,13.0,4.0,57.0,52.0,1.0,24.0,13.0,,,63.0,8.0,9.0,,,1.0,,,166.0,,,,,,,5.0,,,1.0,,,,,,13.0,1.0,16.0,16.0,1.0,5.0,120.0,87.0,45.0,5.0,1.0,6.0,2.0,2.0,446.0,,,,4.0,,77.0,64.0,36.0,,,,1.0,153.0,153.0,4.0,23.0,28.0,46.1,,,3.0,,14.0,0.0,,,,121.0,3.0,2.0,5.0,,,,6.0,,3.0,87.0,354.0,5.0,8.0,197.0,45.0,24.0,11.0,2.0,19.0,17.0,,141.0,13.0,287.0,,1.0,28.0,10.0,65.0,1.0,465.0,1.0,0.0,11.0,15.0,1.0,19.0,1.0,653.0,22.0,12.0,6.0,2.0,12.0,0.0
918973,9.0,2017-10-21 12:30:00,57,Watford,Away,140.0,12.0,3.0,6.0,3.0,6.0,,190.0,4.0,1.0,5.0,11.0,4.0,28.0,324.0,,,13.0,24.0,16.0,9.0,1.0,,,,1.0,1.0,,,,,9.0,,,,,,,2.0,9.0,6.0,8.0,9.0,7.0,,61.0,60.0,3.0,2.0,1.0,,17.0,5.0,13.0,,,6.0,8.0,5.0,,10.0,3.0,72.0,51.0,,13.0,5.0,1.0,,48.0,16.0,13.0,1.0,,6.0,3.0,1.0,159.0,1.0,,1.0,1.0,,,10.0,,,1.0,1.0,,,,1.0,5.0,,17.0,17.0,4.0,10.0,90.0,75.0,49.0,6.0,1.0,4.0,7.0,5.0,375.0,,,1.0,,,49.0,72.0,35.0,,,,,154.0,154.0,2.0,23.0,23.0,47.5,,3.0,,,17.0,0.0,,,,96.0,2.0,2.0,4.0,,2.0,,6.0,1.0,3.0,88.0,302.0,5.0,11.0,163.0,26.0,13.0,17.0,6.0,22.0,16.0,,119.0,16.0,265.0,1.0,1.0,22.0,4.0,51.0,3.0,406.0,,0.0,16.0,17.0,,22.0,3.0,608.0,28.0,17.0,5.0,6.0,12.0,0.0
918991,10.0,2017-10-28 15:00:00,57,Watford,Home,187.0,24.0,1.0,7.0,6.0,2.0,,276.0,5.0,,2.0,5.0,14.0,34.0,456.0,,,24.0,32.0,22.0,11.0,1.0,,,,,,,,,,10.0,,,,,,,1.0,5.0,2.0,4.0,11.0,4.0,,78.0,62.0,2.0,2.0,,1.0,25.0,8.0,3.0,,,8.0,13.0,8.0,,13.0,1.0,61.0,52.0,1.0,14.0,10.0,,,74.0,10.0,9.0,,,2.0,2.0,,195.0,,,,,,,7.0,,,,,,,,,10.0,,5.0,5.0,,2.0,142.0,70.0,48.0,1.0,,6.0,6.0,,542.0,,,1.0,,,58.0,100.0,57.0,,,,,174.0,174.0,3.0,29.0,27.0,70.2,,,,,25.0,0.0,,,,146.0,,1.0,1.0,,1.0,,7.0,2.0,2.0,129.0,440.0,7.0,12.0,205.0,50.0,14.0,16.0,7.0,30.0,23.0,,191.0,9.0,386.0,,,18.0,16.0,66.0,4.0,561.0,,0.0,15.0,11.0,,29.0,4.0,756.0,34.0,19.0,11.0,8.0,9.0,0.0
