matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059708,1.0,2019-08-10 15:00:00,57,Watford,Home,152.0,14.0,,4.0,4.0,4.0,1.0,177.0,4.0,,2.0,9.0,3.0,24.0,325.0,,,18.0,19.0,14.0,5.0,,1.0,,,,2.0,1.0,,,,5.0,,,,,3.0,9.0,4.0,2.0,4.0,7.0,,60.0,49.0,,,,3.0,19.0,4.0,6.0,,1.0,5.0,5.0,3.0,,18.0,,62.0,46.0,3.0,10.0,7.0,,,59.0,15.0,11.0,,,4.0,2.0,2.0,154.0,,,,,,,7.0,,,,,,,,1.0,7.0,,12.0,12.0,2.0,2.0,98.0,62.0,37.0,2.0,,2.0,3.0,3.0,392.0,,,,3.0,1.0,63.0,49.0,29.0,,,,,,145.0,145.0,3.0,18.0,24.0,48.2,,,,,19.0,0.0,,,,102.0,1.0,,1.0,,,,4.0,1.0,2.0,72.0,308.0,11.0,5.0,170.0,25.0,10.0,15.0,4.0,14.0,10.0,,118.0,10.0,258.0,1.0,,19.0,3.0,44.0,,414.0,,0.0,11.0,12.0,1.0,26.0,0.0,602.0,15.0,11.0,9.0,5.0,4.0,0.0
1059716,2.0,2019-08-17 15:00:00,57,Watford,Away,154.0,14.0,2.0,6.0,4.0,7.0,,132.0,2.0,,2.0,8.0,4.0,32.0,280.0,,1.0,30.0,28.0,27.0,5.0,1.0,3.0,,,,,,,,,5.0,,,1.0,,,6.0,7.0,5.0,5.0,3.0,,63.0,47.0,2.0,3.0,,,17.0,2.0,19.0,,1.0,7.0,6.0,5.0,,11.0,,76.0,79.0,,13.0,6.0,,,62.0,11.0,11.0,,,3.0,3.0,,142.0,,,,,,,8.0,,,,,,,,,6.0,1.0,9.0,9.0,,2.0,92.0,75.0,31.0,4.0,,2.0,4.0,2.0,365.0,,,4.0,4.0,,55.0,44.0,43.0,,,,,,168.0,168.0,2.0,18.0,23.0,55.9,1.0,,,,17.0,0.0,,,,91.0,1.0,,1.0,,,,4.0,,3.0,86.0,267.0,12.0,6.0,170.0,34.0,13.0,17.0,6.0,20.0,14.0,,140.0,16.0,238.0,,,26.0,5.0,68.0,1.0,388.0,,0.0,8.0,34.0,2.0,38.0,3.0,611.0,29.0,13.0,8.0,7.0,19.0,0.0
1059730,3.0,2019-08-24 15:00:00,57,Watford,Home,164.0,15.0,2.0,6.0,4.0,,1.0,232.0,5.0,,8.0,3.0,1.0,20.0,390.0,,,15.0,17.0,16.0,18.0,3.0,3.0,,,,,,,,,18.0,,,1.0,,2.0,8.0,13.0,3.0,19.0,4.0,,64.0,61.0,3.0,3.0,,1.0,15.0,10.0,10.0,,,8.0,11.0,6.0,,12.0,2.0,56.0,53.0,1.0,12.0,4.0,,,57.0,12.0,11.0,1.0,,2.0,2.0,,153.0,1.0,,1.0,1.0,,,5.0,,,1.0,1.0,,,,,4.0,1.0,11.0,11.0,4.0,9.0,107.0,61.0,45.0,7.0,,9.0,13.0,3.0,443.0,,,2.0,,,59.0,65.0,53.0,1.0,1.0,1.0,,,123.0,123.0,5.0,15.0,29.0,54.9,1.0,,,,15.0,0.0,,,,141.0,6.0,1.0,7.0,,,,10.0,1.0,3.0,119.0,370.0,9.0,22.0,180.0,29.0,12.0,13.0,7.0,26.0,19.0,,164.0,1.0,311.0,1.0,1.0,11.0,2.0,39.0,1.0,465.0,,0.0,23.0,17.0,,15.0,1.0,667.0,42.0,9.0,8.0,8.0,12.0,0.0
1059739,4.0,2019-08-31 15:00:00,57,Watford,Away,193.0,14.0,3.0,4.0,1.0,,,195.0,2.0,,7.0,4.0,6.0,22.0,384.0,,1.0,14.0,18.0,24.0,6.0,2.0,4.0,,,,,,,,,9.0,,,,,,6.0,8.0,5.0,8.0,5.0,,61.0,62.0,,,1.0,1.0,18.0,5.0,13.0,,1.0,5.0,5.0,2.0,,7.0,2.0,52.0,50.0,1.0,24.0,8.0,,,53.0,11.0,5.0,1.0,,,1.0,,168.0,,,,,,,7.0,,,1.0,1.0,,,,,8.0,,12.0,12.0,1.0,7.0,126.0,90.0,41.0,6.0,,3.0,5.0,3.0,476.0,,,5.0,,,52.0,63.0,22.0,,,,,,160.0,160.0,5.0,19.0,22.0,51.2,,2.0,,,18.0,0.0,,,,143.0,1.0,3.0,4.0,,,,5.0,1.0,3.0,73.0,375.0,9.0,8.0,211.0,35.0,24.0,11.0,5.0,13.0,8.0,,126.0,4.0,300.0,1.0,,21.0,6.0,68.0,,498.0,,0.0,13.0,14.0,1.0,17.0,3.0,682.0,20.0,23.0,7.0,5.0,9.0,0.0
1059750,5.0,2019-09-15 16:30:00,57,Watford,Home,149.0,12.0,2.0,5.0,3.0,3.0,,298.0,3.0,,5.0,2.0,3.0,22.0,442.0,,,10.0,4.0,8.0,21.0,1.0,4.0,1.0,,1.0,1.0,,1.0,1.0,,25.0,1.0,,,,,7.0,4.0,3.0,16.0,15.0,,80.0,63.0,2.0,1.0,2.0,,11.0,6.0,13.0,,1.0,7.0,10.0,5.0,,7.0,1.0,42.0,45.0,,15.0,5.0,,,37.0,14.0,4.0,,,2.0,,1.0,119.0,1.0,,,1.0,,,6.0,,,1.0,,,,,2.0,5.0,,10.0,10.0,1.0,5.0,143.0,58.0,46.0,1.0,1.0,11.0,12.0,10.0,488.0,,,1.0,,,102.0,86.0,31.0,,,,,1.0,97.0,97.0,12.0,16.0,30.0,52.4,,,1.0,,11.0,0.0,,,,157.0,2.0,,2.0,,,1.0,15.0,,3.0,156.0,434.0,8.0,23.0,164.0,20.0,15.0,22.0,7.0,22.0,15.0,1.0,184.0,4.0,357.0,,,3.0,4.0,34.0,1.0,499.0,,0.0,31.0,17.0,,10.0,3.0,679.0,48.0,9.0,16.0,7.0,9.0,0.0
1059758,6.0,2019-09-21 15:00:00,57,Watford,Away,194.0,7.0,,,,1.0,,71.0,,,5.0,5.0,3.0,18.0,265.0,,,13.0,11.0,4.0,3.0,1.0,,1.0,,1.0,1.0,,,,,3.0,,,,,,7.0,20.0,8.0,4.0,1.0,,68.0,47.0,,,,1.0,10.0,1.0,18.0,,,4.0,,,,7.0,2.0,56.0,28.0,1.0,20.0,9.0,,,27.0,9.0,5.0,,,2.0,,1.0,112.0,,,,,,,10.0,,,,1.0,,,,,9.0,,12.0,12.0,2.0,5.0,70.0,65.0,25.0,5.0,,,4.0,4.0,312.0,,,4.0,1.0,,25.0,46.0,12.0,1.0,1.0,1.0,,,108.0,108.0,6.0,22.0,11.0,31.3,,,,,10.0,0.0,,,,86.0,1.0,2.0,3.0,,,1.0,,,3.0,21.0,253.0,6.0,4.0,208.0,22.0,20.0,18.0,4.0,4.0,,1.0,46.0,2.0,132.0,1.0,,23.0,4.0,58.0,2.0,336.0,,0.0,5.0,12.0,,15.0,2.0,486.0,11.0,10.0,7.0,4.0,5.0,0.0
1059771,7.0,2019-09-28 15:00:00,57,Watford,Away,239.0,13.0,1.0,4.0,3.0,,,295.0,1.0,1.0,2.0,3.0,2.0,23.0,530.0,,,28.0,12.0,22.0,11.0,,1.0,,,,,1.0,,,,13.0,,,,,,2.0,7.0,,10.0,4.0,,99.0,60.0,,1.0,,,10.0,3.0,8.0,,,6.0,5.0,8.0,,13.0,,46.0,50.0,,7.0,3.0,,,69.0,6.0,5.0,,,3.0,2.0,,175.0,,,,,,,6.0,,,,,,,,1.0,3.0,,5.0,5.0,,2.0,169.0,92.0,55.0,1.0,,5.0,6.0,5.0,612.0,,,,,1.0,71.0,109.0,36.0,,,,,,154.0,154.0,5.0,17.0,33.0,60.9,,,,,10.0,0.0,,,,185.0,1.0,,1.0,,1.0,,6.0,,2.0,111.0,522.0,8.0,11.0,256.0,37.0,7.0,16.0,5.0,20.0,15.0,,158.0,2.0,392.0,,1.0,16.0,4.0,58.0,1.0,628.0,,0.0,14.0,15.0,,32.0,1.0,801.0,24.0,14.0,8.0,6.0,10.0,0.0
1059780,8.0,2019-10-05 15:00:00,57,Watford,Home,110.0,14.0,,3.0,3.0,3.0,,145.0,4.0,1.0,3.0,7.0,4.0,15.0,252.0,,,13.0,25.0,26.0,6.0,1.0,2.0,1.0,,,,,,,1.0,4.0,,,,,1.0,1.0,5.0,4.0,5.0,3.0,,49.0,65.0,3.0,3.0,,3.0,3.0,2.0,7.0,,,7.0,8.0,7.0,,6.0,1.0,53.0,59.0,3.0,34.0,18.0,,,47.0,7.0,6.0,,,,,,155.0,,,,,,,7.0,,,,,,,,,18.0,,9.0,9.0,4.0,4.0,71.0,77.0,26.0,7.0,,3.0,4.0,2.0,341.0,,,2.0,2.0,,30.0,86.0,25.0,,,,,,163.0,163.0,2.0,30.0,25.0,39.5,,,,1.0,3.0,0.0,,,,85.0,2.0,1.0,3.0,,1.0,1.0,4.0,,3.0,84.0,241.0,2.0,7.0,135.0,37.0,34.0,19.0,5.0,20.0,15.0,1.0,123.0,7.0,245.0,,1.0,31.0,4.0,57.0,2.0,360.0,,0.0,8.0,17.0,,16.0,0.0,542.0,16.0,15.0,10.0,7.0,7.0,0.0
1059790,9.0,2019-10-19 15:00:00,57,Watford,Away,126.0,13.0,1.0,2.0,1.0,2.0,,82.0,1.0,2.0,3.0,5.0,1.0,17.0,206.0,,,11.0,16.0,18.0,3.0,,,1.0,,1.0,2.0,,,,,5.0,,,,,,3.0,7.0,5.0,4.0,3.0,,60.0,65.0,1.0,,1.0,3.0,9.0,3.0,12.0,,1.0,2.0,1.0,2.0,,9.0,1.0,47.0,57.0,3.0,52.0,28.0,1.0,,44.0,9.0,5.0,,,2.0,,2.0,145.0,1.0,,1.0,1.0,,,8.0,,,1.0,1.0,,,,1.0,28.0,,14.0,14.0,1.0,3.0,55.0,87.0,32.0,11.0,1.0,1.0,3.0,2.0,290.0,,,6.0,,,48.0,37.0,9.0,,,,,,135.0,135.0,2.0,32.0,20.0,30.6,,2.0,,,9.0,0.0,,,,53.0,,1.0,1.0,,2.0,1.0,2.0,,3.0,35.0,200.0,3.0,4.0,150.0,28.0,52.0,16.0,2.0,5.0,3.0,1.0,71.0,8.0,168.0,2.0,2.0,39.0,2.0,77.0,1.0,313.0,,0.0,7.0,20.0,,15.0,3.0,503.0,10.0,9.0,14.0,2.0,12.0,0.0
1059800,10.0,2019-10-26 15:00:00,57,Watford,Home,115.0,18.0,,1.0,1.0,1.0,1.0,139.0,2.0,1.0,5.0,7.0,5.0,27.0,253.0,,,15.0,15.0,12.0,3.0,,2.0,,,,,,,,,5.0,,,,,,6.0,6.0,9.0,3.0,4.0,,60.0,64.0,,1.0,,3.0,17.0,1.0,10.0,,,5.0,8.0,4.0,,9.0,4.0,55.0,47.0,3.0,23.0,11.0,,,45.0,14.0,6.0,,1.0,1.0,2.0,,131.0,,,,,,,4.0,,,,1.0,,,,,11.0,1.0,12.0,12.0,4.0,5.0,68.0,72.0,39.0,10.0,,1.0,2.0,3.0,320.0,,,7.0,,,50.0,59.0,27.0,,,,,,148.0,148.0,2.0,25.0,28.0,40.2,,,,1.0,17.0,0.0,,,,78.0,3.0,2.0,5.0,,,,3.0,,3.0,65.0,246.0,7.0,3.0,133.0,31.0,23.0,16.0,5.0,19.0,14.0,,99.0,4.0,223.0,1.0,1.0,26.0,6.0,59.0,5.0,337.0,,0.0,7.0,20.0,,18.0,5.0,545.0,16.0,21.0,9.0,5.0,13.0,0.0
