matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210280,1.0,2021-08-14 15:00:00,57,Watford,Home,156.0,22.0,1.0,2.0,2.0,5.0,1.0,80.0,3.0,,7.0,1.0,3.0,21.0,234.0,,,9.0,17.0,24.0,8.0,1.0,1.0,3.0,,,,,,,,11.0,,,,,,1.0,11.0,4.0,7.0,9.0,4.0,,46.0,68.0,1.0,1.0,,,6.0,2.0,14.0,,,2.0,5.0,,,8.0,,62.0,65.0,,25.0,14.0,,,,,,,,26.0,45.0,18.0,13.0,1.0,,2.0,2.0,,136.0,2.0,,1.0,2.0,,1.0,8.0,,,3.0,3.0,,,,,14.0,,9.0,9.0,3.0,7.0,69.0,65.0,25.0,4.0,1.0,3.0,8.0,7.0,290.0,,,3.0,2.0,,28.0,45.0,11.0,1.0,1.0,1.0,,,128.0,128.0,3.0,35.0,21.0,37.9,,,,,6.0,0.0,,,,66.0,,,,,,3.0,4.0,,3.0,9.0,44.0,216.0,2.0,11.0,183.0,46.0,25.0,18.0,2.0,8.0,7.0,4.0,78.0,7.0,142.0,3.0,,14.0,4.0,63.0,,317.0,1.0,0.0,13.0,15.0,,17.0,3.0,487.0,21.0,16.0,13.0,2.0,6.0,0.0
2210283,2.0,2021-08-21 17:30:00,57,Watford,Away,217.0,22.0,,3.0,3.0,,,151.0,8.0,,3.0,4.0,8.0,27.0,365.0,,,20.0,17.0,18.0,10.0,,,,,,,,,,,10.0,,,,,,,3.0,8.0,5.0,7.0,3.0,,56.0,46.0,,,,2.0,22.0,4.0,7.0,,,2.0,10.0,5.0,,12.0,1.0,49.0,48.0,2.0,25.0,16.0,,1.0,,,,,,36.0,34.0,6.0,11.0,,,,1.0,,121.0,,,,,,,8.0,,,,,,,,,16.0,,10.0,10.0,2.0,4.0,136.0,57.0,36.0,7.0,,5.0,5.0,1.0,418.0,,,5.0,2.0,,35.0,73.0,21.0,,,,,,128.0,128.0,5.0,24.0,13.0,43.1,,,,1.0,22.0,0.0,,,,128.0,1.0,,1.0,,1.0,,5.0,,3.0,21.0,72.0,343.0,7.0,10.0,236.0,38.0,25.0,13.0,1.0,17.0,16.0,,108.0,4.0,222.0,,,14.0,9.0,47.0,1.0,441.0,,0.0,10.0,13.0,,22.0,0.0,626.0,19.0,13.0,6.0,2.0,6.0,0.0
2210298,3.0,2021-08-29 14:00:00,57,Watford,Away,201.0,14.0,1.0,4.0,3.0,1.0,,100.0,8.0,,10.0,1.0,3.0,26.0,297.0,2.0,,25.0,13.0,10.0,8.0,,1.0,,1.0,,1.0,,,,,7.0,,,,,,,10.0,9.0,6.0,6.0,3.0,,56.0,43.0,,,,2.0,17.0,3.0,9.0,,,3.0,4.0,6.0,,10.0,3.0,53.0,44.0,2.0,36.0,25.0,,,,,,,,25.0,34.0,14.0,8.0,,,3.0,1.0,1.0,96.0,,,,,,,9.0,,,,,,,,,25.0,,4.0,4.0,1.0,10.0,104.0,48.0,32.0,10.0,,3.0,5.0,2.0,345.0,,,3.0,,,49.0,35.0,14.0,,,,,,115.0,115.0,,18.0,14.0,42.4,,,,1.0,17.0,0.0,,,,108.0,3.0,4.0,7.0,,,,4.0,2.0,3.0,14.0,47.0,282.0,6.0,8.0,226.0,40.0,36.0,19.0,3.0,14.0,11.0,,69.0,5.0,152.0,,,4.0,3.0,45.0,1.0,364.0,2.0,0.0,9.0,16.0,,25.0,3.0,564.0,17.0,18.0,10.0,3.0,11.0,0.0
2210310,4.0,2021-09-11 15:00:00,57,Watford,Home,192.0,23.0,,1.0,1.0,1.0,,115.0,10.0,2.0,9.0,4.0,7.0,28.0,306.0,,,19.0,5.0,12.0,3.0,,1.0,,,,,1.0,,,,4.0,,,,,,1.0,8.0,10.0,5.0,2.0,4.0,,53.0,50.0,,,,,14.0,,19.0,,,6.0,11.0,3.0,,9.0,1.0,56.0,59.0,,23.0,8.0,,,,,,,,26.0,54.0,15.0,13.0,,,1.0,1.0,,115.0,,,,,,,10.0,,,,,,,,2.0,8.0,,8.0,8.0,1.0,9.0,100.0,45.0,32.0,8.0,,1.0,2.0,2.0,340.0,,,3.0,1.0,1.0,43.0,50.0,22.0,,,,,,117.0,117.0,2.0,23.0,14.0,44.0,,,,,14.0,0.0,,,,102.0,3.0,1.0,4.0,,1.0,,4.0,,2.0,17.0,62.0,279.0,2.0,3.0,207.0,35.0,23.0,24.0,3.0,18.0,15.0,,96.0,5.0,181.0,,2.0,9.0,7.0,45.0,1.0,370.0,3.0,0.0,6.0,20.0,1.0,20.0,3.0,560.0,16.0,14.0,14.0,6.0,11.0,0.0
2210317,5.0,2021-09-18 15:00:00,57,Watford,Away,160.0,25.0,1.0,3.0,2.0,2.0,,156.0,3.0,,3.0,4.0,7.0,41.0,313.0,1.0,2.0,21.0,18.0,15.0,8.0,1.0,1.0,1.0,,,,,,,3.0,11.0,,,,,,,9.0,7.0,5.0,11.0,1.0,,67.0,64.0,5.0,3.0,3.0,1.0,13.0,1.0,9.0,,1.0,8.0,4.0,10.0,,9.0,2.0,57.0,48.0,1.0,14.0,6.0,,1.0,,,,,,29.0,58.0,14.0,9.0,,,,,,148.0,2.0,,2.0,2.0,,,6.0,,,3.0,1.0,,,,,6.0,,9.0,9.0,,3.0,89.0,73.0,39.0,4.0,3.0,3.0,8.0,8.0,376.0,,,4.0,2.0,,60.0,78.0,27.0,,,,,,141.0,141.0,4.0,38.0,15.0,51.3,,,,,13.0,0.0,,,,92.0,2.0,2.0,4.0,,1.0,1.0,3.0,,3.0,21.0,78.0,299.0,5.0,11.0,180.0,41.0,14.0,21.0,7.0,21.0,14.0,1.0,118.0,6.0,237.0,1.0,,22.0,8.0,78.0,,396.0,2.0,0.0,12.0,11.0,3.0,24.0,1.0,582.0,24.0,18.0,13.0,8.0,6.0,0.0
2210330,6.0,2021-09-25 15:00:00,57,Watford,Home,133.0,19.0,1.0,2.0,1.0,,,149.0,11.0,,4.0,5.0,2.0,34.0,280.0,,,24.0,24.0,17.0,11.0,,1.0,3.0,,,1.0,,,,,12.0,,,,,,1.0,11.0,10.0,10.0,7.0,8.0,,55.0,50.0,1.0,,1.0,,13.0,5.0,11.0,,1.0,5.0,5.0,3.0,,11.0,2.0,74.0,61.0,,13.0,7.0,,2.0,,,,,,20.0,55.0,19.0,10.0,,,4.0,2.0,1.0,151.0,1.0,,1.0,,1.0,,13.0,,,,,,,,2.0,7.0,,7.0,7.0,1.0,4.0,78.0,72.0,44.0,6.0,1.0,5.0,7.0,4.0,339.0,,,6.0,1.0,,66.0,51.0,23.0,,,,,,142.0,142.0,1.0,22.0,23.0,52.2,,,1.0,,13.0,0.0,,,,80.0,3.0,2.0,5.0,,1.0,3.0,6.0,,4.0,7.0,66.0,259.0,6.0,12.0,148.0,38.0,13.0,32.0,5.0,15.0,10.0,3.0,107.0,5.0,231.0,,,15.0,2.0,60.0,1.0,364.0,,0.0,15.0,13.0,2.0,26.0,4.0,558.0,16.0,19.0,21.0,5.0,7.0,0.0
2210335,7.0,2021-10-02 15:00:00,57,Watford,Away,80.0,15.0,,,,2.0,,77.0,9.0,,8.0,3.0,1.0,22.0,157.0,,,17.0,11.0,14.0,4.0,,,,,,,,,,,5.0,,,,,,,6.0,10.0,10.0,3.0,2.0,,25.0,63.0,,,,2.0,20.0,2.0,9.0,1.0,,3.0,5.0,2.0,,5.0,2.0,49.0,46.0,2.0,34.0,15.0,,,,,,,,19.0,40.0,16.0,9.0,,1.0,1.0,1.0,,117.0,,,,,,,12.0,,,,2.0,,,,1.0,15.0,,3.0,3.0,1.0,8.0,38.0,61.0,29.0,6.0,,1.0,3.0,1.0,219.0,,,7.0,2.0,,38.0,38.0,18.0,,,,,,140.0,140.0,5.0,31.0,17.0,33.1,,,,,20.0,0.0,,,,62.0,1.0,2.0,2.0,,,,2.0,,3.0,6.0,37.0,140.0,10.0,4.0,110.0,33.0,34.0,12.0,3.0,11.0,8.0,,65.0,9.0,143.0,3.0,,21.0,2.0,57.0,,242.0,,0.0,5.0,20.0,,25.0,3.0,452.0,12.0,19.0,3.0,3.0,10.0,0.0
2210350,8.0,2021-10-16 12:30:00,57,Watford,Home,110.0,14.0,,2.0,2.0,1.0,,57.0,3.0,,2.0,5.0,4.0,21.0,165.0,1.0,1.0,7.0,10.0,19.0,5.0,,1.0,,,,,,,,,5.0,,,,,,,1.0,12.0,7.0,5.0,1.0,,37.0,71.0,,,,1.0,24.0,1.0,10.0,,,1.0,2.0,3.0,,7.0,3.0,42.0,52.0,1.0,33.0,18.0,,1.0,,,,,,36.0,34.0,4.0,10.0,,,,1.0,,123.0,,,,,,,7.0,,,,1.0,,,,,18.0,1.0,11.0,11.0,3.0,3.0,45.0,64.0,21.0,9.0,,2.0,3.0,2.0,228.0,,,5.0,,,34.0,23.0,13.0,,,,,,141.0,141.0,1.0,40.0,21.0,23.8,,,,,24.0,0.0,,,,47.0,2.0,1.0,4.0,,,,3.0,,3.0,23.0,28.0,151.0,16.0,5.0,133.0,44.0,33.0,20.0,1.0,7.0,6.0,,59.0,5.0,126.0,2.0,,19.0,4.0,61.0,8.0,252.0,1.0,0.0,6.0,14.0,2.0,11.0,0.0,449.0,15.0,18.0,9.0,1.0,10.0,0.0
2210356,9.0,2021-10-23 15:00:00,57,Watford,Away,149.0,13.0,2.0,6.0,4.0,5.0,,143.0,4.0,,3.0,9.0,3.0,22.0,286.0,,,28.0,24.0,26.0,8.0,1.0,3.0,1.0,,,,,,,,16.0,,,,,,1.0,5.0,11.0,4.0,10.0,10.0,,50.0,53.0,6.0,1.0,5.0,1.0,27.0,5.0,7.0,,1.0,5.0,6.0,11.0,,13.0,1.0,67.0,57.0,1.0,27.0,11.0,,,,,,,,19.0,63.0,13.0,8.0,3.0,,3.0,3.0,,164.0,5.0,1.0,3.0,4.0,1.0,,11.0,,,3.0,1.0,,,,1.0,11.0,,3.0,3.0,1.0,3.0,74.0,81.0,42.0,3.0,1.0,3.0,11.0,8.0,365.0,,,5.0,,,68.0,58.0,31.0,,,,,,166.0,166.0,3.0,20.0,24.0,49.9,,,3.0,,27.0,0.0,,,,100.0,1.0,1.0,2.0,,,1.0,7.0,,3.0,7.0,76.0,273.0,16.0,14.0,164.0,30.0,27.0,24.0,4.0,24.0,20.0,1.0,134.0,9.0,248.0,1.0,,23.0,3.0,54.0,,388.0,,0.0,20.0,11.0,,34.0,3.0,617.0,27.0,15.0,12.0,5.0,6.0,0.0
2210369,10.0,2021-10-30 15:00:00,57,Watford,Home,85.0,13.0,1.0,4.0,3.0,1.0,,117.0,5.0,,1.0,5.0,3.0,27.0,198.0,,,17.0,35.0,21.0,7.0,1.0,1.0,1.0,,1.0,1.0,,,,,8.0,,,,,,,7.0,9.0,3.0,5.0,5.0,,44.0,69.0,1.0,1.0,,,16.0,,7.0,,,5.0,13.0,11.0,,9.0,,73.0,52.0,,27.0,18.0,,,,,,,,28.0,76.0,16.0,6.0,,,2.0,1.0,1.0,153.0,,,,,,,9.0,,,,,,,,,18.0,1.0,12.0,12.0,3.0,1.0,41.0,77.0,37.0,8.0,,5.0,3.0,4.0,280.0,,,5.0,2.0,,38.0,61.0,36.0,,,,,,165.0,165.0,3.0,32.0,27.0,38.7,,,,,16.0,0.0,,,,59.0,,,,,,1.0,6.0,,3.0,13.0,59.0,189.0,8.0,8.0,109.0,28.0,27.0,16.0,5.0,30.0,25.0,1.0,113.0,5.0,218.0,,,31.0,3.0,69.0,2.0,297.0,,0.0,10.0,15.0,,21.0,2.0,492.0,9.0,17.0,10.0,5.0,7.0,0.0
