matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987600,1,2018-08-11 15:00:00,57,Watford,Home,169.0,20.0,3.0,7.0,4.0,3.0,1.0,166.0,5.0,1.0,3.0,10.0,6.0,34.0,328.0,,,10.0,24.0,16.0,8.0,3.0,,,,1.0,2.0,,,,,10.0,,,,2.0,5.0,5.0,1.0,12.0,7.0,76.0,72.0,2.0,2.0,,3.0,14.0,5.0,9.0,,,8.0,8.0,2.0,,11.0,,60.0,55.0,3.0,11.0,2.0,,,65.0,10.0,15.0,,,5.0,5.0,2.0,168.0,2.0,,1.0,1.0,1.0,,8.0,1.0,1.0,,2.0,,11.0,11.0,1.0,3.0,97.0,89.0,43.0,2.0,2.0,6.0,7.0,5.0,410.0,1.0,4.0,,81.0,38.0,36.0,,,,,,159.0,159.0,5.0,20.0,36.0,53.2,,,,,14.0,0.0,96.0,,,,,,,9.0,,3.0,89.0,310.0,5.0,13.0,186.0,45.0,11.0,14.0,5.0,20.0,15.0,,145.0,8.0,271.0,2.0,1.0,30.0,6.0,79.0,,437.0,,0.0,19.0,17.0,1.0,16.0,2.0,614.0,28.0,10.0,8.0,8.0,11.0,0.0
987603,2,2018-08-19 13:30:00,57,Watford,Away,106.0,17.0,1.0,3.0,3.0,2.0,,130.0,5.0,,2.0,7.0,8.0,22.0,233.0,,1.0,17.0,32.0,26.0,4.0,1.0,,,,,,,,,1.0,8.0,,,,,9.0,5.0,3.0,5.0,4.0,53.0,70.0,3.0,3.0,1.0,3.0,10.0,3.0,4.0,,,2.0,3.0,3.0,,8.0,2.0,68.0,56.0,3.0,29.0,18.0,,,52.0,19.0,8.0,2.0,,2.0,1.0,,157.0,2.0,,2.0,2.0,,,11.0,3.0,3.0,,18.0,,13.0,13.0,1.0,2.0,67.0,70.0,23.0,5.0,1.0,,7.0,6.0,318.0,1.0,1.0,,52.0,33.0,23.0,,,,,,158.0,158.0,3.0,26.0,30.0,41.6,,,,,10.0,0.0,68.0,1.0,1.0,2.0,,1.0,,,,3.0,70.0,220.0,8.0,8.0,130.0,39.0,29.0,11.0,1.0,7.0,7.0,,123.0,9.0,222.0,5.0,,36.0,8.0,74.0,4.0,345.0,1.0,0.0,9.0,18.0,1.0,25.0,2.0,531.0,18.0,14.0,4.0,2.0,10.0,0.0
987620,3,2018-08-26 13:30:00,57,Watford,Home,84.0,16.0,2.0,5.0,3.0,3.0,,148.0,4.0,1.0,,8.0,3.0,30.0,227.0,,1.0,13.0,24.0,24.0,9.0,1.0,1.0,,,,,,,1.0,,12.0,,,,,4.0,8.0,1.0,8.0,5.0,47.0,64.0,,1.0,,,17.0,4.0,3.0,,,6.0,6.0,6.0,1.0,10.0,,57.0,69.0,,16.0,7.0,,,54.0,14.0,11.0,,1.0,1.0,1.0,,139.0,2.0,,,2.0,,,13.0,2.0,1.0,2.0,7.0,,19.0,19.0,,,71.0,73.0,31.0,3.0,1.0,4.0,8.0,5.0,299.0,1.0,3.0,,62.0,41.0,29.0,,,,,,168.0,168.0,4.0,32.0,23.0,43.7,,,,,17.0,0.0,74.0,2.0,,2.0,,,1.0,4.0,,2.0,78.0,213.0,5.0,12.0,116.0,36.0,16.0,17.0,5.0,18.0,13.0,1.0,117.0,8.0,233.0,1.0,1.0,25.0,3.0,72.0,1.0,331.0,1.0,0.0,13.0,26.0,1.0,19.0,4.0,528.0,22.0,21.0,8.0,6.0,16.0,0.0
987630,4,2018-09-02 16:00:00,57,Watford,Home,87.0,20.0,1.0,5.0,4.0,2.0,1.0,105.0,5.0,3.0,,5.0,4.0,29.0,187.0,,,7.0,15.0,26.0,4.0,,,,,,1.0,1.0,,,,4.0,,,,1.0,3.0,6.0,6.0,4.0,3.0,39.0,76.0,,,,7.0,19.0,1.0,10.0,,,3.0,8.0,,1.0,15.0,1.0,57.0,57.0,7.0,49.0,26.0,,1.0,50.0,9.0,8.0,1.0,,3.0,2.0,1.0,123.0,2.0,2.0,2.0,,2.0,,9.0,,2.0,,26.0,,21.0,21.0,4.0,,62.0,66.0,27.0,10.0,,3.0,3.0,3.0,262.0,2.0,2.0,1.0,45.0,24.0,25.0,,,,,,163.0,163.0,6.0,39.0,20.0,34.4,,,3.0,,19.0,0.0,65.0,,2.0,2.0,,1.0,,3.0,,3.0,60.0,175.0,14.0,6.0,119.0,40.0,49.0,16.0,1.0,11.0,10.0,,102.0,10.0,181.0,3.0,4.0,27.0,4.0,74.0,2.0,289.0,,0.0,7.0,15.0,,10.0,2.0,516.0,23.0,25.0,8.0,3.0,13.0,0.0
987640,5,2018-09-15 17:30:00,57,Watford,Home,116.0,15.0,1.0,3.0,2.0,1.0,1.0,178.0,,1.0,,8.0,3.0,24.0,291.0,1.0,,13.0,22.0,18.0,9.0,2.0,,1.0,,,1.0,,,,,10.0,,,,1.0,4.0,6.0,3.0,6.0,8.0,48.0,67.0,1.0,1.0,,2.0,15.0,6.0,4.0,,,6.0,7.0,6.0,,6.0,2.0,44.0,60.0,2.0,28.0,10.0,,,64.0,9.0,10.0,1.0,,4.0,2.0,1.0,150.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,10.0,,9.0,9.0,2.0,,88.0,64.0,28.0,8.0,,1.0,11.0,5.0,372.0,2.0,3.0,,50.0,40.0,38.0,,,,,,143.0,143.0,3.0,31.0,30.0,42.9,,,,,15.0,0.0,101.0,2.0,2.0,4.0,,,,3.0,1.0,3.0,98.0,283.0,6.0,12.0,130.0,30.0,28.0,12.0,6.0,21.0,15.0,,154.0,5.0,278.0,,1.0,31.0,4.0,60.0,2.0,387.0,1.0,0.0,14.0,25.0,1.0,16.0,2.0,579.0,22.0,10.0,7.0,6.0,18.0,0.0
987647,6,2018-09-22 12:30:00,57,Watford,Away,98.0,19.0,1.0,2.0,1.0,,1.0,122.0,3.0,,,10.0,6.0,32.0,218.0,,,11.0,28.0,17.0,4.0,1.0,,,,,,,,,1.0,10.0,,,,,5.0,9.0,6.0,8.0,3.0,54.0,71.0,2.0,2.0,1.0,1.0,16.0,1.0,4.0,,1.0,8.0,10.0,5.0,,9.0,2.0,55.0,42.0,1.0,25.0,12.0,,,79.0,9.0,11.0,1.0,,2.0,6.0,,158.0,1.0,,1.0,1.0,,,12.0,1.0,2.0,,12.0,,18.0,18.0,2.0,,48.0,93.0,32.0,8.0,,2.0,4.0,6.0,304.0,6.0,,,23.0,45.0,45.0,,,,,,183.0,183.0,8.0,26.0,29.0,39.3,,2.0,,,16.0,0.0,75.0,1.0,1.0,2.0,,,,4.0,1.0,3.0,72.0,202.0,9.0,6.0,114.0,30.0,25.0,9.0,5.0,26.0,21.0,,134.0,7.0,247.0,2.0,,44.0,7.0,83.0,6.0,335.0,,0.0,11.0,11.0,,16.0,1.0,535.0,23.0,17.0,4.0,8.0,5.0,0.0
987653,7,2018-09-29 15:00:00,57,Watford,Away,95.0,12.0,,7.0,7.0,3.0,2.0,119.0,3.0,1.0,2.0,8.0,2.0,30.0,207.0,,1.0,12.0,26.0,22.0,8.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,8.0,,,,5.0,5.0,7.0,3.0,10.0,4.0,51.0,57.0,5.0,6.0,,7.0,20.0,2.0,7.0,,,6.0,13.0,6.0,,6.0,1.0,60.0,59.0,7.0,22.0,7.0,,,62.0,17.0,10.0,,2.0,4.0,3.0,1.0,125.0,,,,,,,9.0,,1.0,,7.0,,15.0,15.0,,2.0,59.0,64.0,30.0,6.0,,5.0,5.0,5.0,275.0,1.0,2.0,1.0,50.0,37.0,36.0,,,,,,147.0,147.0,2.0,23.0,27.0,36.5,,,,,20.0,0.0,63.0,,1.0,1.0,,1.0,1.0,7.0,,2.0,58.0,197.0,6.0,10.0,117.0,28.0,22.0,12.0,5.0,27.0,22.0,1.0,103.0,9.0,208.0,1.0,1.0,25.0,2.0,67.0,3.0,298.0,,0.0,14.0,20.0,3.0,16.0,2.0,502.0,29.0,15.0,8.0,6.0,10.0,0.0
987671,8,2018-10-06 15:00:00,57,Watford,Home,127.0,23.0,2.0,2.0,,2.0,,166.0,3.0,1.0,1.0,10.0,9.0,40.0,291.0,,,17.0,18.0,15.0,7.0,2.0,,,,,1.0,,,,,9.0,,,,,5.0,9.0,1.0,8.0,6.0,76.0,50.0,1.0,1.0,,,17.0,10.0,3.0,,,10.0,8.0,4.0,,3.0,1.0,39.0,45.0,,12.0,8.0,,,61.0,11.0,9.0,,1.0,1.0,2.0,1.0,144.0,,,,,,,6.0,,,,8.0,,8.0,8.0,1.0,1.0,75.0,76.0,48.0,7.0,,2.0,7.0,2.0,353.0,,3.0,,48.0,56.0,35.0,1.0,1.0,1.0,,,133.0,133.0,8.0,22.0,14.0,47.2,,,,,17.0,0.0,79.0,3.0,,3.0,1.0,,,2.0,3.0,3.0,78.0,276.0,7.0,9.0,142.0,46.0,12.0,9.0,10.0,24.0,14.0,,124.0,11.0,256.0,,1.0,24.0,9.0,74.0,1.0,374.0,,1.0,14.0,18.0,,23.0,3.0,537.0,23.0,8.0,3.0,10.0,11.0,0.0
987681,9,2018-10-20 15:00:00,57,Watford,Away,212.0,13.0,,,,2.0,,251.0,2.0,,1.0,9.0,12.0,22.0,463.0,,,18.0,21.0,22.0,5.0,,1.0,,,,1.0,,,,1.0,8.0,,,,,5.0,4.0,6.0,5.0,4.0,97.0,45.0,2.0,1.0,1.0,4.0,18.0,4.0,5.0,,1.0,2.0,3.0,,,14.0,1.0,61.0,69.0,4.0,29.0,15.0,,,51.0,13.0,22.0,,,5.0,1.0,1.0,186.0,2.0,,,2.0,,,9.0,2.0,1.0,,15.0,,9.0,9.0,,1.0,134.0,94.0,56.0,8.0,2.0,2.0,5.0,3.0,515.0,3.0,1.0,,110.0,55.0,18.0,,,,,,136.0,136.0,2.0,19.0,20.0,55.2,,,,1.0,18.0,0.0,133.0,1.0,,1.0,,,1.0,2.0,,3.0,98.0,442.0,10.0,7.0,229.0,26.0,29.0,17.0,,4.0,4.0,1.0,137.0,9.0,325.0,1.0,,30.0,12.0,60.0,1.0,550.0,2.0,0.0,9.0,17.0,,20.0,1.0,749.0,17.0,19.0,9.0,3.0,12.0,0.0
987691,10,2018-10-27 15:00:00,57,Watford,Home,178.0,21.0,1.0,2.0,1.0,2.0,,190.0,3.0,4.0,2.0,12.0,5.0,31.0,366.0,,1.0,22.0,16.0,12.0,9.0,,2.0,,,,,,,,1.0,11.0,,,,1.0,7.0,9.0,4.0,8.0,4.0,81.0,61.0,3.0,1.0,2.0,1.0,19.0,,10.0,,,3.0,3.0,1.0,,13.0,6.0,61.0,52.0,1.0,23.0,10.0,,,42.0,9.0,12.0,2.0,,1.0,1.0,,183.0,3.0,,1.0,2.0,1.0,,7.0,2.0,,,10.0,,9.0,9.0,,2.0,100.0,73.0,43.0,3.0,1.0,6.0,6.0,6.0,444.0,2.0,,,64.0,64.0,15.0,,,,,,162.0,162.0,3.0,23.0,27.0,48.1,,,,,19.0,0.0,103.0,4.0,3.0,7.0,,,2.0,6.0,,3.0,105.0,352.0,9.0,12.0,208.0,30.0,23.0,23.0,2.0,7.0,5.0,2.0,143.0,7.0,266.0,,4.0,34.0,5.0,61.0,3.0,467.0,2.0,0.0,12.0,19.0,1.0,31.0,1.0,680.0,22.0,18.0,10.0,3.0,11.0,0.0
