playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,homeGoals,rightFootGoals,leftFootGoals,unsuccessfulDribbles,shotsOffTargetIncWoodwork,unsuccessfulCornersIntoBox,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,shotsOnTargetOutsideBox,oboxTarget,goalKicks,gkSuccessfulDistribution,punches,catches,savesMade,goalkeeperSmother,drops,savesMadeFromOutsideBox,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,unsuccessfulLayoffs,blocks,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,secondGoalAssists,lastPlayerTackle,overruns,goalsConcededInsideBox,clearancesOffTheLine,hitWoodwork,handballsConceded,penaltyGoalsConceded,penaltiesFaced,penaltiesTaken,penaltiesConceded,foulWonPenalty,headedGoals,savesMadeCaught,ownGoalScored,crossesNotClaimed,penaltyGoals,setPiecesGoals
198869,Ben White,Defender,Arsenal,3,England,2026-27,6.0,2.0,0.289,0.0,1.0,4.0,17.0,3.0,1.0,1.0,3.0,24.0,8.0,147.0,1.0,9.0,2.0,2.0,270.0,3.0,15.0,1.0,5.0,9.0,118.0,10.0,1.0,0.3859,2.0,1.0,9.0,1.0,1.0,3.0,15.0,3.0,0.0,21.0,1.0,61.0,9.0,3.0,1.0,85.0,8.0,1.0,1.0,12.0,6.0,0.0,143.0,1.0,40.0,3.0,2.0,49.0,1.0,2.0,5.0,22.0,210.0,18.0,2.0,40.0,0.177,0.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208706,Bruno Guimarães,Midfielder,Arsenal,3,Brazil,2026-27,1.0,,0.0134,0.0,,,1.0,1.0,,,,2.0,,15.0,,,,,19.0,,,,1.0,,13.0,1.0,,,,,,,,1.0,3.0,,0.0,1.0,1.0,6.0,3.0,1.0,,6.0,,1.0,,1.0,,0.0,15.0,,6.0,,,4.0,,,,2.0,22.0,,1.0,7.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223340,Bukayo Saka,Forward,Arsenal,3,England,2026-27,14.0,,0.3422,0.0,3.0,4.0,15.0,3.0,,3.0,3.0,17.0,6.0,109.0,3.0,6.0,1.0,2.0,247.0,4.0,20.0,1.0,9.0,18.0,91.0,16.0,,0.349,3.0,,3.0,1.0,2.0,10.0,5.0,10.0,1.0,34.0,1.0,20.0,12.0,3.0,,78.0,10.0,8.0,2.0,28.0,2.0,0.0,102.0,6.0,42.0,4.0,4.0,40.0,1.0,3.0,1.0,44.0,175.0,,2.0,16.0,1.4952,0.0,2.0,5.0,,5.0,1.9661,6.0,1.0,2.0,1.0,1.0,10.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439509,Christos Tzolis,Forward,Arsenal,3,Greece,2026-27,12.0,2.0,0.354,0.0,1.0,2.0,13.0,3.0,1.0,1.0,3.0,13.0,6.0,90.0,1.0,5.0,,2.0,211.0,3.0,11.0,1.0,3.0,9.0,74.0,12.0,,0.349,7.0,1.0,4.0,1.0,1.0,9.0,45.0,6.0,0.0,23.0,1.0,11.0,10.0,3.0,,57.0,6.0,6.0,1.0,18.0,2.0,0.0,89.0,2.0,28.0,2.0,1.0,2.0,1.0,1.0,3.0,32.0,132.0,3.0,,22.0,0.1935,2.0,,3.0,,2.0,0.0403,3.0,,,,,,1.0,1.0,,,,,4.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500040,Cristhian Mosquera,Defender,Arsenal,3,Spain,2026-27,5.0,,0.014,0.0,,,4.0,2.0,,,2.0,5.0,,120.0,,3.0,1.0,,169.0,2.0,2.0,,1.0,1.0,115.0,,,0.0369,,,8.0,,,3.0,41.0,,0.0,7.0,1.0,27.0,3.0,2.0,,33.0,,1.0,,4.0,1.0,0.0,116.0,,6.0,,1.0,48.0,1.0,2.0,,4.0,135.0,,,82.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154561,David Raya,Goalkeeper,Arsenal,3,Spain,2026-27,,,0.0132,0.0,,,1.0,3.0,,,3.0,27.0,,85.0,,,2.0,,270.0,,,1.0,,,42.0,,,0.3859,,7.0,4.0,1.0,,,17.0,,0.0,,,57.0,30.0,3.0,,13.0,,,,,,0.0,58.0,,28.0,,,11.0,,,16.0,,116.0,,11.0,45.0,,0.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,20.0,1.0,4.0,5.0,1.0,1.0,2.0,7.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
204480,Declan Rice,Midfielder,Arsenal,3,England,2026-27,9.0,,0.2517,0.0,1.0,3.0,8.0,3.0,1.0,1.0,3.0,15.0,3.0,220.0,1.0,7.0,,2.0,243.0,4.0,6.0,1.0,4.0,3.0,193.0,,,0.349,2.0,,5.0,1.0,,5.0,56.0,,0.0,15.0,2.0,77.0,11.0,3.0,1.0,126.0,9.0,,,8.0,3.0,0.0,211.0,,24.0,2.0,,76.0,3.0,3.0,12.0,11.0,254.0,2.0,3.0,81.0,0.1002,0.0,7.0,6.0,,,,2.0,,,,1.0,7.0,,,2.0,,,,,2.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
232413,Eberechi Eze,Midfielder,Arsenal,3,England,2026-27,5.0,,0.0721,0.0,,,5.0,2.0,,1.0,,5.0,,27.0,,2.0,,,59.0,1.0,5.0,,,4.0,21.0,1.0,,0.0369,,,,,,4.0,13.0,3.0,0.0,10.0,,3.0,5.0,2.0,,16.0,,4.0,,8.0,1.0,0.0,26.0,,11.0,,1.0,4.0,,,1.0,7.0,40.0,1.0,,6.0,0.0377,0.0,,3.0,2.0,,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,0.0377,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
199798,Ezri Konsa,Defender,Arsenal,3,England,2026-27,5.0,,0.0077,0.0,,3.0,2.0,2.0,,,1.0,2.0,,53.0,1.0,7.0,,,101.0,3.0,9.0,1.0,,5.0,51.0,2.0,,0.349,,,7.0,1.0,,2.0,13.0,2.0,0.0,14.0,,9.0,5.0,2.0,1.0,17.0,,1.0,,7.0,4.0,0.0,50.0,,3.0,2.0,,28.0,1.0,1.0,,3.0,67.0,,,34.0,,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
226597,Gabriel Magalhães,Defender,Arsenal,3,Brazil,2026-27,12.0,,0.049,0.0,,2.0,5.0,3.0,,,3.0,15.0,1.0,169.0,,9.0,2.0,,270.0,7.0,7.0,1.0,7.0,5.0,150.0,9.0,,0.3859,,1.0,14.0,1.0,,5.0,81.0,2.0,0.0,19.0,5.0,47.0,11.0,3.0,2.0,68.0,1.0,1.0,,10.0,2.0,0.0,158.0,,19.0,,1.0,32.0,3.0,4.0,4.0,9.0,212.0,,6.0,86.0,0.4874,1.0,10.0,3.0,,2.0,0.4653,4.0,,,,,,2.0,2.0,,,,,,2.0,,,,1.0,,,6.0,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
219847,Kai Havertz,Forward,Arsenal,3,Germany,2026-27,14.0,,0.326,0.0,1.0,,15.0,3.0,,1.0,3.0,16.0,1.0,66.0,8.0,15.0,2.0,,258.0,7.0,14.0,1.0,4.0,6.0,49.0,17.0,,0.3641,4.0,,1.0,1.0,1.0,7.0,11.0,6.0,1.0,28.0,2.0,14.0,5.0,3.0,,40.0,1.0,4.0,1.0,13.0,8.0,0.0,66.0,3.0,30.0,,,17.0,3.0,2.0,1.0,24.0,103.0,,1.0,10.0,0.5555,0.0,1.0,1.0,,4.0,1.7769,4.0,1.0,2.0,0.0,,,2.0,2.0,,2.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109745,Kepa Arrizabalaga,Goalkeeper,Arsenal,3,Spain,2026-27,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184029,Martin Ødegaard,Midfielder,Arsenal,3,Norway,2026-27,7.0,,1.0473,0.0,3.0,5.0,10.0,3.0,,4.0,3.0,13.0,5.0,155.0,,3.0,,,224.0,3.0,9.0,1.0,1.0,9.0,137.0,14.0,,0.3272,7.0,,3.0,1.0,1.0,4.0,36.0,4.0,1.0,16.0,,45.0,8.0,3.0,2.0,106.0,5.0,3.0,1.0,13.0,,0.0,148.0,3.0,28.0,3.0,,51.0,,,5.0,23.0,193.0,1.0,1.0,36.0,1.001,0.0,3.0,1.0,,2.0,0.3836,3.0,3.0,2.0,0.0,2.0,,,,,2.0,1.0,1.0,2.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,0.0781,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
481655,Martín Zubimendi,Midfielder,Arsenal,3,Spain,2026-27,6.0,,0.0395,0.0,1.0,3.0,4.0,3.0,,,,5.0,,47.0,,2.0,,,50.0,1.0,4.0,,2.0,3.0,41.0,4.0,,0.0587,,,1.0,,1.0,5.0,17.0,,0.0,10.0,2.0,11.0,2.0,3.0,2.0,27.0,,2.0,1.0,8.0,1.0,0.0,47.0,,9.0,1.0,,11.0,3.0,3.0,1.0,8.0,66.0,,,15.0,0.0773,0.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616077,Max Dowman,Midfielder,Arsenal,3,England,2026-27,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195384,Mikel Merino,Midfielder,Arsenal,3,Spain,2026-27,4.0,,0.0266,0.0,1.0,,1.0,3.0,,,,2.0,,35.0,,2.0,,,46.0,1.0,7.0,,,6.0,33.0,2.0,,0.0587,,,,,1.0,3.0,12.0,2.0,0.0,11.0,,9.0,6.0,3.0,,23.0,,,1.0,9.0,1.0,0.0,35.0,,2.0,,4.0,8.0,3.0,,,6.0,44.0,,,10.0,0.1449,1.0,1.0,,3.0,1.0,0.3823,1.0,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499169,Myles Lewis-Skelly,Defender,Arsenal,3,England,2026-27,7.0,,0.2277,0.0,1.0,1.0,8.0,3.0,,3.0,3.0,11.0,,163.0,,2.0,1.0,,228.0,,9.0,1.0,2.0,7.0,148.0,5.0,,0.3641,2.0,,2.0,1.0,1.0,7.0,68.0,6.0,0.0,16.0,1.0,34.0,8.0,3.0,1.0,89.0,,1.0,1.0,14.0,2.0,0.0,153.0,2.0,17.0,,,42.0,6.0,1.0,4.0,19.0,189.0,,1.0,63.0,0.1635,0.0,3.0,2.0,,,,2.0,1.0,,,,,,,,,,,,2.0,,2.0,,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
248857,Noni Madueke,Forward,Arsenal,3,England,2026-27,2.0,,0.05,0.0,,1.0,2.0,2.0,,,,2.0,1.0,18.0,,1.0,,,23.0,,3.0,,1.0,2.0,16.0,,,0.0369,4.0,,,,,2.0,1.0,,0.0,5.0,,3.0,2.0,2.0,1.0,16.0,1.0,2.0,,4.0,1.0,0.0,18.0,,5.0,,1.0,9.0,,,,5.0,27.0,,,,,0.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448104,Piero Hincapié,Defender,Arsenal,3,Ecuador,2026-27,1.0,,0.0077,0.0,,1.0,1.0,2.0,,,,1.0,1.0,16.0,,1.0,,,32.0,1.0,1.0,,2.0,1.0,15.0,1.0,1.0,0.0587,,,2.0,,,,6.0,,0.0,2.0,2.0,6.0,,2.0,1.0,11.0,1.0,,,1.0,,0.0,16.0,,4.0,,,2.0,,,,2.0,27.0,3.0,,4.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
