season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,totalShots
2009-10,1062548,9,54,Fulham,Home,14650,,John Paintsil,john-paintsil,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062548,9,54,Fulham,Home,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,
2009-10,1062548,9,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1062548,9,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,1.0,0.0,84.0,0.0,0.0
2009-10,1062548,9,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062560,10,54,Fulham,Away,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,870,11529.0,Diomansy Kamara,diomansy-kamara,F,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,932,9493.0,Stephen Kelly,stephen-kelly,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,1020,1863.0,Jonathan Greening,jonathan-greening,M,False,1.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,1027,18430.0,Zoltán Gera,zoltan-gera,M,True,,,,,
2009-10,1062560,10,54,Fulham,Away,2180,1836.0,Erik Nevland,erik-nevland,F,True,,,,,
2009-10,1062560,10,54,Fulham,Away,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,1.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,10621,,Ki Hyeon Seol,ki-hyeon-seol,F,True,0.0,0.0,1.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,12754,15540.0,Eddie Johnson,eddie-johnson,F,True,,,,,
2009-10,1062560,10,54,Fulham,Away,14650,,John Paintsil,john-paintsil,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,
2009-10,1062560,10,54,Fulham,Away,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1062560,10,54,Fulham,Away,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062560,10,54,Fulham,Away,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062569,11,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,870,11529.0,Diomansy Kamara,diomansy-kamara,F,False,0.0,0.0,46.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062569,11,54,Fulham,Home,1020,1863.0,Jonathan Greening,jonathan-greening,M,False,0.0,0.0,86.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,True,1.0,0.0,44.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,2180,1836.0,Erik Nevland,erik-nevland,F,True,1.0,1.0,44.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,True,0.0,0.0,4.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,14650,,John Paintsil,john-paintsil,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,
2009-10,1062569,11,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1062569,11,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,1.0,0.0,46.0,0.0,0.0
2009-10,1062569,11,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062582,12,54,Fulham,Away,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062582,12,54,Fulham,Away,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062582,12,54,Fulham,Away,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062582,12,54,Fulham,Away,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062582,12,54,Fulham,Away,1020,1863.0,Jonathan Greening,jonathan-greening,M,False,0.0,0.0,79.0,0.0,0.0
2009-10,1062582,12,54,Fulham,Away,1027,18430.0,Zoltán Gera,zoltan-gera,M,True,0.0,0.0,5.0,0.0,0.0
2009-10,1062582,12,54,Fulham,Away,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062582,12,54,Fulham,Away,2180,1836.0,Erik Nevland,erik-nevland,F,False,0.0,0.0,85.0,0.0,0.0
