season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025020,1,54,Fulham,Away,82566,76357,Tom Cairney,tom-cairney,M,True,,,,4.0,8.0,12.0,,2.0,,2.0,,,,,,,1.0,4.0,3.0,,,0.00086609,,,1.0,0.0,,,,,,,,0.18,1.8,0.72,0.03,1.04,24.0,,,,,,,8.0,,,6.5,,,,,,2.0,,,,,6.0,10.0,16.0,,,0,,24.0,1.0,1.0,,
2025-26,14025020,1,54,Fulham,Away,103335,80201,Bernd Leno,bernd-leno,G,False,,,8.0,3.0,31.0,34.0,,1.0,,10.0,,,,,,,,,1.0,,,0.00088455,,,,0.0,,0.0209,2.0,,,,,0.01,1.53,0.13,0.0,3.65,90.0,,,,,1.0,,13.0,,,6.9,1.0,3.0,,,1.0,,,,20.0,,13.0,33.0,46.0,,,0,,60.0,,1.0,,
2025-26,14025020,1,54,Fulham,Away,123207,86873,Benjamin Lecomte,benjamin-lecomte,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025020,1,54,Fulham,Away,190877,167074,Kenny Tete,kenny-tete,D,False,,,5.0,18.0,15.0,33.0,,1.0,,5.0,,,,1.0,,,,2.0,7.0,,,0.00661333,,,1.0,0.0,,,,,1.0,,,0.53,4.33,1.37,0.19,3.32,90.0,,,,,,,5.0,,,7.4,,,,,3.0,,2.0,,5.0,,18.0,16.0,34.0,,,0,3.0,51.0,,3.0,,2.0
2025-26,14025020,1,54,Fulham,Away,192442,102057,Raúl Jiménez,raul-jimenez,F,False,,,1.0,2.0,5.0,7.0,4.0,,,,,,,1.0,,,1.0,8.0,,,,0.00028653,0.2902,,2.0,0.0,,,,,,,,0.42,2.41,0.99,0.12,2.53,66.0,,,,,,,9.0,,,5.7,,,2.0,,,,,,1.0,1.0,6.0,7.0,13.0,,,2,,20.0,2.0,,,
2025-26,14025020,1,54,Fulham,Away,285949,156689,Andreas Pereira,andreas-pereira,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025020,1,54,Fulham,Away,286165,159533,Adama Traoré,adama-traore,F,True,,,,4.0,,4.0,,,,,,,,,,,,2.0,,,,0.00335667,,,1.0,0.0,,,,,,,,0.11,1.3,0.25,0.05,1.13,24.0,,,,,,,4.0,,,6.4,,,,,,1.0,2.0,,,,4.0,,4.0,,,0,,9.0,1.0,,,
2025-26,14025020,1,54,Fulham,Away,329417,166477,Timothy Castagne,timothy-castagne,D,True,,,,4.0,,4.0,1.0,,,,,,,,,,,1.0,,,,0.00180083,,,,0.0,,,,,,,,0.21,0.91,0.31,0.08,0.4,14.0,,,,,,,2.0,,,6.5,,,,,,,1.0,,,,5.0,,5.0,,,0,,8.0,,,,
2025-26,14025020,1,54,Fulham,Away,352770,153133,Alex Iwobi,alex-iwobi,M,False,2.0,,2.0,12.0,6.0,18.0,1.0,,,2.0,,,,,,,1.0,3.0,2.0,,,0.278654,0.0108,,,0.0,,,,,,3.0,,0.44,3.32,0.92,0.22,2.22,66.0,,,,,,,12.0,,,7.0,,,1.0,,,2.0,3.0,,2.0,,16.0,8.0,24.0,,,1,,37.0,2.0,1.0,1.0,
2025-26,14025020,1,54,Fulham,Away,355528,153682,Harry Wilson,harry-wilson,M,False,1.0,,3.0,8.0,6.0,14.0,,,,4.0,,,,,,,1.0,2.0,5.0,,,0.0213854,0.0697,,,0.0,,,,,,,,0.83,4.07,1.68,0.26,3.58,90.0,,,,,,,10.0,,,6.7,,,1.0,,1.0,2.0,4.0,,3.0,1.0,11.0,6.0,17.0,,,1,1.0,32.0,2.0,3.0,1.0,
