season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352253,1,54,Fulham,Away,31417,47431,Willian,willian,M,False,,,1.0,14.0,9.0,23.0,,,1.0,,,,1.0,,,,3.0,2.0,,,0.0419352,0.0,0.0,1.0,,,,,,,1.0,,45.0,,,,,,,9.0,,6.5,,,,,2.0,,,2.0,,17.0,11.0,28.0,0,1.0,34.0,3.0,,1.0,
2023-24,11352253,1,54,Fulham,Away,82566,76357,Tom Cairney,tom-cairney,M,False,,,1.0,16.0,16.0,32.0,,1.0,3.0,,,,1.0,,,4.0,5.0,2.0,,,0.0813555,0.044,0.0,,,,,,,,1.0,,58.0,,,,,,,12.0,,6.6,,,1.0,,,,,2.0,,22.0,16.0,38.0,1,,48.0,,1.0,,
2023-24,11352253,1,54,Fulham,Away,103335,80201,Bernd Leno,bernd-leno,G,False,,,4.0,4.0,35.0,39.0,,2.0,15.0,,,,,,,,,2.0,,,0.00166459,0.0,0.0,,,,3.3106,,,,,,90.0,,,,,,,8.0,2.0,9.5,8.0,9.0,,2.0,,,,12.0,,12.0,35.0,47.0,0,,68.0,,1.0,,
2023-24,11352253,1,54,Fulham,Away,118179,82514,Tim Ream,tim-ream,D,False,,,4.0,18.0,44.0,62.0,2.0,3.0,6.0,,,,,,,,2.0,3.0,,,0.00347059,0.0,0.0,,,,,,,,,,90.0,,,,,,,8.0,,7.1,,,,5.0,,,,6.0,,23.0,46.0,69.0,0,,76.0,,,,
2023-24,11352253,1,54,Fulham,Away,151499,96994,Bobby De Cordova-Reid,bobby-de-cordova-reid,M,True,,,,7.0,4.0,11.0,2.0,,2.0,,1.0,,,,,,3.0,1.0,,,0.00549038,1.1361,0.9821,1.0,,1.0,,,,,,,45.0,1.0,1.0,,,,,9.0,,7.2,,,2.0,1.0,,,,2.0,,12.0,6.0,18.0,3,1.0,29.0,1.0,,,1.0
2023-24,11352253,1,54,Fulham,Away,190877,167074,Kenny Tete,kenny-tete,D,False,1.0,,2.0,16.0,33.0,48.0,,,4.0,,,,1.0,,,1.0,5.0,3.0,,,0.0243685,0.0,0.0,2.0,,,,,,2.0,1.0,,90.0,,1.0,,,,,16.0,,7.5,,,,4.0,2.0,2.0,,3.0,,23.0,38.0,59.0,0,1.0,86.0,,1.0,1.0,1.0
2023-24,11352253,1,54,Fulham,Away,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,True,,,1.0,2.0,2.0,4.0,1.0,2.0,1.0,,,1.0,,,,,1.0,5.0,,,0.0246784,0.1623,0.1356,,,,,,,,,,32.0,1.0,,,,,,4.0,,7.1,,,,,3.0,,,1.0,,6.0,2.0,8.0,2,,14.0,,,3.0,
2023-24,11352253,1,54,Fulham,Away,192442,102057,Raúl Jiménez,raul-jimenez,F,False,,,1.0,10.0,2.0,12.0,,1.0,2.0,,,,,,,2.0,2.0,2.0,,,0.0167774,0.0684,0.0,,,,,,1.0,,,,58.0,,,,,,,8.0,,6.7,,,1.0,,,1.0,,1.0,3.0,15.0,2.0,16.0,1,,22.0,,1.0,,
2023-24,11352253,1,54,Fulham,Away,227900,120721,Kevin Mbabu,kevin-mbabu,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352253,1,54,Fulham,Away,285949,156689,Andreas Pereira,andreas-pereira,M,True,,,1.0,6.0,,6.0,,1.0,1.0,,,,,,,,2.0,1.0,,,0.00233299,0.0,0.0,1.0,,,,,,,,,32.0,,,,,,,7.0,,6.8,,,,,1.0,1.0,,1.0,,9.0,2.0,10.0,0,,16.0,1.0,,,
