season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385502,1,54,Fulham,Home,55570,61933,Shane Duffy,shane-duffy,D,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385502,1,54,Fulham,Home,82566,76357,Tom Cairney,tom-cairney,M,True,,,,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,0,1.0,4.0,1.0,,,
2022-23,10385502,1,54,Fulham,Home,103335,80201,Bernd Leno,bernd-leno,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385502,1,54,Fulham,Home,118179,82514,Tim Ream,tim-ream,D,False,,,4.0,10.0,9.0,19.0,,1.0,8.0,,,,1.0,1.0,,,1.0,3.0,,,0.033482,0.0,0.0,,,,,,,1.0,,,90.0,,1.0,,,,,,,9.0,,7.1,,,,5.0,1.0,,,8.0,,17.0,10.0,27.0,0,1.0,42.0,1.0,,1.0,
2022-23,10385502,1,54,Fulham,Home,137786,92259,Neeskens Kebano,neeskens-kebano,M,False,,,,9.0,2.0,11.0,2.0,,5.0,,,,1.0,,,1.0,6.0,3.0,,,0.010185,0.0452,0.0,1.0,,,,,1.0,,1.0,,66.0,,,,,,,,,8.0,,6.5,,,1.0,,2.0,1.0,,1.0,2.0,13.0,2.0,14.0,1,1.0,25.0,1.0,1.0,1.0,
2022-23,10385502,1,54,Fulham,Home,151499,96994,Bobby De Cordova-Reid,bobby-de-cordova-reid,M,False,1.0,,,11.0,8.0,18.0,1.0,1.0,7.0,,,,,,,2.0,3.0,5.0,,,0.0451427,0.0368,0.0423,,,,,,,,1.0,,89.0,1.0,,,,,,,,11.0,,6.9,,,,1.0,1.0,4.0,,,,15.0,10.0,21.0,1,2.0,41.0,2.0,1.0,1.0,1.0
2022-23,10385502,1,54,Fulham,Home,190877,167074,Kenny Tete,kenny-tete,D,False,1.0,,1.0,10.0,8.0,17.0,3.0,1.0,4.0,,,,,,,,4.0,7.0,,,0.0643209,0.0,0.0,1.0,1.0,,,,,2.0,1.0,,90.0,,,,,,,,,17.0,,7.3,,,,5.0,,3.0,,2.0,,23.0,10.0,30.0,0,5.0,61.0,,1.0,,5.0
2022-23,10385502,1,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,1.0,8.0,2.0,10.0,3.0,11.0,7.0,,,,,,,1.0,5.0,18.0,,,0.00842917,0.9479,1.1906,1.0,,2.0,,,,1.0,1.0,,90.0,2.0,1.0,,,,,,1.0,23.0,,9.4,,,1.0,3.0,2.0,,,1.0,1.0,23.0,5.0,28.0,3,1.0,50.0,4.0,4.0,2.0,
2022-23,10385502,1,54,Fulham,Home,227900,120721,Kevin Mbabu,kevin-mbabu,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385502,1,54,Fulham,Home,285949,156689,Andreas Pereira,andreas-pereira,M,False,2.0,,1.0,12.0,4.0,14.0,,1.0,3.0,,,1.0,,,,,3.0,1.0,,,0.146012,0.0514,0.0,2.0,,,,,,,1.0,,89.0,,,,,,,,,18.0,,6.4,,,,,1.0,6.0,,2.0,1.0,24.0,5.0,23.0,1,,37.0,3.0,,,
2022-23,10385502,1,54,Fulham,Home,352668,109646,Tosin Adarabioyo,tosin-adarabioyo,D,False,,,3.0,9.0,8.0,17.0,,2.0,5.0,,,,,,,,,4.0,,,0.00730202,0.0,0.0,,,,,,,1.0,,,90.0,,,,,,,,,9.0,,6.8,,,,7.0,,,,7.0,,16.0,10.0,26.0,0,2.0,37.0,,,,
2022-23,10385502,1,54,Fulham,Home,358694,155529,Marek Rodák,marek-rodak,G,False,,,11.0,8.0,4.0,12.0,,1.0,11.0,,,,,,,,,1.0,,,0.00105929,0.0,0.0,,,,-0.0932,1.0,,,,,90.0,,,,,,,,,19.0,,6.2,1.0,1.0,,,,,,30.0,,26.0,5.0,31.0,0,,35.0,,,,
2022-23,10385502,1,54,Fulham,Home,364612,154296,João Palhinha,joao-palhinha,M,False,,,1.0,13.0,7.0,20.0,3.0,2.0,4.0,,,2.0,,,,1.0,5.0,9.0,,,0.00953336,0.1095,0.0,1.0,,,,,,1.0,,,90.0,,,,,,,,,8.0,,7.1,,,,1.0,,,,3.0,,18.0,8.0,26.0,2,6.0,47.0,1.0,1.0,,4.0
2022-23,10385502,1,54,Fulham,Home,365802,153366,Harrison Reed,harrison-reed,M,False,,,1.0,14.0,5.0,19.0,1.0,3.0,5.0,,,1.0,1.0,,,,3.0,6.0,,,0.0151457,0.0619,0.0,,,,,,,2.0,1.0,,90.0,,1.0,,,,,,,21.0,,6.8,,,,3.0,1.0,2.0,,4.0,,24.0,9.0,31.0,1,3.0,51.0,5.0,,,2.0
2022-23,10385502,1,54,Fulham,Home,803174,169528,Antonee Robinson,antonee-robinson,D,False,,,1.0,8.0,14.0,22.0,,,10.0,,,,1.0,,,,2.0,1.0,,,0.00611839,0.0,0.0,1.0,,,,,,2.0,,,90.0,,,,,,,,,20.0,,6.4,,,,5.0,,3.0,,7.0,,17.0,20.0,34.0,0,1.0,57.0,,,,1.0
2022-23,10385502,1,54,Fulham,Home,862223,235674,Manor Solomon,manor-solomon,F,True,,,,2.0,,2.0,,,4.0,,,,,,,1.0,3.0,2.0,,,0.0013039,0.0,0.0,,,,,,,,,,24.0,,,,,,,,,7.0,,6.2,,,,,2.0,,,,,2.0,1.0,3.0,0,2.0,12.0,3.0,,,
