matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367544,1.0,2023-08-12 15:00:00,49,Sheff Utd,Home,69.0,11.0,2.0,3.0,1.0,,,96.0,,,1.0,5.0,,16.0,162.0,,,15.0,31.0,13.0,3.0,2.0,2.0,2.0,,,,,,,6.0,,,,,,9.0,17.0,7.0,4.0,4.0,,30.0,58.0,,,,2.0,15.0,3.0,13.0,,,5.0,4.0,4.0,,12.0,5.0,83.0,48.0,2.0,34.0,9.0,,,53.0,18.0,11.0,,2.0,2.0,,132.0,,,,,,,10.0,,,,,,,,,9.0,,11.0,11.0,2.0,1.0,47.0,70.0,19.0,5.0,,3.0,2.0,1.0,233.0,,,8.0,4.0,,33.0,60.0,26.0,,,,,152.0,152.0,4.0,28.0,19.0,32.2,,,,,25.0,0.0,,,,53.0,5.0,2.0,7.0,,,2.0,4.0,,,5.0,49.0,153.0,15.0,5.0,87.0,34.0,34.0,11.0,4.0,14.0,10.0,2.0,94.0,3.0,189.0,,,23.0,,68.0,2.0,262.0,2.0,0.0,8.0,22.0,1.0,18.0,3.0,472.0,14.0,11.0,2.0,5.0,11.0,0.0
2367554,2.0,2023-08-18 19:45:00,49,Sheff Utd,Away,178.0,21.0,3.0,4.0,1.0,1.0,,154.0,3.0,,5.0,3.0,1.0,21.0,328.0,,,19.0,31.0,20.0,1.0,1.0,2.0,,,,,,,,5.0,,,,,,4.0,9.0,7.0,4.0,3.0,,63.0,61.0,,1.0,,2.0,7.0,1.0,7.0,,,7.0,5.0,7.0,,5.0,2.0,66.0,53.0,2.0,15.0,6.0,,,48.0,9.0,5.0,1.0,1.0,1.0,,165.0,,,,,,,9.0,,,,1.0,,,,,6.0,,17.0,17.0,5.0,5.0,110.0,68.0,28.0,6.0,,2.0,,3.0,416.0,,,5.0,,,31.0,93.0,29.0,,,,,166.0,166.0,3.0,32.0,19.0,50.1,,,,1.0,17.0,0.0,,,,99.0,1.0,1.0,2.0,,,,3.0,,,4.0,68.0,315.0,7.0,2.0,211.0,51.0,15.0,21.0,7.0,20.0,13.0,,107.0,4.0,246.0,1.0,1.0,13.0,2.0,62.0,2.0,437.0,,0.0,7.0,22.0,1.0,23.0,3.0,637.0,20.0,15.0,6.0,7.0,15.0,0.0
2367567,3.0,2023-08-27 14:00:00,49,Sheff Utd,Home,79.0,18.0,1.0,2.0,1.0,,,55.0,10.0,,4.0,2.0,1.0,25.0,132.0,,,10.0,12.0,6.0,2.0,1.0,1.0,,,,,,,,4.0,,,,,,3.0,20.0,10.0,4.0,2.0,,25.0,45.0,1.0,1.0,,2.0,7.0,,9.0,,,1.0,2.0,,,5.0,3.0,42.0,24.0,2.0,29.0,10.0,,,29.0,11.0,2.0,,,,,95.0,,,,,,,14.0,,,1.0,,,,,2.0,10.0,,5.0,5.0,,4.0,36.0,51.0,24.0,12.0,,3.0,,2.0,167.0,,,7.0,,,10.0,42.0,5.0,,1.0,1.0,,95.0,95.0,3.0,21.0,9.0,20.5,,,,,14.0,0.0,,,,38.0,4.0,3.0,7.0,,1.0,,4.0,,1.0,4.0,27.0,113.0,7.0,3.0,91.0,35.0,29.0,13.0,1.0,3.0,2.0,,50.0,5.0,106.0,,,6.0,3.0,48.0,1.0,194.0,,0.0,6.0,11.0,,11.0,4.0,340.0,12.0,18.0,6.0,1.0,7.0,0.0
2367577,4.0,2023-09-02 12:30:00,49,Sheff Utd,Home,180.0,27.0,1.0,4.0,3.0,1.0,1.0,110.0,6.0,2.0,9.0,2.0,3.0,25.0,286.0,,,18.0,19.0,20.0,4.0,2.0,2.0,,,,,,,,8.0,,,,1.0,2.0,4.0,10.0,6.0,11.0,2.0,,44.0,62.0,1.0,3.0,,2.0,14.0,1.0,10.0,,,4.0,6.0,1.0,,14.0,2.0,63.0,54.0,2.0,37.0,20.0,,1.0,51.0,11.0,13.0,1.0,3.0,4.0,,175.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,,20.0,3.0,11.0,11.0,,9.0,82.0,76.0,35.0,6.0,,2.0,5.0,8.0,360.0,,,6.0,,,42.0,58.0,29.0,,,,,151.0,151.0,,31.0,20.0,45.4,1.0,2.0,1.0,,28.0,0.0,,,,83.0,2.0,2.0,4.0,,,,4.0,,,3.0,54.0,267.0,14.0,7.0,207.0,52.0,37.0,16.0,3.0,14.0,11.0,,93.0,7.0,191.0,1.0,2.0,15.0,3.0,65.0,1.0,384.0,,0.0,13.0,16.0,,27.0,1.0,607.0,27.0,10.0,7.0,4.0,9.0,0.0
2367585,5.0,2023-09-16 15:00:00,49,Sheff Utd,Away,91.0,13.0,1.0,2.0,1.0,5.0,1.0,96.0,9.0,2.0,6.0,4.0,4.0,27.0,185.0,1.0,,9.0,16.0,22.0,3.0,2.0,1.0,,,,,,1.0,,4.0,,,,,1.0,8.0,19.0,9.0,6.0,1.0,,44.0,58.0,1.0,1.0,,4.0,12.0,1.0,14.0,,,2.0,2.0,1.0,,12.0,4.0,58.0,59.0,4.0,34.0,20.0,,,48.0,14.0,11.0,,1.0,1.0,,132.0,1.0,1.0,1.0,,1.0,,13.0,,,,1.0,,,,2.0,20.0,,10.0,10.0,4.0,6.0,46.0,64.0,34.0,15.0,1.0,1.0,5.0,5.0,227.0,,,9.0,3.0,,11.0,53.0,12.0,,,,,123.0,123.0,3.0,26.0,9.0,29.9,,3.0,,,23.0,0.0,,,,47.0,3.0,5.0,8.0,1.0,1.0,,1.0,,,3.0,36.0,156.0,12.0,6.0,113.0,28.0,34.0,10.0,2.0,6.0,4.0,,73.0,14.0,162.0,1.0,2.0,19.0,4.0,60.0,3.0,269.0,1.0,1.0,7.0,22.0,,11.0,5.0,465.0,10.0,10.0,5.0,2.0,10.0,0.0
2367597,6.0,2023-09-24 16:30:00,49,Sheff Utd,Home,208.0,16.0,,2.0,2.0,,,143.0,3.0,,4.0,1.0,2.0,13.0,349.0,,1.0,14.0,11.0,9.0,7.0,,1.0,,,,,,,,7.0,,,,,1.0,9.0,17.0,5.0,7.0,2.0,,85.0,64.0,,,,,7.0,4.0,10.0,,,2.0,3.0,1.0,,11.0,5.0,51.0,46.0,,24.0,6.0,1.0,1.0,41.0,12.0,8.0,,1.0,1.0,,156.0,,,,,,,6.0,,,,,,,,1.0,6.0,,12.0,12.0,,4.0,96.0,75.0,38.0,6.0,,3.0,4.0,1.0,421.0,,,3.0,3.0,,40.0,43.0,16.0,,,,,138.0,138.0,3.0,38.0,19.0,42.2,,,,,16.0,0.0,,,,107.0,6.0,1.0,7.0,,,,4.0,1.0,,4.0,56.0,331.0,7.0,7.0,241.0,43.0,24.0,18.0,2.0,7.0,5.0,,87.0,2.0,210.0,,,19.0,4.0,56.0,3.0,444.0,,0.0,9.0,19.0,1.0,16.0,4.0,621.0,13.0,11.0,10.0,2.0,6.0,0.0
2367606,7.0,2023-09-30 15:00:00,49,Sheff Utd,Away,155.0,16.0,2.0,7.0,5.0,2.0,,216.0,7.0,,8.0,1.0,9.0,22.0,364.0,,,21.0,16.0,16.0,9.0,3.0,2.0,,,,,,,,11.0,,,,,,7.0,17.0,3.0,11.0,5.0,,61.0,49.0,,,,1.0,12.0,8.0,9.0,1.0,,4.0,8.0,5.0,,12.0,1.0,50.0,40.0,1.0,20.0,5.0,,,54.0,9.0,6.0,,,,,142.0,,,,,,,8.0,,,,,,,,,5.0,,1.0,1.0,,9.0,123.0,63.0,42.0,7.0,,6.0,6.0,2.0,418.0,,,4.0,,,52.0,70.0,35.0,,,,,124.0,124.0,3.0,10.0,23.0,47.6,,,,1.0,28.0,0.0,,,,115.0,5.0,2.0,6.0,,,,6.0,,,5.0,95.0,344.0,12.0,12.0,175.0,36.0,20.0,9.0,4.0,17.0,13.0,,128.0,3.0,283.0,,,6.0,9.0,45.0,3.0,441.0,,0.0,16.0,14.0,3.0,23.0,1.0,621.0,31.0,15.0,5.0,4.0,10.0,0.0
2367613,8.0,2023-10-07 15:00:00,49,Sheff Utd,Away,128.0,18.0,3.0,4.0,1.0,,1.0,113.0,7.0,1.0,8.0,2.0,5.0,25.0,237.0,,,8.0,21.0,18.0,2.0,2.0,3.0,,,,,1.0,,,2.0,,,,,,3.0,10.0,11.0,3.0,2.0,,55.0,68.0,1.0,1.0,,4.0,15.0,1.0,14.0,,,4.0,3.0,3.0,,13.0,1.0,68.0,54.0,4.0,32.0,16.0,,1.0,55.0,10.0,8.0,,2.0,2.0,,148.0,,,,,,,10.0,,,,1.0,,,,,16.0,,11.0,11.0,1.0,8.0,69.0,77.0,35.0,9.0,,1.0,3.0,2.0,318.0,,,6.0,1.0,1.0,35.0,47.0,25.0,,,,,165.0,165.0,4.0,30.0,24.0,39.7,,,,,27.0,0.0,,,,70.0,2.0,2.0,4.0,,1.0,,2.0,,,4.0,49.0,219.0,15.0,5.0,157.0,44.0,32.0,19.0,4.0,12.0,8.0,,93.0,3.0,197.0,1.0,1.0,19.0,5.0,68.0,1.0,342.0,,0.0,5.0,20.0,,19.0,2.0,553.0,17.0,15.0,8.0,4.0,13.0,0.0
2367626,9.0,2023-10-21 20:00:00,49,Sheff Utd,Home,100.0,22.0,1.0,2.0,1.0,,,127.0,2.0,1.0,2.0,2.0,3.0,25.0,225.0,,1.0,15.0,16.0,18.0,7.0,1.0,1.0,,,,,,1.0,,10.0,1.0,,,,,8.0,5.0,9.0,6.0,6.0,,54.0,62.0,1.0,1.0,1.0,2.0,8.0,3.0,9.0,,,5.0,3.0,6.0,,6.0,2.0,53.0,46.0,2.0,22.0,14.0,,1.0,57.0,12.0,8.0,1.0,5.0,2.0,,149.0,,,,,,,10.0,,,,1.0,,,,,14.0,,14.0,14.0,2.0,2.0,61.0,74.0,27.0,4.0,,2.0,6.0,6.0,302.0,,,3.0,1.0,,33.0,77.0,32.0,,,,1.0,167.0,167.0,5.0,27.0,22.0,37.5,,,,,13.0,0.0,,,,68.0,1.0,2.0,3.0,,1.0,,3.0,,,3.0,78.0,211.0,8.0,8.0,119.0,66.0,22.0,17.0,4.0,15.0,11.0,,129.0,4.0,228.0,1.0,1.0,15.0,3.0,70.0,3.0,332.0,,0.0,12.0,14.0,1.0,20.0,3.0,522.0,22.0,22.0,7.0,5.0,8.0,0.0
2367629,10.0,2023-10-28 15:00:00,49,Sheff Utd,Away,167.0,21.0,,,,,,74.0,5.0,,4.0,4.0,2.0,23.0,241.0,,,11.0,11.0,11.0,2.0,,,1.0,,,,,1.0,,2.0,,,,,,8.0,10.0,3.0,,2.0,,63.0,47.0,,,,,8.0,1.0,6.0,1.0,,1.0,,1.0,,4.0,2.0,40.0,42.0,,21.0,4.0,1.0,,31.0,13.0,9.0,,2.0,3.0,,115.0,,,,,,,8.0,,,,,,,,,4.0,,8.0,8.0,,4.0,76.0,44.0,19.0,6.0,,1.0,1.0,,300.0,,,4.0,1.0,,31.0,28.0,9.0,1.0,1.0,1.0,,112.0,112.0,3.0,21.0,16.0,32.9,,,,1.0,14.0,0.0,,,,69.0,3.0,,2.0,,,1.0,1.0,,,5.0,30.0,224.0,8.0,2.0,207.0,49.0,21.0,9.0,1.0,5.0,4.0,1.0,53.0,4.0,121.0,,,12.0,2.0,57.0,1.0,323.0,,0.0,2.0,20.0,,12.0,3.0,463.0,7.0,12.0,3.0,1.0,13.0,0.0
