playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,shotsOnTargetIncGoals,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,leftFootGoals,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,throughBalls,goalAssists,cornersTakenInclShortCorners,cleanSheets,successfulCrossesAndCorners,goalsConcededOutsideBox,successfulCornersIntoBox,successfulLaunches,tacklesLost,unsuccessfulDribbles,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,unsuccessfulLaunches,overruns,handballsConceded,throwInsToOppositionPlayer,penaltyGoalsConceded,ownGoalScored,lastPlayerTackle,setPiecesGoals,penaltiesTaken,clearancesOffTheLine,penaltyGoals,hitWoodwork,foulWonPenalty,penaltiesConceded,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,savesMadeFromInsideBox
60865,Apostolos Vellios,Forward,Everton,11,Greece,2011-12,20.0,0.0,6.0,3.0,9.0,21.0,13.0,15.0,2.0,23.0,1.0,75.0,3.0,3.0,2.0,11.0,16.0,247.0,1.0,11.0,11.0,6.0,49.0,13.0,4.0,2.0,3.0,9.0,16.0,2.0,2.0,31.0,1.0,19.0,7.0,13.0,1.0,1.0,40.0,3.0,1.0,1.0,5.0,15.0,5.0,0.0,75.0,3.0,2.0,37.0,3.0,1.0,1.0,16.0,4.0,3.0,3.0,24.0,114.0,2.0,12.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80181,Conor McAleny,Forward,Everton,11,England,2011-12,1.0,0.0,1.0,,3.0,1.0,2.0,,,1.0,,3.0,,,,2.0,1.0,15.0,,1.0,,,2.0,3.0,,,,,,,0.0,1.0,,1.0,,2.0,,,1.0,,,,,,,0.0,3.0,2.0,,1.0,,,,1.0,,,,1.0,8.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27707,Darron Gibson,Midfielder,Everton,11,Ireland,2011-12,33.0,0.0,7.0,23.0,19.0,62.0,12.0,30.0,12.0,77.0,6.0,542.0,1.0,,0.0,,9.0,1020.0,,5.0,29.0,25.0,408.0,2.0,3.0,18.0,10.0,28.0,191.0,,2.0,62.0,1.0,162.0,87.0,12.0,1.0,,285.0,8.0,,8.0,8.0,53.0,4.0,0.0,536.0,12.0,3.0,103.0,19.0,2.0,5.0,133.0,10.0,22.0,57.0,56.0,676.0,5.0,183.0,3.0,15.0,14.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58778,Denis Stracqualursi,Forward,Everton,11,Argentina,2011-12,82.0,0.0,9.0,7.0,17.0,44.0,21.0,34.0,7.0,44.0,8.0,178.0,1.0,17.0,0.0,14.0,38.0,734.0,1.0,28.0,38.0,28.0,133.0,39.0,5.0,9.0,5.0,54.0,38.0,17.0,0.0,120.0,1.0,36.0,22.0,21.0,1.0,,93.0,5.0,,8.0,30.0,82.0,10.0,0.0,178.0,8.0,2.0,104.0,4.0,4.0,1.0,46.0,24.0,7.0,1.0,58.0,323.0,5.0,42.0,1.0,,4.0,1.0,4.0,5.0,1.0,,1.0,1.0,,,,3.0,8.0,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49384,Jack Rodwell,Midfielder,Everton,11,England,2011-12,25.0,1.0,6.0,18.0,19.0,40.0,14.0,6.0,11.0,47.0,4.0,379.0,2.0,2.0,2.0,3.0,10.0,926.0,,4.0,26.0,20.0,298.0,15.0,6.0,12.0,16.0,21.0,131.0,1.0,0.0,51.0,0.0,81.0,36.0,14.0,1.0,,177.0,13.0,1.0,4.0,9.0,41.0,6.0,1.0,378.0,13.0,3.0,65.0,15.0,1.0,4.0,116.0,7.0,17.0,34.0,51.0,484.0,3.0,155.0,2.0,7.0,10.0,,6.0,,1.0,,,,3.0,,,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4445,James McFadden,Midfielder,Everton,11,Scotland,2011-12,22.0,0.0,1.0,5.0,3.0,20.0,7.0,2.0,2.0,20.0,7.0,79.0,,2.0,,5.0,5.0,166.0,,4.0,10.0,9.0,58.0,10.0,3.0,1.0,1.0,18.0,15.0,1.0,0.0,32.0,,24.0,9.0,7.0,,,51.0,1.0,,10.0,12.0,27.0,1.0,0.0,79.0,2.0,1.0,49.0,3.0,3.0,,27.0,3.0,2.0,1.0,13.0,135.0,2.0,12.0,0.0,,3.0,2.0,4.0,2.0,,4.0,,4.0,,2.0,,2.0,3.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10466,John Heitinga,Defender,Everton,11,Netherlands,2011-12,71.0,0.0,3.0,40.0,9.0,101.0,30.0,5.0,29.0,194.0,5.0,951.0,1.0,1.0,0.0,1.0,47.0,2541.0,,23.0,85.0,61.0,616.0,12.0,6.0,162.0,23.0,48.0,266.0,19.0,0.0,156.0,1.0,395.0,106.0,30.0,,,258.0,20.0,1.0,5.0,4.0,109.0,24.0,0.0,892.0,6.0,1.0,218.0,30.0,2.0,33.0,229.0,34.0,44.0,141.0,61.0,1310.0,4.0,500.0,4.0,93.0,36.0,1.0,3.0,5.0,,,10.0,1.0,3.0,,35.0,10.0,1.0,3.0,,,83.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
55586,Jose Baxter,Forward,Everton,11,England,2011-12,,0.0,,,,2.0,1.0,,,2.0,,5.0,,,,1.0,,11.0,,,,,3.0,1.0,,,,,3.0,,0.0,,,2.0,1.0,1.0,,,1.0,,,,,,,0.0,5.0,,,2.0,,,,,,,,,6.0,,2.0,0.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12745,Leighton Baines,Defender,Everton,11,England,2011-12,100.0,0.0,5.0,57.0,18.0,231.0,33.0,,33.0,315.0,106.0,1340.0,4.0,6.0,2.0,,22.0,2970.0,,14.0,123.0,115.0,953.0,38.0,66.0,75.0,35.0,86.0,535.0,30.0,4.0,223.0,2.0,647.0,131.0,33.0,,4.0,746.0,30.0,,174.0,46.0,201.0,8.0,0.0,1276.0,13.0,35.0,639.0,41.0,28.0,12.0,40.0,31.0,65.0,72.0,118.0,2390.0,,346.0,7.0,84.0,82.0,37.0,9.0,3.0,2.0,68.0,9.0,67.0,5.0,16.0,35.0,16.0,20.0,13.0,46.0,306.0,99.0,6.0,1.0,64.0,1.0,,1.0,1.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,
8378,Leon Osman,Midfielder,Everton,11,England,2011-12,154.0,0.0,25.0,35.0,43.0,141.0,30.0,40.0,28.0,168.0,44.0,1014.0,5.0,2.0,0.0,2.0,49.0,2377.0,2.0,29.0,101.0,81.0,800.0,81.0,39.0,32.0,24.0,125.0,247.0,32.0,4.0,255.0,5.0,307.0,129.0,30.0,2.0,2.0,604.0,19.0,1.0,64.0,77.0,206.0,20.0,0.0,1000.0,18.0,22.0,357.0,24.0,14.0,6.0,307.0,22.0,36.0,46.0,153.0,1483.0,9.0,262.0,3.0,27.0,35.0,12.0,19.0,8.0,1.0,36.0,8.0,20.0,5.0,8.0,3.0,11.0,26.0,,19.0,3.0,17.0,3.0,2.0,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
